Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.04,16.42,16.03,16.25,6597100,16.25
2014-02-18,16.36,16.42,15.56,15.94,9118500,15.94
2014-02-10,16.12,16.58,15.91,16.24,6007200,16.18
2014-02-03,16.07,16.16,15.6,16.14,4684200,16.08
2014-01-27,16.21,16.25,15.8,16.07,5972600,16.01
2014-01-21,16.51,16.71,16.15,16.21,6634600,16.15
2014-01-13,16.43,16.59,16.04,16.26,4217500,16.2
2014-01-06,16.62,16.82,16.17,16.53,6298900,16.46
2013-12-30,16.55,16.77,16.14,16.55,5214100,16.48
2013-12-23,16.31,16.68,16.22,16.55,2672300,16.48
2013-12-16,16.01,16.56,15.81,16.18,5845600,16.12
2013-12-09,16.26,16.66,15.62,15.98,5649300,15.92
2013-12-02,16.72,16.89,16.17,16.27,4545400,16.21
2013-11-25,17.15,17.17,16.47,16.68,4020200,16.61
2013-11-18,17.71,17.74,16.94,17.31,5101200,17.24
2013-11-11,18.8,18.92,17.27,17.64,10082500,17.57
2013-11-04,18.97,19.61,18.51,19.35,7494900,19.27
2013-10-28,19.22,19.5,18.49,18.85,3862500,18.78
2013-10-21,19.01,19.3,17.97,19.22,5625200,19.14
2013-10-14,18.24,19.19,18.17,19.01,3972700,18.93
2013-10-07,18.5,18.65,17.73,18.36,3317000,18.29
2013-09-30,18.32,18.99,18.24,18.69,5347400,18.62
2013-09-23,17.22,18.56,17.13,18.55,6753600,18.48
2013-09-16,17.87,17.95,17.24,17.3,4663400,17.23
2013-09-09,17.58,18.29,17.52,17.78,3254500,17.71
2013-09-03,17.5,17.89,17.11,17.66,3600600,17.59
2013-08-26,17.21,17.61,17.08,17.29,4125700,17.22
2013-08-19,17.15,17.28,16.7,17.2,4007100,17.13
2013-08-12,17.46,17.65,17.01,17.23,4224000,17.16
2013-08-05,17.88,18.75,17.07,17.52,6081400,17.45
2013-07-29,17.48,18.29,17.29,17.91,4266700,17.84
2013-07-22,18.55,18.67,17.27,17.5,5140300,17.43
2013-07-15,17.74,18.52,17.58,18.52,5107800,18.45
2013-07-08,17.54,17.94,17.31,17.75,6382500,17.68
2013-07-01,17.46,17.73,17.19,17.5,4364200,17.43
2013-06-24,16.84,17.62,16.56,17.32,4477400,17.25
2013-06-17,18.03,18.51,16.93,17.06,4362000,16.99
2013-06-10,18.8,18.81,17.68,17.82,3778700,17.75
2013-06-03,18.5,18.86,18.12,18.79,3138600,18.72
2013-05-28,18.75,19.08,18.35,18.35,5399200,18.28
2013-05-20,18.92,19.65,18.29,18.46,4779900,18.39
2013-05-13,17.8,18.92,17.71,18.88,5811200,18.81
2013-05-06,17.94,18.43,17.62,17.93,3397000,17.86
2013-04-29,17.53,18.19,17.23,17.88,5033800,17.81
2013-04-22,16.76,17.72,16.5,17.38,4671100,17.31
2013-04-15,17.54,17.59,16.42,16.68,5033500,16.61
2013-04-08,17.79,18.7,17.68,17.81,5389100,17.74
2013-04-01,18.65,18.66,17.31,17.77,5341500,17.7
2013-03-25,18.65,19.09,18.55,18.65,3912900,18.58
2013-03-18,18.31,18.67,17.96,18.58,3548200,18.51
