Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.32,48.99,48.21,48.35,1848800,48.35
2014-02-18,47.54,48.48,45.32,48.01,2860900,48.01
2014-02-10,46.5,48.21,46.07,47.04,2104900,47.04
2014-02-03,48.6,48.74,45.24,46.07,3163200,45.22
2014-01-27,51.03,51.61,48.21,48.54,2058000,47.65
2014-01-21,54.53,54.92,50.43,51.04,2003900,50.1
2014-01-13,55.58,55.98,53.3,54.1,1288500,53.11
2014-01-06,56.7,56.99,54.98,55.91,1161700,54.88
2013-12-30,56.78,57.4,56.11,56.47,1098800,55.43
2013-12-23,55.85,56.91,55.09,56.81,1254100,55.77
2013-12-16,56.26,56.72,54.78,55.83,1669100,54.8
2013-12-09,58.87,59.2,55.91,56.19,1401900,55.16
2013-12-02,60.17,60.71,58.51,58.87,1354000,57.79
2013-11-25,60.68,60.78,58.53,60.05,1057200,58.95
2013-11-18,61.62,61.67,59.78,60.89,1148500,59.77
2013-11-11,61.56,62.25,60.52,61.42,1165600,60.29
2013-11-04,60.21,61.92,59.28,61.74,1801500,60.6
2013-10-28,61.3,63.37,60.13,60.27,1738100,59.16
2013-10-21,63.24,64.65,60.08,61.27,1882000,59.29
2013-10-14,62.99,63.93,62.07,63.15,942900,61.11
2013-10-07,62.82,63.75,61.63,63.57,771900,61.52
2013-09-30,61.95,63.58,61.79,63.45,807600,61.4
2013-09-23,62.5,63.66,61.82,62.77,1104800,60.75
2013-09-16,65.13,65.62,62.54,62.61,947900,60.59
2013-09-09,64.48,65.56,64.2,64.41,913400,62.33
2013-09-03,64.79,64.81,63.05,64.33,1136900,62.25
2013-08-26,66.,66.34,63.92,64.03,807900,61.96
2013-08-19,65.94,66.28,64.28,65.84,806100,63.72
2013-08-12,67.46,68.32,65.56,66.04,1341400,63.91
2013-08-05,67.98,69.34,66.91,68.2,1283500,66.
2013-07-29,67.76,68.8,67.13,67.96,1090000,65.77
2013-07-22,72.75,73.,67.27,67.93,1224300,64.9
2013-07-15,72.14,72.78,70.25,72.65,1016700,69.41
2013-07-08,69.5,72.16,69.36,72.11,1376200,68.9
2013-07-01,69.06,69.5,67.62,69.25,655400,66.16
2013-06-24,66.33,68.99,64.89,68.79,1080200,65.72
2013-06-17,67.59,68.94,65.61,66.91,904400,63.93
2013-06-10,69.03,69.11,66.36,67.16,632800,64.17
2013-06-03,68.82,69.7,67.82,69.11,810100,66.03
2013-05-28,71.22,71.75,68.81,68.81,1020500,65.74
2013-05-20,72.15,73.19,69.67,70.27,682700,67.14
2013-05-13,70.,73.11,69.46,72.4,825700,69.17
2013-05-06,70.03,70.87,69.38,70.15,924400,67.02
2013-04-29,69.16,70.79,67.42,70.05,1196400,66.93
2013-04-22,65.55,70.09,64.98,68.64,1028500,64.75
2013-04-15,68.14,68.14,63.95,65.34,1298600,61.64
2013-04-08,68.7,70.23,68.13,68.78,843800,64.88
2013-04-01,69.71,69.9,67.08,68.7,993400,64.81
2013-03-25,68.73,70.16,67.72,69.56,801800,65.62
2013-03-18,69.4,69.68,67.07,68.54,962400,64.66
2013-03-11,67.69,70.86,67.02,70.24,1298000,66.26
2013-03-04,69.2,69.28,67.09,67.82,1325600,63.98
2013-02-25,72.2,72.49,68.3,69.32,1581200,65.39
2013-02-19,75.18,75.35,71.22,71.99,1603100,67.91
2013-02-11,74.57,76.08,73.8,74.75,1205100,70.51
2013-02-04,75.85,76.85,71.37,74.81,2032100,69.75
2013-01-28,74.97,76.42,74.06,76.29,883400,71.12
2013-01-22,72.84,74.86,72.19,74.66,1165000,69.61
2013-01-14,72.37,73.5,70.73,73.35,997700,68.38
2013-01-07,71.65,72.42,70.35,72.27,858000,67.38
2012-12-31,67.12,71.53,66.81,71.51,1097700,66.67
2012-12-24,69.08,69.4,66.49,67.23,655300,62.68
2012-12-17,67.74,70.26,67.5,69.26,1296000,64.57
2012-12-10,69.,69.13,66.76,67.4,744500,62.84
2012-12-03,69.17,69.61,68.14,68.93,1085300,64.26
2012-11-26,66.77,69.08,65.62,69.,1570300,64.33
2012-11-19,65.85,67.37,65.78,67.36,788100,62.8
2012-11-12,65.27,66.37,64.,65.09,1391900,60.68
2012-11-05,68.66,69.85,64.63,65.04,1641000,60.64
2012-10-31,69.96,70.81,68.81,68.86,1221900,64.2
2012-10-22,70.16,71.2,68.73,70.02,864400,64.46
2012-10-15,66.47,72.6,66.31,70.52,2259300,64.92
2012-10-08,65.43,66.86,65.17,66.58,911300,61.3
2012-10-01,66.56,67.1,64.63,65.85,1117900,60.62
2012-09-24,68.61,68.9,65.23,65.81,1334700,60.59
2012-09-17,68.84,73.5,66.44,69.24,1651100,63.75
2012-09-10,67.29,69.98,67.,69.04,1298500,63.56
2012-09-04,66.82,68.1,65.97,67.19,1092900,61.86
2012-08-27,66.96,67.45,65.7,67.02,865500,61.7
2012-08-20,68.63,68.82,65.86,66.69,932400,61.4
2012-08-13,68.1,68.7,67.17,68.52,998500,63.08
2012-08-06,66.88,68.64,66.6,68.15,1267300,62.74
2012-07-30,66.25,67.41,65.1,66.68,1612000,61.39
2012-07-23,64.88,67.68,63.45,67.19,1604800,61.05
2012-07-16,63.01,66.83,61.8,66.05,2017600,60.02
2012-07-09,58.46,63.49,58.27,63.35,1456200,57.56
2012-07-02,59.28,60.76,58.11,58.89,1004100,53.51
2012-06-25,57.06,59.68,55.83,59.13,1692400,53.73
2012-06-18,60.02,61.13,57.03,57.75,1202900,52.47
2012-06-11,60.59,60.98,58.31,60.58,1017600,55.05
2012-06-04,57.72,61.24,56.27,60.1,1457300,54.61
2012-05-29,60.91,61.75,56.89,57.74,1701900,52.47
2012-05-21,59.33,61.19,58.74,60.56,1288200,55.03
2012-05-14,62.15,62.18,58.94,59.15,1256700,53.75
2012-05-07,64.78,65.57,62.67,62.74,1377400,57.01
2012-04-30,67.84,69.19,64.77,64.9,1353300,58.97
2012-04-23,67.7,69.97,67.19,68.,1421300,61.79
2012-04-16,65.51,70.3,64.54,68.57,1609400,61.52
2012-04-09,64.82,66.32,63.7,65.26,1416700,58.55
2012-04-02,66.77,68.52,65.53,65.81,1181800,59.04
2012-03-26,69.67,70.01,65.61,66.75,1347800,59.89
2012-03-19,72.52,72.77,68.04,69.03,1444600,61.93
2012-03-12,70.01,72.8,68.52,72.43,1453400,64.98
2012-03-05,68.79,70.6,67.34,70.19,1437800,62.97
2012-02-27,66.79,69.97,66.27,68.86,1846500,61.78
2012-02-21,64.86,67.97,64.85,67.19,1605000,60.28
2012-02-13,63.21,64.97,61.63,64.78,1402400,58.12
2012-02-06,62.73,63.58,61.63,62.76,1621500,56.31
2012-01-30,61.95,64.,60.8,63.13,1740300,55.86
2012-01-23,61.71,64.07,60.39,62.76,1680800,55.53
2012-01-17,60.22,62.31,59.61,61.42,1841400,54.34
2012-01-09,56.22,60.29,55.51,59.87,1935400,52.97
2012-01-03,56.85,57.32,54.86,56.28,1155800,49.8
2011-12-27,56.45,56.9,55.23,55.26,978500,48.89
2011-12-19,54.33,56.99,52.98,56.67,1623300,50.14
2011-12-12,58.15,58.53,53.71,54.29,1574800,48.03
2011-12-05,61.16,61.75,57.8,59.03,1444200,52.23
2011-11-28,60.17,61.25,58.3,60.17,2236100,53.24
2011-11-21,61.64,61.76,58.,58.05,1348300,51.36
2011-11-14,64.92,65.66,62.08,62.79,1301400,55.56
2011-11-07,66.46,66.74,63.37,65.39,1427300,57.86
2011-10-31,67.37,67.63,62.86,65.59,1962900,58.03
2011-10-24,62.97,70.16,62.89,68.51,2438600,60.62
2011-10-17,59.87,64.56,57.71,62.82,2344000,54.88
2011-10-10,57.2,60.41,57.2,60.15,1577000,52.55
2011-10-03,54.31,57.08,51.16,55.92,2090800,48.85
2011-09-26,58.14,60.77,54.7,54.74,2094600,47.82
2011-09-19,61.86,63.91,56.42,57.66,2315800,50.37
2011-09-12,60.44,64.48,60.04,63.31,1697000,55.31
2011-09-06,59.67,64.75,59.22,61.66,1617100,53.87
2011-08-29,62.26,65.42,61.11,61.57,1932300,53.79
2011-08-22,60.27,61.68,57.92,61.49,1792400,53.72
2011-08-15,62.53,63.99,57.7,58.53,2239400,51.13
2011-08-08,60.01,62.66,56.4,61.81,3328900,54.
2011-08-01,68.95,69.17,58.57,62.24,3372000,54.37
2011-07-25,70.03,70.79,66.7,67.83,1880000,59.26
2011-07-18,70.12,73.15,68.93,70.79,2674400,61.06
2011-07-11,69.7,70.72,67.9,70.46,1561400,60.78
2011-07-05,70.51,72.15,69.85,70.71,1522500,60.99
2011-06-27,67.39,71.31,66.87,70.34,1928400,60.67
2011-06-20,66.97,69.99,66.25,67.71,2090700,58.4
2011-06-13,67.33,68.83,65.63,67.34,1931400,58.08
2011-06-06,71.53,71.98,68.06,68.22,1657700,58.84
2011-05-31,73.74,74.07,70.85,71.62,1904600,61.78
2011-05-23,70.63,73.44,70.08,72.85,1444900,62.84
2011-05-16,70.33,73.35,69.84,71.85,2085900,61.97
2011-05-09,70.43,72.02,68.64,70.74,1662800,61.02
2011-05-02,75.82,75.87,69.,69.77,2830600,60.18
2011-04-25,78.3,78.58,75.02,75.87,1504000,65.44
2011-04-18,73.83,78.63,73.07,78.,1967700,66.51
2011-04-11,78.66,79.99,74.13,74.99,1679200,63.94
2011-04-04,78.61,81.19,77.94,78.49,1612900,66.93
2011-03-28,77.57,80.2,77.07,78.03,2070600,66.53
2011-03-21,77.34,79.45,76.45,78.56,1780900,66.99
2011-03-14,73.54,76.74,70.97,75.81,2509500,64.64
2011-03-07,78.94,79.45,71.59,74.11,1639100,63.19
2011-02-28,77.41,80.15,76.06,78.73,2224000,67.13
2011-02-22,76.48,78.19,73.96,77.6,2204200,66.17
2011-02-14,69.83,76.43,69.83,75.62,2696800,64.48
2011-02-07,72.49,72.9,68.87,69.91,1984800,59.61
2011-01-31,70.3,74.15,69.38,71.67,2500500,60.37
2011-01-24,72.5,74.75,70.06,70.19,2297000,59.12
2011-01-18,74.8,75.7,72.11,73.37,2461800,61.8
2011-01-10,70.91,74.91,69.14,74.9,2929900,63.09
2011-01-03,68.,70.85,63.97,70.57,3312300,59.44
2010-12-27,64.82,67.03,64.,66.87,1171000,56.32
2010-12-20,64.06,65.26,63.41,65.02,1281700,54.76
2010-12-13,66.03,66.44,62.9,64.,2393900,53.91
2010-12-06,66.1,66.87,63.87,65.49,1840500,55.16
2010-11-29,64.97,67.34,63.37,66.23,2205700,55.78
2010-11-22,68.61,68.63,65.02,65.24,1356900,54.95
2010-11-15,71.11,71.15,66.62,68.93,1951700,58.06
2010-11-08,69.51,76.39,69.51,70.47,2870900,59.36
2010-11-01,67.33,70.,66.12,69.8,2176000,58.79
2010-10-25,70.75,70.79,65.32,66.16,2297300,55.72
