Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,89.14,89.81,88.95,89.47,1384600,89.47
2014-02-18,86.21,89.24,85.99,88.99,1953700,88.99
2014-02-10,85.24,86.25,83.99,86.06,1497100,86.06
2014-02-03,86.3,86.91,81.68,85.44,1784300,85.44
2014-01-27,90.58,91.03,85.83,86.56,1375500,86.56
2014-01-21,95.94,96.38,90.31,90.33,1123800,90.33
2014-01-13,94.07,96.67,92.95,95.11,1102000,95.11
2014-01-06,95.77,95.81,93.27,94.44,844500,94.44
2013-12-30,96.31,97.,94.87,95.22,551600,95.22
2013-12-23,95.15,96.48,94.8,96.32,404900,96.32
2013-12-16,90.06,94.62,89.76,94.56,1040900,94.56
2013-12-09,91.71,92.05,89.28,89.59,733700,89.59
2013-12-02,88.41,91.66,88.16,91.65,1355100,91.65
2013-11-25,93.48,93.89,90.45,90.74,738100,90.74
2013-11-18,93.34,93.88,90.67,93.41,538500,93.03
2013-11-11,92.27,93.89,91.16,93.3,747800,92.92
2013-11-04,91.36,92.29,90.04,92.24,690000,91.86
2013-10-28,90.76,92.65,90.61,91.26,820100,90.89
2013-10-21,89.28,92.08,89.09,90.95,949300,90.58
2013-10-14,89.7,90.9,85.1,88.93,1769900,88.57
2013-10-07,88.26,90.41,86.25,90.35,769800,89.98
2013-09-30,88.46,91.04,88.13,88.97,729700,88.61
2013-09-23,90.45,91.58,89.33,89.36,751500,89.
2013-09-16,90.51,92.87,89.39,90.65,881500,90.28
2013-09-09,87.83,89.78,87.64,88.99,656300,88.63
2013-09-03,85.83,88.36,84.94,87.6,571300,87.24
2013-08-26,87.48,87.8,84.8,85.05,550200,84.7
2013-08-19,87.16,87.53,85.82,87.09,608900,86.35
2013-08-12,87.55,88.7,86.8,87.15,737700,86.41
2013-08-05,86.77,88.31,85.89,87.92,739000,87.18
2013-07-29,84.7,87.93,84.69,87.01,862100,86.27
2013-07-22,85.,87.05,83.92,84.67,1142900,83.95
2013-07-15,81.,85.65,79.85,85.31,1234600,84.59
2013-07-08,78.55,81.39,78.01,81.,881700,80.31
2013-07-01,78.49,78.69,75.96,78.,1088600,77.34
2013-06-24,76.62,78.54,75.58,77.66,1440600,77.
2013-06-17,79.37,80.75,76.06,77.37,1002300,76.72
2013-06-10,79.72,79.76,77.09,78.6,812000,77.93
2013-06-03,78.38,79.99,77.,79.52,1285700,78.85
2013-05-28,80.21,80.45,77.79,78.25,1236200,77.59
2013-05-20,76.92,80.36,76.02,79.19,1548400,78.17
2013-05-13,73.75,77.21,73.42,77.21,831200,76.22
2013-05-06,71.02,74.1,70.8,74.,772400,73.05
2013-04-29,69.45,71.79,67.98,71.16,1231200,70.25
2013-04-22,68.18,70.66,67.45,69.1,1285200,68.21
