Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,46.9,47.34,46.81,46.95,8379400,46.95
2014-02-18,46.49,47.59,46.01,46.96,9012700,46.96
2014-02-10,45.3,47.32,45.26,46.71,9178000,46.71
2014-02-03,45.42,45.96,44.,45.6,10205900,45.6
2014-01-27,43.51,46.14,42.54,45.51,18107500,45.51
2014-01-21,45.86,46.85,43.3,43.41,22268800,43.41
2014-01-13,42.47,43.47,41.82,43.07,10815700,43.07
2014-01-06,43.8,44.,42.47,42.71,8226700,42.71
2013-12-30,44.4,44.7,43.62,43.67,6495100,43.67
2013-12-23,44.04,44.99,43.87,44.6,5388700,44.6
2013-12-16,41.62,44.57,41.27,43.78,13103300,43.47
2013-12-09,39.29,42.,39.27,41.52,12311900,41.22
2013-12-02,39.38,40.35,38.42,39.27,9589500,38.99
2013-11-25,39.71,39.71,38.6,39.06,5552600,38.78
2013-11-18,40.16,40.31,39.11,39.66,6099900,39.38
2013-11-11,39.41,40.3,39.08,40.23,6278900,39.94
2013-11-04,39.09,39.67,38.16,39.67,6520100,39.39
2013-10-28,39.61,39.96,38.84,38.95,6289800,38.67
2013-10-21,41.19,41.74,39.02,39.52,8986900,39.24
2013-10-14,40.69,41.63,40.32,41.31,5676700,41.02
2013-10-07,39.41,41.1,38.08,41.07,8246200,40.78
2013-09-30,38.51,40.02,38.04,39.99,9405400,39.7
2013-09-23,39.57,40.24,38.89,39.02,12052100,38.74
2013-09-16,40.27,41.08,39.35,39.7,9792000,39.1
2013-09-09,38.55,40.24,38.54,39.87,9115800,39.27
2013-09-03,37.88,38.82,37.12,38.56,6068200,37.98
2013-08-26,38.67,39.2,37.22,37.4,6319200,36.84
2013-08-19,36.78,38.96,36.51,38.74,8523300,38.15
2013-08-12,37.61,38.28,36.63,36.89,6803700,36.33
2013-08-05,36.27,38.5,35.82,38.04,8722100,37.47
2013-07-29,34.7,36.25,34.64,36.22,5856900,35.67
2013-07-22,34.61,35.1,34.03,34.7,6314000,34.18
2013-07-15,34.23,35.09,33.82,34.67,5444700,34.15
2013-07-08,32.9,34.37,32.73,34.12,4721100,33.6
2013-07-01,32.41,32.87,32.05,32.69,3674200,32.2
2013-06-24,32.2,32.71,31.65,32.17,7174400,31.68
2013-06-17,34.38,35.15,32.19,32.63,7617000,31.82
2013-06-10,34.54,34.78,33.54,34.01,5130100,33.17
2013-06-03,34.37,34.72,33.29,34.35,6000700,33.5
2013-05-28,35.46,35.65,34.45,34.46,5318300,33.61
2013-05-20,35.82,36.,34.31,35.08,6902100,34.21
2013-05-13,34.34,35.89,34.1,35.82,6753500,34.93
2013-05-06,33.95,35.06,33.79,34.46,6697300,33.61
2013-04-29,33.4,34.29,32.8,33.96,8781900,33.12
2013-04-22,30.68,34.23,30.43,33.42,11014400,32.59
2013-04-15,31.48,31.52,29.81,30.55,10547500,29.79
2013-04-08,30.83,32.13,30.33,31.75,6293800,30.96
2013-04-01,31.86,31.86,30.64,30.9,7112900,30.13
2013-03-25,32.79,33.1,31.39,31.84,10606000,31.05
2013-03-18,33.38,33.58,32.46,32.78,8896000,31.65
2013-03-11,32.75,33.81,32.44,33.81,5271200,32.64
2013-03-04,31.71,32.9,31.56,32.77,4979500,31.64
2013-02-25,31.61,31.91,30.63,31.81,6499600,30.71
2013-02-19,32.15,32.5,30.66,31.38,7994100,30.3
2013-02-11,32.4,33.18,32.14,32.16,6613700,31.05
2013-02-04,32.43,32.69,31.77,32.42,6991700,31.3
2013-01-28,34.63,34.83,32.,32.59,13966400,31.47
2013-01-22,33.84,34.73,33.66,34.58,9004300,33.39
2013-01-14,33.83,34.29,33.49,33.8,7369700,32.64
2013-01-07,33.16,33.98,33.02,33.86,7145600,32.69
2012-12-31,31.61,33.66,31.5,33.63,7022000,32.47
2012-12-24,31.99,32.59,31.55,31.62,5243300,30.53
2012-12-17,31.48,32.95,31.39,31.99,9355400,30.89
2012-12-10,30.26,31.64,30.23,31.42,7261800,30.04
2012-12-03,30.29,30.45,29.03,30.3,7005900,28.97
2012-11-26,29.22,30.3,29.02,30.19,6106100,28.86
2012-11-19,28.26,29.44,28.21,29.38,5513100,28.09
2012-11-12,29.36,29.46,27.45,27.74,9436300,26.52
2012-11-05,29.48,30.79,29.24,29.36,8298000,28.07
2012-10-31,29.68,30.49,29.03,29.75,9223000,28.44
2012-10-22,29.63,30.87,28.5,29.57,11042100,28.27
2012-10-15,28.07,30.48,28.06,29.86,10733900,28.55
2012-10-08,29.05,29.24,28.01,28.08,7081300,26.84
2012-10-01,29.19,29.71,28.62,29.2,7870600,27.92
2012-09-24,30.26,30.44,28.86,28.96,8657700,27.69
2012-09-17,32.,32.08,30.21,30.26,14150200,28.62
2012-09-10,30.29,32.48,29.96,32.25,17841700,30.5
2012-09-04,29.27,30.35,28.45,30.33,11999300,28.68
2012-08-27,29.97,29.97,29.13,29.31,6892000,27.72
2012-08-20,30.02,30.54,29.53,29.89,6643500,28.27
2012-08-13,29.6,30.27,29.3,30.16,5834500,28.52
2012-08-06,29.97,30.38,29.56,29.73,6153000,28.12
2012-07-30,29.1,30.11,28.65,29.83,10351800,28.21
2012-07-23,30.31,30.59,28.76,29.08,13746300,27.5
2012-07-16,30.29,31.38,29.75,30.92,8716800,29.24
2012-07-09,31.37,31.51,29.35,30.32,7559200,28.67
2012-07-02,31.56,31.88,31.01,31.51,5128500,29.8
2012-06-25,32.43,32.5,29.89,31.5,15316600,29.79
2012-06-18,32.8,34.1,32.53,32.82,16454600,30.72
2012-06-11,32.55,33.1,31.3,32.89,8794700,30.79
2012-06-04,30.36,32.51,30.07,32.11,8197700,30.06
2012-05-29,31.8,32.05,30.13,30.36,9056900,28.42
2012-05-21,29.4,31.77,29.27,31.3,10365600,29.3
2012-05-14,31.72,32.,29.32,29.45,8878800,27.57
2012-05-07,32.34,32.72,31.58,32.15,8849900,30.09
2012-04-30,34.59,34.59,32.18,32.33,9663700,30.26
2012-04-23,34.61,36.08,34.35,34.73,11890700,32.51
2012-04-16,33.42,35.42,33.19,35.31,10181500,33.05
2012-04-09,32.82,33.71,31.53,33.2,13361500,31.08
2012-04-02,34.56,35.05,33.2,33.42,11641400,31.28
2012-03-26,35.12,36.,33.51,34.64,9213800,32.43
2012-03-19,35.08,35.68,34.13,35.02,6105900,32.55
2012-03-12,33.98,35.72,33.56,35.3,6649600,32.81
2012-03-05,34.04,34.44,32.24,34.06,7166600,31.66
2012-02-27,33.51,34.8,33.25,34.2,8627200,31.79
2012-02-21,34.86,35.1,33.4,33.82,6613200,31.43
2012-02-13,34.15,35.,33.2,35.,6620700,32.53
2012-02-06,33.61,34.57,33.41,34.,6665100,31.6
2012-01-30,33.,34.45,32.69,34.18,8926800,31.77
2012-01-23,33.44,33.92,32.37,33.46,7638700,31.1
2012-01-17,32.72,33.4,32.38,33.39,8416200,31.03
2012-01-09,30.46,32.57,30.22,32.02,9739700,29.76
2012-01-03,29.28,30.4,29.27,30.32,8550600,28.18
2011-12-27,28.79,29.11,28.,28.76,6130200,26.73
2011-12-19,26.46,28.89,25.62,28.84,9873500,26.57
2011-12-12,26.66,26.82,25.23,26.36,9119000,24.29
2011-12-05,28.29,28.5,25.94,27.1,7599800,24.97
2011-11-28,25.75,28.12,25.38,27.75,7893800,25.57
2011-11-21,25.41,25.46,24.42,24.47,8334700,22.55
2011-11-14,28.09,28.29,25.8,25.95,9972500,23.91
2011-11-07,28.07,28.72,27.,28.19,9221400,25.97
2011-10-31,28.74,28.8,26.1,28.18,11986900,25.96
2011-10-24,27.38,29.56,26.01,29.25,14313300,26.95
2011-10-17,27.68,28.,25.69,27.24,13790800,25.1
2011-10-10,25.59,27.73,25.57,27.68,10398400,25.5
2011-10-03,22.29,25.75,20.61,24.76,16810400,22.81
2011-09-26,23.85,26.5,22.46,22.46,16091500,20.69
2011-09-19,27.56,28.09,22.5,23.53,14345000,21.47
2011-09-12,25.3,28.5,25.19,28.3,9751200,25.82
2011-09-06,25.8,27.18,25.47,25.77,11041800,23.51
2011-08-29,27.31,29.19,26.46,26.71,10329900,24.37
2011-08-22,27.01,27.1,25.42,26.82,12869000,24.47
2011-08-15,29.72,30.08,26.2,26.26,12149600,23.96
2011-08-08,28.61,30.15,26.69,29.43,18728400,26.85
2011-08-01,35.74,36.19,29.27,30.22,14834500,27.57
2011-07-25,35.05,36.9,34.62,34.87,12449000,31.81
2011-07-18,34.72,35.97,34.,35.58,6177400,32.46
2011-07-11,35.79,35.8,33.66,34.95,12302000,31.89
2011-07-05,36.3,37.3,35.87,36.38,6300900,33.19
2011-06-27,35.07,36.43,34.61,36.32,7782400,33.14
2011-06-20,34.47,36.4,34.39,35.23,8326900,31.91
2011-06-13,34.96,35.78,33.97,34.59,11302900,31.33
2011-06-06,34.84,35.52,34.77,35.07,10393100,31.77
2011-05-31,36.21,36.5,34.79,35.2,10280900,31.89
2011-05-23,35.19,36.53,34.87,35.6,8500300,32.25
2011-05-16,38.09,38.86,35.95,36.01,10560500,32.62
2011-05-09,39.6,41.05,38.25,38.37,7556800,34.76
2011-05-02,41.09,42.23,39.11,39.72,10026300,35.98
2011-04-25,39.32,41.4,38.9,40.99,9892400,37.13
2011-04-18,37.31,39.5,36.43,39.48,7995100,35.76
2011-04-11,38.33,38.54,36.08,37.78,6147200,34.22
2011-04-04,37.99,39.,37.85,38.52,5479300,34.89
2011-03-28,37.09,38.25,36.8,37.91,6418800,34.34
2011-03-21,36.8,37.5,36.,37.15,6561500,33.52
2011-03-14,36.39,37.1,34.65,35.85,8738200,32.34
2011-03-07,37.73,38.48,36.2,36.79,7733000,33.19
2011-02-28,36.6,38.,35.98,37.52,8808800,33.85
2011-02-22,37.8,38.15,34.85,36.32,10405400,32.77
2011-02-14,37.96,39.,37.77,38.54,5379100,34.77
2011-02-07,36.95,38.66,36.95,38.38,7116900,34.63
2011-01-31,34.95,37.5,34.95,37.01,8643500,33.39
2011-01-24,34.59,36.08,34.52,35.06,7957400,31.63
2011-01-18,35.95,36.17,34.12,34.49,9353600,31.12
2011-01-10,34.91,35.95,34.61,35.93,6181600,32.42
2011-01-03,34.49,35.5,34.41,34.93,7990100,31.51
2010-12-27,34.22,34.5,34.,34.14,3700300,30.8
2010-12-20,34.14,34.5,33.78,34.41,5078900,30.91
2010-12-13,34.13,34.47,33.58,33.95,7059600,30.5
2010-12-06,33.1,34.17,33.1,34.07,7222100,30.6
2010-11-29,30.93,33.44,30.65,33.36,8116700,29.97
2010-11-22,31.05,31.68,30.57,31.29,5264500,28.11
2010-11-15,31.39,31.79,30.28,31.71,6977400,28.48
2010-11-08,31.98,32.5,31.01,31.3,7277400,28.12
2010-11-01,31.09,32.97,30.69,32.5,8133000,29.19
2010-10-25,30.61,31.9,30.54,30.84,11306800,27.7
2010-10-18,29.29,30.86,29.05,30.2,8957300,27.13
2010-10-11,29.99,30.08,28.97,29.43,8329800,26.44
2010-10-04,27.75,30.16,27.38,30.03,9470800,26.97
2010-09-27,28.12,28.35,27.1,27.88,7951700,25.04
2010-09-20,26.75,28.09,26.63,28.07,7952700,25.08
2010-09-13,26.29,26.77,26.02,26.72,8430500,23.87
2010-09-07,26.2,26.29,25.37,25.99,7532900,23.22
2010-08-30,24.58,26.48,23.92,26.47,8431800,23.65
2010-08-23,24.58,24.77,22.55,24.72,14011600,22.09
2010-08-16,25.05,25.93,24.21,24.43,7954200,21.83
2010-08-09,25.6,26.23,24.34,25.16,10345000,22.48
2010-08-02,27.94,28.5,24.7,25.44,21031900,22.73
2010-07-26,26.83,28.28,26.67,27.33,8649200,24.42
2010-07-19,25.24,26.99,24.47,26.93,8872600,24.06
2010-07-12,25.79,27.25,25.08,25.17,12326200,22.49
2010-07-06,23.37,25.96,22.75,25.95,10689100,23.18
2010-06-28,25.47,25.68,22.42,22.97,12801000,20.52
2010-06-21,27.39,27.78,24.89,25.33,10036400,22.5
2010-06-14,27.04,27.09,25.82,27.,9256700,23.98
2010-06-07,25.03,26.75,24.09,26.72,11765100,23.73
2010-06-01,26.46,26.8,24.75,24.84,15320200,22.06
2010-05-24,26.22,28.1,24.34,26.91,15256500,23.9
2010-05-17,27.4,27.99,25.05,26.47,16740300,23.51
2010-05-10,27.04,29.85,26.81,27.34,16855100,24.28
2010-05-03,31.11,31.61,23.4,25.5,22575900,22.65
2010-04-26,31.25,32.05,29.99,30.83,12543000,27.38
2010-04-19,30.39,31.19,29.27,31.16,9692700,27.67
2010-04-12,30.7,31.53,30.24,30.54,7850100,27.12
2010-04-05,30.28,31.46,30.25,30.78,7810800,27.34
2010-03-29,30.03,30.43,29.27,30.31,8258100,26.92
2010-03-22,28.59,30.76,28.4,30.06,11454500,26.56
2010-03-15,29.74,30.62,28.95,28.95,11169400,25.58
2010-03-08,29.95,30.22,28.61,29.84,8147100,26.37
2010-03-01,28.43,30.34,28.33,30.,10115500,26.51
2010-02-22,29.4,29.61,27.88,28.31,8788600,25.02
2010-02-16,28.03,29.62,27.86,29.23,9417900,25.83
2010-02-08,26.52,28.13,25.86,27.79,13192600,24.56
2010-02-01,27.52,28.66,25.57,26.52,18379400,23.44
2010-01-25,28.19,28.75,27.04,27.09,9562700,23.94
2010-01-19,29.72,30.72,27.74,27.76,10020100,24.53
2010-01-11,31.64,31.64,29.75,29.99,8353700,26.5
2010-01-04,28.2,31.66,27.8,31.15,15148700,27.53
2009-12-28,28.1,28.88,27.63,27.63,6026000,24.42
2009-12-21,26.58,28.45,26.44,28.01,6609800,24.62
2009-12-14,26.91,27.61,26.11,26.22,9024000,23.05
2009-12-07,27.88,28.47,26.07,26.65,10572000,23.43
2009-11-30,27.64,28.65,27.17,27.48,8324400,24.16
2009-11-23,28.28,28.76,27.05,27.56,7205600,24.23
2009-11-16,28.71,29.5,27.58,27.93,9978500,24.55
2009-11-09,25.07,29.04,24.94,28.47,13481400,25.03
2009-11-02,23.75,25.08,23.14,24.8,10801300,21.8
2009-10-26,25.21,26.15,23.42,23.48,12751300,20.64
2009-10-19,26.46,27.39,24.29,25.15,15241200,22.11
2009-10-12,26.25,27.27,25.59,26.39,10984400,23.2
2009-10-05,23.86,26.45,23.75,26.15,13486800,22.99
2009-09-28,25.24,27.,23.25,23.63,13412900,20.77
2009-09-21,26.24,27.24,25.12,25.3,11036500,22.11
2009-09-14,23.37,26.79,23.26,26.75,19322400,23.38
2009-09-08,21.8,23.75,21.4,23.59,15457300,20.61
2009-08-31,21.52,21.64,19.75,21.31,13913600,18.62
2009-08-24,22.68,23.,21.16,21.89,12896500,19.13
2009-08-17,21.28,22.69,20.57,22.63,14548100,19.78
2009-08-10,22.83,22.98,21.55,22.13,11727900,19.34
2009-08-03,21.58,23.75,21.33,23.05,16802300,20.14
2009-07-27,20.25,22.43,19.78,21.17,19444300,18.5
2009-07-20,17.31,20.24,17.25,20.19,18773000,17.64
2009-07-13,14.64,17.11,14.45,16.99,12623700,14.85
2009-07-06,14.97,15.29,14.22,14.66,11261400,12.81
2009-06-29,16.04,16.37,15.12,15.12,10247000,13.21
2009-06-22,16.,16.1,14.77,16.05,14827100,14.03
2009-06-15,17.11,17.12,15.53,16.31,15115800,14.12
2009-06-08,17.49,18.11,16.8,17.34,16279400,15.01
2009-06-01,18.1,18.94,17.1,17.56,22500600,15.2
2009-05-26,16.98,17.68,16.42,17.68,21387400,15.3
2009-05-18,16.72,18.99,16.57,17.28,17413200,14.96
2009-05-11,17.12,17.75,15.18,16.47,28953600,14.26
2009-05-04,15.83,17.5,14.76,17.5,48314900,15.15
2009-04-27,12.74,16.19,12.35,15.7,23672800,13.59
2009-04-20,12.22,13.15,10.96,12.99,22486400,11.24
2009-04-13,10.89,12.68,10.5,12.6,19877000,10.91
2009-04-06,10.82,11.23,9.95,10.94,21058100,9.47
2009-03-30,8.76,11.03,8.14,11.,24003000,9.52
2009-03-23,8.,9.39,7.74,8.96,19744400,7.76
2009-03-16,7.94,8.44,7.55,7.68,21217600,6.54
2009-03-09,7.12,7.71,5.89,7.56,35917600,6.44
2009-03-02,7.07,8.48,6.3,7.11,37091300,6.06
2009-02-23,8.,8.23,7.11,7.16,24018700,6.1
2009-02-17,9.29,9.31,7.81,8.1,24513700,6.9
2009-02-09,10.79,11.23,9.5,9.53,21692200,8.12
2009-02-02,11.57,13.15,10.18,10.88,30595300,9.27
2009-01-26,14.88,15.12,11.5,11.59,27566900,9.87
2009-01-20,14.91,15.,13.23,14.33,20014800,12.21
2009-01-12,15.85,16.1,14.35,15.03,16915500,12.8
2009-01-05,15.53,16.68,15.01,15.81,24835000,13.47
2008-12-29,16.88,17.,14.75,15.41,41649100,13.13
2008-12-22,20.47,20.47,19.05,19.34,6448900,16.11
2008-12-15,19.92,21.2,19.51,20.08,12094900,16.73
2008-12-08,19.73,20.66,18.5,19.71,14530800,16.42
2008-12-01,18.73,19.29,17.46,19.,15560200,15.83
2008-11-24,18.07,19.02,17.48,18.55,14218800,15.46
2008-11-17,20.97,21.34,16.41,17.38,18693900,14.48
2008-11-10,24.68,24.89,20.67,21.15,14535500,17.62
2008-11-03,26.61,27.28,23.77,24.23,9647500,20.19
2008-10-27,24.49,27.17,22.5,26.68,13512400,22.23
2008-10-20,24.26,26.46,21.72,23.86,16325700,19.88
2008-10-13,26.06,27.9,22.,23.96,16250200,19.96
2008-10-06,29.28,29.97,23.5,24.4,17029200,20.33
2008-09-29,33.33,33.78,29.59,29.89,12183900,24.91
2008-09-22,37.4,37.48,33.54,33.97,8056900,28.31
2008-09-15,35.,39.99,33.41,37.56,13558300,30.92
2008-09-08,34.37,36.31,34.22,36.25,9221400,29.84
2008-09-02,34.61,35.25,33.22,33.84,7233900,27.86
2008-08-25,34.17,34.69,33.3,34.13,4216600,28.1
2008-08-18,35.08,35.08,33.61,34.12,5104200,28.09
2008-08-11,33.6,35.99,33.44,34.98,8349400,28.8
2008-08-04,32.76,33.72,32.,33.63,6995600,27.69
2008-07-28,33.21,33.96,32.25,32.73,6375000,26.95
2008-07-21,34.16,35.05,32.85,33.,8232900,27.17
2008-07-14,32.12,34.77,30.84,33.95,10752800,27.95
2008-07-07,34.31,35.36,31.2,31.7,14004400,26.1
2008-06-30,34.81,35.33,33.3,34.1,8691500,28.07
2008-06-23,37.82,38.02,34.65,34.83,8389000,28.67
2008-06-16,39.4,39.4,37.39,37.58,6777600,30.59
2008-06-09,38.78,39.62,38.19,39.05,7049400,31.78
2008-06-02,40.31,40.31,38.78,38.78,7101500,31.56
2008-05-27,40.4,41.32,39.99,40.4,6561100,32.88
2008-05-19,42.98,42.98,40.32,40.42,6614500,32.9
2008-05-12,41.26,43.43,41.15,42.88,7317400,34.9
2008-05-05,40.78,41.47,40.32,41.23,5398300,33.56
2008-04-28,40.73,41.43,39.53,40.79,5650200,33.2
2008-04-21,39.99,40.9,38.82,40.86,5629900,33.25
2008-04-14,38.33,40.26,37.64,39.98,5640800,32.54
2008-04-07,39.09,39.5,38.07,38.51,6069400,31.34
2008-03-31,36.67,39.17,36.55,38.85,6029400,31.62
2008-03-24,36.86,38.53,36.44,36.66,6465800,29.84
2008-03-17,36.05,38.26,36.,36.48,8142100,29.36
2008-03-10,36.18,38.05,35.22,37.,7313900,29.78
2008-03-03,37.68,38.54,36.02,36.18,7218300,29.12
2008-02-25,39.19,39.21,37.5,37.69,7760800,30.33
2008-02-19,39.14,39.58,37.93,38.75,5925800,31.19
2008-02-11,38.74,39.2,37.52,38.62,6490400,31.08
2008-02-04,40.,40.,37.41,38.5,6249300,30.99
2008-01-28,36.98,40.04,36.3,39.89,8623900,32.1
2008-01-22,33.03,36.9,33.01,36.31,10164900,29.22
2008-01-14,36.57,37.12,34.34,34.94,8088700,28.12
2008-01-07,36.59,38.12,35.89,36.24,9168600,29.17
2007-12-31,40.,40.07,36.98,36.99,6635100,29.77
2007-12-24,41.34,41.56,39.8,40.09,3654800,32.27
2007-12-17,43.22,43.22,40.6,41.25,6710000,32.86
2007-12-10,42.37,45.5,41.13,43.11,7604700,34.34
2007-12-03,41.54,42.99,40.96,42.74,4311800,34.05
2007-11-26,40.26,42.33,39.25,41.94,6014300,33.41
2007-11-19,39.58,40.56,39.2,40.15,5283200,31.98
2007-11-12,41.45,42.1,39.93,40.21,6440100,32.03
2007-11-05,43.82,44.85,41.75,41.81,5941100,33.3
2007-10-29,44.6,45.24,43.44,43.97,6000400,35.03
2007-10-22,43.05,44.95,42.7,44.53,5237100,35.47
2007-10-15,46.06,47.43,43.75,43.78,6630100,34.87
2007-10-08,44.48,47.31,42.9,46.5,6865200,37.04
2007-10-01,43.09,44.98,43.,44.67,5380200,35.58
2007-09-24,43.61,44.28,42.64,43.06,5376700,34.3
2007-09-17,42.,44.64,41.98,43.64,5061900,34.43
2007-09-10,41.62,42.55,40.7,41.98,3981900,33.12
