Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,51.05,51.21,50.5,51.01,1278500,51.01
2014-02-18,49.08,51.24,48.54,51.01,1770200,51.01
2014-02-10,48.18,49.12,48.,48.38,1030300,48.38
2014-02-03,49.48,49.61,47.05,48.26,1273700,48.26
2014-01-27,50.25,50.9,48.76,49.44,1298200,49.44
2014-01-21,51.37,51.7,50.07,50.1,1097800,50.1
2014-01-13,52.05,52.8,50.72,50.96,1253000,50.96
2014-01-06,52.57,52.85,51.18,52.12,1545500,52.12
2013-12-30,54.28,54.83,52.83,53.01,1323400,52.46
2013-12-23,52.,54.89,51.45,54.33,2134400,53.76
2013-12-16,51.74,53.,49.35,51.09,4950100,50.56
2013-12-09,52.43,52.68,50.69,51.63,1284800,51.09
2013-12-02,53.19,53.42,51.81,52.48,1189900,51.93
2013-11-25,54.06,54.08,53.06,53.33,797900,52.77
2013-11-18,53.52,53.99,52.39,53.87,1142000,53.31
2013-11-11,52.12,53.88,51.43,53.5,1095900,52.94
2013-11-04,51.57,53.22,51.52,52.16,1077100,51.61
2013-10-28,51.79,52.7,51.13,51.48,1088800,50.94
2013-10-21,51.97,52.23,50.85,51.7,1216100,51.16
2013-10-14,50.18,52.74,49.68,52.07,3625500,51.53
2013-10-07,46.37,51.17,45.68,50.5,5112300,49.97
2013-09-30,46.3,46.9,45.43,46.72,2195700,45.68
2013-09-23,45.81,46.75,44.78,46.7,2173200,45.66
2013-09-16,48.81,49.85,45.72,45.78,2556800,44.76
2013-09-09,47.51,48.79,47.51,48.37,901400,47.29
2013-09-03,46.74,47.9,45.71,47.45,1419200,46.39
2013-08-26,47.16,47.38,46.,46.21,1040100,45.18
2013-08-19,47.92,48.47,46.62,47.01,1747400,45.96
2013-08-12,49.38,49.55,47.6,47.91,1126300,46.84
2013-08-05,49.7,50.15,49.11,49.56,991100,48.45
2013-07-29,49.,49.97,48.81,49.88,1157900,48.77
2013-07-22,49.46,49.69,47.76,48.93,1367800,47.84
2013-07-15,50.3,51.18,49.39,49.49,1266800,48.39
2013-07-08,51.1,52.24,50.3,50.43,1383200,49.3
2013-07-01,50.73,51.46,50.34,51.33,1094000,49.65
2013-06-24,49.48,50.73,48.43,50.48,2546300,48.82
2013-06-17,52.94,53.65,48.78,50.12,2524700,48.48
2013-06-10,54.56,55.25,52.08,52.54,1337600,50.82
2013-06-03,51.91,54.33,51.9,54.23,1057000,52.45
2013-05-28,53.25,53.6,51.79,51.8,854300,50.1
2013-05-20,53.44,53.77,52.07,52.83,869700,51.1
2013-05-13,53.48,54.21,52.71,53.43,1085300,51.68
2013-05-06,52.75,53.71,52.66,53.56,751400,51.8
2013-04-29,51.15,53.3,50.7,52.82,1595100,51.09
2013-04-22,49.,51.4,48.48,50.99,1604900,49.32
2013-04-15,50.12,50.47,48.25,48.89,1291600,47.29
2013-04-08,49.99,50.55,48.66,50.26,2161200,48.61
2013-04-01,51.74,52.,49.93,50.54,2388900,48.4
2013-03-25,50.21,51.86,49.9,51.68,1802900,49.49
2013-03-18,48.95,49.87,48.32,49.62,1592100,47.52
2013-03-11,47.18,49.53,47.06,49.37,1698000,47.28
2013-03-04,46.18,47.7,46.16,47.33,1624100,45.32
2013-02-25,46.21,47.12,44.81,46.18,2785700,44.22
2013-02-19,45.3,46.65,44.11,46.23,3979700,44.27
2013-02-11,47.31,47.5,45.06,45.15,1776300,43.24
2013-02-04,46.75,47.82,46.51,47.36,2249600,45.35
2013-01-28,45.86,47.18,45.64,46.84,1819300,44.86
2013-01-22,45.07,46.14,44.73,45.87,1689600,43.93
2013-01-14,44.95,45.78,44.58,45.38,1387200,43.46
2013-01-07,46.49,46.49,44.46,44.92,1826700,43.02
2012-12-31,44.25,46.58,44.16,46.46,1976100,44.01
2012-12-24,45.19,45.19,44.12,44.44,1267200,42.1
2012-12-17,46.47,47.48,44.54,45.13,2346200,42.75
2012-12-10,46.67,47.14,45.26,46.46,2457600,44.01
2012-12-03,53.14,53.32,46.38,46.66,3536900,44.2
2012-11-26,53.24,54.19,52.1,52.88,1062300,50.09
2012-11-19,51.39,53.62,51.15,53.53,880500,50.71
2012-11-12,51.71,51.8,50.,50.92,890200,48.23
2012-11-05,52.45,54.21,50.95,51.61,1345700,48.89
2012-10-31,52.9,53.62,52.12,52.63,1137900,49.85
2012-10-22,53.82,53.87,51.79,52.54,1275400,49.77
2012-10-15,54.52,55.9,53.35,53.83,1140000,50.99
2012-10-08,55.01,55.5,54.28,54.35,946300,51.48
2012-10-01,55.89,56.18,54.79,55.09,1244400,52.18
2012-09-24,56.28,57.07,55.02,55.75,1405400,52.34
2012-09-17,54.06,57.93,53.88,57.21,2163300,53.71
2012-09-10,53.39,55.13,53.39,54.04,1536000,50.73
2012-09-04,51.82,53.79,51.3,53.49,1095300,50.22
2012-08-27,52.55,52.76,51.86,51.95,971100,48.77
2012-08-20,53.74,53.83,51.29,52.35,1252200,49.15
2012-08-13,52.86,54.09,52.43,53.87,1169400,50.57
2012-08-06,52.48,53.86,52.39,52.85,1255400,49.61
2012-07-30,51.99,52.94,50.68,52.45,1281800,49.24
2012-07-23,50.41,52.3,48.78,51.99,1714400,48.81
2012-07-16,50.22,52.51,50.18,51.1,1239200,47.97
2012-07-09,50.8,51.48,49.53,50.22,1496500,47.15
2012-07-02,50.86,52.41,50.42,50.79,1359100,47.68
2012-06-25,49.26,50.68,48.71,50.63,2326900,47.07
2012-06-18,51.21,51.98,48.94,50.04,2671300,46.52
2012-06-11,50.32,52.06,48.87,51.46,2383800,47.84
2012-06-04,49.38,50.7,48.39,50.02,2295000,46.51
2012-05-29,53.34,53.83,49.5,49.87,2077900,46.37
2012-05-21,51.21,54.19,50.79,53.06,1632400,49.33
2012-05-14,50.14,55.84,49.76,51.13,3629800,47.54
2012-05-07,50.37,51.54,49.61,50.63,1787000,47.07
2012-04-30,50.33,51.85,49.94,50.62,2052200,47.06
2012-04-23,49.72,51.18,48.95,50.44,2206400,46.9
2012-04-16,50.5,50.74,49.43,49.93,1846400,46.42
2012-04-09,49.3,50.51,48.49,50.28,1933400,46.75
2012-04-02,50.43,51.65,49.3,50.,2347600,46.49
2012-03-26,51.64,52.15,49.67,51.16,2529200,47.16
2012-03-19,52.55,53.,49.83,50.92,2277400,46.94
2012-03-12,51.45,53.2,51.27,52.51,1655500,48.4
2012-03-05,50.22,51.68,49.38,51.46,1553300,47.43
2012-02-27,49.17,51.59,48.52,49.76,2058400,45.87
2012-02-21,51.25,51.9,48.95,49.19,2644400,45.34
2012-02-13,49.67,51.31,48.41,50.9,1843300,46.92
2012-02-06,48.23,49.87,48.17,49.45,1815100,45.58
2012-01-30,45.76,48.53,45.6,48.52,1503900,44.72
2012-01-23,46.64,47.,45.68,46.13,1615900,42.52
2012-01-17,44.94,47.26,44.81,46.75,2058800,43.09
2012-01-09,44.57,44.88,43.8,44.56,1637600,41.07
2012-01-03,46.1,46.3,44.02,44.34,2153700,40.87
2011-12-27,45.7,46.49,45.05,45.58,1054300,41.62
2011-12-19,43.9,45.9,43.06,45.7,2033200,41.73
2011-12-12,43.04,44.43,42.72,43.68,3417600,39.88
2011-12-05,48.19,48.23,41.65,43.21,6035000,39.45
2011-11-28,45.57,48.2,45.3,47.53,1504900,43.4
2011-11-21,45.98,45.98,44.53,44.6,1565300,40.72
2011-11-14,47.8,48.33,46.01,46.47,2042800,42.43
2011-11-07,47.72,47.76,46.18,47.41,1197000,43.29
