Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.54,72.65,71.83,71.86,1109500,71.86
2014-02-18,71.98,72.95,71.34,72.29,1637400,72.29
2014-02-10,67.69,71.86,67.26,71.73,1408500,71.73
2014-02-03,68.23,69.06,66.78,67.89,1381400,67.89
2014-01-27,65.59,68.34,65.49,68.22,1201700,68.22
2014-01-21,66.3,66.94,65.47,65.47,1027500,65.47
2014-01-13,66.48,66.67,65.32,65.85,792700,65.85
2014-01-06,65.15,67.34,64.92,66.67,1146400,66.67
2013-12-30,66.28,66.65,64.84,65.13,1366500,65.13
2013-12-23,66.83,67.02,65.89,66.36,642600,66.36
2013-12-16,65.5,67.42,64.52,66.61,1544100,66.61
2013-12-09,67.54,67.59,65.21,65.36,1129100,65.36
2013-12-02,66.86,67.65,66.05,67.61,901100,66.94
2013-11-25,68.86,69.01,66.66,66.74,785300,66.08
2013-11-18,69.74,69.79,68.56,68.86,1022100,68.18
2013-11-11,69.44,69.66,67.41,69.49,966600,68.8
2013-11-04,69.68,70.64,68.01,69.34,1411000,68.65
2013-10-28,69.56,70.31,68.19,69.44,1182000,68.75
2013-10-21,67.16,69.47,66.58,69.44,1285600,68.75
2013-10-14,66.47,67.72,65.56,67.21,1115500,66.54
2013-10-07,64.75,66.96,64.45,66.83,1109100,66.17
2013-09-30,65.66,66.4,64.98,65.07,760500,64.42
2013-09-23,67.13,68.15,65.8,66.06,1131600,65.4
2013-09-16,66.59,68.65,65.75,67.18,1039100,66.51
2013-09-09,65.56,67.02,65.27,65.82,1636100,65.17
2013-09-03,67.28,67.63,64.92,65.56,1483500,64.27
2013-08-26,67.34,67.66,66.47,66.87,771500,65.56
2013-08-19,67.35,68.02,66.47,67.38,706600,66.06
2013-08-12,70.35,70.6,67.19,67.59,761900,66.26
2013-08-05,71.39,71.39,70.24,70.8,845200,69.41
2013-07-29,69.84,71.77,69.75,71.64,898300,70.23
2013-07-22,70.27,70.94,68.99,70.15,707200,68.77
2013-07-15,68.87,70.77,68.79,70.27,757700,68.89
2013-07-08,65.98,69.02,65.81,68.99,1071600,67.64
2013-07-01,67.6,67.66,64.71,65.77,662900,64.48
