Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,75.32,75.57,75.,75.12,7023600,75.12
2014-02-18,71.9,75.73,71.88,75.02,7194300,75.02
2014-02-10,70.37,72.98,69.87,71.89,3063700,71.89
2014-02-03,68.59,71.22,67.81,70.28,3081700,70.28
2014-01-27,69.97,70.39,67.8,69.43,4010700,69.43
2014-01-21,72.5,73.44,69.15,69.35,4460400,69.35
2014-01-13,71.56,72.59,70.4,71.65,4105400,71.65
2014-01-06,69.14,72.41,68.72,72.09,4238800,72.09
2013-12-30,67.96,69.31,67.66,69.04,2614800,69.04
2013-12-23,66.75,67.91,66.45,67.82,1727500,67.82
2013-12-16,66.75,67.28,64.79,66.28,5807700,66.28
2013-12-09,66.85,68.86,66.6,66.63,3957100,66.63
2013-12-02,66.13,67.56,64.62,66.44,3629100,66.44
2013-11-25,65.21,66.62,64.69,66.11,2365100,66.11
2013-11-18,64.79,65.77,62.24,64.95,4366400,64.95
2013-11-11,63.9,64.9,63.16,64.88,3182300,64.88
2013-11-04,63.99,65.33,61.64,63.89,3818400,63.89
2013-10-28,62.8,63.9,62.09,63.67,2411900,63.67
2013-10-21,61.75,63.41,61.36,62.81,2392400,62.81
2013-10-14,60.34,62.49,60.26,61.65,3239600,61.65
2013-10-07,58.8,60.74,57.4,60.65,3361100,60.65
2013-09-30,59.73,60.59,58.76,59.36,2919300,59.36
2013-09-23,62.83,63.28,59.41,59.96,4220400,59.96
2013-09-16,62.55,63.99,61.55,63.41,5213600,63.41
2013-09-09,58.93,61.82,58.59,61.77,3769800,61.77
2013-09-03,58.91,59.31,57.92,58.67,3738500,58.67
2013-08-26,58.,58.76,57.05,58.18,4630300,58.18
2013-08-19,59.62,60.,57.46,57.88,5232900,57.88
2013-08-12,62.14,62.55,59.35,59.57,3235900,59.57
2013-08-05,61.15,63.54,60.75,62.29,3406700,62.29
2013-07-29,63.38,64.1,59.8,61.41,4096400,61.41
2013-07-22,66.49,67.85,62.96,63.74,2246800,63.74
2013-07-15,64.85,65.88,64.4,65.2,2670100,65.2
2013-07-08,64.04,65.2,61.97,64.91,3609000,64.91
2013-07-01,62.25,63.84,61.6,63.64,2659300,63.64
2013-06-24,61.56,61.97,58.46,61.64,5023200,61.64
2013-06-17,62.52,63.77,59.97,61.73,4854100,61.73
2013-06-10,62.21,62.31,59.56,62.,3072600,62.
2013-06-03,61.29,62.34,60.5,62.2,3760300,62.2
2013-05-28,64.43,64.62,61.,61.19,3454600,61.19
2013-05-20,65.25,65.27,62.95,63.74,3246900,63.74
2013-05-13,63.61,65.81,63.5,65.21,3721200,65.21
2013-05-06,57.92,64.16,57.73,63.8,5333700,63.8
2013-04-29,56.35,58.45,56.18,57.89,2911200,57.89
2013-04-22,55.11,56.77,55.07,56.33,3606500,56.33
2013-04-15,54.79,55.75,53.5,55.18,5112500,55.18
2013-04-08,55.26,56.31,55.06,56.05,4188000,56.05
2013-04-01,56.66,57.78,54.89,55.4,5051400,55.4
2013-03-25,55.98,57.64,55.41,56.59,5296400,56.59
2013-03-18,54.28,55.61,53.72,55.37,5976000,55.37
2013-03-11,49.89,56.48,49.82,54.99,8898500,54.99
2013-03-04,48.67,50.11,48.42,50.08,7910700,50.08
2013-02-25,49.02,49.31,47.98,48.55,6556700,48.55
2013-02-19,49.35,49.58,47.71,49.09,6846800,49.09
2013-02-11,53.09,53.44,49.05,49.19,7939400,49.19
2013-02-04,51.48,53.33,50.98,53.06,4209700,53.06
2013-01-28,53.61,53.9,51.11,51.74,4768200,51.74
2013-01-22,53.51,53.96,53.13,53.65,3242800,53.65
2013-01-14,52.4,53.47,52.34,53.36,3488000,53.36
2013-01-07,50.83,52.93,49.82,52.4,4632700,52.4
2012-12-31,49.47,52.,49.07,51.14,3107100,51.14
2012-12-24,50.3,50.52,49.05,49.42,2752700,49.42
2012-12-17,49.84,52.,49.84,50.27,6981400,50.27
2012-12-10,50.21,50.7,49.43,49.82,4128100,49.82
2012-12-03,49.92,50.35,49.13,50.2,3837800,50.2
2012-11-26,49.29,50.06,48.45,49.7,4674800,49.7
2012-11-19,49.37,49.94,48.73,49.49,3329600,49.49
2012-11-12,48.93,49.77,48.,48.99,5338700,48.99
2012-11-05,50.17,51.01,48.51,48.83,5291800,48.83
2012-10-31,51.49,51.73,50.35,50.35,3430600,50.35
2012-10-22,51.25,51.5,50.4,51.27,3271600,51.27
2012-10-15,49.75,52.36,49.72,51.35,3528100,51.35
2012-10-08,52.81,53.03,49.66,49.84,5443600,49.84
2012-10-01,52.56,54.08,51.7,53.12,3888200,53.12
2012-09-24,52.32,55.17,51.89,52.44,5721400,52.44
2012-09-17,54.28,54.5,52.09,52.31,5772200,52.31
2012-09-10,53.63,54.61,52.77,54.13,2660600,54.13
2012-09-04,51.78,53.65,51.77,53.29,3896400,53.29
2012-08-27,52.6,52.98,52.03,52.09,3476300,52.09
