Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,71.5,72.11,71.09,71.11,2522500,71.11
2014-02-18,71.76,72.67,70.72,71.49,3620100,71.49
2014-02-10,69.87,71.6,69.52,71.45,2653500,71.45
2014-02-03,70.68,71.75,69.18,69.99,3695700,69.22
2014-01-27,68.3,70.68,68.27,70.62,3796000,69.85
2014-01-21,67.88,69.33,67.77,68.26,3230900,67.51
2014-01-13,68.04,68.2,67.05,67.57,3401400,66.83
2014-01-06,68.,69.5,67.45,68.59,3107900,67.84
2013-12-30,68.8,69.24,67.71,67.92,2394700,67.18
2013-12-23,69.93,69.93,68.63,68.95,2246700,68.2
2013-12-16,69.1,69.87,67.92,69.5,3314100,68.74
2013-12-09,70.19,70.19,67.92,68.19,2741800,67.44
2013-12-02,70.13,70.54,69.04,70.19,2317900,69.42
2013-11-25,71.17,71.32,69.74,69.96,2343500,69.19
2013-11-18,71.82,71.85,69.8,71.13,2922200,70.35
2013-11-11,72.45,72.89,70.03,71.8,4536200,71.01
2013-11-04,72.68,73.53,71.1,72.43,5161500,70.86
2013-10-28,72.31,73.06,70.94,72.51,2551500,70.94
2013-10-21,70.,72.49,69.56,72.37,2679300,70.8
2013-10-14,68.6,70.19,67.56,70.08,2839200,68.56
2013-10-07,66.27,68.87,66.15,68.85,2511000,67.36
2013-09-30,66.66,67.55,66.05,66.43,2229100,64.99
2013-09-23,66.97,68.2,66.69,66.9,2394100,65.45
2013-09-16,67.49,68.64,65.76,67.36,4048200,65.9
2013-09-09,65.5,66.01,64.75,65.55,2473900,64.13
2013-09-03,65.89,66.08,64.16,65.45,2434300,64.03
2013-08-26,66.41,66.59,65.33,65.6,1923700,64.18
2013-08-19,66.95,67.59,65.55,66.35,2936000,64.91
2013-08-12,70.75,70.94,66.7,67.05,4225900,65.6
2013-08-05,72.,72.01,70.55,70.77,4972800,68.47
2013-07-29,70.62,71.91,70.59,71.75,2114400,69.42
2013-07-22,70.74,71.44,70.08,70.79,1733000,68.49
2013-07-15,70.06,71.37,70.,70.88,2373500,68.58
2013-07-08,67.3,70.25,67.1,70.15,2523800,67.87
2013-07-01,67.9,68.05,66.5,67.27,3135600,65.09
2013-06-24,65.19,68.19,64.95,67.5,2912500,65.31
