Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,66.05,68.83,66.04,67.5,2738200,67.5
2014-02-18,66.69,67.09,65.11,66.13,1417300,66.13
2014-02-10,63.73,68.84,63.15,66.37,2986600,66.37
2014-02-03,64.94,64.95,62.52,63.62,1280300,63.62
2014-01-27,64.11,65.35,63.5,64.93,901200,64.93
2014-01-21,65.39,66.76,63.96,64.2,1614900,64.2
2014-01-13,64.7,65.24,64.28,64.83,1352300,64.83
2014-01-06,65.08,66.15,64.39,64.74,1535000,64.74
2013-12-30,63.49,65.16,63.05,64.47,1380400,64.47
2013-12-23,63.,63.74,62.97,63.36,819200,63.36
2013-12-16,60.83,62.76,59.63,62.64,2088200,62.64
2013-12-09,58.48,62.9,58.47,60.3,2752700,60.3
2013-12-02,59.44,59.67,56.85,58.26,2370100,58.26
2013-11-25,59.02,62.14,59.,59.55,3895900,59.55
2013-11-18,59.15,60.38,56.18,56.54,2464900,56.54
2013-11-11,56.6,59.35,56.34,58.89,2470100,58.89
2013-11-04,56.65,56.98,52.75,56.3,3351300,56.3
2013-10-28,55.47,56.78,55.45,56.57,1276400,56.57
2013-10-21,57.67,57.67,55.23,55.44,1357100,55.44
2013-10-14,57.59,58.75,57.13,58.06,1055900,58.06
2013-10-07,57.77,58.41,57.33,57.95,974400,57.95
2013-09-30,56.66,58.95,56.26,58.37,1061500,58.37
2013-09-23,58.03,58.29,56.94,56.98,928900,56.98
2013-09-16,56.1,59.44,56.01,58.47,2123400,58.47
2013-09-09,55.24,56.46,55.05,55.75,1106700,55.75
2013-09-03,108.73,112.15,107.81,110.59,1696500,55.29
2013-08-26,110.36,111.98,107.11,107.51,1319500,53.76
2013-08-19,112.,112.74,109.28,110.36,1697400,55.18
2013-08-12,114.45,115.66,111.77,112.1,1315200,56.05
2013-08-05,117.57,118.45,112.43,114.35,2418600,57.17
2013-07-29,117.23,118.15,115.75,117.5,1229000,58.75
2013-07-22,117.68,119.76,116.71,117.72,1276500,58.86
2013-07-15,121.66,122.03,116.04,117.96,1662200,58.98
2013-07-08,116.12,121.71,115.08,121.23,2594600,60.62
2013-07-01,121.63,122.46,112.31,114.56,4335600,57.28
2013-06-24,122.95,124.37,120.11,120.8,1318400,60.4
2013-06-17,130.,131.,122.56,123.5,1362500,61.75
2013-06-10,126.47,130.8,126.,128.83,1219200,64.42
2013-06-03,124.3,127.04,122.57,126.42,1221700,63.21
2013-05-28,125.67,127.85,123.98,124.07,1186400,62.03
2013-05-20,128.15,128.38,124.51,125.12,946900,62.56
2013-05-13,129.91,131.18,127.45,128.14,1237200,64.07
2013-05-06,117.62,131.33,117.32,131.19,3177500,65.6
2013-04-29,120.04,120.74,117.15,117.32,2710000,58.66
2013-04-22,122.85,123.52,119.59,120.19,1295100,60.1
2013-04-15,126.54,127.47,121.23,122.62,1075600,61.31
2013-04-08,125.22,127.35,123.73,126.91,1071800,63.46
2013-04-01,118.64,128.74,118.02,125.38,2328100,62.69
2013-03-25,118.12,118.76,117.7,118.59,1339100,59.29
2013-03-18,117.72,119.53,117.07,117.77,1137900,58.88
2013-03-11,118.72,119.03,116.83,118.2,1508200,59.1
2013-03-04,120.,124.29,118.16,118.72,2111700,59.36
2013-02-25,116.54,120.26,114.6,120.03,1734400,60.01
2013-02-19,114.49,117.28,113.04,116.05,1919600,58.03
2013-02-11,118.94,119.99,116.01,117.46,1289600,58.73
2013-02-04,116.3,119.85,114.67,118.92,1438200,59.46
2013-01-28,114.79,116.77,113.18,116.72,1228800,58.36
2013-01-22,113.13,114.81,112.6,114.53,1071700,57.26
2013-01-14,109.04,113.25,108.83,113.23,1346000,56.62
2013-01-07,109.52,110.68,107.99,109.2,1554500,54.6
2012-12-31,109.83,110.62,108.,109.84,1905900,54.92
2012-12-24,111.89,111.89,108.6,109.76,1026600,54.88
2012-12-17,109.55,112.79,109.01,111.93,1994200,55.97
2012-12-10,106.25,110.13,105.55,109.07,2019000,54.53
2012-12-03,108.13,108.8,104.46,106.49,3888800,53.24
2012-11-26,111.26,112.61,106.34,108.,4445200,54.
2012-11-19,113.75,114.93,109.25,111.43,2698500,55.72
2012-11-12,112.6,114.29,111.6,113.02,1467000,56.51
2012-11-05,111.64,116.5,111.05,112.43,2099100,56.22
2012-10-31,112.23,114.85,111.47,111.5,1718400,55.75
2012-10-22,110.87,112.84,110.09,111.02,1539600,55.51
2012-10-15,111.02,113.48,108.64,110.72,1870400,55.36
2012-10-08,108.35,111.34,107.01,110.42,1561600,55.21
2012-10-01,104.22,109.31,102.86,108.39,1929700,54.19
2012-09-24,101.11,103.79,100.11,103.61,1420300,51.81
2012-09-17,98.31,101.65,97.6,101.5,1830600,50.75
2012-09-10,99.83,100.39,96.75,98.45,1802500,49.22
2012-09-04,97.15,103.97,96.23,100.58,2049100,50.29
2012-08-27,97.1,97.98,96.28,97.27,839400,48.63
2012-08-20,97.81,98.34,95.17,97.03,1056600,48.51
2012-08-13,96.52,98.85,96.02,97.63,1115400,48.81
2012-08-06,99.34,99.5,95.26,96.68,1669600,48.34
2012-07-30,98.49,100.52,95.96,99.29,1432700,49.65
2012-07-23,96.15,99.02,94.21,98.61,1289000,49.31
2012-07-16,99.,100.19,96.72,97.2,1220200,48.6
2012-07-09,96.72,99.35,96.45,98.98,1077500,49.49
2012-07-02,98.64,99.1,96.02,96.63,1305300,48.31
2012-06-25,93.92,98.21,93.48,98.21,1428300,49.1
2012-06-18,89.12,94.79,88.82,94.6,2482200,47.3
2012-06-11,86.02,89.48,84.66,89.38,1611900,44.69
2012-06-04,80.33,86.02,80.03,85.6,2074000,42.8
2012-05-29,82.38,83.04,80.01,80.23,1837700,40.12
2012-05-21,80.36,85.95,77.81,81.76,5668000,40.88
2012-05-14,82.44,83.41,80.55,80.81,1887500,40.4
2012-05-07,84.55,85.94,82.25,82.89,2393700,41.44
2012-04-30,89.16,90.08,84.34,84.38,2035500,42.19
2012-04-23,87.17,89.51,85.59,89.17,998300,44.58
2012-04-16,85.99,87.67,85.19,87.62,1020800,43.81
2012-04-09,86.11,87.,84.35,85.77,1375500,42.88
2012-04-02,90.,90.1,86.01,86.99,1836700,43.49
2012-03-26,87.,90.42,86.85,90.17,1117800,45.08
2012-03-19,88.81,88.89,86.27,86.6,862300,43.3
2012-03-12,86.2,88.82,85.31,88.59,1274600,44.29
2012-03-05,86.43,88.99,85.6,86.22,1600200,43.11
2012-02-27,86.35,87.05,85.81,86.73,1242800,43.37
2012-02-21,85.93,87.,85.05,86.8,1630900,43.4
2012-02-13,84.28,88.9,83.31,85.72,1927300,42.86
2012-02-06,83.53,84.65,82.68,83.97,1391800,41.99
2012-01-30,80.58,84.4,80.,83.92,1178400,41.96
2012-01-23,79.82,83.13,79.78,81.15,1209000,40.58
2012-01-17,78.86,81.28,78.21,79.77,1151400,39.88
2012-01-09,78.18,79.05,77.29,78.45,1014800,39.22
2012-01-03,77.31,78.54,76.6,77.82,854700,38.91
2011-12-27,76.45,76.91,75.11,75.81,504000,37.9
2011-12-19,74.21,76.5,72.87,76.49,929000,38.24
2011-12-12,74.18,74.98,72.46,74.15,1268000,37.08
2011-12-05,77.86,78.14,73.8,74.61,1329400,37.31
2011-11-28,74.08,77.74,73.86,76.81,2045000,38.4
2011-11-21,71.98,73.83,71.23,72.85,1954700,36.42
2011-11-14,73.97,74.8,70.84,73.37,1823700,36.69
2011-11-07,73.79,75.16,72.31,74.34,1560500,37.17
2011-10-31,72.41,74.94,66.91,73.97,2687200,36.99
2011-10-24,69.02,72.92,66.56,72.7,2680600,36.35
2011-10-17,62.41,69.45,61.49,69.21,3665900,34.6
2011-10-10,62.91,64.98,61.93,63.06,2178200,31.53
2011-10-03,62.2,64.56,59.14,61.69,3227300,30.84
2011-09-26,68.28,72.83,59.61,62.67,4912500,31.33
2011-09-19,72.09,74.76,67.57,67.94,2709400,33.97
2011-09-12,70.53,74.48,70.17,72.95,2364800,36.47
2011-09-06,69.52,75.03,69.2,71.36,2031500,35.68
2011-08-29,72.5,75.34,71.21,71.36,1720000,35.68
2011-08-22,70.89,72.13,67.72,71.94,2474800,35.97
2011-08-15,73.23,75.36,69.26,69.64,2449500,34.82
2011-08-08,76.29,78.02,70.37,72.77,4234500,36.38
2011-08-01,83.88,83.91,76.62,78.28,4810000,39.14
2011-07-25,85.42,85.72,82.19,83.54,1571500,41.77
2011-07-18,86.96,87.78,85.34,85.89,1042700,42.94
2011-07-11,87.97,88.27,86.61,87.1,874000,43.55
2011-07-05,87.51,89.76,87.51,88.67,1212000,44.33
2011-06-27,83.78,87.47,83.38,87.2,1440400,43.6
2011-06-20,84.05,86.17,82.9,83.96,2068200,41.98
2011-06-13,83.19,85.1,82.95,84.07,1346400,42.03
2011-06-06,83.41,84.45,82.51,83.03,1221400,41.51
2011-05-31,84.28,84.54,83.04,83.7,1730900,41.85
2011-05-23,84.92,84.96,82.87,83.62,1428200,41.81
2011-05-16,85.4,87.09,84.62,85.62,1156600,42.81
2011-05-09,84.29,86.83,83.35,85.59,2152700,42.79
2011-05-02,88.48,89.58,83.7,84.36,3448600,42.18
2011-04-25,87.68,88.99,87.2,88.09,1741800,44.04
2011-04-18,86.36,88.17,85.33,87.72,1784100,43.86
2011-04-11,86.48,87.77,85.9,87.04,1415900,43.52
2011-04-04,86.94,88.08,86.21,86.67,1392900,43.33
2011-03-28,83.29,87.35,82.34,86.53,1513900,43.26
2011-03-21,80.51,83.71,79.19,83.18,1538800,41.59
2011-03-14,81.44,81.91,79.,79.77,1849300,39.88
2011-03-07,83.96,84.45,80.36,81.78,1640500,40.89
2011-02-28,78.76,84.64,78.4,83.76,1931500,41.88
2011-02-22,78.88,79.5,77.04,78.58,1336700,39.29
2011-02-14,78.47,80.42,77.5,79.67,1901900,39.83
2011-02-07,76.64,79.7,75.44,78.51,1523500,39.26
2011-01-31,74.3,78.28,73.57,76.56,1466700,38.28
2011-01-24,70.75,76.1,70.35,74.28,1792700,37.14
2011-01-18,71.01,71.52,70.26,70.7,1918600,35.35
2011-01-10,68.93,71.31,68.85,71.21,1283200,35.6
2011-01-03,69.88,70.42,68.14,69.22,1801300,34.61
2010-12-27,69.42,70.02,68.81,69.49,934600,34.74
2010-12-20,70.33,70.46,68.86,69.42,1268700,34.71
2010-12-13,71.38,72.27,69.13,70.01,2088800,35.01
2010-12-06,74.09,74.18,71.24,71.32,1729200,35.66
2010-11-29,72.21,74.61,71.51,74.09,1329400,37.04
2010-11-22,73.02,73.68,72.03,72.43,1494300,36.22
2010-11-15,72.87,73.5,70.9,73.1,2148600,36.55
2010-11-08,71.68,73.67,71.12,72.89,1583200,36.44
2010-11-01,72.07,73.79,66.68,71.77,1993000,35.88
2010-10-25,72.03,72.36,70.41,71.75,1355900,35.88
2010-10-18,72.2,72.96,70.69,71.65,2069800,35.83
2010-10-11,72.13,72.5,70.5,72.3,2194600,36.15
2010-10-04,68.87,72.32,67.88,72.14,2633600,36.07
2010-09-27,67.69,69.97,67.32,68.87,2647700,34.44
2010-09-20,65.22,68.45,65.07,67.63,1936800,33.81
2010-09-13,65.35,65.61,63.06,64.93,2095200,32.47
2010-09-07,64.22,65.38,63.81,65.04,1248100,32.52
2010-08-30,65.34,65.8,63.43,64.3,2342300,32.15
2010-08-23,64.11,65.54,63.65,65.44,1837000,32.72
2010-08-16,63.68,65.13,63.12,63.82,1364000,31.91
2010-08-09,63.68,64.28,62.21,64.08,1771300,32.04
2010-08-02,58.2,63.93,57.34,63.62,3605800,31.81
2010-07-26,57.27,62.86,57.,57.32,4108200,28.66
2010-07-19,60.27,60.5,56.58,56.83,2807500,28.42
2010-07-12,60.01,62.06,59.9,60.,2065800,30.
2010-07-06,61.79,61.79,59.67,60.13,3731200,30.07
2010-06-28,63.59,64.02,60.67,61.1,1735700,30.55
2010-06-21,66.78,66.96,62.4,63.32,1722600,31.66
2010-06-14,64.99,67.05,64.84,66.63,2154600,33.31
2010-06-07,63.1,64.72,62.14,64.72,2153500,32.36
2010-06-01,62.8,65.65,62.67,62.96,3436300,31.48
2010-05-24,60.8,63.7,58.95,63.43,3308800,31.72
2010-05-17,63.29,64.75,59.35,61.28,2152500,30.64
2010-05-10,66.51,66.51,62.37,63.05,2087000,31.52
2010-05-03,62.51,63.91,60.29,61.15,2511000,30.58
2010-04-26,65.02,65.5,60.95,62.43,2993200,31.22
2010-04-19,64.46,65.72,64.07,64.84,1562800,32.42
2010-04-12,65.94,66.81,64.06,64.5,1595000,32.25
2010-04-05,63.87,66.15,63.59,66.06,1532600,33.03
2010-03-29,62.8,64.12,62.77,63.64,966600,31.82
2010-03-22,63.35,64.54,62.32,62.62,1071100,31.31
2010-03-15,62.36,63.85,61.93,63.37,1314500,31.68
2010-03-08,64.15,64.55,60.76,62.37,2824800,31.18
2010-03-01,61.85,64.47,61.66,64.15,2001800,32.08
2010-02-22,61.57,62.04,60.73,61.61,1582500,30.81
2010-02-16,59.29,61.88,58.73,61.61,1867600,30.81
2010-02-08,60.33,61.5,58.56,58.98,2064000,29.49
2010-02-01,60.08,61.73,59.37,60.43,1610000,30.22
2010-01-25,60.93,61.32,59.64,59.76,1445400,29.88
2010-01-19,61.68,63.41,60.55,60.73,1641700,30.36
2010-01-11,61.,62.48,60.56,61.66,1290200,30.83
2010-01-04,59.12,61.21,58.51,61.,1744000,30.5
2009-12-28,59.61,59.79,58.67,58.74,660100,29.37
2009-12-21,59.6,60.37,58.93,59.7,1118600,29.85
2009-12-14,59.92,61.97,59.43,59.6,1738000,29.8
2009-12-07,60.22,60.49,56.4,59.54,2921900,29.77
2009-11-30,59.25,61.95,58.27,60.13,1860700,30.07
2009-11-23,58.94,60.49,58.76,59.33,1120500,29.67
2009-11-16,58.32,59.21,57.46,58.95,1175800,29.48
2009-11-09,58.33,58.97,57.67,58.23,1201400,29.11
2009-11-02,53.24,59.93,52.99,57.97,3199100,28.99
2009-10-26,54.48,54.78,52.71,53.03,2133000,26.51
2009-10-19,56.31,56.31,54.02,54.36,1713400,27.18
2009-10-12,55.92,57.34,55.64,56.29,1397900,28.15
2009-10-05,55.68,57.23,55.15,55.9,1549600,27.95
2009-09-28,56.03,57.19,55.43,55.72,1813200,27.86
2009-09-21,55.16,57.03,55.08,55.99,1439700,28.
2009-09-14,54.19,56.48,53.42,55.57,2100100,27.78
2009-09-08,53.3,54.71,52.84,54.23,1605200,27.11
2009-08-31,51.8,53.48,50.88,53.24,1540700,26.62
2009-08-24,52.57,52.89,51.32,51.72,985000,25.86
2009-08-17,51.11,52.47,50.77,52.38,952800,26.19
2009-08-10,51.79,53.18,50.8,51.38,1174000,25.69
2009-08-03,50.05,52.61,49.4,51.91,2478000,25.95
2009-07-27,49.48,50.57,48.74,49.7,1722100,24.85
2009-07-20,48.42,49.86,47.24,49.76,1850300,24.88
2009-07-13,49.43,50.32,47.38,48.1,2239800,24.05
2009-07-06,49.15,52.57,48.92,49.25,2138400,24.62
2009-06-29,49.55,51.08,48.72,49.,1751900,24.5
2009-06-22,47.68,49.79,46.89,49.56,1541400,24.78
2009-06-15,46.85,49.64,45.48,48.13,1716400,24.07
2009-06-08,46.67,47.3,45.54,47.13,1259300,23.57
2009-06-01,45.67,47.99,45.28,46.77,2142500,23.39
2009-05-26,44.42,45.95,43.92,45.11,1796900,22.56
2009-05-18,44.71,46.82,43.79,44.82,2223400,22.41
2009-05-11,46.83,47.55,44.42,44.52,2068800,22.26
2009-05-04,46.7,48.13,45.18,47.25,1909900,23.62
2009-04-27,44.82,47.82,44.,45.89,2659900,22.94
2009-04-20,42.71,44.31,42.21,43.71,2043200,21.85
2009-04-13,45.18,45.47,43.07,43.15,1971600,21.58
2009-04-06,44.36,46.34,44.16,45.24,1520700,22.62
2009-03-30,43.01,46.14,42.87,44.6,1878600,22.3
2009-03-23,42.93,45.38,41.21,43.61,3225400,21.81
2009-03-16,46.69,47.25,41.45,42.34,2752700,21.17
2009-03-09,45.45,46.15,42.82,45.97,3089600,22.99
2009-03-02,44.3,48.33,44.3,45.72,3409000,22.86
2009-02-23,51.14,52.02,46.81,46.92,3372600,23.46
2009-02-17,51.42,52.24,50.03,50.89,1672400,25.44
2009-02-09,46.96,53.32,45.,52.59,4462000,26.3
2009-02-02,46.61,49.01,46.38,46.93,2843600,23.47
2009-01-26,47.18,49.98,46.51,47.,2190700,23.5
2009-01-20,48.28,50.,46.13,47.02,1584900,23.51
2009-01-12,47.1,48.44,46.03,48.17,2047100,24.08
2009-01-05,48.98,49.12,45.93,47.28,1962600,23.64
2008-12-29,48.73,49.82,48.04,49.1,1356300,24.55
2008-12-22,49.94,50.42,47.67,48.78,839000,24.39
2008-12-15,48.1,51.94,47.7,50.02,2464000,25.01
2008-12-08,48.22,49.83,46.69,47.89,1964300,23.94
2008-12-01,49.12,50.,44.62,47.5,2415200,23.75
2008-11-24,45.31,50.44,44.94,50.25,1885800,25.12
2008-11-17,50.98,53.24,40.96,44.75,3820300,22.38
2008-11-10,52.9,53.88,51.26,51.36,2630900,25.68
2008-11-03,54.9,54.9,49.79,52.13,2557600,26.07
2008-10-27,48.,56.75,46.34,56.75,2328300,28.38
2008-10-20,49.89,52.76,46.72,48.77,2096100,24.39
2008-10-13,45.75,55.43,42.76,50.34,2523000,25.17
2008-10-06,52.9,53.14,42.55,46.94,4778400,23.47
2008-09-29,55.75,57.41,53.27,53.51,2042900,26.75
2008-09-22,56.26,57.76,54.02,56.39,1748300,28.19
2008-09-15,57.88,58.77,54.68,57.27,2365700,28.64
2008-09-08,57.5,58.92,55.96,58.62,1277500,29.31
2008-09-02,57.65,58.59,56.,56.65,1163500,28.33
2008-08-25,58.24,58.34,57.24,57.39,870000,28.69
2008-08-18,59.6,60.01,55.33,58.46,1067600,29.23
2008-08-11,59.2,60.2,58.5,60.01,1106500,30.
2008-08-04,56.32,59.61,54.84,59.33,2585300,29.67
2008-07-28,56.03,57.42,55.22,56.14,10088900,28.07
2008-07-21,53.52,56.5,52.47,55.96,2369200,27.98
2008-07-14,53.71,54.64,52.61,53.14,1912400,26.57
2008-07-07,52.71,56.89,52.36,53.5,2607300,26.75
2008-06-30,53.87,54.15,52.24,52.75,1114800,26.38
2008-06-23,52.01,54.35,51.65,53.86,1238800,26.93
2008-06-16,50.17,51.95,49.2,51.75,1261200,25.88
2008-06-09,50.42,50.47,49.05,50.47,1406600,25.24
2008-06-02,52.02,52.96,50.39,50.42,1166000,25.21
2008-05-27,51.43,52.42,51.13,51.88,587500,25.94
2008-05-19,52.,52.74,51.1,51.39,662100,25.69
2008-05-12,51.8,52.,50.,51.83,1173500,25.92
2008-05-05,51.9,53.57,51.22,51.87,1461600,25.93
2008-04-28,50.25,54.86,49.77,52.23,2009600,26.11
2008-04-21,50.43,50.8,49.18,49.9,1496600,24.95
2008-04-14,49.78,51.53,48.71,50.93,908000,25.47
2008-04-07,48.,50.,47.65,49.65,1396300,24.83
2008-03-31,47.9,48.83,47.52,48.1,1555600,24.05
2008-03-24,45.16,49.69,43.97,47.98,2408000,23.99
2008-03-17,43.31,45.66,41.86,45.26,2105100,22.63
2008-03-10,45.83,46.7,43.3,43.87,3952700,21.93
2008-03-03,48.94,49.28,45.85,46.03,2745200,23.01
2008-02-25,50.9,51.31,49.38,49.63,1804000,24.82
2008-02-19,51.12,51.22,50.,51.01,1821700,25.5
2008-02-11,52.28,55.28,48.94,50.99,4366000,25.5
2008-02-04,53.88,54.65,52.14,52.6,930800,26.3
2008-01-28,52.5,55.,52.4,54.27,1042000,27.14
2008-01-22,53.75,55.18,52.06,52.17,1511200,26.08
2008-01-14,59.08,60.23,53.83,55.52,2045700,27.76
2008-01-07,54.77,59.89,54.77,59.08,2012200,29.54
2007-12-31,55.89,57.17,54.74,54.93,1417200,27.47
2007-12-24,56.72,57.82,55.94,56.01,466300,28.
