Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,55.86,56.59,55.68,55.75,3135800,55.75
2014-02-18,55.4,56.68,54.68,55.29,2537400,55.29
2014-02-10,53.27,55.16,53.,55.16,1809400,55.16
2014-02-03,54.45,55.22,53.25,54.02,2345100,53.39
2014-01-27,53.97,54.5,53.01,54.41,2480700,53.78
2014-01-21,54.,54.62,53.6,53.65,2228900,53.02
2014-01-13,54.2,54.33,53.54,53.96,1676400,53.33
2014-01-06,53.4,54.76,53.11,54.33,2285300,53.7
2013-12-30,55.1,55.6,52.85,53.45,2585500,52.83
2013-12-23,54.98,55.56,54.61,55.05,1526900,54.41
2013-12-16,54.82,55.5,54.28,54.77,2477000,54.13
2013-12-09,55.75,55.85,54.17,54.33,1806800,53.7
2013-12-02,55.21,55.87,54.7,55.85,1629500,55.2
2013-11-25,56.01,56.27,55.,55.21,1630700,54.57
2013-11-18,58.,58.28,55.89,55.92,2130700,55.27
2013-11-11,57.25,58.2,56.31,58.07,1696900,57.39
2013-11-04,58.66,59.2,56.24,57.27,3307800,56.6
2013-10-28,58.44,58.88,57.41,58.41,2590000,57.12
2013-10-21,56.64,59.24,56.34,58.59,2090900,57.3
2013-10-14,56.,57.06,55.25,56.86,2170800,55.61
2013-10-07,54.32,56.52,54.32,56.26,2536400,55.02
2013-09-30,55.,55.43,54.38,54.51,1678300,53.31
2013-09-23,55.84,56.73,55.03,55.15,1297700,53.93
2013-09-16,55.66,57.33,55.,55.97,2152400,54.74
2013-09-09,55.59,56.06,54.51,54.88,1931000,53.67
2013-09-03,56.51,56.62,55.13,55.59,1828900,54.36
2013-08-26,56.55,56.76,55.8,56.23,1530300,54.99
2013-08-19,56.61,57.06,55.64,56.59,1869800,55.34
2013-08-12,59.51,59.69,56.41,56.64,1690800,55.39
2013-08-05,60.19,60.85,59.5,60.3,2781300,58.37
2013-07-29,59.76,60.71,59.58,60.37,1364900,58.44
2013-07-22,60.18,60.58,59.05,59.93,1320200,58.01
2013-07-15,59.07,60.6,59.01,60.48,1634600,58.54
2013-07-08,57.42,59.28,57.16,59.2,1714000,57.3
2013-07-01,58.52,58.68,56.56,57.16,1298200,55.33
2013-06-24,55.98,58.72,55.42,58.31,2600000,56.44
2013-06-17,58.26,58.95,55.6,56.39,2401000,54.58
2013-06-10,57.5,58.12,56.5,57.82,1593600,55.97
2013-06-03,57.01,57.75,55.83,57.43,2574800,55.59
