Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,51.3,52.07,51.24,51.5,2824700,51.5
2014-02-18,50.47,51.76,50.42,51.36,1662600,51.36
2014-02-10,48.5,50.56,48.11,50.54,1490400,50.54
2014-02-03,48.39,49.14,47.21,48.71,2139500,48.71
2014-01-27,47.,48.42,46.87,48.16,1757000,48.16
2014-01-21,47.15,48.14,46.92,46.92,2739800,46.92
2014-01-13,45.62,47.38,45.26,46.9,2402900,46.9
2014-01-06,45.64,46.15,44.74,45.51,2466000,45.51
2013-12-30,45.92,46.51,45.29,45.44,1920800,45.44
2013-12-23,46.69,46.82,45.72,45.97,1031700,45.97
2013-12-16,45.81,46.98,45.16,46.58,2190100,46.22
2013-12-09,45.9,46.33,44.97,45.68,2230800,45.33
2013-12-02,46.21,46.51,45.21,45.89,2493200,45.54
2013-11-25,46.13,46.35,45.27,46.21,3315200,45.85
2013-11-18,49.19,49.2,45.94,46.,2922400,45.65
2013-11-11,49.07,49.31,47.63,49.17,1855300,48.79
2013-11-04,49.56,49.85,48.14,49.05,1720500,48.67
2013-10-28,49.23,49.95,48.41,49.47,1696900,49.09
2013-10-21,48.5,49.47,48.07,49.41,1579500,49.03
2013-10-14,47.4,48.52,46.71,48.38,1624500,48.01
2013-10-07,46.4,47.81,45.88,47.68,2051200,47.31
2013-09-30,45.62,46.61,45.49,46.35,2207600,45.99
2013-09-23,46.01,47.36,45.51,45.81,2212100,45.46
2013-09-16,45.54,46.9,44.84,46.02,2036500,45.33
2013-09-09,45.05,45.87,44.5,44.94,1672100,44.27
2013-09-03,46.1,46.3,44.26,45.04,1694800,44.37
2013-08-26,46.46,46.69,45.54,45.89,1325200,45.21
2013-08-19,46.95,47.25,45.87,46.48,1370100,45.79
2013-08-12,48.82,48.86,46.57,46.98,1539600,46.28
2013-08-05,49.3,49.5,48.05,49.08,2119600,48.35
2013-07-29,49.03,50.34,48.94,49.37,1790100,48.64
2013-07-22,49.71,49.99,48.17,49.09,1771300,48.36
2013-07-15,48.33,49.76,48.26,49.71,1683000,48.97
2013-07-08,46.3,48.55,46.13,48.47,2155700,47.75
2013-07-01,48.23,48.37,45.62,46.06,1811000,45.37
2013-06-24,45.64,48.4,45.39,48.16,2637400,47.44
2013-06-17,47.76,48.05,44.86,46.06,2798200,45.05
2013-06-10,47.47,47.59,46.19,47.15,3284600,46.11
2013-06-03,45.93,47.65,45.2,47.61,3869600,46.56
2013-05-28,47.9,47.9,45.94,45.94,2080900,44.93
2013-05-20,48.84,49.48,47.61,47.71,3160800,46.66
2013-05-13,49.81,49.96,48.26,48.8,4098500,47.72
2013-05-06,52.19,52.31,49.44,50.01,2889600,48.91
2013-04-29,53.51,54.19,51.21,52.24,2733300,51.09
2013-04-22,52.44,53.55,52.04,53.35,1255300,52.17
2013-04-15,51.79,52.48,51.24,52.47,2063700,51.31
2013-04-08,50.93,52.04,50.22,51.95,1806900,50.81
2013-04-01,50.36,51.06,49.65,50.88,3288400,49.76
2013-03-25,50.55,51.1,50.06,50.32,2672200,49.21
2013-03-18,50.49,51.12,50.11,50.41,2029500,48.97
2013-03-11,50.57,51.24,50.4,50.94,2505400,49.49
2013-03-04,48.59,50.74,48.44,50.72,2818300,49.27
2013-02-25,47.02,48.6,45.58,48.48,3147900,47.1
2013-02-19,46.76,47.18,46.08,46.86,2380400,45.52
2013-02-11,47.77,48.31,45.17,46.68,3685300,45.35
2013-02-04,48.07,48.22,47.41,47.84,2101700,46.47
2013-01-28,46.95,48.29,46.56,48.19,2042800,46.81
2013-01-22,46.39,47.08,46.32,47.03,1267600,45.69
2013-01-14,45.86,46.55,45.77,46.55,1666200,45.22
2013-01-07,46.82,46.88,45.63,45.8,2068600,44.49
2012-12-31,44.69,47.04,44.33,47.,2404700,45.66
2012-12-24,45.49,45.77,44.45,44.77,2139800,43.49
2012-12-17,44.82,46.22,44.82,45.82,2723400,44.18
2012-12-10,44.84,45.2,42.57,44.81,1993800,43.2
2012-12-03,45.04,45.23,44.39,44.98,1921600,43.37
2012-11-26,43.4,45.54,43.4,45.48,1992900,43.85
2012-11-19,44.69,44.69,43.13,43.49,2149000,41.93
2012-11-12,44.09,44.49,43.55,44.46,1890000,42.87
2012-11-05,46.46,46.47,44.1,44.17,1913500,42.59
2012-10-31,46.6,47.32,46.56,46.69,1696500,45.02
2012-10-22,47.3,47.6,46.37,46.57,1874600,44.9
2012-10-15,46.55,47.96,46.32,47.4,1408800,45.7
2012-10-08,47.25,47.45,46.52,46.59,1370500,44.92
2012-10-01,45.81,47.52,45.66,47.25,2289800,45.56
2012-09-24,45.22,46.2,45.1,45.69,1490200,44.05
2012-09-17,45.19,45.43,44.58,45.39,1548400,43.45
2012-09-10,44.39,45.17,44.12,45.17,1479500,43.24
2012-09-04,43.75,44.49,43.74,44.31,1778900,42.42
2012-08-27,43.83,44.04,43.1,43.79,1897300,41.92
2012-08-20,44.71,44.83,43.45,43.87,1500500,42.
2012-08-13,44.85,45.49,44.45,44.76,1450600,42.85
2012-08-06,45.86,46.03,44.17,44.98,1728000,43.06
2012-07-30,46.34,46.94,44.33,45.69,2104200,43.74
2012-07-23,45.83,46.49,45.,46.36,2033300,44.38
2012-07-16,46.32,46.37,45.36,46.01,2336000,44.05
2012-07-09,45.7,46.6,45.53,46.41,1800300,44.43
2012-07-02,46.45,46.81,45.38,45.65,1967200,43.7
2012-06-25,44.27,46.48,44.24,46.2,1926000,44.23
2012-06-18,46.05,46.38,44.5,44.59,2349500,42.38
2012-06-11,46.31,46.55,45.45,46.14,1930400,43.85
2012-06-04,44.58,46.04,44.35,46.04,2172200,43.76
2012-05-29,45.13,45.32,44.3,44.37,1523100,42.17
2012-05-21,43.93,45.25,43.87,45.,1579200,42.77
2012-05-14,44.06,44.55,43.71,43.82,2276300,41.65
2012-05-07,43.76,44.45,43.14,44.39,2656900,42.19
2012-04-30,43.82,44.52,43.35,43.76,1907200,41.59
2012-04-23,42.65,43.94,42.13,43.81,1988300,41.64
2012-04-16,41.72,43.04,41.63,42.89,1980700,40.76
2012-04-09,42.43,42.8,41.42,41.57,1877900,39.51
2012-04-02,42.41,42.92,42.19,42.79,1944600,40.67
2012-03-26,42.79,43.53,41.83,42.51,1809100,40.4
2012-03-19,42.59,42.82,41.94,42.67,1594300,40.25
2012-03-12,42.91,43.9,42.48,42.64,1712400,40.22
2012-03-05,42.72,43.3,42.51,42.82,1703700,40.39
2012-02-27,42.05,44.5,41.39,42.81,2273700,40.38
2012-02-21,41.41,42.36,41.22,42.23,1436900,39.84
2012-02-13,41.2,41.52,40.31,41.16,1443200,38.83
2012-02-06,41.,41.23,40.62,41.09,1182300,38.76
2012-01-30,40.91,41.41,40.54,41.08,1733300,38.75
2012-01-23,40.39,41.71,39.8,41.06,2105100,38.73
2012-01-17,40.91,41.02,39.6,40.49,2403500,38.19
2012-01-09,40.42,40.85,40.16,40.57,2379200,38.27
2012-01-03,41.81,41.9,40.32,40.39,2650300,38.1
2011-12-27,41.23,41.57,40.92,41.4,1156000,39.05
2011-12-19,39.27,41.5,38.86,41.19,1653800,38.55
2011-12-12,38.97,39.75,38.71,39.3,1795200,36.78
2011-12-05,38.99,39.91,38.42,39.05,1962200,36.55
2011-11-28,38.38,39.47,37.9,38.46,2233000,35.99
2011-11-21,39.36,39.49,37.51,37.85,1498300,35.42
2011-11-14,40.52,40.77,39.25,39.61,1660200,37.07
2011-11-07,40.57,41.16,39.92,40.77,1789200,38.16
2011-10-31,40.56,41.24,39.39,40.76,2834200,38.15
2011-10-24,39.5,41.57,39.18,40.72,2967700,38.11
2011-10-17,38.1,39.6,37.72,39.56,1552000,37.02
2011-10-10,38.2,38.83,37.48,38.25,2016000,35.8
2011-10-03,38.11,38.46,35.63,37.74,3513800,35.32
2011-09-26,37.45,38.77,37.08,38.25,2892200,35.8
2011-09-19,37.29,38.53,36.23,37.11,2664100,34.44
2011-09-12,35.11,37.78,35.06,37.76,2482600,35.04
2011-09-06,35.61,36.49,35.06,35.36,2202900,32.81
2011-08-29,36.4,37.35,36.15,36.19,1928700,33.58
2011-08-22,36.36,36.48,34.95,35.98,2585000,33.39
2011-08-15,35.03,36.8,34.95,35.86,3096300,33.28
2011-08-08,34.25,35.63,32.64,34.78,4244800,32.28
2011-08-01,38.26,38.4,34.36,35.05,3029500,32.53
2011-07-25,39.03,39.25,38.,38.07,1939600,35.33
2011-07-18,38.42,39.25,37.7,39.23,2086600,36.4
2011-07-11,38.76,39.04,38.24,38.57,2196300,35.79
2011-07-05,38.66,39.14,38.39,39.05,2272300,36.24
