Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,63.62,64.89,63.62,64.32,3556100,64.32
2014-02-18,64.44,64.56,63.04,63.42,3796400,63.42
2014-02-10,64.93,65.39,63.95,64.51,3591200,64.51
2014-02-03,65.86,66.3,62.25,65.19,3973500,64.76
2014-01-27,65.21,66.73,64.65,65.94,3459100,65.5
2014-01-21,69.37,69.9,65.26,65.26,3800200,64.83
2014-01-13,68.42,70.29,67.93,69.12,2810700,68.66
2014-01-06,69.78,69.88,67.92,68.55,3055000,68.1
2013-12-30,70.2,70.66,69.1,69.37,1561400,68.91
2013-12-23,69.56,70.47,69.17,70.21,1203300,69.75
2013-12-16,66.53,69.55,65.99,69.34,3673300,68.88
2013-12-09,67.29,67.9,66.05,66.2,2480900,65.76
2013-12-02,66.99,67.34,65.97,67.18,2629400,66.74
2013-11-25,68.24,68.24,66.83,66.99,2004000,66.55
2013-11-18,68.11,68.27,66.89,68.,2144700,67.55
2013-11-11,66.89,68.44,65.47,67.97,2925600,67.52
2013-11-04,67.46,67.57,65.84,66.97,3222600,66.1
2013-10-28,67.2,67.49,66.55,67.03,2427800,66.15
2013-10-21,65.65,67.22,65.5,67.22,2380500,66.34
2013-10-14,64.96,65.76,64.53,65.64,3166300,64.78
2013-10-07,63.32,65.43,62.73,65.35,2863100,64.5
2013-09-30,64.27,65.42,63.15,63.97,3360700,63.13
2013-09-23,64.78,65.6,64.74,64.9,3236400,64.05
2013-09-16,64.8,66.79,64.3,64.92,3404200,64.07
2013-09-09,61.66,64.25,61.65,64.04,2900600,63.2
2013-09-03,61.06,62.25,60.48,61.47,3456600,60.67
2013-08-26,62.06,62.39,60.14,60.37,2264500,59.58
2013-08-19,61.21,62.32,60.81,61.96,2468200,61.15
2013-08-12,61.55,62.91,60.59,61.27,3064600,60.47
2013-08-05,62.32,62.68,61.2,61.9,3433500,60.69
2013-07-29,59.61,62.7,59.6,62.55,3494300,61.33
2013-07-22,59.85,60.95,59.25,59.8,3152300,58.63
2013-07-15,57.24,58.8,56.96,58.8,2884900,57.65
2013-07-08,56.89,58.01,56.6,57.22,3027400,56.1
2013-07-01,54.58,56.53,54.55,56.43,2993200,55.33
2013-06-24,54.13,55.95,53.42,54.54,3759300,53.47
2013-06-17,56.68,57.58,54.13,54.76,3776100,53.69
2013-06-10,57.95,57.96,55.5,56.14,2601300,55.04
2013-06-03,57.62,58.13,55.65,57.63,3684300,56.5
2013-05-28,57.67,58.52,57.16,57.46,3005100,56.34
2013-05-20,59.08,60.08,56.53,56.94,3977700,55.83
2013-05-13,57.9,59.55,57.45,59.36,3843300,58.2
2013-05-06,56.84,58.45,55.63,57.96,4920200,56.43
2013-04-29,54.65,57.09,54.27,56.82,3942600,55.32
2013-04-22,53.58,55.79,53.11,54.44,4060500,53.
2013-04-15,55.52,55.59,53.09,53.48,4352200,52.07
2013-04-08,55.67,57.37,55.18,55.83,3311600,54.36
2013-04-01,55.59,56.12,54.7,55.73,3451700,54.26
2013-03-25,56.87,56.98,54.73,55.87,4141500,54.4
2013-03-18,56.95,57.49,56.14,56.79,2703300,55.29
2013-03-11,57.35,57.84,56.06,57.59,3370800,56.07
2013-03-04,55.83,57.38,55.04,57.29,3394800,55.78
2013-02-25,57.5,57.64,55.57,56.07,3902200,54.59
2013-02-19,58.32,58.67,56.8,57.27,3078900,55.76
2013-02-11,57.51,58.65,57.06,58.29,3962400,56.75
2013-02-04,57.86,57.98,56.1,57.5,3876500,55.59
2013-01-28,57.65,58.3,56.78,58.08,3002600,56.15
2013-01-22,55.96,57.9,55.88,57.47,3539500,55.56
2013-01-14,55.07,56.,54.42,55.89,3084700,54.03
2013-01-07,54.81,55.2,53.86,55.04,3388100,53.21
2012-12-31,51.95,55.6,51.65,55.07,4350100,53.24
2012-12-24,52.87,53.23,52.08,52.14,1924500,50.41
2012-12-17,52.03,53.62,51.85,53.01,3935800,51.25
2012-12-10,50.85,52.17,50.79,51.75,3191700,50.03
2012-12-03,50.56,51.2,49.38,50.85,3239600,49.16
2012-11-26,48.72,50.84,48.53,50.23,4641900,48.56
2012-11-19,49.09,49.41,47.74,49.12,2999200,47.49
2012-11-12,50.2,50.7,47.63,48.19,3642000,46.59
2012-11-05,49.91,52.81,49.48,50.15,4400200,48.09
2012-10-31,48.32,50.89,48.05,49.81,4893400,47.76
2012-10-22,48.04,48.56,47.1,47.84,3362300,45.87
2012-10-15,48.46,49.74,48.,48.25,3335900,46.26
2012-10-08,49.,49.2,48.02,48.35,2863600,46.36
2012-10-01,47.75,49.86,47.66,49.19,3857700,47.16
2012-09-24,49.86,50.23,47.78,48.27,4379100,46.28
2012-09-17,49.74,50.95,49.6,50.1,3392300,48.04
2012-09-10,49.89,50.52,48.61,49.81,4361400,47.76
2012-09-04,50.62,50.84,48.81,49.8,5745000,47.75
2012-08-27,51.85,52.01,50.56,50.72,2823000,48.63
2012-08-20,52.17,52.98,51.25,51.72,2829500,49.59
2012-08-13,51.14,52.33,50.66,52.3,3410800,50.15
2012-08-06,48.96,51.31,48.89,51.25,4263000,48.76
2012-07-30,47.83,48.86,46.77,48.5,2818600,46.14
2012-07-23,45.67,48.28,45.01,48.03,3473800,45.7
2012-07-16,44.83,47.48,44.46,46.25,3960500,44.
2012-07-09,45.,45.59,43.59,44.94,3786600,42.76
2012-07-02,46.76,46.76,44.64,45.16,3650300,42.97
2012-06-25,45.2,46.6,43.75,46.58,4268100,44.32
2012-06-18,46.48,47.34,45.4,45.71,4822600,43.49
2012-06-11,47.44,47.44,46.2,46.67,3980200,44.4
2012-06-04,45.64,47.35,44.47,46.69,5359300,44.42
2012-05-29,47.7,48.09,45.53,45.63,4332400,43.41
2012-05-21,46.3,47.99,46.22,47.28,3868400,44.98
2012-05-14,47.81,48.21,45.79,45.93,4628100,43.7
2012-05-07,48.52,49.26,47.88,48.18,5053200,45.84
2012-04-30,52.63,52.99,48.53,48.73,7065800,45.99
2012-04-23,49.78,52.86,49.53,52.67,3587200,49.7
2012-04-16,50.34,51.27,49.72,50.27,3578400,47.44
2012-04-09,50.06,51.07,49.31,50.09,3551100,47.27
2012-04-02,52.24,53.01,50.76,50.96,3396200,48.09
2012-03-26,51.44,52.35,51.03,52.18,4043600,49.24
2012-03-19,52.17,52.69,51.12,51.21,3798000,48.33
2012-03-12,50.15,52.63,49.95,52.37,3432200,49.42
2012-03-05,50.01,50.24,48.63,49.99,3782400,47.17
2012-02-27,50.67,51.29,49.94,50.23,3938800,47.4
2012-02-21,51.85,52.25,50.65,50.88,4174900,48.01
2012-02-13,52.5,52.89,50.11,51.5,4172500,48.6
2012-02-06,52.27,53.78,51.25,52.2,5078700,48.88
2012-01-30,51.43,52.92,50.89,52.46,4741800,49.12
2012-01-23,49.41,52.76,49.25,51.67,4964500,48.38
2012-01-17,49.24,50.,48.81,49.33,4803200,46.19
2012-01-09,47.38,49.53,47.33,48.54,5339500,45.45
2012-01-03,48.24,48.69,47.,47.15,4921100,44.15
2011-12-27,46.36,47.1,45.46,46.59,3113100,43.63
2011-12-19,49.15,49.93,45.,46.29,7097100,43.34
2011-12-12,51.07,51.23,48.75,49.13,4463800,46.
2011-12-05,52.18,52.59,50.06,51.54,3696900,48.26
2011-11-28,48.54,52.64,48.49,51.36,4214400,48.09
2011-11-21,48.65,49.15,46.96,47.11,3563800,44.11
2011-11-14,51.31,51.75,49.13,49.71,3864300,46.55
2011-11-07,51.11,52.48,49.73,51.36,4825800,48.09
2011-10-31,48.78,51.96,45.17,51.26,7447100,47.62
2011-10-24,47.25,50.7,45.92,49.61,6414000,46.09
2011-10-17,47.3,48.25,45.66,47.42,5261800,44.05
