Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,101.28,102.3,100.73,101.79,1723900,101.79
2014-02-18,97.75,101.95,97.75,100.81,1971700,100.81
2014-02-10,93.79,97.74,92.37,97.67,2196800,97.67
2014-02-03,92.8,96.49,91.62,94.25,2196600,94.22
2014-01-27,90.35,92.95,88.17,92.81,1356400,92.78
2014-01-21,87.83,93.61,87.83,90.7,1194500,90.67
2014-01-13,86.04,90.37,84.25,87.62,1316500,87.59
2014-01-06,87.81,90.18,85.3,86.02,1249800,85.99
2013-12-30,90.72,91.19,86.97,87.58,714400,87.55
2013-12-23,89.11,91.02,88.87,90.22,724500,90.19
2013-12-16,87.43,89.12,82.06,88.73,2414300,88.7
2013-12-09,86.5,88.63,85.59,87.6,1613400,87.57
2013-12-02,85.1,87.84,82.6,85.67,1466900,85.64
2013-11-25,87.71,88.05,84.79,85.11,934700,85.08
2013-11-18,85.61,88.,83.3,87.65,1372700,87.62
2013-11-11,83.09,85.94,82.46,85.11,1570200,85.08
2013-11-04,85.94,86.31,80.72,83.38,1858200,83.32
2013-10-28,87.6,89.03,84.27,85.49,1360700,85.43
2013-10-21,89.79,90.,85.99,87.8,1726200,87.74
2013-10-14,88.56,91.59,88.15,89.62,825800,89.56
2013-10-07,86.26,89.79,84.75,88.95,1495700,88.89
2013-09-30,88.99,89.61,85.68,87.57,1241300,87.51
2013-09-23,90.73,91.64,89.54,90.37,1016900,90.31
2013-09-16,89.2,94.42,88.37,91.25,1216800,91.19
2013-09-09,85.31,89.52,85.08,88.12,841900,88.06
2013-09-03,86.97,87.41,84.1,84.74,834500,84.68
2013-08-26,85.66,86.89,84.25,85.72,747600,85.66
2013-08-19,83.86,86.1,82.62,85.3,751300,85.24
2013-08-12,84.39,84.84,82.75,83.63,983900,83.57
2013-08-05,86.8,87.,83.23,84.63,1069800,84.54
2013-07-29,85.,88.23,84.45,86.87,1891000,86.78
2013-07-22,83.29,86.43,80.78,85.25,1589600,85.16
2013-07-15,82.03,84.7,80.1,83.52,1137500,83.43
2013-07-08,80.46,84.2,80.32,82.18,1215400,82.1
2013-07-01,79.8,80.88,78.57,79.94,1009900,79.86
2013-06-24,78.7,82.01,77.37,79.37,1580100,79.29
2013-06-17,80.04,84.,78.66,79.66,1191400,79.58
2013-06-10,82.51,82.63,78.55,79.69,935900,79.61
2013-06-03,79.99,81.42,76.93,81.42,1409700,81.34
2013-05-28,81.54,83.33,79.87,79.88,1354000,79.8
2013-05-20,79.21,82.13,78.19,80.58,1696500,80.5
2013-05-13,75.65,79.14,74.56,79.04,1282200,78.96
2013-05-06,75.01,76.51,74.84,75.81,1596800,75.7
2013-04-29,74.41,76.91,73.62,75.13,1871300,75.02
2013-04-22,66.83,75.59,65.93,73.85,2010500,73.75
2013-04-15,68.58,68.68,64.71,66.66,1737200,66.57
2013-04-08,67.28,70.47,66.88,68.91,1458900,68.81
2013-04-01,67.94,68.27,64.95,67.44,1159400,67.34
2013-03-25,67.,68.44,66.92,67.75,1100100,67.65
2013-03-18,65.92,67.6,65.75,66.89,1279500,66.8
2013-03-11,65.15,68.33,64.26,66.7,2103800,66.61
2013-03-04,63.78,66.17,62.05,65.26,1762600,65.17
2013-02-25,60.87,63.95,57.86,63.92,1618800,63.83
2013-02-19,59.58,60.85,58.32,60.56,967700,60.47
2013-02-11,61.76,61.76,59.04,59.37,1030800,59.29
2013-02-04,59.25,62.4,58.91,61.83,1754100,61.71
2013-01-28,61.69,61.77,58.89,59.55,2044100,59.44
2013-01-22,59.52,62.43,59.02,61.95,1770900,61.83
2013-01-14,58.4,59.53,57.76,59.5,1187300,59.39
2013-01-07,60.31,60.94,56.84,58.42,1561000,58.31
2012-12-31,57.87,60.72,56.87,60.42,1811600,60.3
2012-12-24,59.46,59.64,57.93,58.13,917700,58.02
2012-12-17,56.72,60.39,56.64,60.1,2248200,59.99
2012-12-10,58.6,59.4,56.45,56.67,1165600,56.56
2012-12-03,60.6,61.07,57.74,58.83,1622500,58.72
2012-11-26,61.93,62.57,59.74,60.06,1473100,59.95
2012-11-19,61.16,62.74,60.69,62.74,746100,62.62
2012-11-12,58.8,61.06,58.38,60.21,1083300,60.1
2012-11-05,60.06,62.64,58.09,58.65,924800,58.54
2012-10-31,62.22,62.27,60.01,60.53,1308100,60.2
2012-10-22,60.28,62.63,57.45,62.42,1575700,62.08
2012-10-15,60.2,61.6,59.39,60.17,729800,59.84
2012-10-08,59.4,61.36,59.32,60.32,800600,59.99
2012-10-01,59.44,60.6,58.02,59.83,1330800,59.5
2012-09-24,57.89,59.29,56.61,59.,857000,58.68
2012-09-17,59.07,59.46,56.35,58.25,941800,57.93
2012-09-10,55.36,59.27,54.88,59.25,1262200,58.93
2012-09-04,53.75,55.22,52.69,55.16,850400,54.86
2012-08-27,54.22,54.33,52.69,53.96,1038500,53.67
2012-08-20,56.84,57.63,53.78,53.99,1133100,53.7
2012-08-13,55.51,56.99,54.66,56.45,976500,56.14
2012-08-06,54.45,57.69,54.32,55.72,1275900,55.42
2012-07-30,57.,58.36,53.,54.2,1453800,53.69
2012-07-23,55.56,57.15,53.97,56.99,1702800,56.46
2012-07-16,54.8,56.56,54.47,56.53,1725300,56.
2012-07-09,53.98,55.14,52.2,55.06,1797700,54.55
2012-07-02,54.16,55.24,52.78,53.95,1756400,53.45
2012-06-25,51.01,55.2,49.83,53.63,2559400,53.13
2012-06-18,48.39,51.73,47.75,51.15,2658600,50.67
2012-06-11,46.69,48.84,45.4,48.59,1549800,48.14
2012-06-04,44.89,47.14,43.69,46.16,1659500,45.73
2012-05-29,47.26,47.9,44.21,44.72,1747400,44.3
2012-05-21,46.12,47.54,45.21,46.9,1204600,46.46
2012-05-14,49.44,49.64,45.79,45.97,1921300,45.54
2012-05-07,48.83,51.18,48.03,50.,1839100,49.53
2012-04-30,48.46,51.69,48.1,48.99,2205100,48.32
2012-04-23,46.02,48.61,45.64,47.83,1800800,47.17
2012-04-16,46.39,47.8,45.19,46.67,1632900,46.03
2012-04-09,48.18,48.87,45.79,46.18,1599800,45.55
2012-04-02,48.17,49.98,47.89,49.11,1479000,48.44
2012-03-26,49.81,50.28,47.01,48.21,1132100,47.55
2012-03-19,50.05,51.38,48.41,49.42,1263800,48.74
2012-03-12,51.74,52.03,49.35,50.18,1847200,49.49
2012-03-05,52.8,53.21,50.99,51.88,1602300,51.17
2012-02-27,53.99,54.68,52.52,53.13,1204800,52.4
2012-02-21,52.92,55.89,51.9,54.04,2212600,53.3
2012-02-13,49.36,54.14,48.5,52.65,1912500,51.93
2012-02-06,49.73,51.1,48.62,49.01,2154500,48.12
2012-01-30,47.79,51.28,47.74,49.93,2134700,49.03
2012-01-23,47.6,51.94,47.5,48.78,3302500,47.9
2012-01-17,49.09,49.39,46.04,46.3,2479900,45.46
2012-01-09,55.75,55.93,48.13,48.8,2836100,47.92
