Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.76,53.86,52.76,53.29,3379200,53.29
2014-02-18,51.76,52.69,50.03,52.42,2988400,52.42
2014-02-10,50.41,52.25,50.2,51.24,2420000,51.24
2014-02-03,50.07,50.72,48.25,50.45,2828800,50.45
2014-01-27,51.45,52.05,49.65,50.37,2630500,50.37
2014-01-21,55.04,55.58,50.82,51.34,3756500,51.34
2014-01-13,56.75,56.87,54.09,54.6,2469100,54.6
2014-01-06,56.72,57.45,56.05,56.94,1787000,56.94
2013-12-30,56.6,57.44,56.26,56.57,1521500,56.57
2013-12-23,55.25,56.66,54.66,56.59,1668900,56.59
2013-12-16,58.14,58.82,54.93,54.98,4607800,54.98
2013-12-09,58.95,60.28,57.15,57.65,1890600,57.65
2013-12-02,59.25,60.41,58.61,59.05,2382700,59.05
2013-11-25,60.88,61.,58.87,59.08,1956300,58.34
2013-11-18,62.05,62.08,60.21,61.09,1974500,60.33
2013-11-11,61.5,62.25,60.61,61.88,1910700,61.11
2013-11-04,57.55,61.53,56.63,61.48,3698100,60.71
2013-10-28,57.14,58.75,56.96,57.39,2478500,56.67
2013-10-21,55.12,57.06,54.17,57.02,2245100,56.31
2013-10-14,54.28,55.58,54.17,55.04,1629900,54.35
2013-10-07,54.7,55.18,53.49,54.77,1479000,54.09
2013-09-30,54.06,55.5,53.64,55.32,1979900,54.63
2013-09-23,54.66,55.58,54.11,54.5,1792100,53.82
2013-09-16,56.01,56.71,54.72,54.76,2045100,54.08
2013-09-09,56.52,57.59,55.29,55.48,1667000,54.79
2013-09-03,56.07,56.75,53.91,56.2,3191300,55.5
2013-08-26,57.7,58.,55.39,55.56,1838100,54.36
2013-08-19,56.01,57.46,54.97,57.33,1567600,56.1
2013-08-12,58.5,58.92,55.7,56.01,1734700,54.8
2013-08-05,58.41,59.63,57.,58.85,1591900,57.58
2013-07-29,58.77,59.39,57.09,58.45,1766500,57.19
2013-07-22,61.81,61.96,58.41,58.85,1285100,57.58
2013-07-15,60.21,61.25,58.3,61.23,1668600,59.91
2013-07-08,58.1,60.26,57.75,60.25,1496900,58.95
2013-07-01,58.49,58.9,55.94,57.83,1695800,56.59
2013-06-24,57.01,58.64,54.99,58.12,1623300,56.87
2013-06-17,58.75,59.78,56.62,57.35,1478500,56.12
2013-06-10,60.71,60.74,57.26,58.08,2088100,56.83
2013-06-03,60.37,61.29,59.25,60.26,1276400,58.96
2013-05-28,62.53,63.,60.17,60.17,1527200,58.39
2013-05-20,62.43,64.14,60.8,61.64,1806500,59.81
2013-05-13,60.68,62.48,60.16,62.15,1942400,60.31
2013-05-06,60.38,62.77,60.16,60.74,2433600,58.94
2013-04-29,55.96,60.67,55.03,60.15,2840300,58.37
2013-04-22,53.43,56.33,53.1,55.41,1703800,53.77
2013-04-15,56.22,56.4,51.01,53.39,4020500,51.81
2013-04-08,57.94,59.63,56.1,56.98,1899200,55.29
2013-04-01,60.1,60.19,56.1,57.93,1952700,56.21
2013-03-25,58.63,60.38,58.21,60.,1673200,58.22
2013-03-18,58.51,59.38,56.78,58.52,1939400,56.79
2013-03-11,57.46,60.25,57.03,59.49,3484200,57.73
2013-03-04,59.67,59.76,57.15,57.7,3204100,55.99
2013-02-25,61.9,62.11,57.8,59.71,2952400,57.44
2013-02-19,64.68,65.5,60.76,61.49,3039900,59.15
2013-02-11,63.,65.82,62.58,64.35,1645800,61.91
2013-02-04,63.96,64.53,61.5,63.72,1867300,61.3
2013-01-28,62.3,65.19,61.9,64.37,2524700,61.92
2013-01-22,61.57,62.83,61.14,62.11,1888200,59.75
2013-01-14,61.07,62.04,60.18,61.82,1947100,59.47
2013-01-07,62.18,62.62,60.79,60.88,1577300,58.57
2012-12-31,57.66,62.9,57.48,62.73,1977800,60.35
2012-12-24,59.29,59.85,57.29,57.61,1067400,55.42
2012-12-17,57.8,60.36,57.02,59.68,1806500,57.41
2012-12-10,58.01,58.97,56.22,57.38,1429600,55.2
2012-12-03,58.32,59.3,57.59,57.94,2013900,55.74
2012-11-26,56.69,58.23,55.78,58.23,3755900,55.66
2012-11-19,55.47,57.28,54.83,57.26,1411900,54.73
2012-11-12,55.93,56.34,53.78,54.67,2041600,52.26
2012-11-05,59.6,59.67,54.05,55.62,3327700,53.17
2012-10-31,58.75,60.73,56.88,59.59,3004700,56.96
2012-10-22,59.05,59.32,57.26,58.13,1778300,55.57
2012-10-15,55.19,60.03,54.82,59.02,1992400,56.42
2012-10-08,53.84,55.81,53.7,55.07,1468600,52.64
2012-10-01,54.98,55.56,53.53,54.21,2099800,51.82
2012-09-24,57.47,57.79,53.59,54.56,2908200,52.15
2012-09-17,57.96,61.48,57.13,58.23,3112400,55.66
2012-09-10,57.09,59.,56.73,58.13,2096600,55.57
2012-09-04,57.51,58.23,56.82,57.05,2571100,54.53
2012-08-27,57.,57.69,54.79,57.37,3994200,54.48
2012-08-20,57.62,57.91,56.08,56.75,2229200,53.89
2012-08-13,55.33,58.02,54.93,57.88,2036300,54.97
2012-08-06,55.9,56.97,54.7,55.14,2139100,52.36
2012-07-30,54.27,56.44,53.57,55.66,15955900,52.86
2012-07-23,50.9,54.83,48.62,54.47,4566400,51.73
2012-07-16,49.2,52.25,47.63,52.19,2795200,49.56
2012-07-09,47.11,49.8,45.95,49.23,2372500,46.75
2012-07-02,47.,49.14,46.23,47.25,1976000,44.87
2012-06-25,43.29,47.21,41.83,46.97,2693400,44.61
2012-06-18,43.15,46.21,43.02,44.04,2666500,41.82
