Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,73.78,75.39,73.78,74.98,3503600,74.98
2014-02-18,72.97,73.97,71.75,73.5,2300500,73.5
2014-02-10,70.5,73.07,69.34,72.72,3151100,72.72
2014-02-03,73.44,73.84,66.89,70.62,6199200,70.62
2014-01-27,73.33,74.24,72.12,73.09,2634600,73.09
2014-01-21,77.64,78.19,72.98,73.13,3339800,73.13
2014-01-13,75.07,77.16,73.57,76.85,3814500,76.85
2014-01-06,76.19,76.45,74.95,76.32,2229000,76.32
2013-12-30,76.53,76.75,75.18,75.71,2540300,75.71
2013-12-23,76.08,77.,74.9,76.75,1341900,76.75
2013-12-16,72.08,76.22,71.93,75.72,3104500,75.72
2013-12-09,72.26,72.74,70.36,70.97,1974700,70.97
2013-12-02,72.66,73.23,70.09,72.42,2593800,72.42
2013-11-25,73.07,73.44,72.4,72.66,1557800,72.66
2013-11-18,72.43,73.19,70.75,73.,2196500,73.
2013-11-11,70.66,72.74,70.48,72.3,2256500,72.3
2013-11-04,70.95,71.16,68.79,70.6,2256500,70.6
2013-10-28,71.72,72.1,69.73,70.67,3519900,70.67
2013-10-21,69.11,72.54,67.11,71.64,4414800,71.22
2013-10-14,68.47,69.38,66.06,68.73,3146800,68.33
2013-10-07,68.12,69.3,65.2,69.3,2909700,68.89
2013-09-30,68.92,70.15,67.84,69.05,2851100,68.64
2013-09-23,70.23,71.28,68.95,69.69,2042100,69.28
2013-09-16,68.45,71.36,67.92,70.57,2634500,70.15
2013-09-09,66.19,68.35,66.13,67.33,2276000,66.93
2013-09-03,64.28,66.43,62.89,65.63,2769500,65.24
2013-08-26,66.96,67.,63.19,63.32,1844900,62.95
2013-08-19,65.27,67.24,64.32,66.89,1806000,66.5
2013-08-12,65.38,67.3,65.,65.44,2295200,65.05
2013-08-05,66.15,66.54,64.39,65.62,3289700,65.23
2013-07-29,68.,70.07,65.4,66.06,3834700,65.67
2013-07-22,68.26,69.18,67.11,68.03,1925000,67.22
2013-07-15,68.07,68.56,66.44,68.28,2375300,67.46
2013-07-08,68.11,68.87,67.06,68.34,2552300,67.52
2013-07-01,65.76,67.76,65.51,67.72,2367900,66.91
2013-06-24,62.82,65.88,61.23,65.81,4119100,65.02
2013-06-17,65.02,65.97,63.,63.96,2760900,63.2
2013-06-10,65.69,66.98,63.12,64.58,3726000,63.81
2013-06-03,66.4,67.01,63.48,65.62,3033200,64.84
2013-05-28,69.2,69.92,66.06,66.06,2942200,65.27
2013-05-20,66.75,69.53,66.43,68.23,3381800,67.41
2013-05-13,64.81,67.01,64.11,66.86,2839900,66.06
2013-05-06,61.54,65.32,61.49,64.93,2719400,64.15
2013-04-29,60.41,62.18,59.18,61.65,4712400,60.91
2013-04-22,57.,59.37,56.45,58.65,3311000,57.54
2013-04-15,59.9,60.04,55.41,56.96,4754400,55.88
2013-04-08,59.31,62.88,59.13,60.3,2778000,59.16
2013-04-01,61.25,62.15,58.27,59.32,3760800,58.2
2013-03-25,63.18,63.66,60.35,61.25,4180200,60.09
2013-03-18,61.9,63.49,60.78,63.27,2625200,62.07
2013-03-11,63.11,63.81,61.96,62.57,2912400,61.38
2013-03-04,62.51,63.42,61.03,63.35,2935800,62.15
2013-02-25,60.32,63.63,58.93,62.66,3975000,61.06
2013-02-19,61.05,61.71,59.29,59.75,3209600,58.22
2013-02-11,58.83,61.54,58.81,60.87,2863200,59.32
2013-02-04,56.08,60.45,55.6,58.92,6331300,57.42
2013-01-28,57.68,58.87,56.47,57.52,3030600,56.05
2013-01-22,56.75,57.73,55.97,57.52,3103700,56.05
2013-01-14,55.82,57.03,55.,56.67,2780500,55.22
2013-01-07,56.47,56.49,55.01,55.75,3268400,54.33
2012-12-31,52.72,57.35,52.45,56.75,3039900,55.3
2012-12-24,53.61,54.26,52.87,53.09,1781200,51.73
2012-12-17,52.74,54.75,52.14,53.84,4174500,52.47
2012-12-10,52.21,52.81,51.49,52.57,3406000,51.23
2012-12-03,51.48,52.51,50.74,52.47,4274800,51.13
2012-11-26,52.32,52.68,50.5,52.16,5152600,50.83
2012-11-19,49.52,51.66,49.5,51.58,3190700,50.26
2012-11-12,49.07,49.89,47.93,48.94,3757500,47.69
2012-11-05,48.98,50.83,48.1,49.05,4649100,47.8
2012-10-31,44.96,50.33,44.96,49.2,7256700,47.94
2012-10-22,46.85,46.99,44.66,45.12,3699000,43.97
2012-10-15,44.98,46.77,44.36,45.81,3727800,44.64
2012-10-08,46.99,47.12,44.36,44.97,4006000,43.82
2012-10-01,47.08,47.99,46.22,47.28,3567700,46.07
2012-09-24,47.72,48.01,45.76,47.27,3185000,45.69
2012-09-17,47.25,49.18,46.94,48.13,4260600,46.52
2012-09-10,47.19,48.4,46.79,47.23,4211800,45.65
2012-09-04,44.75,48.15,43.06,47.43,5406800,45.84
2012-08-27,46.41,46.63,44.33,44.72,2855800,43.22
2012-08-20,46.13,46.77,45.24,46.44,2857400,44.89
2012-08-13,46.02,46.38,45.25,46.36,3527100,44.81
