Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,64.86,65.05,64.12,64.12,943900,64.12
2014-02-18,64.52,65.34,64.19,64.45,1596500,64.45
2014-02-10,63.42,64.66,61.67,64.49,2184600,64.49
2014-02-03,63.23,63.92,62.01,63.56,2108600,62.73
2014-01-27,61.46,63.49,60.87,63.03,1962200,62.21
2014-01-21,61.99,62.49,60.99,61.28,1505300,60.48
2014-01-13,61.23,61.77,60.55,61.61,1617900,60.81
2014-01-06,60.61,62.18,60.4,61.06,1955100,60.26
2013-12-30,63.13,63.55,60.64,61.03,1268300,60.23
2013-12-23,62.74,63.08,62.27,62.83,744800,62.01
2013-12-16,61.29,62.57,60.77,62.49,1589400,61.67
2013-12-09,62.81,62.99,60.22,61.2,2248400,60.4
2013-12-02,62.06,63.34,61.55,63.01,1314900,62.19
2013-11-25,62.68,62.94,61.6,61.89,1019300,61.08
2013-11-18,63.87,63.91,62.39,62.53,1108400,61.71
2013-11-11,63.74,63.87,62.02,63.67,1373300,62.84
2013-11-04,65.42,65.49,63.32,64.42,1372100,63.58
2013-10-28,68.14,68.56,64.38,65.14,1895500,63.47
2013-10-21,66.38,68.63,65.75,68.27,1165600,66.52
2013-10-14,65.13,66.74,63.58,66.35,1122700,64.65
2013-10-07,63.18,65.37,63.16,65.3,940600,63.62
2013-09-30,63.02,64.14,62.95,63.48,1072700,61.85
2013-09-23,63.35,64.93,63.,63.32,889600,61.7
2013-09-16,63.88,65.83,63.39,63.63,1108800,62.
2013-09-09,62.85,63.5,62.11,63.09,1325400,61.47
2013-09-03,63.48,63.63,61.66,62.92,1384500,61.31
2013-08-26,63.9,64.15,61.88,63.23,1477500,61.61
2013-08-19,64.58,64.78,62.75,63.94,1126200,62.3
2013-08-12,66.77,66.89,64.29,64.59,1889800,62.93
2013-08-05,68.11,70.05,66.47,66.9,2076700,65.18
2013-07-29,70.04,71.77,67.34,68.19,2119200,65.62
2013-07-22,71.94,72.6,69.49,70.13,2951900,67.49
2013-07-15,70.98,72.19,70.45,71.91,921800,69.2
2013-07-08,68.29,71.32,68.04,70.89,1052200,68.22
2013-07-01,69.94,70.18,67.43,68.06,998000,65.5
2013-06-24,67.55,71.59,66.9,69.68,1224600,67.06
2013-06-17,68.67,70.1,66.25,68.13,1268800,65.57
2013-06-10,69.29,69.88,67.18,68.47,1079000,65.89
2013-06-03,69.18,70.48,67.09,68.19,1200500,65.62
2013-05-28,68.73,70.66,68.35,68.88,1556000,66.29
2013-05-20,71.,71.13,67.59,68.94,1100100,66.35
2013-05-13,67.21,71.3,66.86,71.14,1890500,68.46
2013-05-06,71.01,71.24,66.72,67.49,1271700,64.95
2013-04-29,69.47,72.1,69.26,71.1,1784200,67.6
2013-04-22,69.65,70.19,68.24,69.11,2488700,65.71
2013-04-15,69.39,70.7,68.65,69.71,1453200,66.28
2013-04-08,67.3,69.7,67.,69.7,1287500,66.27
2013-04-01,63.37,67.47,63.12,67.28,1388500,63.97
2013-03-25,62.43,63.41,61.42,63.24,1406900,60.13
2013-03-18,64.78,65.06,62.1,62.38,1226600,59.31
2013-03-11,63.28,65.39,63.21,65.23,1089400,62.02
2013-03-04,61.95,64.06,61.95,63.43,918200,60.31
2013-02-25,62.24,62.86,61.29,62.12,1097900,59.06
2013-02-19,61.7,62.21,61.24,62.05,1067600,59.
2013-02-11,64.42,64.73,61.09,61.45,1875800,58.43
2013-02-04,64.7,65.29,63.58,64.47,1563400,60.51
2013-01-28,64.56,65.21,64.02,64.84,928100,60.86
2013-01-22,63.9,64.61,63.25,64.59,1151600,60.62
2013-01-14,63.14,63.88,62.89,63.87,670300,59.95
2013-01-07,64.16,64.42,62.38,63.07,1085100,59.2
2012-12-31,62.55,64.89,62.22,64.43,986400,60.47
2012-12-24,64.64,64.66,62.57,62.58,584200,58.74
2012-12-17,63.72,65.6,63.67,64.52,1438000,60.56
2012-12-10,63.82,64.46,63.34,63.4,679800,59.51
2012-12-03,63.55,64.08,62.54,63.94,936400,60.01
2012-11-26,61.78,63.74,61.56,63.54,1314600,59.64
2012-11-19,63.15,63.39,61.55,62.04,924500,58.23
2012-11-12,65.01,65.13,62.32,62.86,1167200,59.
2012-11-05,68.97,70.22,64.6,64.9,2135100,60.92
2012-10-31,72.47,72.98,71.1,71.23,1473600,66.04
2012-10-22,70.71,72.11,69.8,72.1,909100,66.85
2012-10-15,69.5,71.9,69.28,71.23,602000,66.04
2012-10-08,70.41,71.44,69.64,69.95,629600,64.85
2012-10-01,69.59,71.,69.02,70.48,608600,65.34
2012-09-24,68.48,69.94,68.3,69.3,739600,64.25
2012-09-17,68.25,69.03,67.95,68.45,1014000,63.46
2012-09-10,69.22,69.22,67.07,68.36,982900,63.38
2012-09-04,68.17,69.42,68.01,68.21,1021100,63.24
2012-08-27,68.54,68.81,67.74,68.08,839100,63.12
2012-08-20,69.5,69.62,68.03,68.73,821400,63.72
2012-08-13,71.62,71.75,69.07,69.48,1189200,64.42
2012-08-06,73.,73.03,70.88,71.75,1331100,66.52
2012-07-30,72.4,74.5,71.33,72.71,2289800,66.64
2012-07-23,71.07,72.75,70.4,72.59,908900,66.53
2012-07-16,69.55,71.94,69.46,71.31,950600,65.35
2012-07-09,67.9,69.9,67.73,69.6,915700,63.79
2012-07-02,68.15,68.75,67.53,67.88,721600,62.21
2012-06-25,66.26,68.2,66.1,67.89,751600,62.22
2012-06-18,66.93,67.45,66.32,66.7,1068000,61.13
2012-06-11,66.6,66.94,65.7,66.55,962500,60.99
2012-06-04,64.48,66.42,64.23,66.28,1365700,60.74
2012-05-29,64.88,65.15,63.96,64.35,950500,58.97
2012-05-21,63.14,64.86,62.98,64.51,1066800,59.12
2012-05-14,64.29,64.59,62.97,63.08,1042000,57.81
2012-05-07,65.1,65.26,63.67,64.72,1086900,59.31
2012-04-30,65.32,66.54,64.93,65.11,1793400,58.91
2012-04-23,65.25,66.65,65.09,65.3,2569100,59.08
2012-04-16,65.67,66.6,64.99,65.65,1613600,59.4
2012-04-09,65.78,66.51,64.91,65.5,1398000,59.26
2012-04-02,67.23,68.13,66.15,66.38,1456200,60.06
2012-03-26,67.11,67.97,66.34,67.2,1182900,60.8
2012-03-19,67.93,68.32,66.46,66.83,909000,60.47
2012-03-12,67.8,68.84,67.27,67.87,1052700,61.41
2012-03-05,67.,68.2,66.23,67.87,715400,61.41
2012-02-27,67.02,67.59,66.38,67.13,1006600,60.74
2012-02-21,68.09,68.09,67.01,67.14,859200,60.75
2012-02-13,68.,68.85,67.18,67.78,1039400,61.32
