Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,68.21,69.58,68.21,68.9,915000,68.9
2014-02-18,67.66,69.04,66.54,68.24,891700,68.24
2014-02-10,67.,69.14,66.25,67.53,1291100,67.53
2014-02-03,65.29,67.84,63.04,66.94,1932300,66.94
2014-01-27,68.43,68.71,64.08,65.12,1329700,65.12
2014-01-21,68.96,70.29,67.6,68.81,1877100,68.81
2014-01-13,68.24,73.48,68.24,68.54,2215300,68.54
2014-01-06,66.92,68.56,65.83,68.48,1226600,68.48
2013-12-30,66.,67.6,65.04,67.26,842900,67.26
2013-12-23,65.2,66.35,64.84,66.01,660900,66.01
2013-12-16,61.57,65.19,61.57,65.19,1470900,65.19
2013-12-09,62.57,64.33,60.62,61.44,2568000,61.44
2013-12-02,65.67,66.51,64.52,66.29,842400,66.29
2013-11-25,64.85,65.93,64.12,65.53,1002300,65.53
2013-11-18,64.93,65.31,62.55,64.86,1150700,64.86
2013-11-11,64.35,64.99,62.93,64.99,902000,64.99
2013-11-04,64.29,64.37,62.17,64.26,1591300,64.26
2013-10-28,73.15,75.06,64.03,64.27,4071700,64.27
2013-10-21,77.32,78.89,76.67,77.06,979100,77.06
2013-10-14,73.59,77.24,73.49,77.2,995500,77.2
2013-10-07,72.26,74.11,71.88,73.98,974400,73.98
2013-09-30,67.86,73.1,67.73,72.81,1812200,72.81
2013-09-23,69.93,70.22,67.54,68.79,3140500,68.79
2013-09-16,72.38,72.5,69.88,70.03,1078900,70.03
2013-09-09,71.6,72.61,71.23,71.61,714300,71.61
2013-09-03,71.1,72.31,70.14,71.47,874300,71.47
2013-08-26,72.98,73.49,70.13,70.38,736200,70.38
2013-08-19,70.09,73.23,69.39,72.94,1076400,72.94
2013-08-12,72.4,72.99,69.65,70.01,668000,70.01
2013-08-05,72.3,73.32,71.44,72.67,624000,72.67
2013-07-29,71.79,73.73,70.02,72.61,1007600,72.61
2013-07-22,68.33,73.31,68.11,71.8,1670000,71.8
2013-07-15,67.71,68.34,66.09,68.25,1098300,68.25
2013-07-08,67.03,69.14,65.03,67.85,1343500,67.85
2013-07-01,67.32,67.8,65.15,66.6,731800,66.6
2013-06-24,66.32,68.09,64.36,67.2,829500,67.2
2013-06-17,70.38,70.68,65.98,66.45,949400,66.45
2013-06-10,68.3,72.64,67.47,70.,1416000,70.
2013-06-03,66.62,67.24,64.91,67.2,1303800,67.2
2013-05-28,66.22,67.29,63.54,66.46,1418300,66.46
2013-05-20,67.,67.,63.95,65.53,1810700,65.53
2013-05-13,67.67,72.4,66.41,67.06,1862400,67.06
2013-05-06,63.14,67.97,62.9,67.87,1370200,67.87
2013-04-29,64.48,64.74,62.34,63.21,1549500,63.21
2013-04-22,83.31,86.11,63.5,64.17,4186200,64.17
2013-04-15,84.6,85.15,82.35,83.12,846600,83.12
2013-04-08,81.29,84.84,81.06,84.8,883200,84.8
2013-04-01,82.21,83.81,81.17,81.4,779400,81.4
2013-03-25,82.37,82.79,80.91,82.16,691900,82.16
2013-03-18,81.83,82.93,78.1,82.19,1493800,82.19
