Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,65.9,66.94,65.75,66.16,1082100,66.16
2014-02-18,63.7,66.78,63.7,65.71,1406700,65.71
2014-02-10,62.52,63.66,61.67,63.43,866100,63.43
2014-02-03,61.82,63.25,59.67,62.66,1507300,62.66
2014-01-27,61.59,63.89,61.16,61.82,1252500,61.82
2014-01-21,65.93,66.37,62.89,62.95,1636700,62.95
2014-01-13,67.2,68.57,63.26,65.56,4016000,65.56
2014-01-06,66.31,67.88,60.89,67.48,5175900,67.48
2013-12-30,65.03,66.8,64.68,66.41,1213600,66.41
2013-12-23,64.55,66.04,64.46,64.99,697900,64.99
2013-12-16,64.07,64.55,62.84,64.49,1135200,64.49
2013-12-09,66.08,66.44,63.7,63.96,1366400,63.96
2013-12-02,69.73,70.01,65.2,65.98,1423800,65.72
2013-11-25,70.68,71.75,69.6,69.77,908200,69.49
2013-11-18,70.08,71.43,68.32,70.54,913200,70.26
2013-11-11,67.27,70.08,67.14,70.02,834200,69.74
2013-11-04,70.,70.82,66.94,67.5,941300,67.23
2013-10-28,69.79,69.95,68.58,69.55,777900,69.27
2013-10-21,69.6,70.9,68.88,69.58,1068500,69.3
2013-10-14,69.06,70.97,68.76,69.56,1407200,69.28
2013-10-07,72.22,72.45,67.4,69.71,2407900,69.43
2013-09-30,71.97,72.99,71.47,72.55,1326500,72.26
2013-09-23,73.26,74.49,71.81,72.58,814000,72.29
2013-09-16,72.8,75.29,72.28,73.34,1318700,73.05
2013-09-09,71.07,72.83,70.72,72.1,671800,71.81
2013-09-03,71.69,72.16,68.14,70.78,1931600,70.25
2013-08-26,71.95,73.,70.97,71.19,894200,70.65
2013-08-19,71.07,72.91,70.76,72.28,1170800,71.73
2013-08-12,71.43,74.44,71.,71.25,1220100,70.71
2013-08-05,70.29,73.34,69.62,71.47,1255600,70.93
2013-07-29,68.28,71.4,67.83,70.56,1186100,70.03
2013-07-22,67.8,68.54,67.05,68.52,980700,68.
2013-07-15,68.47,69.19,67.57,67.7,1508400,67.19
2013-07-08,63.87,70.34,63.57,68.4,3835600,67.88
2013-07-01,62.58,64.,62.5,63.82,1084500,63.34
2013-06-24,61.37,62.35,59.38,62.31,1499900,61.84
2013-06-17,63.6,64.39,61.35,62.08,1440600,61.61
2013-06-10,62.25,63.8,61.83,63.23,1199300,62.75
2013-06-03,61.13,62.4,59.3,62.01,1427300,61.29
2013-05-28,64.13,64.94,61.15,61.15,941100,60.44
2013-05-20,64.3,64.77,63.04,63.65,984300,62.91
2013-05-13,63.03,65.82,62.31,64.3,1299500,63.55
2013-05-06,62.2,63.72,61.89,63.08,822400,62.35
2013-04-29,63.13,63.3,60.58,62.37,1130200,61.64
2013-04-22,62.79,64.15,62.19,62.94,1060600,62.21
2013-04-15,60.79,62.69,59.87,62.59,1924100,61.86
2013-04-08,59.35,61.11,58.27,61.05,3091000,60.34
2013-04-01,59.15,59.53,57.5,59.4,1202600,58.71
2013-03-25,62.13,62.54,58.61,59.05,1474400,58.36
2013-03-18,58.96,62.,57.9,61.37,1226600,60.66
2013-03-11,58.63,59.68,58.09,59.42,1082300,58.73
2013-03-04,58.49,59.28,58.08,58.78,1218500,57.84
2013-02-25,56.81,59.43,55.55,58.69,1627500,57.75
2013-02-19,55.76,57.24,54.06,56.68,2654500,55.77
2013-02-11,57.15,57.86,54.79,55.94,2056200,55.04
2013-02-04,56.01,57.64,55.63,57.35,1957300,56.43
2013-01-28,58.45,58.54,55.97,56.09,2221800,55.19
2013-01-22,58.46,59.8,57.72,58.55,2254200,57.61
2013-01-14,56.62,58.69,56.39,58.37,1528800,57.44
2013-01-07,56.58,57.7,56.26,56.44,1752200,55.54
2012-12-31,62.43,64.4,54.93,56.65,6016500,55.74
2012-12-24,62.83,63.35,61.9,62.7,926700,61.7
2012-12-17,65.49,66.39,62.78,63.04,1722800,62.03
2012-12-10,70.88,71.21,63.9,65.86,2439000,64.81
2012-12-03,71.25,71.25,69.12,71.,1539700,69.64
2012-11-26,69.82,72.54,68.21,71.2,1277700,69.83
2012-11-19,67.,70.15,66.68,70.1,1082100,68.75
2012-11-12,66.38,67.6,65.3,66.54,1320900,65.26
2012-11-05,65.75,67.25,64.94,66.5,1158600,65.22
2012-10-31,65.82,66.91,65.25,65.93,1068000,64.66
2012-10-22,64.82,66.55,63.86,65.6,1203300,64.34
2012-10-15,66.36,68.75,64.25,65.1,2419600,63.85
2012-10-08,69.06,69.35,65.55,66.4,1663000,65.12
2012-10-01,66.25,70.17,65.18,69.02,2495800,67.69
2012-09-24,64.27,66.58,62.92,66.3,1689900,65.03
2012-09-17,64.04,64.81,63.18,64.15,1444600,62.92
2012-09-10,62.91,64.88,62.7,64.2,1156600,62.97
2012-09-04,63.48,64.,62.56,63.27,1114900,61.85
2012-08-27,62.51,64.79,61.26,63.64,1731300,62.21
2012-08-20,64.74,64.85,61.67,62.35,1141100,60.95
2012-08-13,63.72,65.,62.5,64.93,1227500,63.47
2012-08-06,66.27,66.6,63.17,63.71,1043600,62.28
2012-07-30,66.55,67.12,65.23,66.17,944400,64.68
2012-07-23,66.1,67.18,63.51,66.63,1316300,65.13
2012-07-16,68.01,69.37,65.35,66.77,2154400,65.27
