Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,135.09,136.98,134.5,134.87,2243200,134.87
2014-02-18,134.32,135.21,131.01,134.9,2224400,134.9
2014-02-10,131.37,134.55,129.34,133.92,2394200,133.92
2014-02-03,132.93,135.06,128.17,131.76,2375800,131.76
2014-01-27,134.69,135.78,131.08,133.32,2816000,133.32
2014-01-21,141.71,142.84,134.57,134.58,2192900,134.58
2014-01-13,141.35,143.14,139.73,140.51,2164600,140.51
2014-01-06,142.7,143.,138.26,142.63,1899200,142.63
2013-12-30,143.48,144.39,139.57,140.05,2032800,140.05
2013-12-23,143.31,143.86,141.14,143.43,1095300,143.43
2013-12-16,139.59,143.73,137.36,142.71,3422200,142.71
2013-12-09,139.82,140.18,136.27,137.9,1743800,137.9
2013-12-02,139.15,140.96,136.81,139.39,1489200,139.24
2013-11-25,137.81,140.55,136.71,138.7,1205300,138.55
2013-11-18,138.59,139.77,133.93,137.07,2448600,136.92
2013-11-11,131.98,139.94,130.81,138.65,3362000,138.5
2013-11-04,134.65,136.98,130.25,132.57,3221500,132.43
2013-10-28,131.42,134.74,129.81,134.65,2875000,134.51
2013-10-21,126.22,132.55,125.92,132.06,2886600,131.92
2013-10-14,115.29,126.63,114.33,126.44,3518300,126.3
2013-10-07,113.75,115.89,111.25,115.87,1247200,115.75
2013-09-30,112.57,115.36,111.8,114.73,1534100,114.61
2013-09-23,115.17,116.,112.87,113.77,1690300,113.65
2013-09-16,108.85,118.31,108.56,116.83,3567100,116.7
2013-09-09,108.4,111.5,106.38,107.24,2103400,107.12
2013-09-03,108.45,109.79,106.78,108.16,1548300,108.04
2013-08-26,110.8,113.34,106.84,107.36,1618400,107.1
2013-08-19,108.33,110.89,107.51,110.69,1485600,110.42
2013-08-12,107.58,109.73,107.34,108.68,1710000,108.41
2013-08-05,109.,109.85,107.53,108.22,1465200,107.96
2013-07-29,104.1,110.33,102.,109.15,2970900,108.88
2013-07-22,108.07,108.88,101.95,104.58,2290700,104.32
2013-07-15,102.28,108.98,102.14,108.03,2662400,107.77
2013-07-08,99.18,106.47,98.63,102.29,6574700,102.04
2013-07-01,98.72,99.73,97.54,98.96,1389200,98.72
2013-06-24,95.37,99.59,94.6,98.58,2383000,98.34
2013-06-17,100.13,103.47,94.67,96.46,3554900,96.22
2013-06-10,99.86,100.75,97.1,99.12,1530800,98.88
2013-06-03,96.51,99.84,95.64,99.78,2494100,99.38
2013-05-28,98.82,99.1,95.88,96.34,2961400,95.96
2013-05-20,100.06,103.05,97.35,97.82,2526200,97.43
2013-05-13,99.84,100.87,98.72,100.05,2004500,99.65
2013-05-06,94.92,102.1,94.74,100.12,3528400,99.72
2013-04-29,94.45,95.14,91.84,94.52,2195600,94.14
2013-04-22,92.67,96.15,90.95,94.18,2231500,93.81
2013-04-15,95.59,96.09,90.61,92.39,2912400,92.02
2013-04-08,95.43,98.23,94.67,96.33,2173000,95.95
2013-04-01,98.41,99.53,94.2,95.5,2389800,95.12
2013-03-25,98.51,98.66,96.08,98.2,2498900,97.81
2013-03-18,107.83,108.41,95.3,98.48,6110900,98.09
2013-03-11,107.69,109.66,106.,109.07,1520000,108.64
2013-03-04,105.28,109.48,104.6,107.8,1483500,107.37
2013-02-25,106.33,107.,102.33,105.38,1942600,104.82
2013-02-19,106.61,107.39,104.25,105.82,1299100,105.26
2013-02-11,106.01,107.45,105.44,106.42,1757200,105.86
2013-02-04,102.44,107.5,102.44,106.41,3144100,105.85
2013-01-28,102.84,103.14,100.68,102.76,2186100,102.22
2013-01-22,99.54,102.86,99.26,102.57,1946300,102.03
2013-01-14,97.36,100.57,97.21,99.82,2120800,99.29
2013-01-07,94.41,97.78,94.16,97.4,1790600,96.89
2012-12-31,90.33,95.19,90.05,94.91,1674000,94.41
2012-12-24,92.71,92.97,90.15,90.39,1018400,89.91
2012-12-17,90.4,95.44,90.36,92.74,3493900,92.25
2012-12-10,89.39,91.49,89.02,90.09,1861800,89.61
2012-12-03,89.98,89.98,87.99,89.36,1471500,88.89
2012-11-26,87.12,91.16,87.12,89.53,2169000,89.06
2012-11-19,87.05,88.06,85.8,87.73,1547100,87.27
2012-11-12,89.73,91.5,85.15,86.13,2034800,85.54
2012-11-05,92.47,93.79,89.32,89.73,1478300,89.11
2012-10-31,90.94,93.98,90.62,92.64,1655500,92.
2012-10-22,92.12,92.25,90.07,90.69,1697900,90.07
2012-10-15,90.51,94.26,90.21,92.11,2465500,91.48
2012-10-08,86.34,92.5,85.55,90.4,3884000,89.78
2012-10-01,84.93,87.48,84.21,86.47,2048200,85.87
2012-09-24,84.,85.85,83.92,84.62,2587700,84.04
2012-09-17,89.71,90.09,84.15,84.39,4418200,83.81
2012-09-10,87.19,90.92,87.11,90.15,2050900,89.53
2012-09-04,87.37,88.11,85.31,87.38,3046700,86.78
2012-08-27,89.18,89.26,86.87,87.63,1583300,86.88
2012-08-20,89.64,91.12,88.18,89.07,1435000,88.31
2012-08-13,87.69,90.46,87.04,90.,1798300,89.23
2012-08-06,90.33,90.8,87.23,87.8,1473700,87.05
2012-07-30,90.52,91.21,87.04,89.82,1681400,89.06
2012-07-23,88.69,91.81,86.22,90.89,2324900,90.12
2012-07-16,92.07,93.17,89.98,90.08,1593900,89.31
2012-07-09,91.07,92.57,88.93,92.35,1697900,91.56
2012-07-02,91.59,92.8,89.55,91.28,1393900,90.5
2012-06-25,89.57,91.61,87.13,91.61,1896600,90.83
2012-06-18,87.4,92.31,86.79,90.54,3210000,89.77
2012-06-11,88.17,88.35,85.57,87.63,2333800,86.88
2012-06-04,85.19,88.36,83.8,87.57,2198200,86.68
2012-05-29,89.67,91.43,85.09,85.25,1999500,84.39
2012-05-21,85.01,90.5,84.9,89.28,1795300,88.38
2012-05-14,86.83,89.5,84.86,85.07,2226700,84.21
2012-05-07,88.24,90.12,86.17,87.8,1968800,86.91
2012-04-30,88.29,89.83,87.57,89.3,1722200,88.4
2012-04-23,88.65,89.83,86.2,88.24,1921800,87.35
2012-04-16,88.57,90.85,87.74,89.67,1941600,88.76
2012-04-09,88.9,90.35,86.42,88.03,2348900,87.14
2012-04-02,92.04,92.85,90.03,90.39,1543000,89.48
2012-03-26,93.15,93.29,89.9,91.96,2380900,91.03
2012-03-19,95.87,96.89,90.39,92.38,3696200,91.45
2012-03-12,91.83,95.08,90.36,94.34,1914800,93.39
2012-03-05,90.58,92.19,88.03,91.79,1830000,90.86
2012-02-27,89.53,92.43,89.42,90.78,2085900,89.73
2012-02-21,93.11,93.15,89.84,90.24,2326500,89.2
2012-02-13,95.8,97.19,92.51,92.99,2628800,91.92
2012-02-06,94.56,95.6,93.6,95.27,1696000,94.17
2012-01-30,92.11,94.54,90.42,94.54,1676200,93.45
2012-01-23,91.74,93.5,89.67,92.95,1685500,91.88
2012-01-17,90.14,93.52,89.07,91.57,2461000,90.51
2012-01-09,85.84,91.4,85.24,90.37,2820400,89.33
2012-01-03,85.47,86.06,82.79,85.49,2007100,84.5
2011-12-27,84.82,85.41,82.78,83.51,1362400,82.55
2011-12-19,84.75,85.42,80.91,84.92,2014700,83.94
2011-12-12,81.94,86.37,76.95,84.89,4904900,83.91
2011-12-05,83.86,84.66,82.02,83.24,2345300,82.28
2011-11-28,78.76,83.46,78.31,82.14,2722400,81.06
2011-11-21,79.52,80.,76.06,76.08,1673100,75.08
2011-11-14,81.62,83.45,79.68,81.22,2053200,80.16
2011-11-07,82.04,83.13,78.85,82.23,1860000,81.15
2011-10-31,83.42,84.16,78.61,82.01,2123100,80.93
2011-10-24,79.9,85.75,79.2,84.25,3437100,83.15
2011-10-17,75.47,79.92,73.47,79.34,2770900,78.3
2011-10-10,72.46,76.13,72.01,75.74,2475300,74.75
2011-10-03,66.9,72.52,64.07,71.06,4116700,70.13
2011-09-26,68.1,71.62,67.62,67.68,3609600,66.79
2011-09-19,74.99,76.84,64.55,67.3,5167300,66.42
2011-09-12,72.39,77.92,71.54,76.4,3108200,75.4
2011-09-06,72.43,76.64,71.33,73.4,3100800,72.44
2011-08-29,76.67,80.71,74.46,74.9,2707700,73.79
2011-08-22,74.92,77.44,72.16,75.72,3518700,74.6
2011-08-15,81.2,81.98,72.89,73.16,3491200,72.08
2011-08-08,80.34,81.91,75.13,80.48,4630200,79.29
2011-08-01,88.05,88.05,80.18,82.36,4398500,81.14
2011-07-25,91.7,92.35,86.33,86.88,3394400,85.59
2011-07-18,91.8,94.07,90.05,92.79,2392700,91.42
2011-07-11,96.75,96.75,91.26,92.2,2732300,90.84
2011-07-05,96.17,98.66,95.2,97.56,2356000,96.12
2011-06-27,91.97,96.83,91.61,96.52,2104100,95.09
2011-06-20,86.83,93.45,81.22,91.87,4051500,90.51
2011-06-13,85.92,88.,84.95,86.99,2352000,85.7
2011-06-06,89.99,90.56,84.79,85.38,3089300,83.99
2011-05-31,92.63,94.39,89.9,90.15,2480100,88.68
2011-05-23,92.56,92.69,90.8,91.9,1887900,90.41
2011-05-16,93.38,94.65,92.05,93.82,1860800,92.29
2011-05-09,95.6,96.5,93.5,93.58,2159400,92.06
2011-05-02,96.25,96.89,91.8,95.65,2451800,94.09
2011-04-25,93.75,96.25,92.9,95.67,1561200,94.11
2011-04-18,91.34,94.23,91.1,93.94,1922300,92.41
2011-04-11,91.3,94.67,90.66,92.58,2589400,91.07
2011-04-04,95.01,95.42,90.82,91.16,1752200,89.68
2011-03-28,91.09,96.5,90.6,95.,2559200,93.46
2011-03-21,90.37,91.06,87.05,90.28,2176000,88.81
2011-03-14,89.72,90.4,85.03,89.28,4946800,87.83
2011-03-07,88.88,91.33,87.11,90.71,3159600,89.11
2011-02-28,91.01,91.02,86.32,88.69,3687200,87.13
2011-02-22,96.05,96.2,87.54,89.88,4354200,88.3
2011-02-14,95.03,98.52,93.81,98.32,2884700,96.59
2011-02-07,91.84,95.89,91.,95.42,2124400,93.74
2011-01-31,91.,93.96,90.01,91.74,3446200,90.13
2011-01-24,93.12,94.84,90.18,90.48,2430700,88.89
2011-01-18,96.31,96.79,92.79,93.34,1932500,91.7
2011-01-10,93.01,97.,92.25,95.83,2815100,94.14
2011-01-03,93.54,94.32,91.8,93.15,2780100,91.51
2010-12-27,92.49,93.41,92.41,93.01,817500,91.37
2010-12-20,93.81,94.49,92.57,93.01,1319600,91.37
2010-12-13,94.9,95.19,91.28,93.07,3317800,91.43
2010-12-06,94.53,94.67,92.1,93.98,2230800,92.33
