Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.45,21.7,21.45,21.61,9382800,21.61
2014-02-18,21.68,21.8,21.12,21.44,8299900,21.44
2014-02-10,21.5,21.72,20.94,21.63,7837100,21.63
2014-02-03,20.94,21.25,20.37,21.1,10181000,21.1
2014-01-27,21.9,21.91,20.81,21.02,8931800,21.02
2014-01-21,21.63,21.96,21.28,21.32,8833900,21.32
2014-01-13,21.5,21.83,21.21,21.55,6646200,21.55
2014-01-06,21.01,21.55,20.93,21.53,7779600,21.53
2013-12-30,20.99,21.12,20.83,20.92,5050000,20.92
2013-12-23,20.93,21.14,20.88,20.92,3761300,20.92
2013-12-16,20.55,20.86,20.01,20.81,7410900,20.69
2013-12-09,20.34,20.49,19.95,20.09,6479200,19.98
2013-12-02,20.36,20.43,19.76,20.34,7584400,20.22
2013-11-25,20.7,20.75,20.3,20.32,6436000,20.2
2013-11-18,19.94,20.98,19.75,20.58,7756200,20.46
2013-11-11,20.04,20.16,19.1,19.94,6810500,19.83
2013-11-04,19.,20.03,18.75,20.01,8784600,19.9
2013-10-28,19.12,19.3,18.87,18.99,6579000,18.88
2013-10-21,18.79,19.39,18.79,19.08,7448500,18.97
2013-10-14,18.08,19.33,18.07,19.28,8932700,19.17
2013-10-07,18.03,18.28,17.49,18.2,8945200,18.1
2013-09-30,17.95,18.27,17.8,18.19,7081200,18.09
2013-09-23,18.31,18.35,17.93,18.08,6910200,17.98
2013-09-16,18.65,18.81,18.33,18.39,11253500,18.17
2013-09-09,18.25,18.64,18.13,18.38,8037300,18.16
2013-09-03,18.53,18.66,18.16,18.47,6642500,18.24
2013-08-26,19.24,19.28,18.15,18.29,7108900,18.07
2013-08-19,19.13,19.32,18.89,19.2,6269100,18.97
2013-08-12,19.22,19.43,18.97,19.16,6506400,18.93
2013-08-05,19.7,19.71,19.11,19.3,5742500,19.06
2013-07-29,19.31,19.73,19.14,19.69,6300900,19.45
2013-07-22,19.16,19.79,18.96,19.37,7629700,19.13
2013-07-15,19.02,19.09,18.27,19.02,10006400,18.79
2013-07-08,18.75,19.08,18.46,18.98,10591800,18.75
2013-07-01,18.23,18.68,18.05,18.67,7943400,18.44
2013-06-24,17.59,18.32,17.33,18.05,10348800,17.83
2013-06-17,18.46,18.53,17.43,17.7,13139400,17.37
2013-06-10,18.42,18.7,18.15,18.31,8674000,17.96
2013-06-03,18.23,18.44,17.64,18.42,9302900,18.07
2013-05-28,18.52,18.74,18.2,18.2,9100900,17.86
2013-05-20,18.23,18.5,17.76,18.25,8234300,17.91
2013-05-13,17.65,18.31,17.55,18.25,7647000,17.91
2013-05-06,17.08,17.81,17.02,17.71,6405900,17.38
2013-04-29,16.77,17.12,16.68,17.1,6519200,16.78
2013-04-22,16.31,16.95,16.11,16.76,6047200,16.44
2013-04-15,16.47,16.49,15.62,16.4,11853400,16.09
2013-04-08,15.99,16.86,15.89,16.49,10647200,16.18
2013-04-01,16.28,16.3,15.64,16.02,8990800,15.72
2013-03-25,16.31,16.45,16.2,16.31,6372000,16.
2013-03-18,16.37,16.62,16.23,16.29,7828400,15.88
2013-03-11,16.37,16.61,16.18,16.61,10172900,16.19
2013-03-04,15.83,16.37,15.71,16.34,10520000,15.92
2013-02-25,15.9,15.94,15.43,15.83,10488800,15.43
2013-02-19,16.07,16.16,15.51,15.8,11926000,15.4
2013-02-11,16.44,16.63,16.,16.05,11534200,15.64
2013-02-04,16.3,16.77,16.16,16.61,9551100,16.19
2013-01-28,16.34,16.63,16.08,16.49,9820200,16.07
2013-01-22,16.3,16.56,16.26,16.37,7663600,15.95
2013-01-14,15.49,16.63,15.19,16.38,14652100,15.96
2013-01-07,15.62,15.72,15.35,15.47,10720000,15.08
2012-12-31,14.92,15.77,14.91,15.69,12101300,15.29
2012-12-24,15.12,15.31,14.93,14.99,7474200,14.61
2012-12-17,14.43,15.18,14.42,15.12,10791900,14.64
2012-12-10,14.52,14.77,14.33,14.36,8148600,13.9
2012-12-03,14.69,14.69,14.05,14.54,10659500,14.08
2012-11-26,14.76,14.83,14.33,14.64,7605400,14.17
2012-11-19,14.3,14.89,14.28,14.89,7053600,14.42
2012-11-12,14.18,14.31,13.75,14.1,8501500,13.65
2012-11-05,14.39,14.63,13.88,14.16,9259100,13.71
2012-10-31,14.59,14.68,14.33,14.38,9148100,13.92
2012-10-22,14.96,15.12,14.4,14.49,9544400,14.03
2012-10-15,15.36,15.48,14.98,15.02,14465000,14.54
2012-10-08,15.99,16.06,15.23,15.27,10659100,14.78
2012-10-01,15.37,16.16,15.33,15.99,11183500,15.48
2012-09-24,15.46,15.79,15.32,15.51,9559000,15.02
2012-09-17,15.85,15.85,15.32,15.58,9716200,14.99
2012-09-10,15.19,15.95,15.09,15.78,12208000,15.18
2012-09-04,15.02,15.41,14.89,15.31,13307100,14.73
2012-08-27,14.93,15.24,14.78,15.14,9466900,14.56
2012-08-20,14.39,15.02,14.33,14.81,9684100,14.25
2012-08-13,14.26,14.47,14.16,14.4,7149600,13.85
2012-08-06,14.11,14.42,13.98,14.29,7745400,13.75
2012-07-30,14.23,14.25,13.5,14.07,8889400,13.53
2012-07-23,13.47,14.37,13.37,14.24,11480600,13.7
2012-07-16,13.63,14.,13.44,13.64,8647000,13.12
2012-07-09,13.32,13.71,13.07,13.69,7659100,13.17
2012-07-02,13.54,13.61,13.22,13.38,6663700,12.87
2012-06-25,13.03,13.44,12.69,13.4,10628300,12.89
2012-06-18,13.12,13.34,12.9,13.27,12580400,12.68
2012-06-11,13.06,13.19,12.54,13.18,10735500,12.6
2012-06-04,12.54,12.95,12.04,12.93,13661600,12.36
