Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,32.86,33.13,32.64,33.,1183500,33.
2014-02-18,30.69,32.91,30.69,32.79,1283500,32.79
2014-02-10,30.98,31.47,30.36,30.89,1255900,30.89
2014-02-03,31.75,32.22,29.63,30.71,1542100,30.61
2014-01-27,32.82,33.05,31.68,31.72,931500,31.62
2014-01-21,33.64,34.19,32.6,32.67,1064200,32.56
2014-01-13,32.3,33.97,32.15,33.44,1223300,33.33
2014-01-06,29.03,33.73,28.86,32.3,2389400,32.2
2013-12-30,29.72,30.13,28.81,29.02,590500,28.93
2013-12-23,29.38,29.89,29.23,29.76,384200,29.66
2013-12-16,28.79,29.17,28.03,29.14,1085700,29.05
2013-12-09,29.46,29.59,28.39,28.7,766200,28.61
2013-12-02,29.61,30.,28.98,29.38,966200,29.29
2013-11-25,29.78,30.,29.62,29.67,471400,29.57
2013-11-18,29.57,29.9,29.06,29.74,772400,29.64
2013-11-11,29.11,29.53,28.89,29.53,726600,29.43
2013-11-04,28.51,29.1,28.15,29.06,848900,28.88
2013-10-28,28.54,28.81,28.09,28.38,943100,28.2
2013-10-21,29.47,29.62,28.05,28.54,1195500,28.36
2013-10-14,32.96,33.2,27.91,29.43,3001500,29.25
2013-10-07,32.02,32.68,31.4,32.67,717800,32.47
2013-09-30,31.12,32.53,30.93,32.41,1010300,32.21
2013-09-23,32.01,32.01,31.02,31.32,664900,31.12
2013-09-16,32.33,32.36,31.53,31.59,1185800,31.39
2013-09-09,31.75,32.58,31.65,31.85,739300,31.65
2013-09-03,31.72,32.2,31.1,31.69,690700,31.49
2013-08-26,32.31,32.56,31.25,31.28,665100,31.08
2013-08-19,32.26,33.08,31.72,32.31,769800,32.11
2013-08-12,32.86,33.37,32.,32.2,766000,32.
2013-08-05,33.55,33.75,32.51,32.99,1220400,32.69
2013-07-29,31.76,33.81,31.,33.75,1608100,33.45
2013-07-22,29.11,32.79,28.81,32.44,1749200,32.15
2013-07-15,29.24,29.58,28.68,28.97,736800,28.71
2013-07-08,28.16,29.27,27.98,29.19,939400,28.93
2013-07-01,27.18,28.,27.04,27.91,979800,27.66
