Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,79.18,79.99,78.65,78.93,1200100,78.93
2014-02-18,80.27,83.1,79.03,79.19,2316200,79.19
2014-02-10,77.05,80.41,76.68,79.67,1636000,79.67
2014-02-03,75.87,78.03,73.32,77.21,1344600,77.21
2014-01-27,77.39,78.21,74.93,75.96,1502600,75.96
2014-01-21,82.7,83.93,77.48,77.48,1781500,77.48
2014-01-13,78.89,82.24,77.74,82.05,1699300,82.05
2014-01-06,79.55,79.98,78.29,78.9,1135600,78.9
2013-12-30,79.96,80.45,78.79,79.15,923100,79.15
2013-12-23,79.69,80.34,78.68,79.76,651300,79.76
2013-12-16,75.5,79.52,75.42,79.37,1565300,79.37
2013-12-09,77.41,77.99,74.59,74.79,1269600,74.79
2013-12-02,77.9,78.5,75.91,77.41,976800,77.41
2013-11-25,79.03,79.95,77.41,77.81,1149500,77.81
2013-11-18,79.64,79.95,76.01,78.63,1190700,78.47
2013-11-11,77.44,79.68,76.19,79.36,1229900,79.2
2013-11-04,75.26,77.96,74.54,77.92,1848000,77.76
2013-10-28,76.44,77.3,73.15,74.9,1954500,74.75
2013-10-21,77.13,78.23,75.31,76.31,1140800,76.16
2013-10-14,72.34,77.56,72.03,77.19,1428700,77.03
2013-10-07,71.34,73.37,68.93,72.98,1150800,72.83
2013-09-30,70.12,73.75,70.03,71.87,1212600,71.72
2013-09-23,71.75,72.13,70.45,71.05,1294800,70.91
2013-09-16,68.7,74.72,67.54,72.01,1901800,71.86
2013-09-09,64.91,68.48,64.91,67.21,1348700,67.07
2013-09-03,64.08,65.55,63.21,64.58,843800,64.45
2013-08-26,66.32,67.02,63.17,63.43,1167900,63.3
2013-08-19,65.86,66.69,64.66,66.08,1205700,65.78
2013-08-12,65.4,66.74,65.23,66.19,1267800,65.89
2013-08-05,66.32,66.91,64.22,65.98,2129500,65.68
2013-07-29,61.34,67.06,59.98,66.53,2356900,66.23
2013-07-22,62.62,63.38,61.11,61.6,1142600,61.32
2013-07-15,61.5,63.12,60.65,62.84,1096800,62.56
2013-07-08,58.8,61.86,57.71,61.49,1546800,61.21
2013-07-01,59.84,59.99,57.5,58.59,1369000,58.33
2013-06-24,59.11,59.9,57.84,59.31,1681100,59.04
2013-06-17,61.5,63.51,59.3,60.17,1749700,59.9
2013-06-10,63.,63.48,59.94,61.,1440800,60.72
2013-06-03,63.26,63.61,61.08,62.86,1474000,62.58
2013-05-28,64.83,64.87,63.12,63.21,1374800,62.92
2013-05-20,64.22,66.9,62.38,63.68,2031400,63.23
2013-05-13,61.47,64.67,60.27,64.57,1957600,64.12
2013-05-06,59.81,62.37,59.4,61.91,1708600,61.48
2013-04-29,56.52,61.75,55.63,59.8,2217800,59.38
2013-04-22,54.28,57.16,53.5,56.38,2053100,55.98
2013-04-15,59.72,59.72,53.76,54.16,5630100,53.78
2013-04-08,62.07,63.64,60.01,60.22,1523200,59.8
2013-04-01,66.3,66.83,60.,62.03,1666700,61.59
2013-03-25,65.11,66.46,63.8,66.33,1112100,65.86
2013-03-18,63.46,65.08,62.73,64.94,1174200,64.48
2013-03-11,64.27,65.15,63.03,64.48,1174500,64.03
2013-03-04,60.17,64.52,58.56,64.31,1988200,63.86
2013-02-25,64.48,64.56,59.49,60.51,2287300,60.08
2013-02-19,64.47,66.28,61.89,64.05,2129600,63.44
2013-02-11,64.01,64.99,63.15,64.51,1280400,63.89
2013-02-04,65.4,65.69,63.24,63.71,1278000,63.1
2013-01-28,66.09,66.67,63.99,65.83,1316900,65.2
2013-01-22,63.18,66.06,62.93,66.06,1231900,65.43
2013-01-14,62.2,64.2,61.34,63.31,1008900,62.7
2013-01-07,60.16,62.77,59.32,62.17,1411900,61.58
2012-12-31,57.23,61.22,56.84,60.53,1561700,59.95
2012-12-24,58.96,59.06,57.19,57.23,826700,56.68
2012-12-17,57.49,59.96,57.22,59.15,1411500,58.58
2012-12-10,56.24,58.83,56.15,57.09,1979100,56.54
2012-12-03,53.27,56.37,52.79,56.32,1812100,55.78
2012-11-26,53.4,54.01,51.87,53.08,1483400,52.57
2012-11-19,51.25,53.81,51.11,53.81,1400600,53.14
2012-11-12,52.33,53.09,51.09,51.82,1841900,51.17
2012-11-05,51.65,54.79,51.45,52.16,2248000,51.51
2012-10-31,56.25,58.65,51.88,52.01,3451400,51.36
2012-10-22,57.16,57.61,54.55,55.31,982800,54.62
2012-10-15,56.5,59.4,56.13,57.16,1245000,56.44
2012-10-08,56.75,57.25,55.55,56.39,1116400,55.68
2012-10-01,56.56,58.29,56.22,57.2,1326000,56.48
2012-09-24,58.75,59.12,55.36,56.28,1321000,55.57
2012-09-17,60.19,60.19,58.45,59.2,1655100,58.46
2012-09-10,54.58,60.82,54.55,60.15,2833600,59.4
2012-09-04,51.52,55.22,51.13,54.75,1808100,54.06
2012-08-27,53.1,53.19,51.14,51.5,1205900,50.85
2012-08-20,53.98,55.,52.6,53.07,1056700,52.24
2012-08-13,53.58,54.75,52.91,54.26,1028400,53.42
2012-08-06,52.57,54.58,52.27,53.66,1805600,52.83
2012-07-30,51.15,53.,48.89,52.2,1832700,51.39
2012-07-23,47.63,51.16,46.57,50.58,1557600,49.79
2012-07-16,47.1,49.72,46.37,48.73,1313600,47.97
2012-07-09,48.96,49.05,45.61,47.26,1802800,46.52
2012-07-02,49.49,50.23,48.46,49.06,1295100,48.3
2012-06-25,45.53,49.76,44.99,49.34,2134200,48.57
2012-06-18,47.05,49.41,45.65,46.08,2013600,45.36
2012-06-11,49.23,49.34,46.62,47.48,1749600,46.74
2012-06-04,46.55,50.96,45.54,48.53,2615100,47.77
2012-05-29,50.28,50.87,45.62,46.49,3271300,45.77
2012-05-21,49.95,51.46,49.32,49.7,1998100,48.76
2012-05-14,53.05,53.24,49.4,49.59,2124400,48.66
2012-05-07,57.24,57.24,53.43,53.89,2406200,52.88
2012-04-30,58.74,59.99,56.24,56.93,2192300,55.86
2012-04-23,57.35,59.07,56.59,58.77,1509700,57.66
2012-04-16,58.55,60.21,57.64,58.44,1452800,57.34
2012-04-09,59.18,59.76,57.,58.1,1444300,57.01
2012-04-02,59.98,61.65,59.53,59.92,1692100,58.79
2012-03-26,61.43,62.73,59.05,60.04,1729400,58.91
2012-03-19,62.47,62.47,58.85,60.76,1957300,59.62
2012-03-12,61.04,63.33,60.32,62.68,1594200,61.5
2012-03-05,61.63,61.91,57.89,61.05,1807300,59.9
2012-02-27,62.45,63.25,60.34,61.69,1869300,60.53
2012-02-21,61.32,64.67,60.11,63.4,3000400,62.04
2012-02-13,60.28,61.24,59.,61.,1458100,59.69
2012-02-06,59.62,60.44,58.54,59.57,1143500,58.29
2012-01-30,56.33,60.63,55.13,59.86,1633000,58.58
2012-01-23,55.94,58.53,54.55,57.23,1706200,56.
2012-01-17,54.29,57.09,53.67,55.87,1929500,54.67
2012-01-09,51.9,54.35,51.32,53.54,1892500,52.39
2012-01-03,51.53,52.62,51.02,51.72,1431900,50.61
2011-12-27,50.38,51.16,49.6,50.25,1143200,49.17
2011-12-19,48.31,50.83,46.83,50.74,1758600,49.65
2011-12-12,51.43,51.87,47.97,48.09,2736800,47.06
2011-12-05,55.04,56.16,51.5,52.48,2215800,51.36
2011-11-28,52.1,55.45,51.7,53.84,1963700,52.69
2011-11-21,51.99,53.02,49.5,49.51,1850700,48.33
2011-11-14,55.62,56.1,52.08,52.52,2192300,51.27
2011-11-07,55.2,56.43,52.81,56.1,2420500,54.77
2011-10-31,58.36,58.8,53.09,54.86,3279400,53.56
2011-10-24,54.63,60.76,54.58,59.63,2279100,58.21
2011-10-17,55.18,55.27,51.07,54.52,2233200,53.22
2011-10-10,51.48,55.97,51.48,55.67,1817900,54.35
2011-10-03,46.28,52.31,44.16,50.14,2848300,48.95
2011-09-26,50.62,53.91,45.86,46.55,3044000,45.44
2011-09-19,59.11,59.44,47.81,50.31,2723700,49.11
2011-09-12,56.43,61.07,55.51,60.57,1696600,59.13
2011-09-06,55.72,61.,55.52,57.51,2091600,56.14
2011-08-29,58.42,62.43,57.64,58.13,1800800,56.75
2011-08-22,55.92,58.14,54.,57.39,1792700,55.91
2011-08-15,59.55,61.61,53.86,54.18,2884500,52.78
2011-08-08,54.55,59.15,49.04,58.79,4110600,57.27
2011-08-01,64.89,64.98,54.51,57.11,3295300,55.64
2011-07-25,66.79,68.,62.01,63.53,1423400,61.89
2011-07-18,65.08,67.75,63.9,67.38,1226200,65.64
2011-07-11,66.12,66.39,63.82,65.15,1749100,63.47
2011-07-05,64.27,67.1,63.69,66.99,2227900,65.26
2011-06-27,61.01,65.07,60.8,64.09,1585900,62.44
2011-06-20,60.19,63.03,60.1,61.12,1817000,59.54
2011-06-13,61.87,64.04,60.36,60.48,1942500,58.92
2011-06-06,65.32,65.47,61.19,61.95,2008300,60.35
2011-05-31,69.12,69.48,65.11,65.75,1583000,64.05
2011-05-23,66.02,68.5,65.45,68.,1765600,66.13
2011-05-16,68.72,70.24,66.63,67.33,3063300,65.47
2011-05-09,70.85,73.18,68.76,69.,2391700,67.1
2011-05-02,70.24,72.34,64.75,70.87,2669900,68.92
2011-04-25,68.9,70.27,66.64,69.94,1908100,68.01
2011-04-18,67.87,69.47,65.88,69.4,1748400,67.49
2011-04-11,70.53,70.99,66.5,68.73,2292300,66.84
2011-04-04,73.04,74.49,70.07,70.7,1492500,68.75
