Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,32.93,33.61,32.93,33.17,12046100,33.17
2014-02-18,32.64,33.23,32.56,32.94,10240300,32.94
2014-02-10,32.15,32.82,31.81,32.59,12037300,32.59
2014-02-03,31.8,32.95,30.69,32.24,18244700,32.24
2014-01-27,31.17,32.35,30.67,31.82,15942700,31.82
2014-01-21,32.06,32.32,31.18,31.27,15216100,31.27
2014-01-13,33.22,33.42,31.76,32.04,18796500,32.04
2014-01-06,35.31,35.42,32.94,33.46,13826800,33.46
2013-12-30,34.57,35.75,34.51,35.2,7842500,35.2
2013-12-23,34.5,35.14,34.24,34.96,6494400,34.96
2013-12-16,33.18,34.56,32.44,34.3,13509100,34.3
2013-12-09,33.36,33.4,32.25,32.93,8684600,32.93
2013-12-02,33.52,33.78,32.56,33.14,9854300,33.14
2013-11-25,33.47,33.8,32.88,33.49,6979800,33.49
2013-11-18,34.12,34.28,32.96,33.4,8638200,33.4
2013-11-11,33.74,34.4,32.85,34.19,9787100,34.19
2013-11-04,34.5,35.44,31.71,33.84,13610500,33.84
2013-10-28,34.88,35.03,33.76,34.37,10136100,34.37
2013-10-21,34.21,35.33,34.2,34.86,10342100,34.86
2013-10-14,32.99,34.59,32.94,34.26,8335700,34.26
2013-10-07,33.71,33.72,32.01,33.23,9027200,33.23
2013-09-30,33.07,34.12,32.8,33.65,14485000,33.65
2013-09-23,32.75,33.43,32.25,33.26,8117200,33.26
2013-09-16,33.1,33.36,32.3,33.01,9918600,33.01
2013-09-09,32.11,32.66,31.79,32.63,8255000,32.63
2013-09-03,32.32,32.41,31.43,32.1,8192700,31.97
2013-08-26,32.16,32.56,31.14,31.33,8445800,31.21
2013-08-19,32.1,33.61,31.41,32.19,9207900,32.06
2013-08-12,32.56,32.84,31.52,31.97,9266000,31.85
2013-08-05,31.4,33.84,31.09,32.77,19661100,32.64
2013-07-29,30.29,31.56,29.42,31.53,14777500,31.41
2013-07-22,31.32,31.48,30.06,30.43,8999200,30.31
2013-07-15,30.28,31.14,29.9,30.68,9891100,30.56
2013-07-08,30.6,30.65,29.61,30.19,14358700,30.07
2013-07-01,28.77,30.54,28.77,30.39,12490300,30.27
2013-06-24,31.35,33.05,30.76,32.58,21801700,28.67
2013-06-17,31.3,32.66,30.96,31.42,26651100,27.65
2013-06-10,32.4,32.42,30.33,31.29,19274100,27.53
2013-06-03,32.17,32.95,30.94,32.17,19748000,28.31
2013-05-28,32.87,33.5,32.09,32.11,17567400,28.26
2013-05-20,33.06,33.92,32.51,33.09,16076400,29.12
2013-05-13,33.1,33.67,32.82,33.22,16187200,29.23
2013-05-06,31.88,34.04,31.42,33.27,19947700,29.28
2013-04-29,31.18,32.53,30.83,31.97,17624800,28.13
2013-04-22,31.22,31.92,31.,31.15,12224100,27.41
2013-04-15,31.23,31.46,30.18,31.21,17280900,27.46
2013-04-08,30.76,31.69,30.56,31.54,14179600,27.75
2013-04-01,30.85,31.13,29.62,30.64,15426700,26.96
2013-03-25,30.41,30.67,29.88,30.51,11149700,26.85
2013-03-18,30.03,30.37,29.31,30.29,14617900,26.65
2013-03-11,30.43,30.7,30.12,30.36,14795900,26.72
2013-03-04,28.84,30.76,28.68,30.57,19564700,26.83
2013-02-25,28.67,29.16,27.98,29.14,18249100,25.57
2013-02-19,28.86,29.3,28.17,28.57,17624300,25.07
2013-02-11,28.54,28.93,28.13,28.9,18298100,25.36
2013-02-04,27.92,28.46,27.34,28.46,32695700,24.97
2013-01-28,27.54,28.43,27.32,28.16,24063000,24.71
2013-01-22,27.3,27.6,26.97,27.21,22478300,23.88
2013-01-14,26.72,27.57,26.54,27.26,14917700,23.92
2013-01-07,26.34,27.01,25.98,26.93,13798900,23.63
2012-12-31,24.52,26.71,24.4,26.5,21129700,23.25
2012-12-24,25.,25.24,24.48,24.61,12508300,21.6
2012-12-17,24.6,25.53,24.45,24.95,20385100,21.89
2012-12-10,24.79,25.1,24.26,24.44,21517800,21.45
2012-12-03,24.81,25.02,24.21,24.87,15507800,21.82
2012-11-26,24.26,24.85,23.84,24.64,16988900,21.62
2012-11-19,23.64,24.46,23.49,24.3,12779000,21.32
2012-11-12,24.42,24.6,22.97,23.29,22433400,20.44
2012-11-05,23.87,25.05,23.74,24.42,22941700,21.43
2012-10-31,23.97,24.52,23.82,23.89,15105000,20.96
2012-10-22,24.81,25.,23.49,23.79,18101000,20.88
2012-10-15,24.14,25.5,23.98,24.91,12713400,21.86
2012-10-08,25.24,25.29,24.02,24.11,18605400,21.16
2012-10-01,24.63,25.45,24.42,25.19,13279100,22.1
2012-09-24,24.76,25.05,24.1,24.51,13351700,21.51
2012-09-17,24.65,25.18,24.35,24.96,15914800,21.9
2012-09-10,24.46,24.8,24.01,24.67,18542000,21.65
2012-09-04,23.43,24.7,23.25,24.47,19075100,21.4
2012-08-27,23.34,23.56,23.05,23.39,9518100,20.45
2012-08-20,23.19,23.59,22.9,23.31,18129000,20.38
2012-08-13,23.34,23.61,23.17,23.26,12590600,20.34
2012-08-06,23.59,24.05,23.22,23.39,26872500,20.45
2012-07-30,23.36,23.57,22.67,23.47,18418300,20.52
2012-07-23,21.56,23.56,21.41,23.38,17615500,20.44
2012-07-16,21.85,22.84,21.64,21.99,14828700,19.23
2012-07-09,22.08,22.2,21.28,21.95,16423900,19.19
2012-07-02,22.3,22.94,22.05,22.13,18772900,19.35
2012-06-25,20.16,22.73,19.98,22.29,52632300,19.49
2012-06-18,20.06,20.61,19.85,20.36,16026400,17.8
2012-06-11,19.72,20.1,19.1,20.07,21289100,17.55
2012-06-04,18.42,19.74,18.32,19.44,21582900,17.
2012-05-29,19.6,19.81,18.54,18.55,21119200,16.22
2012-05-21,19.24,19.74,18.94,19.43,18765200,16.99
2012-05-14,20.02,20.5,19.21,19.27,19238900,16.85
2012-05-07,19.1,20.7,18.89,20.22,23107000,17.68
2012-04-30,19.49,20.,19.18,19.18,14844100,16.77
2012-04-23,18.88,19.72,18.65,19.58,16704400,17.12
2012-04-16,19.23,19.52,18.86,19.01,14260400,16.62
2012-04-09,19.11,19.38,18.65,19.15,14339000,16.75
2012-04-02,19.63,20.18,19.16,19.49,16711700,17.04
2012-03-26,19.99,20.4,19.31,19.71,21432400,17.24
2012-03-19,19.93,20.33,19.48,19.79,11573300,17.31
2012-03-12,19.73,20.38,19.45,20.01,18699700,17.5
2012-03-05,19.72,20.02,18.92,19.83,14137300,17.27
2012-02-27,19.62,20.36,19.27,19.81,22093600,17.25
2012-02-21,19.64,19.84,19.23,19.56,14719100,17.03
2012-02-13,19.31,19.65,18.78,19.6,23879500,17.07
2012-02-06,19.22,19.75,19.05,19.18,23139200,16.7
2012-01-30,18.69,19.34,18.58,19.28,18427000,16.79
2012-01-23,19.08,19.31,18.69,18.88,18715000,16.44
2012-01-17,19.01,19.79,18.87,19.19,20550500,16.71
2012-01-09,18.32,18.96,18.22,18.61,13920000,16.2
2012-01-03,18.23,18.66,18.01,18.3,21008800,15.93
2011-12-27,17.57,17.95,17.38,17.84,11533000,15.53
2011-12-19,17.09,17.62,16.68,17.62,15413500,15.34
2011-12-12,17.5,17.75,16.95,16.98,24782300,14.78
2011-12-05,17.99,18.,17.12,17.56,18387800,15.29
2011-11-28,16.36,17.92,16.33,17.6,16966200,15.32
2011-11-21,16.17,16.49,15.93,15.97,18467500,13.91
2011-11-14,17.04,17.57,16.3,16.32,23190900,14.21
2011-11-07,16.81,17.31,16.35,17.17,24734700,14.95
2011-10-31,17.63,17.71,16.55,16.8,32111600,14.63
2011-10-24,17.28,17.98,16.73,17.8,28723400,15.5
2011-10-17,17.07,17.24,16.46,17.2,27586900,14.98
2011-10-10,16.52,17.5,16.48,17.18,18429000,14.96
2011-10-03,15.33,16.44,14.72,16.25,30897400,14.15
2011-09-26,16.21,16.9,15.47,15.48,29246200,13.48
2011-09-19,16.57,17.33,15.32,16.11,33760700,14.03
2011-09-12,15.73,17.02,15.7,16.96,36917800,14.77
2011-09-06,15.81,16.7,15.71,16.03,29233400,13.87
2011-08-29,17.1,17.5,16.22,16.27,29324200,14.08
2011-08-22,15.84,17.26,15.42,16.87,32572100,14.6
2011-08-15,16.32,17.57,15.51,15.56,49454500,13.47
2011-08-08,14.17,16.77,13.38,16.23,69207900,14.05
2011-08-01,15.95,16.21,14.11,14.67,50022700,12.7
2011-07-25,16.12,16.46,15.76,16.02,30659900,13.87
2011-07-18,15.11,16.65,14.76,16.42,56290200,14.21
2011-07-11,16.25,16.5,14.89,15.64,118791400,13.54
2011-07-05,17.9,18.2,16.56,16.75,38536100,14.5
2011-06-27,16.67,18.07,16.52,18.06,15251800,15.63
2011-06-20,16.02,16.91,15.99,16.74,18749500,14.49
2011-06-13,16.25,16.5,15.95,16.05,19910400,13.89
2011-06-06,17.12,17.17,16.29,16.38,16545300,14.18
2011-05-31,18.,18.35,17.13,17.18,18901700,14.87
2011-05-23,17.22,18.07,16.95,17.98,18926900,15.56
