Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,96.26,98.54,96.19,98.25,3792900,98.25
2014-02-18,92.8,97.97,90.21,96.88,15636700,96.88
2014-02-10,68.52,71.4,67.97,71.39,2313000,71.39
2014-02-03,66.3,69.,64.33,68.89,2385000,68.89
2014-01-27,65.43,66.47,64.03,66.3,2152400,66.3
2014-01-21,72.03,72.4,64.91,64.95,3212700,64.95
2014-01-13,68.53,70.86,67.62,68.74,2591500,68.74
2014-01-06,59.76,70.14,58.38,69.,4436500,69.
2013-12-30,59.66,60.29,59.12,59.62,1173200,59.62
2013-12-23,57.5,59.63,57.5,59.6,1250500,59.6
2013-12-16,55.58,57.5,54.91,57.32,1440000,57.32
2013-12-09,56.47,57.06,54.73,55.46,1420200,55.46
2013-12-02,53.56,58.32,52.95,56.91,3796300,56.91
2013-11-25,51.66,52.06,50.87,51.31,1260300,51.31
2013-11-18,51.83,52.07,50.65,51.58,1194400,51.58
2013-11-11,47.99,51.69,47.91,51.66,1712700,51.66
2013-11-04,47.17,48.01,46.8,48.,1659400,48.
2013-10-28,47.18,47.51,46.42,47.15,2237200,47.15
2013-10-21,44.45,48.,43.78,47.34,2964900,47.34
2013-10-14,43.07,44.88,42.94,44.44,1417400,44.44
2013-10-07,42.99,43.31,42.49,43.3,1745200,43.3
2013-09-30,43.,43.47,42.59,43.27,1706300,43.27
2013-09-23,44.21,44.25,42.98,43.17,894300,43.17
2013-09-16,44.58,44.96,44.05,44.27,1077900,44.27
2013-09-09,43.18,44.61,43.16,44.12,1128600,44.12
2013-09-03,42.91,43.93,42.59,43.21,801300,43.21
2013-08-26,42.89,43.13,41.97,42.53,704300,42.53
2013-08-19,42.26,43.09,42.17,42.8,1073400,42.8
2013-08-12,43.56,43.89,42.21,42.43,926800,42.43
2013-08-05,44.53,44.72,43.79,43.81,927800,43.81
2013-07-29,43.92,44.92,43.31,44.71,1216000,44.71
2013-07-22,43.84,44.87,42.68,44.41,2112600,44.41
2013-07-15,43.83,44.04,43.11,43.76,900400,43.76
2013-07-08,42.35,43.98,42.29,43.92,1372900,43.92
2013-07-01,41.05,42.42,40.98,42.39,1128500,42.39
2013-06-24,40.45,41.42,40.11,41.,1588100,41.
2013-06-17,41.24,43.85,40.07,40.83,3800400,40.83
2013-06-10,40.35,41.1,39.47,41.08,1678300,41.08
2013-06-03,39.75,40.7,39.28,40.45,1325000,40.45
2013-05-28,39.36,40.49,39.35,39.75,2622400,39.75
2013-05-20,38.53,39.68,37.44,39.23,1942700,39.23
2013-05-13,38.15,39.09,37.86,38.53,922500,38.53
2013-05-06,37.57,38.28,36.89,38.26,996400,38.26
2013-04-29,37.17,37.6,36.9,37.57,1232200,37.57
2013-04-22,35.92,37.57,35.5,37.03,1645300,37.03
2013-04-15,37.89,37.89,35.22,35.91,1850600,35.91
2013-04-08,37.43,38.45,37.03,37.99,922200,37.99
2013-04-01,37.91,38.01,37.08,37.52,1158100,37.52
2013-03-25,37.71,38.08,37.15,38.04,1240100,38.04
2013-03-18,37.64,38.12,37.39,37.78,969400,37.78
2013-03-11,37.78,38.25,37.63,38.04,1647300,38.04
2013-03-04,36.61,38.04,36.58,37.9,1443500,37.9
2013-02-25,36.66,37.29,36.25,36.76,1838600,36.76
2013-02-19,35.98,36.72,35.82,36.67,1682100,36.67
2013-02-11,35.46,36.46,35.26,36.,2692600,36.
2013-02-04,36.16,36.49,35.3,35.51,1449200,35.51
2013-01-28,36.97,36.97,35.96,36.48,1825600,36.48
2013-01-22,36.8,37.2,36.6,36.79,1505300,36.79
2013-01-14,38.04,38.19,36.2,36.77,2205900,36.77
2013-01-07,36.97,38.45,36.63,38.11,1769100,38.11
2012-12-31,34.72,37.23,34.67,37.07,2025100,37.07
2012-12-24,35.08,35.48,34.51,34.84,972100,34.84
2012-12-17,35.73,36.12,35.09,35.19,1410800,35.19
2012-12-10,35.9,37.06,35.29,35.7,1704900,35.7
2012-12-03,35.58,36.25,35.02,35.72,2010400,35.72
2012-11-26,32.84,35.46,32.84,35.46,3389900,35.46
2012-11-19,32.57,33.32,32.24,33.32,977600,33.32
2012-11-12,33.17,33.32,31.71,32.32,1932700,32.32
2012-11-05,33.89,34.25,32.81,33.15,1352300,33.15
2012-10-31,34.84,34.84,33.62,34.14,1559200,34.14
2012-10-22,34.84,35.07,34.02,34.17,1284400,34.17
2012-10-15,36.4,37.34,34.61,34.9,2459600,34.9
2012-10-08,37.32,37.39,36.21,36.28,1222200,36.28
2012-10-01,35.78,37.7,35.68,37.42,2737200,37.42
2012-09-24,35.56,37.31,34.93,35.61,2881300,35.61
2012-09-17,34.95,35.89,34.83,35.69,2323800,35.69
2012-09-10,35.59,35.59,34.47,34.87,2269900,34.87
2012-09-04,34.6,35.8,34.6,35.37,1971000,35.37
2012-08-27,34.68,35.45,34.55,34.69,1850900,34.69
2012-08-20,34.24,34.85,33.96,34.68,1883400,34.68
2012-08-13,33.6,34.52,33.54,34.21,2097400,34.21
2012-08-06,33.5,33.9,32.88,33.76,1580700,33.76
2012-07-30,33.98,34.07,31.28,33.54,2901200,33.54
2012-07-23,34.55,34.7,33.31,34.04,1814400,34.04
2012-07-16,35.46,36.14,34.83,34.9,1462500,34.9
2012-07-09,35.5,36.13,34.86,35.36,1530500,35.36
2012-07-02,34.73,36.44,34.73,35.48,2025100,35.48
2012-06-25,33.84,35.03,33.04,34.99,1468800,34.99
2012-06-18,34.42,35.,33.82,34.09,1594400,34.09
2012-06-11,34.89,35.69,34.06,34.45,2541200,34.45
2012-06-04,34.33,35.75,34.14,35.69,1791000,35.69
2012-05-29,33.62,35.17,33.26,34.29,3070700,34.29
2012-05-21,33.21,33.96,32.71,33.38,1429800,33.38
2012-05-14,33.92,34.28,33.17,33.2,1879700,33.2
2012-05-07,33.91,34.98,33.46,34.24,1618500,34.24
2012-04-30,34.93,35.09,33.89,33.93,1409400,33.93
2012-04-23,33.67,35.12,33.21,34.92,2130000,34.92
2012-04-16,33.52,35.28,33.36,33.87,2964600,33.87
2012-04-09,34.06,34.3,33.31,33.45,2157500,33.45
2012-04-02,34.32,34.81,34.24,34.61,2226100,34.61
2012-03-26,34.44,35.06,34.33,34.69,1867800,34.69
2012-03-19,33.44,34.27,33.09,34.16,1888400,34.16
2012-03-12,33.5,33.98,33.01,33.55,1719200,33.55
2012-03-05,32.43,33.52,32.03,33.45,1712000,33.45
2012-02-27,32.07,32.88,31.94,32.47,1345800,32.47
2012-02-21,32.07,32.59,31.48,32.29,1546300,32.29
2012-02-13,31.67,32.25,31.3,32.03,1388900,32.03
2012-02-06,31.76,31.94,31.16,31.54,1472500,31.54
2012-01-30,31.66,32.08,31.34,31.85,1809100,31.85
2012-01-23,32.17,32.33,31.43,31.78,1840500,31.78
2012-01-17,31.82,32.37,31.37,32.17,2574100,32.17
2012-01-09,30.56,31.48,30.48,30.9,1654500,30.9
2012-01-03,30.63,30.84,30.09,30.6,2269800,30.6
2011-12-27,30.29,30.74,30.01,30.26,1355000,30.26
2011-12-19,29.03,30.45,28.69,30.45,1674500,30.45
2011-12-12,29.43,29.62,28.47,29.03,2271400,29.03
2011-12-05,30.18,30.34,29.59,29.66,1917900,29.66
2011-11-28,29.15,30.19,29.,29.89,2114500,29.89
2011-11-21,28.96,29.52,28.56,28.63,2132600,28.63
2011-11-14,30.4,30.54,29.18,29.28,2567500,29.28
2011-11-07,30.5,30.89,29.77,30.52,1946900,30.52
2011-10-31,31.31,31.48,30.28,30.49,2396800,30.49
2011-10-24,31.33,32.05,30.6,31.78,3028900,31.78
2011-10-17,32.49,32.49,30.2,31.25,2830800,31.25
2011-10-10,32.19,32.66,31.85,32.56,1862400,32.56
2011-10-03,30.58,32.41,29.26,31.75,4167500,31.75
