Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,50.37,51.09,50.16,50.66,1555300,50.66
2014-02-18,51.31,51.55,50.01,50.02,1586300,50.02
2014-02-10,48.59,51.96,48.13,51.24,2533100,51.24
2014-02-03,49.46,50.91,47.6,48.37,3798700,48.37
2014-01-27,49.49,50.02,48.33,49.44,2158300,49.44
2014-01-21,51.43,52.18,48.98,49.4,2242800,49.4
2014-01-13,52.35,52.35,50.82,51.,1656800,51.
2014-01-06,52.,52.33,50.98,52.31,1443000,52.31
2013-12-30,52.16,52.34,50.86,51.9,1546500,51.9
2013-12-23,52.67,52.96,51.6,51.9,1039800,51.9
2013-12-16,52.33,53.48,51.3,52.3,2488600,52.3
2013-12-09,50.61,51.6,50.02,51.56,2318800,51.56
2013-12-02,48.21,51.12,47.65,50.72,1832000,50.72
2013-11-25,48.93,49.13,47.58,48.1,1527800,48.1
2013-11-18,49.69,49.84,48.22,49.04,2309100,49.04
2013-11-11,49.72,50.36,48.5,49.54,1427100,49.54
2013-11-04,50.84,50.9,49.36,49.75,1683500,49.75
2013-10-28,51.74,52.7,49.83,50.41,3620500,50.41
2013-10-21,59.6,59.6,50.88,51.13,4287800,51.13
2013-10-14,57.02,59.79,56.75,59.34,1154800,59.34
2013-10-07,56.38,57.74,55.23,57.35,867700,57.35
2013-09-30,54.84,57.61,54.61,57.11,1330600,57.11
2013-09-23,56.36,56.36,54.62,55.33,978200,55.33
2013-09-16,55.39,57.92,54.87,56.37,1514200,56.37
2013-09-09,55.15,55.67,54.04,54.4,1139500,54.4
2013-09-03,54.35,55.76,53.74,54.71,1140900,54.71
2013-08-26,55.45,55.64,53.28,53.63,1057100,53.63
2013-08-19,53.23,55.59,52.21,55.11,1117300,55.11
2013-08-12,53.55,54.6,52.71,53.25,918100,53.25
2013-08-05,54.94,55.1,53.01,53.93,1291600,53.93
2013-07-29,54.51,55.23,53.09,55.11,1713200,55.11
2013-07-22,57.96,58.38,54.,54.55,1898800,54.55
2013-07-15,58.32,58.51,55.79,57.82,1500000,57.82
2013-07-08,56.48,59.13,56.35,58.35,1430900,58.35
2013-07-01,56.17,56.74,55.37,56.34,1525400,56.34
2013-06-24,54.4,56.79,53.17,55.68,1638000,55.68
2013-06-17,56.29,58.34,53.88,55.01,1714500,55.01
2013-06-10,56.37,56.55,54.44,55.62,1303900,55.62
2013-06-03,55.93,57.,54.73,56.22,1186100,56.22
2013-05-28,57.6,58.12,55.66,55.66,1076700,55.66
2013-05-20,57.39,59.27,55.99,56.74,1313300,56.74
2013-05-13,55.91,57.57,55.62,57.54,1201800,57.54
2013-05-06,55.43,56.82,55.2,56.,1255100,56.
2013-04-29,53.29,56.,52.74,55.41,1609400,55.41
2013-04-22,49.58,54.54,49.31,52.89,2492700,52.89
2013-04-15,52.48,52.52,47.92,49.22,3053300,49.22
2013-04-08,51.96,55.49,51.87,52.8,1805700,52.8
2013-04-01,54.59,54.81,50.98,51.68,1565000,51.68
2013-03-25,52.7,54.52,52.4,54.39,1386700,54.39
2013-03-18,51.78,52.76,50.25,52.39,1841200,52.39
2013-03-11,51.48,52.84,51.11,52.59,1400000,52.59
2013-03-04,51.24,51.85,50.53,51.55,1577800,51.55
2013-02-25,52.,52.38,50.38,51.5,2046800,51.5
2013-02-19,52.02,53.18,50.25,51.87,2821100,51.87
2013-02-11,48.44,52.26,47.97,51.8,3231500,51.8
2013-02-04,47.41,48.67,47.25,48.62,1678300,48.62
2013-01-28,47.06,48.05,45.96,47.84,1896500,47.84
2013-01-22,46.01,47.5,45.92,46.8,1878300,46.8
2013-01-14,44.44,46.41,43.98,45.99,2940300,45.99
2013-01-07,43.69,45.01,42.85,44.3,1471100,44.3
2012-12-31,40.72,43.97,40.67,43.64,1962700,43.64
2012-12-24,41.74,42.,40.39,40.81,848900,40.81
2012-12-17,40.8,42.75,40.24,41.71,1805700,41.71
2012-12-10,41.88,42.6,40.47,40.6,1808100,40.6
2012-12-03,41.16,42.17,40.93,42.15,1241300,42.15
2012-11-26,41.31,41.89,40.32,40.86,1409100,40.86
2012-11-19,40.98,41.76,40.47,41.75,929100,41.75
2012-11-12,40.91,41.28,39.44,40.2,2387000,40.2
2012-11-05,40.36,41.71,39.81,40.85,1865400,40.85
2012-10-31,40.78,41.82,40.11,40.51,2628100,40.51
2012-10-22,44.34,44.96,39.25,40.44,4526000,40.44
2012-10-15,43.93,46.,43.23,44.37,1522700,44.37
2012-10-08,43.63,44.28,43.2,44.02,1769600,44.02
2012-10-01,46.79,47.25,43.87,43.89,2499700,43.89
2012-09-24,48.17,48.82,46.01,46.3,2122200,46.3
2012-09-17,49.88,49.97,47.8,48.76,1500500,48.76
2012-09-10,48.49,50.49,48.11,49.96,1823000,49.96
2012-09-04,46.85,48.57,46.39,48.54,1606500,48.54
2012-08-27,47.22,47.94,46.09,46.84,1284000,46.84
2012-08-20,47.79,48.16,46.78,47.21,1445200,47.21
2012-08-13,48.03,48.19,47.06,47.97,1216500,47.97
2012-08-06,47.4,48.29,46.89,48.11,1450400,48.11
2012-07-30,46.89,47.32,44.88,47.2,2205900,47.2
2012-07-23,41.04,47.09,39.78,46.85,3476200,46.85
2012-07-16,40.19,42.86,39.79,42.09,2147500,42.09
