Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.64,4.71,4.59,4.59,11200600,4.59
2014-02-18,4.71,4.75,4.61,4.63,8823100,4.63
2014-02-10,4.52,4.7,4.51,4.68,7552800,4.68
2014-02-03,4.7,4.72,4.4,4.54,12422000,4.54
2014-01-27,4.82,4.94,4.66,4.68,9659700,4.68
2014-01-21,4.88,4.95,4.8,4.8,10312500,4.8
2014-01-13,4.73,4.97,4.7,4.83,6414600,4.83
2014-01-06,4.75,4.78,4.65,4.73,6424000,4.73
2013-12-30,4.68,4.76,4.62,4.7,10387200,4.7
2013-12-23,4.69,4.74,4.67,4.7,4649200,4.7
2013-12-16,4.44,4.94,4.39,4.69,18832700,4.69
2013-12-09,4.52,4.64,4.43,4.44,8478400,4.44
2013-12-02,4.68,4.69,4.4,4.56,12833600,4.56
2013-11-25,4.7,4.73,4.62,4.68,7982500,4.58
2013-11-18,4.91,5.02,4.7,4.7,10372800,4.6
2013-11-11,4.69,4.92,4.66,4.9,10550400,4.79
2013-11-04,4.42,4.74,4.41,4.69,12745200,4.59
2013-10-28,4.48,4.5,4.36,4.45,5336700,4.35
2013-10-21,4.47,4.5,4.38,4.48,3853600,4.38
2013-10-14,4.36,4.49,4.35,4.47,4756300,4.37
2013-10-07,4.23,4.42,4.21,4.41,7324400,4.31
2013-09-30,4.26,4.33,4.09,4.28,10538600,4.19
2013-09-23,4.2,4.35,4.19,4.29,7403500,4.2
2013-09-16,4.38,4.4,4.18,4.18,11039700,4.09
2013-09-09,4.28,4.42,4.27,4.35,6911900,4.26
2013-09-03,4.41,4.56,4.26,4.28,10504000,4.19
2013-08-26,4.54,4.58,4.33,4.33,5584900,4.14
2013-08-19,4.56,4.59,4.44,4.55,6254300,4.35
2013-08-12,4.52,4.76,4.5,4.61,8252800,4.41
2013-08-05,4.5,4.68,4.44,4.55,17250100,4.35
2013-07-29,4.25,4.5,4.22,4.49,11014400,4.29
2013-07-22,4.3,4.3,4.15,4.27,8389800,4.08
2013-07-15,4.05,4.27,3.99,4.27,10073400,4.08
2013-07-08,4.01,4.08,3.95,4.03,7275300,3.85
2013-07-01,4.05,4.11,3.91,3.98,7391400,3.81
2013-06-24,3.92,4.1,3.8,4.05,10758800,3.87
2013-06-17,4.24,4.25,3.83,3.92,10221000,3.75
2013-06-10,4.05,4.27,4.02,4.22,8538100,4.04
2013-06-03,4.2,4.26,3.96,4.16,8924100,3.98
2013-05-28,4.41,4.43,4.14,4.15,8101500,3.87
2013-05-20,4.4,4.41,4.15,4.4,6827900,4.11
2013-05-13,4.24,4.42,4.11,4.42,9623600,4.13
2013-05-06,4.04,4.25,3.97,4.25,13977800,3.97
2013-04-29,4.08,4.17,4.,4.03,6634200,3.76
2013-04-22,4.05,4.14,3.99,4.08,5260700,3.81
2013-04-15,4.2,4.21,3.96,4.03,5810700,3.76
2013-04-08,4.09,4.24,4.01,4.22,7262900,3.94
2013-04-01,3.97,4.12,3.82,4.12,8583400,3.85
2013-03-25,3.98,4.,3.71,3.99,10311100,3.72
2013-03-18,4.05,4.13,3.89,3.98,8081400,3.72
2013-03-11,4.03,4.19,4.03,4.09,11586200,3.82
2013-03-04,4.2,4.24,4.,4.07,7199000,3.8
2013-02-25,4.08,4.2,4.01,4.19,8460700,3.82
2013-02-19,4.12,4.23,3.89,4.09,15166200,3.72
2013-02-11,4.63,4.68,4.04,4.1,20196900,3.73
2013-02-04,4.45,4.66,4.4,4.66,8188800,4.24
2013-01-28,4.45,4.6,4.36,4.4,8948200,4.01
2013-01-22,4.49,4.62,4.41,4.46,8347000,4.06
2013-01-14,4.38,4.52,4.35,4.48,6103600,4.08
2013-01-07,4.36,4.48,4.3,4.35,7728800,3.96
2012-12-31,4.2,4.55,4.17,4.36,16186600,3.97
2012-12-24,4.2,4.27,4.09,4.19,8267700,3.82
2012-12-17,4.6,4.65,4.21,4.28,19524700,3.9
2012-12-10,4.67,4.88,4.57,4.6,11235500,4.19
2012-12-03,4.82,4.87,4.5,4.71,16647400,4.29
2012-11-26,4.47,4.82,4.45,4.81,7044300,4.29
2012-11-19,4.31,4.51,4.3,4.49,6672500,4.
2012-11-12,4.35,4.42,4.14,4.29,9745600,3.83
2012-11-05,4.5,4.7,4.15,4.35,15373100,3.88
2012-10-31,4.61,4.79,4.51,4.51,8778600,4.02
2012-10-22,4.77,4.81,4.54,4.74,10610800,4.23
2012-10-15,4.83,4.94,4.75,4.76,6838200,4.24
2012-10-08,4.77,4.95,4.71,4.81,6672800,4.29
2012-10-01,4.96,4.98,4.55,4.77,12211500,4.25
2012-09-24,4.95,5.15,4.76,4.92,10923200,4.39
2012-09-17,4.63,5.,4.63,4.98,7944900,4.44
2012-09-10,4.54,4.89,4.53,4.65,9876200,4.15
2012-09-04,4.63,4.69,4.53,4.55,7713100,4.06
2012-08-27,4.65,4.77,4.6,4.62,8889600,4.03
2012-08-20,4.61,4.72,4.51,4.63,6668800,4.04
2012-08-13,4.75,4.88,4.6,4.63,10791200,4.04
2012-08-06,4.44,4.76,4.34,4.75,12292700,4.14
2012-07-30,3.75,4.5,3.63,4.4,24082100,3.84
2012-07-23,3.7,3.74,3.59,3.72,7334600,3.25
2012-07-16,3.9,3.99,3.66,3.74,9284400,3.26
2012-07-09,4.01,4.05,3.9,3.93,7881900,3.43
2012-07-02,3.87,4.05,3.86,4.01,7610700,3.5
2012-06-25,3.94,3.99,3.7,3.83,8412100,3.34
2012-06-18,3.91,4.02,3.76,4.02,12877000,3.51
2012-06-11,3.48,3.95,3.46,3.93,13229000,3.43
2012-06-04,3.65,3.67,3.3,3.45,12250000,3.01
2012-05-29,3.53,3.79,3.47,3.52,13558700,2.98
2012-05-21,3.25,3.58,3.25,3.5,10863500,2.97
2012-05-14,3.45,3.51,3.16,3.22,15891600,2.73
2012-05-07,3.87,4.,3.06,3.47,34547600,2.94
2012-04-30,4.05,4.06,3.85,3.89,16127700,3.3
2012-04-23,4.12,4.21,4.03,4.06,11417400,3.44
2012-04-16,4.14,4.27,4.11,4.13,6190300,3.5
2012-04-09,4.25,4.26,4.06,4.12,11357700,3.49
2012-04-02,4.27,4.44,4.2,4.31,15143900,3.65
2012-03-26,4.2,4.25,3.97,4.17,22590900,3.54
2012-03-19,4.29,4.35,4.18,4.19,9171000,3.55
2012-03-12,4.4,4.44,4.2,4.33,11034000,3.67
2012-03-05,4.5,4.51,4.29,4.42,11893200,3.75
2012-02-27,4.64,4.68,4.42,4.55,15923900,3.77
