Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,107.27,109.57,107.,108.76,2642400,108.76
2014-02-18,106.08,108.21,105.05,107.45,2453000,107.45
2014-02-10,103.2,106.45,102.44,106.35,2185300,106.35
2014-02-03,101.,104.58,97.58,104.19,4227700,104.19
2014-01-27,97.86,102.18,97.86,101.31,2983700,101.31
2014-01-21,95.84,101.8,93.85,98.31,3417000,98.31
2014-01-13,94.89,96.65,94.7,95.47,1740100,95.47
2014-01-06,94.95,95.97,94.03,95.1,1640600,94.55
2013-12-30,94.97,95.76,94.34,94.74,1239000,94.19
2013-12-23,93.85,95.04,93.01,95.,777300,94.45
2013-12-16,90.48,93.91,90.29,93.37,1489900,92.83
2013-12-09,90.89,90.98,89.18,90.26,1165400,89.73
2013-12-02,91.4,92.08,88.85,90.79,1171500,90.26
2013-11-25,92.31,92.75,91.3,91.66,947500,91.13
2013-11-18,89.,92.22,88.91,92.15,1645600,91.61
2013-11-11,87.22,88.78,86.36,88.71,1535400,88.19
2013-11-04,87.46,87.99,86.59,87.2,1170400,86.69
2013-10-28,88.11,88.45,86.13,87.15,1578400,86.64
2013-10-21,88.6,88.98,85.79,88.26,2086500,87.74
2013-10-14,87.13,88.55,86.51,88.4,936800,87.88
2013-10-07,85.36,87.77,83.61,87.76,1393200,87.25
2013-09-30,86.25,88.49,85.19,85.91,1302000,84.85
2013-09-23,88.06,88.61,87.57,88.29,1213400,87.2
2013-09-16,87.57,89.94,86.65,88.15,1362600,87.06
2013-09-09,84.76,87.28,84.76,87.13,1075200,86.05
2013-09-03,84.32,85.17,83.76,84.57,1266400,83.52
2013-08-26,84.67,85.2,82.23,83.25,1253000,82.22
2013-08-19,83.43,84.78,83.41,84.61,1048800,83.56
2013-08-12,86.63,86.71,83.41,83.75,1310700,82.71
2013-08-05,87.04,87.85,86.46,86.92,1533600,85.84
2013-07-29,84.8,87.54,83.99,87.49,1932100,86.41
2013-07-22,84.16,86.6,83.78,85.86,1822400,84.8
2013-07-15,82.65,84.67,82.55,84.4,2048000,83.35
2013-07-08,79.91,83.06,79.38,82.6,2423400,81.58
2013-07-01,78.06,79.57,77.4,79.42,1795600,78.44
2013-06-24,76.04,79.01,75.63,78.33,2160000,76.81
2013-06-17,78.63,79.48,76.13,76.2,2091700,74.72
2013-06-10,79.02,79.25,77.69,78.,1689600,76.49
2013-06-03,77.23,79.46,76.35,79.12,1668400,77.59
2013-05-28,78.12,78.76,77.09,77.1,1275600,75.61
2013-05-20,78.15,78.69,76.16,77.34,1715900,75.84
2013-05-13,75.42,78.29,74.76,78.29,2273400,76.77
2013-05-06,75.07,75.87,74.74,75.7,1547900,74.23
2013-04-29,73.48,75.38,72.68,75.24,1903400,73.78
2013-04-22,67.16,73.96,66.05,73.3,3014100,71.88
