Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,36.7,36.82,36.44,36.55,22000200,36.55
2014-02-18,36.43,36.75,36.,36.69,29494200,36.69
2014-02-10,35.91,36.08,34.62,35.95,28721900,35.95
2014-02-03,36.27,36.47,34.36,36.11,34860500,36.11
2014-01-27,36.8,37.28,35.88,36.08,22009600,36.08
2014-01-21,38.89,39.,36.7,36.83,26952300,36.83
2014-01-13,40.16,40.64,38.33,38.6,38336900,38.6
2014-01-06,39.9,40.94,39.64,40.03,14989800,40.03
2013-12-30,41.,41.13,39.,39.57,19007100,39.57
2013-12-23,40.9,41.85,40.61,40.94,12299100,40.94
2013-12-16,40.56,41.85,39.86,40.99,37722300,40.99
2013-12-09,40.38,41.17,40.01,40.04,22400800,40.04
2013-12-02,39.1,40.38,37.68,40.17,35650700,40.17
2013-11-25,37.75,39.15,37.39,38.73,19749400,38.73
2013-11-18,38.81,39.18,37.58,37.63,22841800,37.63
2013-11-11,36.68,39.08,36.37,38.77,24414500,38.77
2013-11-04,37.5,37.8,35.91,36.66,17492400,36.66
2013-10-28,35.44,38.21,35.43,37.39,27607600,37.39
2013-10-21,36.26,36.27,34.53,35.59,15980700,35.59
2013-10-14,34.83,36.3,34.51,35.89,13534500,35.89
2013-10-07,35.23,35.52,33.92,35.35,18079500,35.35
2013-09-30,35.71,36.41,35.13,35.7,17576600,35.7
2013-09-23,37.15,37.97,36.16,36.37,17103900,36.37
2013-09-16,36.47,37.88,36.15,36.83,20332000,36.83
2013-09-09,36.34,37.27,35.88,36.06,15910700,36.06
2013-09-03,34.68,36.79,33.96,36.15,16705500,36.15
2013-08-26,35.03,35.52,33.5,34.08,10100800,34.08
2013-08-19,34.56,35.22,34.05,35.06,9967200,35.06
2013-08-12,35.76,36.21,34.18,34.38,11962300,34.38
2013-08-05,37.03,37.05,35.43,36.02,12437400,36.02
2013-07-29,36.57,37.18,35.67,36.95,13881900,36.95
2013-07-22,36.62,37.71,36.46,36.67,13949300,36.67
2013-07-15,36.6,36.99,35.76,36.61,11694600,36.61
2013-07-08,34.78,36.58,34.54,36.4,10857500,36.4
2013-07-01,33.52,34.94,33.41,34.67,9576500,34.67
2013-06-24,31.76,33.72,31.13,33.31,13085200,33.31
2013-06-17,34.5,34.56,31.74,32.21,15331000,32.21
2013-06-10,35.18,35.24,33.1,34.29,14316300,34.29
2013-06-03,34.57,35.49,33.38,35.03,36237600,35.03
2013-05-28,34.,34.91,33.45,33.89,13264800,33.89
2013-05-20,33.37,34.01,32.1,32.87,11737600,32.87
2013-05-13,31.16,33.77,30.87,33.42,13036700,33.42
2013-05-06,32.02,32.22,30.97,31.42,10717500,31.42
2013-04-29,30.62,32.44,30.11,32.1,11260900,32.1
2013-04-22,29.2,30.8,28.85,30.5,12993900,30.5
2013-04-15,29.41,29.69,28.75,29.15,10212600,29.15
2013-04-08,27.5,29.84,27.4,29.62,14421100,29.62
2013-04-01,27.65,28.3,27.11,27.52,11317400,27.52
2013-03-25,28.39,28.48,27.64,27.82,7080400,27.82
2013-03-18,27.95,29.3,27.73,28.22,15623400,28.22
2013-03-11,27.95,28.64,27.55,28.21,11727100,28.21
2013-03-04,27.14,28.19,26.99,28.,8024800,28.
2013-02-25,27.11,27.58,26.19,27.21,11384700,27.21
2013-02-19,27.69,27.81,26.31,27.11,9373800,27.11
2013-02-11,28.51,29.36,27.22,27.76,10827300,27.76
2013-02-04,27.89,28.91,27.88,28.57,8285400,28.57
2013-01-28,29.05,29.15,27.61,28.17,10145500,28.17
2013-01-22,29.19,29.27,26.62,29.07,12137800,29.07
2013-01-14,30.15,30.68,28.83,29.28,12897900,29.28
2013-01-07,29.64,30.6,29.05,30.36,10228000,30.36
2012-12-31,27.76,30.23,27.62,29.86,14954900,29.86
2012-12-24,27.31,27.99,27.31,27.85,6612000,27.85
2012-12-17,24.67,27.91,24.65,27.32,19226400,27.32
2012-12-10,25.06,26.07,24.4,24.61,7487100,24.61
2012-12-03,26.06,26.36,24.46,25.19,10077300,25.19
2012-11-26,25.17,26.24,24.64,25.88,6829200,25.88
2012-11-19,24.27,25.42,24.13,25.21,6019700,25.21
2012-11-12,25.05,25.38,23.39,23.85,8720300,23.85
2012-11-05,25.44,26.27,24.38,25.04,8512700,25.04
2012-10-31,24.3,25.99,23.9,25.79,16392200,25.79
2012-10-22,24.56,24.85,23.19,23.28,8703400,23.28
2012-10-15,24.51,25.72,24.33,24.59,7117100,24.59
2012-10-08,24.79,24.99,24.1,24.44,6502100,24.44
2012-10-01,23.,25.43,22.67,24.8,13333800,24.8
2012-09-24,24.51,24.68,22.71,22.75,7960600,22.75
2012-09-17,23.92,25.15,23.73,24.8,10608800,24.8
2012-09-10,23.28,24.33,22.82,24.14,8032300,24.14
2012-09-04,21.25,23.42,21.02,23.37,10207800,23.37
2012-08-27,21.2,21.64,20.86,21.35,6267000,21.35
2012-08-20,21.75,22.07,21.07,21.18,6949000,21.18
2012-08-13,20.52,22.14,19.98,22.01,10113200,22.01
2012-08-06,20.05,20.82,19.76,20.54,6207300,20.54
2012-07-30,19.55,20.58,18.93,20.04,8986900,20.04
2012-07-23,19.09,19.69,18.72,19.67,7223800,19.67
2012-07-16,19.47,20.35,19.23,19.36,8288300,19.36
2012-07-09,20.21,20.48,19.23,19.62,8716700,19.62
2012-07-02,19.7,21.21,19.3,20.31,7903700,20.31
2012-06-25,20.32,20.39,19.24,19.72,10376300,19.72
2012-06-18,21.54,22.,20.46,20.6,7783400,20.6
2012-06-11,22.28,22.3,21.42,21.74,6512300,21.74
2012-06-04,22.01,22.38,20.66,22.05,7479600,22.05
2012-05-29,22.62,23.34,21.45,22.01,13196100,22.01
2012-05-21,21.34,22.46,21.26,22.44,6482600,22.44
2012-05-14,21.75,22.62,21.09,21.18,10076200,21.18
2012-05-07,21.87,22.89,21.85,22.,8453000,22.
2012-04-30,23.38,23.49,21.82,22.36,14110900,22.36
2012-04-23,23.17,24.09,22.88,23.53,9808600,23.53
2012-04-16,23.78,24.87,23.36,23.6,9638700,23.6
2012-04-09,24.22,24.49,23.29,23.8,8142300,23.8
2012-04-02,26.03,27.03,24.61,24.81,14718100,24.81
2012-03-26,25.23,25.85,24.94,25.65,6444100,25.65
2012-03-19,25.5,25.7,24.6,25.17,6762600,25.17
2012-03-12,25.62,26.59,25.15,25.57,8667200,25.57
2012-03-05,26.27,26.4,24.38,25.62,9716100,25.62
2012-02-27,26.07,26.8,25.57,26.45,9105100,26.45
2012-02-21,27.3,27.55,26.06,26.07,9748000,26.07
2012-02-13,26.,27.68,24.9,27.34,17327100,27.34
2012-02-06,26.47,26.83,25.25,25.5,12562300,25.5
2012-01-30,24.06,26.44,23.95,26.18,12209400,26.18
2012-01-23,25.14,25.5,23.33,24.37,11416700,24.37
2012-01-17,24.6,25.11,24.02,25.,10856000,25.
2012-01-09,23.2,24.82,22.7,24.29,15456700,24.29
2012-01-03,20.83,23.03,20.75,22.92,13323200,22.92
2011-12-27,20.43,20.43,19.71,20.27,6711300,20.27
2011-12-19,20.12,20.89,19.,20.5,11276700,20.5
2011-12-12,20.66,21.,19.42,20.15,10648900,20.15
2011-12-05,21.52,22.11,20.85,21.15,9534300,21.15
2011-11-28,20.95,21.77,20.3,21.28,9936300,21.28
2011-11-21,21.1,21.18,20.06,20.34,7849600,20.34
2011-11-14,22.56,23.53,21.56,21.68,11176500,21.68
2011-11-07,23.93,25.17,21.93,22.51,18782200,22.51
2011-10-31,25.92,26.16,22.76,23.61,15598500,23.61
2011-10-24,24.28,26.55,24.16,26.45,14312600,26.45
2011-10-17,24.17,24.38,22.51,24.35,10442100,24.35
2011-10-10,22.51,24.16,22.28,24.16,12693100,24.16
2011-10-03,20.13,22.93,19.05,22.01,16587200,22.01
2011-09-26,21.32,21.83,20.1,20.18,10145400,20.18
2011-09-19,22.15,23.17,19.77,21.,12889200,21.
2011-09-12,21.15,22.79,21.,22.61,9622000,22.61
2011-09-06,21.36,23.13,20.88,21.76,12849400,21.76
2011-08-29,23.3,24.49,21.73,22.07,12425500,22.07
2011-08-22,22.54,23.08,21.18,22.87,16614200,22.87
2011-08-15,26.03,26.69,21.71,22.16,17097700,22.16
2011-08-08,24.61,26.5,23.79,25.75,24799300,25.75
2011-08-01,28.88,28.88,24.49,26.31,24120700,26.31
2011-07-25,29.53,29.84,27.31,27.68,11144700,27.68
2011-07-18,29.57,30.29,28.62,30.1,10236600,30.1
2011-07-11,30.98,31.3,29.52,29.76,9641300,29.76
2011-07-05,30.87,32.08,30.58,31.58,11568000,31.58
2011-06-27,29.79,30.86,29.6,30.58,15503300,30.58
2011-06-20,28.87,30.3,28.77,29.92,20209800,29.92
2011-06-13,28.9,29.49,28.17,29.,12644300,29.
2011-06-06,29.02,29.58,28.39,28.85,14103100,28.85
2011-05-31,31.44,31.87,28.9,29.12,21620600,29.12
2011-05-23,30.68,31.48,30.5,31.28,10700000,31.28
2011-05-16,31.25,31.79,30.83,31.18,9046300,31.18
2011-05-09,31.74,32.06,30.85,31.07,10519400,31.07
2011-05-02,32.41,33.47,31.49,31.91,20165300,31.91
2011-04-25,31.,32.58,30.32,32.09,15134500,32.09
2011-04-18,30.06,31.,29.17,30.95,18404800,30.95
2011-04-11,31.34,31.45,30.1,30.24,13507200,30.24
2011-04-04,32.5,33.28,31.33,31.52,11579700,31.52
2011-03-28,31.58,32.63,30.68,32.41,13315200,32.41
2011-03-21,32.24,32.3,30.2,31.47,16836000,31.47
