Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,35.6,36.37,35.4,36.05,2835200,36.05
2014-02-18,35.82,36.46,35.25,35.56,2800300,35.56
2014-02-10,35.5,36.78,35.02,35.61,4205700,35.61
2014-02-03,34.97,35.77,33.1,35.5,4546100,35.5
2014-01-27,36.6,37.58,34.7,35.07,4334700,35.07
2014-01-21,38.52,39.51,36.38,36.52,5101100,36.52
2014-01-13,45.47,45.84,36.,37.65,10260100,37.65
2014-01-06,49.24,49.3,43.6,45.52,6323800,45.52
2013-12-30,48.99,50.,48.11,49.24,1967500,49.24
2013-12-23,49.34,51.55,48.91,49.04,1655200,49.04
2013-12-16,47.38,50.49,47.38,49.25,3027500,49.25
2013-12-09,45.09,47.8,45.,47.29,3710100,47.29
2013-12-02,48.5,48.59,44.87,45.08,5088800,45.08
2013-11-25,50.71,50.72,47.68,48.25,3976900,47.98
2013-11-18,57.09,57.19,46.66,49.86,5945700,49.58
2013-11-11,55.19,57.74,54.04,56.53,2039000,56.21
2013-11-04,55.45,57.21,53.64,55.48,1970900,55.16
2013-10-28,54.88,56.,52.71,55.05,1729500,54.74
2013-10-21,54.28,55.37,53.37,54.88,1400100,54.57
2013-10-14,51.09,54.,50.81,53.88,1669000,53.57
2013-10-07,50.22,52.83,48.51,51.56,1849500,51.27
2013-09-30,49.25,51.22,47.73,50.7,1762900,50.41
2013-09-23,49.5,51.7,48.65,49.65,1646800,49.37
2013-09-16,52.88,53.28,49.16,49.43,2233900,49.15
2013-09-09,50.06,52.54,48.94,52.45,1661100,52.15
2013-09-03,50.77,51.53,49.39,49.61,1648300,49.33
2013-08-26,51.57,53.2,49.3,50.21,2105700,49.92
2013-08-19,47.72,56.08,47.31,51.62,3567800,51.04
2013-08-12,48.55,49.66,47.04,47.58,1417600,47.05
2013-08-05,50.32,51.14,47.18,48.97,2915300,48.42
2013-07-29,45.67,51.36,44.57,50.39,3494800,49.83
2013-07-22,43.5,45.85,42.33,45.8,1995600,45.29
2013-07-15,43.17,44.45,42.47,43.46,2006000,42.97
2013-07-08,43.08,43.31,42.11,43.17,1986900,42.69
2013-07-01,42.,43.01,41.66,42.99,1557400,42.51
2013-06-24,40.3,42.84,39.46,42.03,3110800,41.56
2013-06-17,39.02,41.53,37.93,40.78,4127800,40.32
2013-06-10,36.75,39.77,34.84,39.01,5271400,38.57
2013-06-03,33.18,37.47,33.16,36.75,5388500,36.34
2013-05-28,32.81,33.85,31.47,33.16,3652800,32.79
2013-05-20,39.76,39.8,30.94,32.11,8008600,31.49
2013-05-13,38.26,39.87,37.82,39.76,2669700,38.99
2013-05-06,36.99,38.57,36.58,38.38,2816700,37.64
2013-04-29,34.66,37.23,34.33,37.15,2434000,36.43
2013-04-22,32.73,34.97,31.84,34.62,2794700,33.95
2013-04-15,32.,33.26,31.27,32.73,3602900,32.1
2013-04-08,30.04,32.33,29.5,32.02,3471500,31.4
2013-04-01,28.,31.1,27.93,29.96,4583400,29.38
2013-03-25,25.81,28.67,25.21,27.97,4647400,27.43
2013-03-18,25.17,25.8,24.89,25.66,1534900,25.16
