Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,15.24,15.53,15.2,15.35,4965600,15.35
2014-02-18,15.53,15.73,15.11,15.21,4491200,15.21
2014-02-10,15.45,15.75,15.15,15.56,4013600,15.56
2014-02-03,14.71,15.55,14.24,15.5,9186100,15.5
2014-01-27,15.04,15.29,14.44,14.75,6305700,14.75
2014-01-21,16.13,16.22,14.97,15.03,5963700,15.03
2014-01-13,16.6,16.75,16.03,16.09,4685300,16.09
2014-01-06,15.69,16.75,15.69,16.66,6132200,16.66
2013-12-30,15.5,15.6,15.29,15.39,3492300,15.39
2013-12-23,15.54,15.78,15.41,15.51,2848500,15.51
2013-12-16,15.02,15.58,14.65,15.4,6504400,15.4
2013-12-09,15.22,15.4,14.75,14.96,6105800,14.96
2013-12-02,15.11,15.63,15.05,15.2,6142800,15.2
2013-11-25,15.35,15.49,15.03,15.11,3596600,15.11
2013-11-18,14.55,15.4,14.45,15.28,6228700,15.28
2013-11-11,14.29,14.63,13.96,14.54,4370800,14.54
2013-11-04,14.56,14.71,13.68,14.33,7342100,14.33
2013-10-28,14.28,14.75,14.04,14.46,8882400,14.46
2013-10-21,13.9,14.4,13.74,14.25,7743200,14.25
2013-10-14,12.95,13.93,12.87,13.89,9912800,13.89
2013-10-07,12.74,13.16,12.48,13.13,18623500,13.13
2013-09-30,12.65,13.09,12.61,12.89,10225400,12.89
2013-09-23,12.09,13.13,11.91,12.93,8241000,12.93
2013-09-16,12.42,12.44,12.02,12.15,7426900,12.15
2013-09-09,12.18,12.88,12.15,12.23,4277400,12.23
2013-09-03,12.02,12.37,11.83,12.13,4947000,12.13
2013-08-26,12.28,12.38,11.55,11.8,4956300,11.8
2013-08-19,12.53,12.61,11.62,12.28,5765300,12.28
2013-08-12,12.65,12.87,12.27,12.59,4738100,12.59
2013-08-05,13.25,13.27,12.58,12.78,4961700,12.78
2013-07-29,13.26,13.43,12.62,13.29,8334600,13.29
2013-07-22,13.2,13.79,13.11,13.27,6464400,13.27
2013-07-15,12.79,13.26,12.59,13.17,5657000,13.17
2013-07-08,12.43,12.75,12.18,12.74,7244100,12.74
2013-07-01,11.5,12.32,11.48,12.32,8105500,12.32
2013-06-24,10.81,11.47,10.36,11.41,11624400,11.41
2013-06-17,11.1,11.48,10.62,10.98,10203900,10.98
2013-06-10,10.99,11.21,10.63,11.,8073400,11.
2013-06-03,10.86,10.96,10.26,10.92,8668300,10.92
2013-05-28,10.56,11.09,10.52,10.81,8990400,10.81
2013-05-20,10.73,10.89,10.1,10.35,7875300,10.35
2013-05-13,10.42,11.13,10.38,10.74,9945200,10.74
2013-05-06,10.53,11.02,10.34,10.44,10291900,10.44
2013-04-29,9.93,10.66,9.81,10.47,10935300,10.47
2013-04-22,9.39,10.05,9.06,9.87,6348800,9.87
2013-04-15,9.84,9.84,8.98,9.37,6959400,9.37
2013-04-08,9.47,10.06,9.31,9.9,6390500,9.9
2013-04-01,10.06,10.17,9.17,9.46,8868300,9.46
2013-03-25,10.23,10.39,9.88,10.,7267400,10.
2013-03-18,10.24,10.55,9.96,10.14,8032000,10.14
2013-03-11,10.73,10.74,10.36,10.49,14168900,10.49
2013-03-04,8.52,10.04,8.51,9.84,16651200,9.84
2013-02-25,8.88,8.89,8.08,8.52,9293500,8.52
2013-02-19,9.11,9.2,8.4,8.82,7430000,8.82
2013-02-11,8.8,9.21,8.69,9.06,6177700,9.06
2013-02-04,9.23,9.25,8.65,8.8,11402000,8.8
2013-01-28,9.43,9.44,8.92,9.3,12633600,9.3
2013-01-22,9.18,9.48,9.12,9.45,8812200,9.45
2013-01-14,8.13,9.27,7.78,9.15,15610300,9.15
2013-01-07,8.22,8.34,7.85,8.11,8364300,8.11
2012-12-31,7.22,8.3,7.15,8.28,11860700,8.28
2012-12-24,7.05,7.35,6.98,7.22,5573300,7.22
2012-12-17,7.01,7.47,6.99,7.05,11798500,7.05
2012-12-10,6.6,7.19,6.51,6.96,11734600,6.96
2012-12-03,5.98,6.69,5.85,6.61,12879300,6.61
2012-11-26,5.6,5.96,5.46,5.95,12969400,5.95
2012-11-19,5.51,5.74,5.41,5.65,6817400,5.65
2012-11-12,5.64,5.71,5.1,5.38,10152300,5.38
2012-11-05,6.06,6.18,5.54,5.61,12607600,5.61
2012-10-31,5.76,6.3,5.71,6.06,13233100,6.06
2012-10-22,5.59,5.75,5.4,5.48,6551100,5.48
2012-10-15,5.47,5.92,5.44,5.63,7543000,5.63
2012-10-08,5.37,5.64,5.21,5.47,8663300,5.47
2012-10-01,5.25,5.48,5.07,5.39,8824900,5.39
2012-09-24,5.62,5.64,5.07,5.23,9432200,5.23
2012-09-17,6.07,6.15,5.61,5.66,8879300,5.66
2012-09-10,5.65,6.13,5.6,6.12,9537400,6.12
2012-09-04,5.27,5.67,5.14,5.65,7611500,5.65
2012-08-27,5.43,5.47,5.15,5.29,5948600,5.29
2012-08-20,5.25,5.57,5.14,5.41,9363200,5.41
2012-08-13,4.8,5.29,4.76,5.25,6985800,5.25
2012-08-06,4.35,4.91,4.31,4.84,7859300,4.84
