Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,87.45,88.05,87.11,87.12,657800,87.12
2014-02-18,87.,90.,85.86,87.25,1067600,87.25
2014-02-10,81.51,85.99,81.12,85.95,761300,85.95
2014-02-03,81.96,82.2,76.5,81.59,1206000,81.59
2014-01-27,82.64,83.68,81.02,82.25,904500,82.25
2014-01-21,84.15,84.81,82.33,82.34,814200,82.34
2014-01-13,83.17,84.67,81.43,84.14,891600,84.14
2014-01-06,82.58,83.49,82.,83.45,779400,83.45
2013-12-30,83.15,83.64,81.62,82.32,454200,82.32
2013-12-23,82.24,83.5,82.01,83.22,293800,83.22
2013-12-16,81.44,82.08,80.18,81.77,874000,81.77
2013-12-09,81.74,83.04,80.72,81.12,635400,81.12
2013-12-02,82.91,84.89,80.25,81.72,1088500,81.72
2013-11-25,82.14,83.29,81.32,82.84,495700,82.3
2013-11-18,83.,83.,81.04,81.95,1071800,81.42
2013-11-11,80.55,82.87,80.51,82.75,870600,82.21
2013-11-04,79.61,81.31,79.13,80.69,664700,80.17
2013-10-28,79.21,80.,78.34,78.99,563300,78.48
2013-10-21,78.68,79.12,76.26,79.09,704700,78.58
2013-10-14,79.7,80.9,76.45,78.65,1320500,78.14
2013-10-07,79.93,80.72,77.66,80.61,535900,80.09
2013-09-30,79.84,81.43,79.08,80.65,665200,80.13
2013-09-23,81.3,81.53,80.09,80.39,473900,79.87
2013-09-16,80.8,82.46,79.6,81.31,484900,80.78
2013-09-09,78.75,81.4,78.75,79.8,664100,79.28
2013-09-03,77.8,79.18,76.4,78.66,615900,78.15
2013-08-26,79.5,79.94,76.55,77.01,510900,75.98
2013-08-19,77.89,80.05,77.7,79.42,580500,78.35
2013-08-12,82.24,82.7,77.8,77.83,1066800,76.79
2013-08-05,84.3,84.67,82.23,82.58,723600,81.47
2013-07-29,82.05,84.58,81.46,84.57,501400,83.44
2013-07-22,82.38,82.54,80.82,82.1,907100,81.
2013-07-15,85.25,85.41,81.1,82.4,1066400,81.29
2013-07-08,84.75,85.27,82.78,85.03,1054100,83.89
2013-07-01,78.11,84.25,77.62,83.74,2246700,82.62
2013-06-24,75.57,78.4,75.14,78.07,663300,77.02
2013-06-17,79.04,79.78,75.58,76.31,552100,75.29
2013-06-10,77.77,79.14,76.93,78.64,465300,77.58
2013-06-03,78.13,78.13,75.12,77.47,779500,76.43
2013-05-28,82.31,82.71,77.74,77.74,893600,76.16
2013-05-20,81.11,84.27,81.03,81.4,553200,79.75
2013-05-13,77.88,81.27,77.29,81.25,552800,79.6
2013-05-06,77.16,78.32,76.91,77.86,583200,76.28
2013-04-29,75.36,77.51,74.42,77.1,744600,75.53
2013-04-22,73.88,76.15,72.12,75.04,846700,73.52
2013-04-15,77.29,77.45,71.87,73.66,1502700,72.16
2013-04-08,77.05,78.25,76.84,77.74,859400,76.16
2013-04-01,77.37,78.27,76.25,77.06,632300,75.49
2013-03-25,77.78,78.12,76.18,78.,914400,76.42
2013-03-18,75.19,77.78,74.9,77.4,667200,75.83
