Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,51.94,52.8,51.68,51.7,2022900,51.7
2014-02-18,45.92,52.72,45.33,51.97,4267800,51.97
2014-02-10,45.54,46.93,44.29,46.08,1196400,46.08
2014-02-03,45.05,45.66,43.03,45.53,1011100,45.53
2014-01-27,45.2,46.04,44.75,45.05,785300,45.05
2014-01-21,46.81,47.27,45.12,45.21,760600,45.21
2014-01-13,46.11,47.31,45.08,46.66,980500,46.66
2014-01-06,46.68,47.38,44.42,45.05,1216000,45.05
2013-12-30,46.67,46.89,44.56,46.58,1580100,46.58
2013-12-23,46.28,47.01,45.92,46.67,784600,46.67
2013-12-16,46.68,46.8,43.67,46.03,1329300,46.03
2013-12-09,48.75,49.72,46.39,46.58,1109400,46.58
2013-12-02,48.59,49.,46.29,48.83,891100,48.37
2013-11-25,48.25,49.26,47.73,48.56,830200,48.11
2013-11-18,47.71,48.49,46.81,48.08,883000,47.63
2013-11-11,46.11,47.77,45.58,47.77,1645000,47.32
2013-11-04,46.95,48.1,46.1,46.25,1309400,45.82
2013-10-28,48.82,50.39,45.84,46.61,1899700,46.17
2013-10-21,48.9,49.87,48.53,48.9,902300,48.44
2013-10-14,47.31,50.,46.82,48.86,1019000,48.4
2013-10-07,46.91,47.98,45.88,47.61,1114000,47.17
2013-09-30,44.77,47.56,44.52,47.13,1783500,46.69
2013-09-23,43.62,46.34,42.93,45.19,1587600,44.77
2013-09-16,43.16,45.33,42.84,43.61,2191800,43.2
2013-09-09,41.98,43.61,41.8,42.7,1552800,42.3
2013-09-03,41.38,42.6,41.08,41.77,1904600,40.95
2013-08-26,40.6,42.41,39.39,40.77,1751900,39.97
2013-08-19,37.91,40.94,37.71,40.6,1522300,39.8
2013-08-12,38.78,39.96,37.65,37.78,817900,37.04
2013-08-05,39.76,40.19,38.75,38.88,676800,38.12
2013-07-29,36.71,40.25,36.6,39.82,2004800,39.04
2013-07-22,37.,37.67,36.57,36.83,1081000,36.11
2013-07-15,36.45,36.98,36.17,36.7,711700,35.98
2013-07-08,35.64,36.76,34.93,36.31,1104700,35.6
2013-07-01,36.18,36.63,34.72,35.34,741200,34.65
2013-06-24,34.52,36.8,34.18,36.17,1123000,35.46
2013-06-17,33.88,36.25,33.88,34.69,1339800,34.01
2013-06-10,35.04,35.32,33.67,33.72,1112100,33.06
2013-06-03,35.,35.43,33.8,34.84,1231900,33.71
2013-05-28,35.65,35.94,34.9,34.93,792100,33.8
2013-05-20,36.82,36.99,34.66,35.12,960300,33.98
2013-05-13,36.12,36.88,34.93,36.88,962500,35.69
2013-05-06,34.8,36.13,34.8,36.12,950800,34.95
2013-04-29,34.94,35.29,33.12,34.81,1448300,33.68
2013-04-22,33.12,36.,32.52,34.72,1044200,33.6
2013-04-15,34.51,34.68,32.69,32.97,903800,31.9
2013-04-08,33.61,34.78,33.37,34.72,847600,33.6
2013-04-01,33.18,34.53,32.58,33.59,1735600,32.5
2013-03-25,33.29,33.57,32.8,33.05,1206500,31.98
2013-03-18,34.36,34.56,32.82,33.25,1114300,32.17
2013-03-11,35.53,35.87,34.19,34.56,1261400,33.44
2013-03-04,35.15,35.64,34.34,35.61,1075500,34.02
2013-02-25,35.12,35.47,33.66,35.14,1321200,33.57
2013-02-19,39.25,39.64,34.57,35.,3072700,33.44
2013-02-11,38.21,39.85,37.18,39.14,1712300,37.39
2013-02-04,38.4,38.86,37.48,38.08,1345100,36.38
2013-01-28,38.75,39.01,37.6,38.5,1264400,36.78
2013-01-22,39.61,39.82,38.25,38.77,1380000,37.04
2013-01-14,39.6,40.45,39.24,39.52,1634700,37.76
2013-01-07,42.06,42.38,38.78,39.6,1999000,37.83
2012-12-31,40.,43.,39.9,42.09,727000,40.21
2012-12-24,41.19,42.7,39.98,40.,779100,38.22
2012-12-17,40.7,42.99,39.72,41.07,1836500,39.24
2012-12-10,41.69,42.71,40.53,40.68,6554500,38.87
2012-12-03,39.39,42.24,38.71,41.7,1846600,39.42
2012-11-26,38.49,39.38,37.75,38.89,702400,36.76
2012-11-19,37.79,38.78,37.19,38.61,702900,36.5
2012-11-12,35.77,37.46,35.77,37.18,1137500,35.15
2012-11-05,37.4,38.07,35.86,37.01,796500,34.98
2012-10-31,39.33,42.,36.71,37.5,1573500,35.45
2012-10-22,38.82,40.02,38.56,38.99,561800,36.86
2012-10-15,40.3,40.61,38.43,38.93,892000,36.8
2012-10-08,42.38,42.73,39.86,40.17,505600,37.97
2012-10-01,41.78,43.33,41.26,42.73,970000,40.39
2012-09-24,41.99,42.41,40.71,41.74,774800,39.46
2012-09-17,42.5,42.5,41.6,41.94,958600,39.64
2012-09-10,41.47,42.54,39.64,42.45,1310800,40.13
2012-09-04,40.28,41.54,39.46,41.52,979800,38.81
2012-08-27,40.6,40.94,39.68,40.35,687700,37.72
2012-08-20,41.29,42.85,40.1,40.5,709600,37.86
2012-08-13,41.66,41.85,40.66,41.18,655300,38.49
2012-08-06,40.53,41.9,40.,41.8,876600,39.07
2012-07-30,38.5,41.87,38.22,40.26,1701400,37.63
2012-07-23,36.47,38.85,35.73,38.64,1140400,36.12
