Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,164.08,167.41,164.08,166.54,3242900,166.54
2014-02-18,164.04,166.18,162.67,164.5,3074000,164.5
2014-02-10,161.02,165.23,160.28,163.72,3754400,163.72
2014-02-03,165.15,165.52,159.77,161.93,4063400,161.93
2014-01-27,167.08,167.6,163.3,164.12,3695700,164.12
2014-01-21,175.1,175.59,167.22,167.64,3938000,167.64
2014-01-13,178.3,179.74,174.5,176.28,3347200,176.28
2014-01-06,179.15,181.13,176.61,178.39,2510600,178.39
2013-12-30,176.5,178.85,175.26,178.15,1758600,178.15
2013-12-23,175.88,176.76,175.18,176.35,1350900,176.35
2013-12-16,169.31,175.8,169.09,175.16,3439000,175.16
2013-12-09,168.,172.2,166.52,168.39,3040900,168.39
2013-12-02,169.88,171.58,164.77,167.21,3002000,167.21
2013-11-25,168.5,170.69,166.87,168.94,2589700,168.94
2013-11-18,164.74,168.24,164.2,168.1,2975800,167.55
2013-11-11,162.5,165.42,161.2,164.4,2848400,163.86
2013-11-04,162.42,164.3,159.61,163.17,3036000,162.64
2013-10-28,162.,163.35,160.25,162.05,2982200,161.52
2013-10-21,158.67,162.24,156.56,162.09,2996500,161.56
2013-10-14,158.22,162.5,155.99,158.69,4323900,158.17
2013-10-07,155.17,160.49,152.83,160.,3105300,159.48
2013-09-30,157.72,160.31,155.46,156.55,2726700,156.04
2013-09-23,168.18,168.46,159.43,159.85,3648700,159.33
2013-09-16,166.31,170.,164.03,169.75,6714800,169.19
2013-09-09,157.41,165.79,157.16,164.,2914100,163.46
2013-09-03,154.48,158.05,153.42,156.66,2391700,156.15
2013-08-26,158.41,160.7,151.33,152.13,2453400,151.63
2013-08-19,160.17,160.79,156.51,158.65,2273800,157.61
2013-08-12,161.73,164.8,160.03,160.66,2038000,159.61
2013-08-05,167.28,169.69,162.02,162.13,2635600,161.07
2013-07-29,164.63,167.9,162.02,167.62,2839100,166.53
2013-07-22,163.95,167.41,163.69,165.26,2488600,164.18
2013-07-15,162.8,164.85,159.43,164.36,4122000,163.29
2013-07-08,154.58,160.28,152.88,160.11,2813300,159.07
2013-07-01,152.78,154.1,149.28,153.24,2274700,152.24
2013-06-24,151.99,154.99,148.71,151.25,3306800,150.26
2013-06-17,164.08,165.67,152.3,154.25,4024900,153.24
2013-06-10,166.7,168.2,161.07,162.92,3550900,161.86
2013-06-03,161.56,166.17,156.34,166.01,4321400,164.93
2013-05-28,160.92,165.83,159.41,162.08,4545300,161.02
2013-05-20,157.58,164.47,154.62,158.72,4640200,157.19
2013-05-13,147.67,158.7,147.06,158.18,4077800,156.65
2013-05-06,145.92,150.99,145.64,149.1,3169800,147.66
2013-04-29,144.54,146.84,140.39,145.37,3432200,143.97
2013-04-22,139.01,146.05,137.29,144.11,2908600,142.72
2013-04-15,148.75,151.45,137.42,138.72,5794600,137.38
2013-04-08,143.83,150.59,141.84,149.12,3076400,147.68
2013-04-01,146.67,148.06,140.34,143.69,3523300,142.3
2013-03-25,147.99,149.06,144.68,147.15,3825400,145.73
2013-03-18,152.53,153.11,145.37,146.6,3911900,145.18
2013-03-11,152.45,155.63,150.46,154.84,4312500,153.35
2013-03-04,150.01,157.19,149.71,152.98,4378600,151.5
2013-02-25,155.19,155.69,146.71,150.53,5234000,149.08
2013-02-19,155.69,159.,149.8,154.09,5805900,152.09
2013-02-11,151.42,156.72,150.96,154.99,4343900,152.97
2013-02-04,148.25,152.5,146.62,151.6,4268400,149.63
2013-01-28,144.43,150.4,143.69,149.9,3978600,147.95
2013-01-22,144.01,146.74,143.3,144.46,4596100,142.58
2013-01-14,137.19,144.81,135.12,144.45,6354800,142.57
2013-01-07,134.12,138.15,132.7,137.13,3831200,135.35
2012-12-31,125.42,134.64,124.79,134.51,4472800,132.76
2012-12-24,127.87,129.3,124.57,125.52,2173000,123.89
2012-12-17,120.19,129.72,120.03,128.44,5967600,126.77
2012-12-10,116.61,120.07,115.62,119.36,4289400,117.81
2012-12-03,118.42,119.64,116.,116.57,3355900,115.05
2012-11-26,119.16,121.34,116.57,117.79,3660500,116.26
2012-11-19,117.2,120.31,116.83,120.31,2806300,118.24
2012-11-12,116.79,118.35,113.88,115.84,3542900,113.85
2012-11-05,123.19,126.73,113.84,116.15,4941100,114.15
2012-10-31,119.73,125.89,119.66,123.25,3401500,121.13
2012-10-22,122.02,124.36,118.12,119.44,4242600,117.39
2012-10-15,121.7,126.48,120.75,123.62,6898300,121.5
2012-10-08,118.28,122.94,118.15,120.2,3398500,118.14
2012-10-01,116.67,121.4,116.22,119.31,3947500,117.26
2012-09-24,116.34,117.65,111.9,113.68,4196500,111.73
2012-09-17,120.32,121.11,116.24,116.72,4817300,114.72
2012-09-10,116.06,122.6,114.54,121.36,4761300,119.28
2012-09-04,105.55,116.75,105.54,116.33,5569800,114.33
2012-08-27,105.12,106.58,103.95,105.72,2686500,103.9
2012-08-20,103.32,107.34,102.23,104.96,3926600,102.71
2012-08-13,102.55,105.63,102.55,103.6,2507300,101.37
2012-08-06,101.25,104.38,100.75,103.02,2987300,100.81
2012-07-30,101.15,102.18,96.72,100.98,3535900,98.81
2012-07-23,91.94,102.05,91.15,101.64,5222900,99.46
2012-07-16,97.73,100.49,94.1,94.16,6031200,92.14
2012-07-09,94.84,97.86,93.15,97.43,4017100,95.34
2012-07-02,96.56,98.77,94.5,95.47,3204100,93.42
2012-06-25,92.36,96.18,90.43,95.86,4538800,93.8
2012-06-18,95.24,97.6,93.16,93.63,5323100,91.62
2012-06-11,96.01,96.76,92.27,95.66,5113600,93.61
2012-06-04,92.76,97.5,90.55,94.54,5170000,92.51
2012-05-29,97.01,97.88,92.19,92.64,5114700,90.65
2012-05-21,94.8,99.95,94.,96.7,4979400,94.17
2012-05-14,100.86,102.14,95.,95.49,7017800,92.99
2012-05-07,108.53,110.86,101.59,102.13,5487200,99.46
2012-04-30,114.19,116.48,108.8,108.99,4572000,106.14
2012-04-23,110.52,115.55,110.07,114.41,5085200,111.42
2012-04-16,117.12,119.77,112.32,112.44,8255800,109.5
2012-04-09,116.06,120.41,114.45,115.09,5174800,112.08
2012-04-02,124.14,125.54,117.63,118.,5354200,114.92
2012-03-26,127.26,128.72,122.89,124.37,5053800,121.12
2012-03-19,122.93,127.86,122.2,126.18,6255400,122.88
2012-03-12,117.7,124.87,116.28,122.93,9090600,119.72
2012-03-05,119.6,119.95,113.11,117.29,5830700,114.22
2012-02-27,114.52,122.18,113.94,119.96,6999800,116.83
2012-02-21,116.22,117.91,113.22,115.87,5079000,112.5
2012-02-13,115.86,116.65,111.4,115.91,5305300,112.54
2012-02-06,116.39,117.6,113.26,114.12,4945300,110.8
2012-01-30,110.37,117.57,108.77,117.53,7959400,114.11
2012-01-23,108.49,112.2,105.93,111.77,6975300,108.52
2012-01-17,98.62,109.43,96.95,108.74,11480600,105.58
2012-01-09,93.49,101.45,92.96,98.96,6879600,96.08
2012-01-03,92.97,96.43,92.42,93.42,7530900,90.7
2011-12-27,93.5,93.84,90.04,90.43,4015600,87.8
2011-12-19,90.62,95.,86.9,93.79,7355700,91.06
2011-12-12,99.34,99.94,89.9,90.1,8566400,87.48
2011-12-05,99.56,106.1,99.,101.45,8356400,98.5
2011-11-28,92.72,102.42,88.65,97.25,9327700,94.42
2011-11-21,90.18,92.29,87.6,88.75,6293400,85.84
2011-11-14,100.52,101.02,91.31,91.91,6920800,88.89
2011-11-07,104.95,109.26,98.14,101.66,6947700,98.32
2011-10-31,112.79,113.89,102.09,105.04,7653900,101.59
2011-10-24,102.65,118.07,100.08,115.86,9449100,112.06
