Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.81,26.88,26.25,26.44,3276400,26.44
2014-02-18,26.57,27.21,26.23,26.54,4152300,26.54
2014-02-10,23.57,27.27,23.29,26.76,8194500,26.76
2014-02-03,23.57,23.72,22.33,23.53,5325500,23.53
2014-01-27,22.96,23.84,22.57,23.66,3671100,23.66
2014-01-21,24.84,24.89,22.97,23.04,3960500,22.99
2014-01-13,26.16,26.29,24.48,24.53,3791800,24.48
2014-01-06,23.46,26.25,23.31,25.99,6553800,25.93
2013-12-30,23.55,24.,23.11,23.37,2219400,23.32
2013-12-23,23.08,23.87,23.,23.54,1635300,23.49
2013-12-16,22.71,22.97,22.,22.93,2803400,22.88
2013-12-09,22.61,22.88,22.12,22.62,2594000,22.57
2013-12-02,22.39,22.65,21.14,22.56,3961800,22.51
2013-11-25,21.77,22.5,21.65,22.26,2399600,22.21
2013-11-18,21.54,21.9,21.17,21.75,2589900,21.7
2013-11-11,21.06,21.69,20.84,21.65,2699000,21.6
2013-11-04,20.77,21.35,20.46,21.06,3784600,21.01
2013-10-28,22.1,22.39,19.84,20.86,7561900,20.82
2013-10-21,21.88,22.29,20.94,22.21,6091900,22.11
2013-10-14,22.42,22.84,22.11,22.63,3594900,22.53
2013-10-07,22.72,23.,21.45,22.64,4321800,22.54
2013-09-30,22.27,23.4,21.97,23.01,4216000,22.91
2013-09-23,22.2,23.24,21.81,22.46,5035400,22.36
2013-09-16,22.07,23.13,21.57,22.21,4642500,22.11
2013-09-09,20.84,22.36,20.76,21.82,4640300,21.72
2013-09-03,20.35,21.01,20.14,20.79,3451800,20.7
2013-08-26,18.74,20.46,18.29,20.12,5467600,20.03
2013-08-19,18.74,19.,18.28,18.84,2974200,18.75
2013-08-12,18.85,19.75,18.61,18.72,3281800,18.63
2013-08-05,19.04,19.18,18.33,19.05,3601800,18.96
2013-07-29,16.75,19.6,16.68,19.02,7515200,18.93
2013-07-22,17.21,17.52,16.49,16.78,3890300,16.7
2013-07-15,16.68,17.64,16.41,17.23,3667500,17.15
2013-07-08,15.88,16.77,15.88,16.6,3809000,16.52
2013-07-01,15.25,15.9,15.16,15.86,2510300,15.79
2013-06-24,14.72,15.47,13.9,15.3,4682400,15.23
2013-06-17,15.43,15.5,14.51,14.94,4439700,14.87
2013-06-10,14.96,15.59,14.28,15.31,4754900,15.24
2013-06-03,15.17,15.56,14.46,14.82,4651100,14.75
2013-05-28,14.8,16.06,14.71,15.14,10563500,15.07
2013-05-20,14.68,14.94,14.03,14.55,4687900,14.48
2013-05-13,12.73,14.96,12.51,14.74,7462600,14.67
2013-05-06,12.47,13.26,12.45,12.85,4211700,12.79
2013-04-29,12.46,12.75,12.14,12.37,4869100,12.31
2013-04-22,11.99,13.4,11.92,12.51,5539500,12.45
2013-04-15,12.47,12.5,11.83,12.14,4147600,12.08
2013-04-08,12.14,12.9,12.09,12.51,3764000,12.45
2013-04-01,12.59,12.65,11.96,12.16,3538700,12.1
2013-03-25,12.91,12.94,12.46,12.61,3409400,12.55
2013-03-18,13.57,13.7,12.75,12.8,3512400,12.74
2013-03-11,13.2,13.74,12.82,13.73,4673900,13.67
2013-03-04,12.92,13.31,12.6,13.08,3040000,13.02
2013-02-25,13.61,13.68,12.63,12.96,4304500,12.9
2013-02-19,14.1,14.26,13.35,13.45,3750900,13.39
2013-02-11,13.7,14.32,13.1,14.1,7302000,14.04
2013-02-04,13.69,13.78,13.32,13.59,4686300,13.53
2013-01-28,13.94,13.99,13.6,13.78,2972700,13.72
2013-01-22,13.75,13.98,13.5,13.87,2915900,13.81
2013-01-14,13.78,14.18,13.58,13.81,3371700,13.75
2013-01-07,14.24,14.65,13.71,13.78,3396100,13.72
2012-12-31,13.28,14.39,13.25,14.35,3063500,14.28
2012-12-24,13.35,13.47,13.01,13.29,1761900,13.23
2012-12-17,12.99,13.59,12.77,13.08,2952700,13.02
2012-12-10,12.72,13.4,12.52,12.95,3700200,12.89
2012-12-03,12.69,12.9,12.51,12.78,3306600,12.72
2012-11-26,11.74,12.62,11.47,12.6,3221300,12.54
2012-11-19,11.34,11.86,11.19,11.83,2246100,11.78
2012-11-12,11.6,11.79,10.91,11.16,3500200,11.11
2012-11-05,11.55,12.15,11.51,11.53,4044800,11.48
2012-10-31,11.14,11.88,10.94,11.6,5109600,11.55
2012-10-22,12.34,12.58,10.99,11.02,6101300,10.97
2012-10-15,12.34,12.86,11.93,12.39,3696300,12.33
2012-10-08,12.63,12.81,12.22,12.28,4039400,12.22
2012-10-01,12.35,13.11,12.07,12.74,3693300,12.68
2012-09-24,12.71,12.94,11.87,12.19,5043300,12.13
2012-09-17,13.5,13.54,12.67,12.73,5224700,12.67
2012-09-10,13.1,13.52,12.88,13.51,4861100,13.45
2012-09-04,12.14,13.2,11.9,13.16,5492700,13.1
2012-08-27,11.88,12.26,11.52,12.2,4237700,12.14
2012-08-20,12.,12.31,11.67,11.88,5182700,11.83
2012-08-13,11.68,12.06,11.53,12.04,4889300,11.99
2012-08-06,11.34,11.83,10.97,11.74,5706500,11.69
2012-07-30,10.53,12.6,10.32,11.16,11744500,11.11
2012-07-23,9.65,10.94,9.55,10.57,8140700,10.52
2012-07-16,10.26,10.37,9.79,9.81,5880400,9.77
2012-07-09,11.07,11.2,10.08,10.24,7687200,10.19
2012-07-02,11.8,11.81,11.,11.09,5044000,11.04
2012-06-25,11.26,11.94,10.82,11.81,5883900,11.76
2012-06-18,10.97,11.78,10.76,11.46,7920500,11.41
2012-06-11,10.63,11.05,10.12,11.02,6538500,10.97
2012-06-04,9.87,10.51,9.24,10.49,6444800,10.44
2012-05-29,10.64,10.98,9.82,9.87,7078300,9.83
2012-05-21,10.06,10.77,10.03,10.59,5152800,10.54
2012-05-14,10.42,11.,10.,10.04,7126100,9.99
2012-05-07,10.78,10.99,10.08,10.55,8400300,10.5
2012-04-30,11.32,11.4,10.74,10.84,7686300,10.79
2012-04-23,11.06,12.36,10.72,11.32,12597300,11.27
2012-04-16,10.68,11.54,10.38,11.24,8667400,11.19
2012-04-09,10.77,10.96,10.24,10.59,6314900,10.54
2012-04-02,11.18,11.5,10.89,11.02,4947600,10.97
2012-03-26,12.03,12.08,11.07,11.22,5442200,11.17
2012-03-19,12.15,12.21,11.73,11.91,4926200,11.86
2012-03-12,12.4,12.6,12.09,12.16,4959700,12.1
2012-03-05,13.09,13.09,12.19,12.38,5361000,12.32
2012-02-27,13.03,13.34,12.73,13.12,6506900,13.06
2012-02-21,13.48,13.78,13.03,13.11,4945500,13.05
2012-02-13,14.07,14.2,12.66,13.42,10354200,13.36
2012-02-06,13.78,14.34,13.71,13.88,4752300,13.82
2012-01-30,13.4,13.88,12.94,13.86,4721500,13.8
2012-01-23,13.67,13.96,13.05,13.5,3861100,13.44
2012-01-17,13.66,13.92,13.25,13.65,4607600,13.59
2012-01-09,15.15,15.8,13.19,13.5,9914800,13.44
2012-01-03,14.57,15.27,14.25,15.15,4265000,15.08
2011-12-27,14.3,14.35,13.81,14.17,1977300,14.11
2011-12-19,13.68,14.33,13.06,14.31,3086700,14.25
2011-12-12,14.25,14.56,13.09,13.58,4704800,13.52
2011-12-05,14.5,14.69,13.9,14.55,3918700,14.48
2011-11-28,12.54,14.54,12.47,14.12,5442600,14.06
2011-11-21,12.2,12.48,11.83,11.93,4727200,11.88
2011-11-14,13.8,14.1,12.68,12.76,6282600,12.7
2011-11-07,14.28,14.42,13.23,13.93,5398400,13.87
2011-10-31,14.77,14.93,13.,14.3,7446400,14.24
2011-10-24,13.04,15.47,12.95,14.84,9321700,14.77
2011-10-17,12.15,13.04,11.67,12.97,5290200,12.91
2011-10-10,10.67,12.3,10.61,12.27,6222300,12.21
2011-10-03,10.,11.,8.53,10.3,7189800,10.25
2011-09-26,10.,10.99,9.5,10.09,6571700,10.04
2011-09-19,10.8,11.1,9.15,9.86,5918700,9.82
2011-09-12,10.72,11.34,10.02,11.09,8673900,11.04
2011-09-06,10.86,11.79,10.63,10.78,8966400,10.73
2011-08-29,12.04,13.1,11.29,11.5,5861900,11.45
2011-08-22,11.27,12.28,10.65,11.81,7488300,11.76
2011-08-15,13.78,14.08,10.77,10.88,8657100,10.83
2011-08-08,12.87,13.9,11.22,13.48,15471000,13.42
2011-08-01,16.28,16.47,13.04,13.55,9971600,13.49
2011-07-25,17.56,18.25,15.5,16.17,9648200,16.1
2011-07-18,17.71,18.1,17.13,17.89,5405200,17.81
2011-07-11,16.83,17.87,16.61,17.84,6160800,17.76
2011-07-05,17.22,18.13,16.94,17.23,7845800,17.15
2011-06-27,15.88,17.33,15.63,17.29,5090500,17.21
2011-06-20,14.72,15.98,14.57,15.88,4995200,15.81
2011-06-13,14.78,15.39,14.5,14.8,6951300,14.73
2011-06-06,16.5,16.61,14.86,14.99,8281400,14.92
2011-05-31,17.77,17.79,16.,16.51,5739100,16.44
2011-05-23,17.16,17.65,16.53,17.51,4925800,17.43
2011-05-16,17.74,18.02,16.66,17.57,6894400,17.49
2011-05-09,17.61,18.83,17.5,17.77,8016500,17.69
2011-05-02,18.25,18.27,17.13,17.56,8116700,17.48
2011-04-25,16.08,18.68,15.88,18.15,11170600,18.07
2011-04-18,14.87,16.09,14.7,15.96,6503800,15.89
2011-04-11,15.05,15.28,14.44,15.15,6271100,15.08
2011-04-04,15.22,15.65,14.91,15.,4888800,14.93
2011-03-28,14.99,15.47,14.5,15.22,10260300,15.15
2011-03-21,15.09,15.71,14.47,15.45,5431100,15.38
2011-03-14,14.77,15.45,14.17,14.82,7069100,14.75
2011-03-07,13.82,15.05,13.22,14.98,7102300,14.91
2011-02-28,14.03,14.34,13.52,13.68,6382200,13.62
2011-02-22,14.53,14.56,13.25,13.9,6050700,13.84
2011-02-14,14.17,15.2,13.81,14.89,7323700,14.82
2011-02-07,12.77,14.37,12.51,14.3,10701700,14.24
2011-01-31,11.74,12.96,11.7,12.76,5496300,12.7
2011-01-24,11.58,12.74,11.5,11.66,6065800,11.61
2011-01-18,12.16,12.22,11.42,11.58,5821400,11.53
2011-01-10,12.95,13.25,12.03,12.13,7328500,12.07
2011-01-03,12.,13.24,11.97,12.9,6879300,12.84
2010-12-27,11.79,12.18,11.65,11.85,2292500,11.8
2010-12-20,11.64,12.01,11.59,11.83,2367100,11.78
2010-12-13,11.45,11.9,11.19,11.64,4691900,11.59
2010-12-06,9.91,11.73,9.9,11.35,7851300,11.3
2010-11-29,9.94,10.12,9.51,9.93,5084300,9.88
2010-11-22,10.24,10.3,9.84,10.03,3249200,9.98
2010-11-15,10.2,10.47,9.64,10.33,5253400,10.28
2010-11-08,10.46,10.77,10.,10.1,4860400,10.05
2010-11-01,10.3,11.04,9.98,10.47,5472800,10.42
2010-10-25,11.86,11.98,10.1,10.22,6455600,10.17
2010-10-18,11.99,12.14,11.57,11.74,2695500,11.69
2010-10-11,11.68,12.06,11.57,11.97,3632800,11.92
2010-10-04,10.83,11.65,10.52,11.57,3787200,11.52
2010-09-27,10.89,11.,10.51,10.85,2925000,10.8
2010-09-20,11.23,11.38,10.34,10.82,4202600,10.77
2010-09-13,10.42,11.16,10.41,11.16,3185500,11.11
2010-09-07,10.29,10.44,9.66,10.35,4032500,10.3
2010-08-30,9.68,10.5,9.13,10.3,4736700,10.25
2010-08-23,9.97,10.07,9.1,9.69,5425900,9.65
2010-08-16,10.,10.61,9.8,9.85,4146800,9.81
2010-08-09,11.25,11.29,9.95,9.98,4358600,9.93
2010-08-02,10.85,11.54,10.85,11.15,5694700,11.1
2010-07-26,12.15,12.66,10.53,10.67,9253700,10.62
2010-07-19,10.96,12.27,10.75,12.22,4170200,12.16
2010-07-12,10.86,11.71,10.77,10.94,3154100,10.89
2010-07-06,10.18,10.94,9.81,10.89,3497900,10.84
2010-06-28,11.43,11.52,9.65,10.01,5244800,9.96
2010-06-21,12.23,12.62,11.24,11.4,3331400,11.35
2010-06-14,11.77,12.36,11.58,11.99,2749000,11.94
2010-06-07,11.52,11.68,10.73,11.59,3669200,11.54
2010-06-01,11.69,12.25,11.4,11.49,3872300,11.44
2010-05-24,11.3,12.33,10.59,11.9,4775100,11.85
2010-05-17,13.09,13.34,10.85,11.33,8151300,11.28
2010-05-10,12.97,13.61,12.51,13.05,5105200,12.99
2010-05-03,13.57,14.06,11.62,12.11,7803600,12.05
2010-04-26,14.65,15.27,13.4,13.43,8321500,13.37
2010-04-19,14.15,15.06,13.78,14.58,5274700,14.51
2010-04-12,12.88,14.81,12.87,14.27,7030700,14.21
2010-04-05,13.06,13.13,12.7,12.87,4053900,12.81
2010-03-29,13.14,13.27,12.6,12.88,3872200,12.82
2010-03-22,12.88,13.54,12.75,13.03,4447100,12.97
2010-03-15,13.8,13.89,12.85,13.01,3751600,12.95
2010-03-08,13.79,14.01,13.38,13.82,2883800,13.76
2010-03-01,13.06,13.75,13.06,13.7,4186100,13.64
2010-02-22,13.53,13.57,12.57,12.99,6163600,12.93
2010-02-16,13.43,14.79,13.19,13.46,6085200,13.4
2010-02-08,12.6,13.33,12.32,13.28,2836900,13.22
2010-02-01,13.48,14.08,12.06,12.64,3167200,12.58
2010-01-25,13.51,14.37,13.02,13.34,4378200,13.28
2010-01-19,14.91,15.04,13.15,13.24,4339200,13.18
2010-01-11,16.11,16.39,14.59,15.02,3581800,14.95
2010-01-04,14.32,16.18,14.25,15.94,4059900,15.87
2009-12-28,14.61,14.76,14.08,14.1,2234800,14.04
2009-12-21,14.38,14.65,14.1,14.58,1844800,14.51
2009-12-14,14.94,15.03,14.03,14.34,2599400,14.27
2009-12-07,14.46,14.92,13.98,14.89,2775700,14.82
2009-11-30,13.7,14.62,13.54,14.56,4015500,14.49
2009-11-23,14.47,14.5,13.19,13.69,2547200,13.63
2009-11-16,14.59,14.75,13.81,14.11,3866900,14.05
2009-11-09,13.21,14.92,13.08,14.34,5906900,14.27
2009-11-02,13.15,13.54,12.48,13.13,6495700,13.07
2009-10-26,17.7,18.23,11.87,12.88,19992000,12.82
2009-10-19,17.48,18.,16.83,17.75,3256400,17.67
2009-10-12,17.4,18.1,16.74,17.46,3796900,17.38
2009-10-05,15.48,17.35,15.47,17.23,4050800,17.15
2009-09-28,16.16,17.35,15.17,15.35,4999100,15.28
2009-09-21,16.81,17.48,15.93,16.02,4051600,15.95
2009-09-14,18.05,18.79,16.34,17.08,6485800,17.
2009-09-08,16.56,17.75,16.4,17.27,4254300,17.19
2009-08-31,16.09,16.75,15.52,16.35,4082900,16.28
2009-08-24,17.99,18.4,16.,16.2,5453600,16.13
2009-08-17,17.34,18.78,17.02,17.97,4178700,17.89
2009-08-10,18.05,18.45,17.45,17.8,3688400,17.72
2009-08-03,17.44,18.84,17.35,18.11,6714700,18.03
2009-07-27,14.46,17.34,13.34,17.02,9084700,16.94
2009-07-20,12.99,14.63,12.79,14.47,5925400,14.4
2009-07-13,10.99,12.98,10.6,12.92,4862200,12.86
2009-07-06,11.29,11.44,9.98,10.98,4954200,10.93
2009-06-29,11.32,11.7,10.95,11.47,5174800,11.42
2009-06-22,12.06,12.17,10.59,11.22,5731800,11.17
2009-06-15,12.14,12.57,11.3,12.23,5429800,12.17
2009-06-08,12.85,13.87,12.17,12.41,5495100,12.35
2009-06-01,11.65,13.33,11.36,12.94,5195500,12.88
2009-05-26,11.42,12.3,10.86,11.45,5172800,11.4
2009-05-18,11.35,12.87,10.95,11.45,4542100,11.4
2009-05-11,12.97,13.,10.34,11.24,6138500,11.19
2009-05-04,11.39,14.26,11.39,13.3,9474400,13.24
2009-04-27,10.75,12.,9.63,11.41,8633900,11.36
2009-04-20,9.81,11.18,8.75,10.87,7808200,10.82
2009-04-13,8.4,10.3,8.1,10.21,6497400,10.16
2009-04-06,7.2,8.66,6.95,8.5,5569400,8.46
2009-03-30,6.46,7.54,5.9,7.4,5739600,7.37
2009-03-23,6.07,7.14,5.95,6.85,4234900,6.82
2009-03-16,5.4,6.49,5.02,5.84,4209900,5.81
2009-03-09,3.76,5.57,3.5,5.24,5381700,5.22
2009-03-02,4.31,4.36,3.17,3.51,7404900,3.49
2009-02-23,5.61,6.01,4.32,4.44,7269000,4.42
2009-02-17,6.51,6.74,5.5,5.97,6801000,5.94
2009-02-09,7.15,7.38,6.56,6.92,3609700,6.89
2009-02-02,6.09,7.44,5.63,7.17,6188600,7.14
2009-01-26,6.53,6.9,5.91,6.17,5362500,6.14
2009-01-20,6.65,6.76,5.55,6.49,6102300,6.46
2009-01-12,7.59,7.73,5.54,6.71,7845000,6.68
