Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,250.24,252.36,249.58,251.61,712000,251.61
2014-02-18,246.16,250.64,245.04,249.24,593300,249.24
2014-02-10,233.23,245.96,230.11,245.67,645000,245.67
2014-02-03,234.5,236.03,228.19,234.,648300,234.
2014-01-27,241.68,243.36,232.26,234.48,580600,233.54
2014-01-21,263.69,265.84,240.38,241.85,793200,240.88
2014-01-13,262.76,266.96,258.,264.1,509000,263.04
2014-01-06,253.69,267.49,249.79,263.71,484500,262.65
2013-12-30,255.73,256.38,251.9,252.84,224800,251.82
2013-12-23,253.,257.02,250.54,255.45,212800,254.42
2013-12-16,252.15,256.84,247.78,248.34,529600,247.34
2013-12-09,258.91,259.73,246.86,251.55,422100,250.54
2013-12-02,257.91,260.,251.,257.78,363000,256.74
2013-11-25,256.89,259.99,255.39,257.92,234400,256.88
2013-11-18,259.79,261.56,252.55,256.39,415400,255.36
2013-11-11,267.8,270.19,259.53,260.75,400400,259.7
2013-11-04,270.77,273.,263.47,268.11,345000,267.03
2013-10-28,267.31,274.37,264.94,270.06,317400,268.04
2013-10-21,263.12,267.46,260.91,267.4,269000,265.4
2013-10-14,256.33,266.37,253.25,264.3,558200,262.33
2013-10-07,262.31,263.17,251.21,257.9,500700,255.97
2013-09-30,261.72,265.86,261.,264.88,362700,262.9
2013-09-23,270.69,271.96,263.55,263.92,315200,261.95
2013-09-16,272.43,276.38,268.39,270.15,374900,268.13
2013-09-09,258.93,271.32,258.09,267.29,359200,265.29
2013-09-03,249.39,261.36,248.87,258.28,345900,256.35
2013-08-26,253.86,256.14,245.01,247.35,262100,245.5
2013-08-19,253.,254.8,248.29,254.03,191900,252.13
2013-08-12,257.45,259.62,247.21,253.41,183900,251.52
2013-08-05,266.12,266.9,259.15,259.83,151700,257.89
2013-07-29,255.25,270.47,253.53,267.95,249700,265.
2013-07-22,261.1,263.27,252.83,256.65,271300,253.83
2013-07-15,266.58,267.29,256.86,262.52,340900,259.63
2013-07-08,256.12,266.32,254.82,265.25,331500,262.33
2013-07-01,253.47,257.9,250.97,256.1,240400,253.28
2013-06-24,249.44,258.13,247.4,252.18,334400,249.4
2013-06-17,256.04,256.42,248.27,251.23,238800,248.46
2013-06-10,261.,261.,251.45,254.38,298400,251.58
2013-06-03,257.23,260.76,250.02,260.61,287000,257.74
2013-05-28,260.45,261.34,252.67,257.44,371000,254.61
2013-05-20,263.02,269.17,254.64,257.78,328200,254.94
2013-05-13,257.17,263.41,256.29,263.35,273600,260.45
2013-05-06,246.6,256.62,246.6,256.55,296300,253.73
2013-04-29,242.6,249.49,237.47,248.68,287300,245.04
2013-04-22,242.66,249.54,241.06,245.24,275500,241.65
2013-04-15,225.8,245.46,223.69,243.05,785500,239.49
2013-04-08,233.36,233.36,222.02,228.,437600,224.66
2013-04-01,224.4,224.73,216.64,222.01,343100,218.76
2013-03-25,225.,225.16,218.29,224.98,275800,221.68
2013-03-18,224.27,226.39,221.63,224.68,291100,221.39
2013-03-11,230.74,232.45,220.97,225.06,492700,221.76
2013-03-04,227.11,233.95,225.49,231.,280300,227.62
2013-02-25,225.54,228.57,221.07,227.43,298200,224.1
2013-02-19,229.19,230.41,223.18,224.86,299800,221.57
2013-02-11,216.4,231.02,216.38,229.48,512400,226.12
2013-02-04,217.31,219.33,215.09,216.71,485000,213.54
2013-01-28,216.85,222.05,215.07,219.62,479800,215.61
2013-01-22,210.12,217.11,204.19,217.09,527200,213.12
2013-01-14,206.54,210.44,202.83,210.23,467800,206.39
2013-01-07,207.16,207.86,201.49,204.63,432700,200.89
2012-12-31,197.79,208.57,196.98,208.42,356000,204.61
2012-12-24,198.16,201.,197.25,198.2,330800,194.58
2012-12-17,191.34,200.24,190.06,200.,585000,196.35
2012-12-10,191.27,194.72,189.92,190.26,610900,186.78
2012-12-03,194.69,194.99,186.59,191.09,409900,187.6
2012-11-26,191.27,194.91,188.47,194.02,785600,190.48
2012-11-19,189.4,192.48,189.,191.51,601700,188.01
2012-11-12,192.96,195.73,184.78,187.83,1249200,184.4
2012-11-05,200.,204.41,192.83,194.61,749700,191.06
2012-10-31,200.94,206.,199.61,201.06,719500,196.61
2012-10-22,200.47,206.67,196.2,197.48,683500,193.11
2012-10-15,215.56,215.95,197.18,205.8,1016600,201.24
2012-10-08,214.27,218.23,208.7,214.63,414000,209.88
2012-10-01,208.9,216.62,207.57,215.49,503500,210.72
2012-09-24,202.23,209.57,201.53,208.37,523000,203.76
2012-09-17,205.12,207.53,200.97,203.03,297500,198.54
2012-09-10,204.67,209.84,202.05,206.01,561800,201.45
2012-09-04,206.13,211.31,202.,203.74,628200,199.23
2012-08-27,205.48,209.11,202.45,205.96,363300,201.4
2012-08-20,207.74,207.74,202.31,204.99,249200,200.45
2012-08-13,199.67,207.7,198.49,207.28,276400,202.69
