Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.1,9.33,9.09,9.27,11593200,9.27
2014-02-18,9.12,9.15,8.77,9.11,10998000,9.11
2014-02-10,9.01,9.27,8.94,9.12,6227600,9.12
2014-02-03,9.02,9.16,8.66,9.03,16709500,9.03
2014-01-27,9.43,9.51,9.07,9.07,12316600,9.07
2014-01-21,9.69,9.91,9.42,9.42,9429700,9.42
2014-01-13,9.8,9.91,9.43,9.63,12823800,9.63
2014-01-06,9.65,9.87,9.58,9.79,10082700,9.79
2013-12-30,9.61,9.68,9.53,9.6,5212500,9.6
2013-12-23,9.62,9.73,9.55,9.61,4103400,9.61
2013-12-16,9.43,9.63,9.26,9.56,8522600,9.56
2013-12-09,9.26,9.49,9.24,9.36,11883900,9.31
2013-12-02,9.17,9.27,8.92,9.24,10662200,9.19
2013-11-25,9.17,9.25,9.11,9.17,5969400,9.12
2013-11-18,9.,9.14,8.76,9.14,9469600,9.09
2013-11-11,9.02,9.04,8.69,8.96,8626100,8.91
2013-11-04,8.84,9.02,8.64,9.02,9745600,8.97
2013-10-28,8.93,9.06,8.79,8.85,8394800,8.8
2013-10-21,8.92,9.05,8.82,8.93,8854200,8.88
2013-10-14,8.43,9.05,8.4,8.9,14458200,8.85
2013-10-07,8.35,8.49,8.04,8.48,11119900,8.44
2013-09-30,8.13,8.47,8.1,8.45,8072900,8.41
2013-09-23,8.38,8.4,8.19,8.23,7570700,8.19
2013-09-16,8.6,8.73,8.3,8.38,11936500,8.34
2013-09-09,8.5,8.74,8.41,8.52,11436800,8.48
2013-09-03,8.33,8.54,8.19,8.52,12370400,8.43
2013-08-26,8.58,8.61,8.14,8.24,8693500,8.15
2013-08-19,8.49,8.7,8.41,8.6,6890200,8.5
2013-08-12,8.51,8.66,8.41,8.56,7320500,8.46
2013-08-05,8.71,8.77,8.46,8.55,7833300,8.46
2013-07-29,8.54,8.78,8.4,8.71,11357600,8.61
2013-07-22,8.44,8.62,8.39,8.6,10044000,8.5
2013-07-15,8.38,8.49,8.12,8.38,10919300,8.29
2013-07-08,8.6,8.66,8.11,8.33,11993800,8.24
2013-07-01,7.95,8.5,7.9,8.5,11885500,8.41
2013-06-24,7.63,7.96,7.56,7.87,11271100,7.78
2013-06-17,7.56,7.72,7.38,7.66,11796500,7.57
2013-06-10,7.7,7.82,7.52,7.53,9248500,7.45
2013-06-03,7.75,7.79,7.44,7.68,9163400,7.54
2013-05-28,7.62,7.95,7.53,7.75,11590100,7.61
2013-05-20,7.7,7.81,7.43,7.54,8338000,7.41
2013-05-13,7.49,7.81,7.43,7.74,9349500,7.6
2013-05-06,7.29,7.5,7.26,7.49,7420200,7.36
2013-04-29,7.15,7.28,7.05,7.27,6662100,7.14
2013-04-22,7.,7.19,6.93,7.11,9244200,6.98
2013-04-15,7.33,7.38,6.82,7.,13893400,6.88
2013-04-08,7.23,7.51,7.18,7.39,8758900,7.26
2013-04-01,7.4,7.44,7.1,7.21,7720600,7.08
2013-03-25,7.41,7.48,7.32,7.37,7504000,7.24
2013-03-18,7.38,7.53,7.29,7.38,11498800,7.25
2013-03-11,7.33,7.55,7.29,7.51,10414700,7.38
2013-03-04,7.03,7.46,7.02,7.36,10984500,7.19
2013-02-25,7.04,7.1,6.75,7.07,11120900,6.91
2013-02-19,7.12,7.17,6.83,6.98,14564300,6.82
2013-02-11,7.19,7.24,7.08,7.1,10482000,6.94
2013-02-04,7.05,7.2,7.01,7.2,9527000,7.04
2013-01-28,6.96,7.11,6.86,7.08,10205600,6.92
