Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,56.79,58.52,56.79,58.03,1972600,58.03
2014-02-18,56.81,57.96,56.01,56.78,1937800,56.78
2014-02-10,56.76,57.6,56.41,56.86,1535400,56.86
2014-02-03,57.82,57.9,55.87,56.89,2077500,56.89
2014-01-27,55.94,58.11,55.92,57.92,2238300,57.11
2014-01-21,55.96,56.79,55.67,55.92,2179200,55.14
2014-01-13,55.36,56.24,54.96,55.59,2916200,54.81
2014-01-06,53.29,55.51,53.14,55.48,2299900,54.7
2013-12-30,53.2,53.73,52.9,53.05,2153100,52.31
2013-12-23,53.48,53.56,52.76,53.2,1478200,52.46
2013-12-16,54.,54.75,52.43,53.11,2889100,52.37
2013-12-09,55.15,55.85,53.31,53.91,1992000,53.16
2013-12-02,56.16,56.24,54.51,55.16,1870700,54.39
2013-11-25,57.7,57.88,55.9,55.99,1976800,55.21
2013-11-18,60.44,60.73,57.56,57.76,1619500,56.95
2013-11-11,60.41,60.99,59.26,60.51,1761000,59.66
2013-11-04,64.99,65.13,59.5,60.41,1806000,59.57
2013-10-28,66.46,66.76,64.35,64.99,1618800,63.31
2013-10-21,64.83,66.76,63.99,66.47,1628900,64.75
2013-10-14,63.14,65.61,62.64,64.85,1476500,63.17
2013-10-07,61.42,63.67,61.3,63.66,1299200,62.01
2013-09-30,62.88,63.96,61.28,61.85,2029000,60.25
2013-09-23,63.58,64.28,62.62,63.18,1513200,61.54
2013-09-16,62.55,66.08,61.9,63.73,2098400,62.08
2013-09-09,60.86,62.44,60.65,61.76,1362200,60.16
2013-09-03,61.8,61.8,59.88,60.83,1489500,59.26
2013-08-26,61.46,62.01,60.5,61.44,1662600,59.85
2013-08-19,58.37,61.83,58.16,61.46,2700400,59.87
2013-08-12,63.81,63.91,58.35,58.57,2290400,57.05
2013-08-05,63.47,64.54,62.29,63.74,1801500,62.09
2013-07-29,66.09,66.36,62.8,63.37,1656200,61.73
2013-07-22,67.75,68.09,65.11,66.13,1460400,63.64
2013-07-15,67.14,68.75,67.,67.77,1387500,65.22
2013-07-08,65.36,68.79,64.54,67.11,2095200,64.59
2013-07-01,67.56,67.68,63.25,65.22,1928600,62.77
2013-06-24,62.94,67.63,61.86,67.03,2548500,64.51
2013-06-17,67.65,68.59,61.62,63.35,3078800,60.97
2013-06-10,68.28,68.44,65.01,67.37,2047000,64.84
2013-06-03,67.38,68.94,66.47,68.29,2038800,65.72
2013-05-28,74.62,74.77,67.99,68.03,3566600,65.47
