Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.19,38.08,37.11,37.82,2863700,37.82
2014-02-18,37.75,38.74,37.01,37.11,3336800,37.11
2014-02-10,38.47,38.92,37.29,37.69,3298400,37.69
2014-02-03,39.25,39.31,38.01,38.42,3232500,38.42
2014-01-27,38.6,39.34,38.41,39.15,2716800,38.6
2014-01-21,38.3,38.69,38.04,38.6,2968100,38.06
2014-01-13,38.75,38.96,37.89,38.04,3479000,37.5
2014-01-06,36.18,39.05,36.16,38.87,4062300,38.32
2013-12-30,36.52,36.67,35.95,36.18,2070800,35.67
2013-12-23,36.25,36.67,36.13,36.5,1932100,35.98
2013-12-16,35.77,36.89,35.6,36.08,3605500,35.57
2013-12-09,36.56,37.24,35.5,35.77,2675400,35.26
2013-12-02,36.95,36.95,35.67,36.57,2671800,36.05
2013-11-25,38.36,38.4,36.74,36.77,2588900,36.25
2013-11-18,39.8,40.05,38.06,38.27,3124900,37.73
2013-11-11,39.66,40.1,39.11,39.81,2172000,39.25
2013-11-04,41.83,42.,38.67,39.63,2442300,39.07
2013-10-28,43.2,43.29,41.22,41.71,2612700,41.12
2013-10-21,42.45,43.13,41.8,43.05,2226000,41.92
2013-10-14,41.28,43.17,40.93,42.57,3029900,41.45
2013-10-07,38.86,41.55,38.76,41.54,3186400,40.45
2013-09-30,41.28,42.11,38.58,39.05,4878000,38.02
2013-09-23,41.93,42.32,41.17,41.55,2344000,40.46
2013-09-16,42.47,44.51,41.2,42.09,2899800,40.98
2013-09-09,41.,41.9,40.69,41.43,2039800,40.34
2013-09-03,41.09,41.55,39.69,40.89,2738200,39.81
2013-08-26,41.,41.31,40.15,40.73,2268700,39.66
2013-08-19,39.25,41.27,38.93,40.95,3468400,39.87
2013-08-12,42.38,42.4,39.21,39.39,3210900,38.35
2013-08-05,42.72,43.11,41.78,42.38,2473300,41.26
2013-07-29,45.3,46.11,42.03,42.81,2909700,41.68
2013-07-22,46.44,46.78,44.67,45.33,2085100,43.61
2013-07-15,46.53,47.45,46.17,46.49,2707600,44.72
2013-07-08,45.,46.78,44.41,46.38,2378400,44.62
2013-07-01,45.83,46.28,43.05,44.45,2848900,42.76
2013-06-24,42.54,45.84,41.5,45.44,4127200,43.71
2013-06-17,46.2,46.34,41.54,43.19,4384400,41.55
2013-06-10,47.64,47.72,45.2,45.95,4235100,44.2
2013-06-03,47.32,48.23,46.32,47.56,3160900,45.75
2013-05-28,51.43,51.49,47.21,47.38,4530800,45.58
2013-05-20,54.39,56.06,50.44,50.83,3038000,48.9
2013-05-13,51.99,54.55,51.79,54.38,2507100,52.31
2013-05-06,53.43,54.05,51.63,51.96,2956500,49.99
2013-04-29,52.9,53.96,52.59,53.47,2031400,51.44
2013-04-22,52.75,53.3,52.28,52.77,1639700,50.26
2013-04-15,51.75,52.74,50.83,52.71,2433800,50.21
2013-04-08,51.15,52.09,50.95,52.02,2078500,49.55
2013-04-01,49.89,51.17,49.63,51.15,2281600,48.72
2013-03-25,49.17,49.91,48.85,49.86,2793100,47.49
2013-03-18,48.49,49.01,48.14,48.91,2265100,46.59
2013-03-11,48.95,49.37,48.5,48.68,2401500,46.37
2013-03-04,48.92,49.79,48.69,48.92,1694200,46.6
2013-02-25,48.79,49.18,47.64,48.9,2427200,46.58
2013-02-19,47.89,48.63,47.71,48.61,2130200,46.3
2013-02-11,46.79,47.84,46.36,47.8,2330500,45.53
2013-02-04,46.4,46.91,46.1,46.7,2436100,44.48
2013-01-28,47.1,47.35,46.15,46.69,2213700,44.47
2013-01-22,46.35,47.01,46.25,47.,1653400,44.27
2013-01-14,45.96,46.5,45.71,46.48,1751100,43.78
2013-01-07,45.6,46.07,45.41,46.,1593700,43.33
2012-12-31,44.7,45.84,44.6,45.78,2227500,43.12
2012-12-24,44.65,45.29,44.58,44.84,1453000,42.23
2012-12-17,44.58,45.04,43.9,44.78,3179800,42.18
2012-12-10,45.34,45.63,44.09,44.19,2096900,41.62
2012-12-03,45.23,45.46,44.66,45.37,2375700,42.73
2012-11-26,45.53,46.15,44.38,45.05,3112000,42.43
2012-11-19,44.99,45.73,44.88,45.69,2053800,43.03
2012-11-12,44.22,44.97,43.55,44.56,2397200,41.97
2012-11-05,43.71,44.63,43.35,44.15,2796700,41.58
2012-10-31,44.33,44.73,43.31,43.89,3707900,41.34
2012-10-22,45.17,45.23,43.67,44.02,3176400,40.99
2012-10-15,45.18,45.96,44.34,45.08,6295600,41.98
2012-10-08,45.42,45.73,45.14,45.18,1477900,42.07
2012-10-01,44.69,45.64,43.93,45.51,1777100,42.38
2012-09-24,44.96,45.21,44.12,44.48,2250500,41.42
2012-09-17,46.34,46.81,44.77,44.93,3514400,41.84
2012-09-10,46.6,47.26,46.19,46.42,2475100,43.23
2012-09-04,45.77,47.15,45.58,46.64,2026800,43.43
2012-08-27,44.88,45.88,44.68,45.86,1701300,42.71
2012-08-20,44.97,45.48,44.26,44.83,1896900,41.75
2012-08-13,45.5,45.72,44.86,44.99,1711900,41.9
2012-08-06,46.56,46.9,45.17,45.45,2028400,42.33
2012-07-30,47.13,47.64,45.95,46.43,2209900,43.24
2012-07-23,44.67,47.75,44.67,47.17,2073400,43.46
2012-07-16,45.22,46.23,45.12,45.19,2751700,41.64
2012-07-09,44.5,45.51,43.59,45.4,2209800,41.83
2012-07-02,44.61,44.79,43.61,44.41,1877600,40.92
2012-06-25,42.13,44.15,42.,44.15,2168600,40.68
2012-06-18,42.83,43.88,42.08,42.45,3835600,39.11
2012-06-11,41.97,43.02,40.62,42.88,3190100,39.51
2012-06-04,39.65,41.71,39.07,41.71,2553900,38.43
2012-05-29,41.2,41.46,39.55,39.61,2361200,36.49
2012-05-21,40.1,41.5,40.04,40.98,2041600,37.76
2012-05-14,41.03,41.64,39.85,40.,2804200,36.85
2012-05-07,40.64,41.51,40.47,41.44,2053200,38.18
2012-04-30,41.32,41.9,40.42,40.71,2133900,37.51
2012-04-23,39.31,41.66,39.23,41.33,2529000,37.62
2012-04-16,39.13,39.75,38.87,39.6,1741100,36.05
2012-04-09,38.17,39.22,37.81,38.93,2625400,35.44
2012-04-02,39.45,39.89,38.42,38.62,2160300,35.15
2012-03-26,39.93,40.09,39.27,39.46,2522900,35.92
2012-03-19,40.31,40.88,39.26,39.53,2837000,35.98
2012-03-12,39.13,41.08,39.07,40.21,2908800,36.6
2012-03-05,39.49,39.7,38.84,39.03,2676800,35.53
2012-02-27,38.93,40.,38.72,39.63,2440300,36.07
2012-02-21,40.35,40.35,38.75,39.08,4156600,35.57
2012-02-13,41.73,41.9,39.86,40.38,2893500,36.76
2012-02-06,41.57,42.75,41.16,41.38,2697000,37.67
2012-01-30,41.1,42.48,41.08,41.74,2933400,37.99
2012-01-23,40.92,42.12,40.43,41.92,3715800,37.7
2012-01-17,41.43,41.81,40.62,40.85,3017500,36.74
2012-01-09,40.49,41.18,40.12,41.11,2317400,36.98
2012-01-03,41.94,42.42,40.18,40.34,3420200,36.28
2011-12-27,41.14,41.98,40.89,41.43,1612200,37.26
2011-12-19,39.22,41.25,38.54,41.18,2413300,37.04
2011-12-12,38.48,39.65,37.81,39.01,2845200,35.09
2011-12-05,38.2,38.99,37.49,38.81,2628500,34.91
2011-11-28,37.04,38.69,36.56,37.69,2629500,33.9
2011-11-21,37.11,37.21,35.83,36.09,2361000,32.46
2011-11-14,38.6,38.84,37.15,37.72,2917000,33.93
2011-11-07,38.18,39.05,37.26,38.86,3464700,34.95
2011-10-31,39.97,40.87,37.88,38.01,4642500,34.19
2011-10-24,37.97,40.26,37.59,40.19,4635300,35.71
2011-10-17,36.11,38.17,35.65,37.97,4417200,33.73
2011-10-10,35.99,37.19,35.32,36.43,3825600,32.36
2011-10-03,34.88,36.09,32.66,35.21,5178500,31.28
2011-09-26,35.54,36.77,34.82,35.06,3546100,31.15
2011-09-19,36.69,37.89,34.32,35.15,4296300,31.23
2011-09-12,34.42,37.48,34.42,37.42,3472200,33.24
2011-09-06,34.44,37.18,34.44,34.94,3890500,31.04
2011-08-29,36.25,37.37,35.48,35.54,3199700,31.57
2011-08-22,34.08,35.92,32.79,35.75,3950300,31.76
2011-08-15,33.43,34.96,32.88,33.23,4715100,29.52
2011-08-08,31.05,33.5,28.76,33.16,9348400,29.46
2011-08-01,34.98,35.5,31.45,32.01,6424000,28.44
2011-07-25,37.51,37.65,36.16,36.73,2429700,32.18
2011-07-18,37.39,38.2,36.87,37.91,2253900,33.21
2011-07-11,37.72,38.08,36.97,37.46,3099000,32.82
2011-07-05,37.11,38.23,36.9,38.2,2411900,33.46
2011-06-27,36.61,37.31,36.37,37.23,2239200,32.61
2011-06-20,37.03,38.11,36.29,36.55,2777500,32.02
2011-06-13,35.61,37.35,35.1,37.09,3553000,32.49
2011-06-06,36.92,36.93,35.,35.03,2560700,30.69
2011-05-31,37.5,37.96,36.38,36.88,3244300,32.31
2011-05-23,36.52,37.29,36.27,37.22,2129600,32.61
2011-05-16,36.68,37.33,36.5,36.96,2091500,32.38
2011-05-09,37.78,38.04,36.73,36.8,2846100,32.24
2011-05-02,39.87,40.01,37.53,37.74,2811200,33.06
2011-04-25,38.59,40.75,38.29,39.62,2725200,34.28
2011-04-18,37.62,38.64,37.32,38.59,2199300,33.39
2011-04-11,37.21,38.07,36.7,38.03,2368400,32.9
2011-04-04,37.85,38.1,37.01,37.18,2109300,32.17
2011-03-28,36.79,38.25,36.4,37.73,3660000,32.64
2011-03-21,38.28,38.29,36.55,36.73,8244100,31.78
2011-03-14,37.8,37.99,36.39,37.85,3126400,32.75
2011-03-07,37.02,38.09,36.45,38.02,2869600,32.89
2011-02-28,37.32,38.2,36.14,36.94,4268700,31.96
2011-02-22,36.74,37.36,36.5,37.04,3608200,32.05
2011-02-14,36.92,38.1,36.8,37.19,3325300,32.18
2011-02-07,36.95,37.24,36.45,36.88,2311700,31.91
2011-01-31,36.69,37.49,36.62,36.77,3374200,31.4
2011-01-24,35.99,37.54,35.91,36.55,3348000,31.21
2011-01-18,36.17,36.68,35.81,35.93,2701000,30.68
2011-01-10,36.24,36.62,35.81,36.23,2580400,30.94
2011-01-03,36.89,37.73,36.08,36.48,3817700,31.15
2010-12-27,35.95,37.1,35.9,36.79,2540300,31.42
2010-12-20,34.91,36.28,34.86,35.98,5231400,30.72
2010-12-13,32.59,34.75,31.87,34.74,10824300,29.67
2010-12-06,33.44,34.16,32.32,32.36,4744500,27.63
2010-11-29,32.51,33.76,32.26,33.58,4637000,28.68
2010-11-22,32.92,33.09,32.18,32.74,2033600,27.96
2010-11-15,34.03,34.09,31.88,32.56,3279100,27.8
2010-11-08,36.2,36.32,33.74,33.77,3539300,28.84
2010-11-01,36.26,36.72,35.25,36.39,4523500,31.07
2010-10-25,36.72,37.17,35.63,36.01,2913100,30.35
2010-10-18,36.29,37.65,36.16,36.37,3647600,30.66
2010-10-11,36.29,37.1,35.88,36.29,2441700,30.59
2010-10-04,35.73,36.66,35.52,36.3,3457100,30.6
2010-09-27,36.67,36.74,35.33,35.85,2206500,30.22
2010-09-20,37.24,38.05,35.48,36.66,2798700,30.9
2010-09-13,36.86,37.2,36.49,37.11,2077100,31.28
2010-09-07,36.91,37.36,36.07,36.45,1991000,30.72
2010-08-30,35.04,37.35,34.91,37.3,3600800,31.44
2010-08-23,34.31,35.16,33.37,35.11,2817900,29.59
2010-08-16,34.35,35.42,33.78,34.19,2736000,28.82
2010-08-09,35.61,35.7,34.22,34.51,3383700,29.09
2010-08-02,36.15,36.86,34.61,35.3,3399300,29.75
2010-07-26,34.93,36.31,34.78,35.47,3304900,29.52
2010-07-19,33.59,35.21,33.08,35.13,3439000,29.23
2010-07-12,33.43,34.5,33.12,33.46,3102000,27.84
2010-07-06,32.36,33.52,31.08,33.51,4286000,27.89
2010-06-28,32.91,33.05,31.35,31.75,5866400,26.42
2010-06-21,33.36,33.36,31.61,32.75,5493500,27.25
2010-06-14,33.13,34.5,32.7,32.72,4495100,27.23
2010-06-07,30.34,32.91,29.7,32.85,3146200,27.34
2010-06-01,31.54,32.37,30.06,30.18,3781600,25.11
2010-05-24,31.2,32.66,29.44,31.86,3857700,26.51
2010-05-17,32.79,33.22,29.03,31.04,4644200,25.83
2010-05-10,32.62,34.21,32.2,32.59,4098500,27.12
2010-05-03,32.38,33.38,28.53,31.02,4923500,25.81
2010-04-26,32.92,34.,31.96,32.12,3602200,26.73
2010-04-19,30.99,33.15,30.75,33.09,3374900,27.14
2010-04-12,33.38,33.44,31.17,31.17,3991100,25.56
2010-04-05,33.05,33.85,32.37,33.26,3311700,27.28
2010-03-29,33.53,33.65,32.83,32.96,3352600,27.03
2010-03-22,32.93,34.37,32.85,33.37,4544800,27.37
2010-03-15,31.33,33.89,31.02,33.11,4397300,27.16
2010-03-08,30.37,32.17,30.25,32.13,3029700,26.35
2010-03-01,28.95,30.44,28.78,30.4,3308200,24.93
2010-02-22,29.94,29.97,28.74,28.78,4087800,23.6
2010-02-16,27.99,30.06,27.82,29.88,3488200,24.51
2010-02-08,28.1,28.18,26.7,27.54,4244100,22.59
2010-02-01,28.5,29.69,27.26,28.03,4780600,22.6
2010-01-25,29.71,29.71,27.99,28.35,4125500,22.86
2010-01-19,30.3,31.34,29.24,29.35,3999000,23.66
2010-01-11,30.56,30.85,30.02,30.35,3127800,24.47
2010-01-04,31.03,31.11,29.52,30.42,3352900,24.52
2009-12-28,31.94,32.17,30.51,30.54,2532800,24.62
2009-12-21,30.83,31.89,30.71,31.82,1979200,25.65
2009-12-14,31.54,31.86,30.42,30.73,3274800,24.77
2009-12-07,32.74,32.91,31.09,31.47,2911800,25.37
2009-11-30,29.87,33.45,29.67,32.84,4862800,26.48
2009-11-23,30.37,30.87,29.48,29.73,2755500,23.97
2009-11-16,29.37,30.24,29.29,30.03,3782800,24.21
2009-11-09,28.1,29.4,27.92,29.14,3470700,23.49
2009-11-02,29.77,30.5,27.6,27.75,4492500,22.37
2009-10-26,30.03,30.84,28.73,29.59,4436800,23.47
2009-10-19,30.31,31.09,29.09,29.96,3436800,23.76
2009-10-12,29.42,30.82,28.97,30.13,3807300,23.9
2009-10-05,27.45,29.33,27.31,29.33,2864000,23.26
2009-09-28,28.65,29.85,26.94,27.23,3784800,21.6
2009-09-21,29.66,30.73,28.04,28.47,4002300,22.58
2009-09-14,27.83,30.55,27.66,30.05,4283500,23.83
2009-09-08,27.,28.66,26.73,28.06,3164100,22.26
2009-08-31,29.03,29.26,25.98,26.64,4964800,21.13
2009-08-24,28.66,29.59,27.75,29.19,3453700,23.15
2009-08-17,27.74,29.1,26.36,28.46,4921700,22.57
2009-08-10,27.83,28.63,26.98,28.52,4497900,22.62
2009-08-03,26.13,28.59,24.8,28.08,8089300,22.27
2009-07-27,24.22,26.67,24.1,25.76,3814000,20.07
2009-07-20,22.23,24.41,22.23,24.41,3331100,19.02
2009-07-13,20.58,22.75,20.26,22.04,4277400,17.17
2009-07-06,20.4,21.94,19.79,20.37,4644900,15.87
2009-06-29,21.21,21.8,20.41,20.41,3507200,15.9
2009-06-22,20.6,21.24,19.65,21.1,4417100,16.44
2009-06-15,23.14,23.2,20.42,20.75,4876300,16.17
2009-06-08,23.41,24.09,22.43,23.41,4048000,18.24
2009-06-01,23.3,24.5,22.48,23.47,5664000,18.29
2009-05-26,21.15,23.25,20.89,23.23,6051900,18.1
2009-05-18,21.04,22.81,20.76,21.13,4955000,16.47
2009-05-11,22.28,22.67,20.27,20.6,6241900,16.05
2009-05-04,20.99,23.13,20.83,22.98,10396000,17.91
2009-04-27,21.55,23.38,20.67,20.96,5910800,16.33
2009-04-20,21.,22.48,18.66,22.04,8040300,16.81
2009-04-13,20.62,22.98,18.84,21.79,8198400,16.62
2009-04-06,19.98,21.31,17.91,21.17,10812700,16.15
2009-03-30,16.95,20.3,16.38,20.17,10564100,15.39
2009-03-23,17.72,20.16,16.76,17.36,9256300,13.24
2009-03-16,18.99,20.17,16.75,16.93,9251300,12.92
2009-03-09,15.83,20.15,15.46,18.76,9989600,14.31
2009-03-02,17.47,18.33,14.93,16.08,11586800,12.27
2009-02-23,20.24,21.32,18.06,18.27,10447800,13.94
2009-02-17,19.46,20.22,16.99,20.16,7952300,15.38
2009-02-09,24.97,25.58,19.75,20.07,7079100,15.31
2009-02-02,22.79,25.22,22.17,24.97,6882500,19.05
2009-01-26,22.77,26.43,22.,23.34,7485400,17.47
2009-01-20,22.93,23.93,20.43,22.65,7922300,16.95
2009-01-12,22.33,23.81,20.72,23.27,5611000,17.41
2009-01-05,25.96,26.99,22.29,22.48,5109600,16.82
2008-12-29,26.42,27.94,24.95,26.26,3460600,19.65
2008-12-22,26.24,26.6,24.,26.45,2900700,19.79
2008-12-15,22.62,28.45,21.21,26.18,7450900,19.59
2008-12-08,22.39,25.62,20.05,22.66,8790000,16.96
2008-12-01,20.01,22.14,16.78,21.73,8099400,16.26
2008-11-24,17.64,21.85,16.53,20.67,7271700,15.47
2008-11-17,21.03,21.82,14.26,16.9,8403100,12.65
2008-11-10,27.27,27.55,20.65,21.58,6087200,16.15
2008-11-03,29.84,30.15,23.39,26.97,4523300,20.18
2008-10-27,26.44,31.42,25.19,29.92,4923400,22.01
2008-10-20,30.14,32.14,26.06,27.28,3604500,20.07
