Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,77.84,78.25,77.46,77.87,11739500,77.87
2014-02-18,77.92,78.08,76.4,77.74,6584800,77.74
2014-02-10,76.56,78.13,75.88,77.93,6264300,77.93
2014-02-03,76.64,76.73,73.96,76.45,8296400,76.45
2014-01-27,78.86,79.17,75.85,76.85,8757200,76.85
2014-01-21,81.3,81.5,79.16,79.16,6564900,79.16
2014-01-13,81.61,82.13,80.61,81.,5683100,81.
2014-01-06,81.65,82.04,80.97,82.01,6085800,82.01
2013-12-30,81.67,82.57,81.46,81.89,4042800,81.89
2013-12-23,80.07,82.24,80.04,81.64,3392900,81.64
2013-12-16,79.21,80.83,78.31,80.04,7869900,80.04
2013-12-09,79.91,80.6,78.28,79.01,7129000,79.01
2013-12-02,80.45,80.75,77.7,79.84,6340100,79.84
2013-11-25,79.3,81.39,79.3,80.67,5919800,80.28
2013-11-18,80.,82.27,78.78,79.18,8298200,78.79
2013-11-11,75.27,80.09,74.93,80.03,7345300,79.64
2013-11-04,77.18,77.42,74.78,75.48,5931100,75.11
2013-10-28,76.15,78.6,75.8,76.99,7396700,76.61
2013-10-21,74.6,76.84,74.15,76.25,6768600,75.88
2013-10-14,75.74,76.52,73.74,74.69,9030700,74.32
2013-10-07,75.4,76.63,73.9,76.32,6786400,75.95
2013-09-30,75.18,76.83,74.96,75.78,5528300,75.41
2013-09-23,76.46,76.79,75.26,75.96,5260800,75.59
2013-09-16,76.05,78.81,75.2,77.,9465200,76.62
2013-09-09,72.98,75.74,72.9,75.11,6084500,74.74
2013-09-03,74.83,75.25,72.21,72.7,9270400,72.34
2013-08-26,73.83,76.15,73.82,74.49,7547700,73.74
2013-08-19,75.49,77.5,73.11,73.89,10282000,73.14
2013-08-12,78.62,79.64,74.86,75.38,8457800,74.62
2013-08-05,79.95,80.33,78.53,78.97,4995800,78.17
2013-07-29,78.64,80.5,78.37,80.23,5719800,79.42
2013-07-22,79.98,80.47,77.89,78.74,6260400,77.94
2013-07-15,80.63,81.23,79.42,79.89,5391400,79.08
2013-07-08,78.56,80.75,78.54,80.54,5704200,79.73
2013-07-01,77.63,78.56,76.63,78.29,5593600,77.5
2013-06-24,72.9,77.79,72.41,77.47,9054900,76.69
2013-06-17,77.08,77.48,73.02,73.82,10338100,73.07
2013-06-10,78.94,79.68,76.07,76.59,7755000,75.82
2013-06-03,78.65,79.08,74.9,78.74,8363200,77.94
2013-05-28,79.94,80.63,78.66,78.66,6799300,77.48
2013-05-20,76.77,81.56,76.5,78.99,10726300,77.81
2013-05-13,76.01,78.54,75.95,76.86,6855600,75.71
2013-05-06,73.88,76.2,73.88,76.01,5871600,74.87
2013-04-29,73.44,74.41,72.53,73.96,5070200,72.85
2013-04-22,73.92,74.59,72.63,73.35,6399700,72.25
2013-04-15,73.35,74.28,71.94,74.,8489600,72.89
2013-04-08,69.78,73.66,69.78,73.62,7127200,72.52
2013-04-01,69.51,71.05,69.51,70.06,6809000,69.01
2013-03-25,69.8,70.4,69.,69.78,5649100,68.73
2013-03-18,68.45,69.91,68.42,69.56,6623600,68.52
2013-03-11,71.32,71.38,69.05,69.05,6552700,68.02
2013-03-04,68.95,71.45,68.93,71.37,6688900,69.92
2013-02-25,65.96,69.19,63.82,69.03,12437800,67.62
2013-02-19,67.63,67.92,64.29,65.58,7294200,64.24
2013-02-11,66.87,67.99,66.22,67.52,5225100,66.14
2013-02-04,66.86,67.22,65.83,67.01,5448500,65.65
2013-01-28,68.15,68.15,66.92,67.3,5753300,65.93
2013-01-22,65.39,68.13,65.22,67.82,7337200,66.44
2013-01-14,63.66,65.48,63.39,65.47,5579400,64.14
2013-01-07,62.6,63.76,62.38,63.7,5378600,62.4
2012-12-31,60.41,63.93,60.33,63.18,6945900,61.89
2012-12-24,61.01,61.97,60.21,60.65,5292400,59.41
2012-12-17,62.15,63.39,60.55,61.32,9580900,60.07
2012-12-10,64.34,64.34,61.79,62.06,6781200,60.8
2012-12-03,65.,65.92,63.45,64.45,6492900,63.14
2012-11-26,64.6,65.23,63.37,65.07,7922800,63.74
2012-11-19,62.49,64.83,62.3,64.82,6973100,63.22
2012-11-12,61.24,64.44,60.5,62.12,12087600,60.58
2012-11-05,62.02,62.9,60.31,60.96,6902700,59.45
2012-10-31,62.76,63.,60.89,62.02,9867800,60.48
