Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.36,34.94,34.33,34.64,2715200,34.64
2014-02-18,34.71,34.99,33.89,34.31,2651500,34.31
2014-02-10,34.31,34.98,33.96,34.67,3292900,34.67
2014-02-03,33.47,34.46,32.03,34.41,6064700,34.41
2014-01-27,32.85,33.86,31.96,33.25,5736200,33.25
2014-01-21,35.4,35.47,32.76,32.77,4458300,32.77
2014-01-13,35.86,36.04,34.71,35.26,3639200,35.26
2014-01-06,35.67,36.14,35.31,35.94,3683200,35.94
2013-12-30,36.36,36.61,35.36,35.53,3192500,35.53
2013-12-23,36.28,36.76,36.17,36.33,2231600,36.33
2013-12-16,35.16,36.3,34.4,36.07,5004700,36.07
2013-12-09,35.94,36.49,34.98,35.02,3860600,35.02
2013-12-02,35.79,36.2,34.98,35.94,3299600,35.94
2013-11-25,35.73,36.2,35.4,35.63,3946800,35.63
2013-11-18,35.46,35.58,34.62,35.56,3677400,35.41
2013-11-11,34.35,35.69,34.1,35.44,4826200,35.29
2013-11-04,33.83,34.36,33.04,34.3,3774300,34.16
2013-10-28,33.6,35.01,33.29,33.65,4913600,33.51
2013-10-21,34.,34.26,32.9,33.57,3201400,33.43
2013-10-14,32.63,34.3,32.41,34.,3463500,33.86
2013-10-07,31.25,32.99,30.5,32.83,5226100,32.69
2013-09-30,30.88,31.62,30.47,31.57,3107400,31.44
2013-09-23,31.,31.9,30.69,31.27,3333100,31.14
2013-09-16,32.01,32.6,31.,31.02,5186100,30.89
2013-09-09,30.95,32.04,30.94,31.62,2668400,31.49
2013-09-03,30.1,31.14,29.93,30.87,3205900,30.74
2013-08-26,30.63,30.77,29.37,29.6,3547900,29.48
2013-08-19,30.76,30.88,30.09,30.65,2796100,30.37
2013-08-12,31.06,31.63,30.61,30.84,3119900,30.56
2013-08-05,31.98,32.21,30.8,31.31,3926600,31.02
2013-07-29,30.9,32.09,30.21,32.03,6392600,31.73
2013-07-22,31.74,32.33,30.88,31.36,3180600,31.07
2013-07-15,31.94,32.18,31.36,31.74,4153200,31.45
2013-07-08,31.53,32.23,31.13,32.21,4664600,31.91
2013-07-01,31.2,31.49,29.96,31.36,4422500,31.07
2013-06-24,28.9,31.35,28.04,30.92,8426800,30.64
2013-06-17,29.56,30.35,29.08,29.37,6100400,29.1
2013-06-10,30.61,30.76,29.05,29.2,4406000,28.93
2013-06-03,30.8,30.82,28.71,30.5,6198600,30.22
2013-05-28,30.72,31.53,30.26,30.63,4693900,30.35
2013-05-20,31.06,31.48,29.53,30.24,5659900,29.86
2013-05-13,29.96,31.51,29.55,31.16,5320500,30.77
2013-05-06,28.84,29.91,28.8,29.66,4797000,29.29
2013-04-29,27.22,29.28,26.99,28.8,7164900,28.44
2013-04-22,26.9,27.97,26.24,27.12,5989900,26.78
2013-04-15,27.41,27.42,26.16,26.84,6985200,26.51
2013-04-08,25.15,28.12,25.15,27.49,9199500,27.15
2013-04-01,25.84,26.07,24.67,25.17,6929500,24.86
2013-03-25,26.6,26.69,25.55,25.8,5507200,25.48
2013-03-18,25.92,26.42,25.38,26.4,6894000,26.07
2013-03-11,25.44,26.6,25.16,26.3,5967200,25.97
2013-03-04,23.4,25.55,23.25,25.45,7074600,25.13
2013-02-25,24.29,24.35,22.64,23.68,6271500,23.29
2013-02-19,24.42,24.85,23.58,24.09,6403300,23.69
2013-02-11,24.11,24.67,23.95,24.2,4604400,23.8
2013-02-04,24.96,25.33,23.89,24.17,8892900,23.77
2013-01-28,24.87,25.37,24.25,25.21,5472500,24.79
2013-01-22,24.37,24.84,24.08,24.82,5776900,24.41
2013-01-14,23.91,24.48,23.51,24.39,3646200,23.99
