Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,64.35,65.07,64.28,64.78,1139000,64.78
2014-02-18,64.61,64.78,62.74,64.32,1262900,64.32
2014-02-10,64.99,65.62,64.13,64.98,1213800,64.98
2014-02-03,61.81,65.14,60.55,64.98,1872700,64.7
2014-01-27,64.27,66.69,61.57,61.69,2034300,61.43
2014-01-21,67.86,68.42,63.88,64.02,1497700,63.75
2014-01-13,69.07,69.07,67.01,67.58,1274600,67.29
2014-01-06,69.28,70.04,68.45,69.62,669200,69.32
2013-12-30,68.97,69.6,68.42,68.91,665000,68.62
2013-12-23,68.4,69.75,68.15,69.05,551600,68.76
2013-12-16,68.06,68.56,66.51,68.05,1525600,67.76
2013-12-09,68.46,69.65,67.31,67.51,981900,67.22
2013-12-02,66.93,68.56,65.6,68.53,1050400,68.03
2013-11-25,67.51,67.75,66.96,67.02,568200,66.53
2013-11-18,66.74,67.68,66.07,67.22,1325100,66.73
2013-11-11,64.23,66.86,63.7,66.72,1266700,66.23
2013-11-04,64.78,65.2,63.12,64.26,996400,63.79
2013-10-28,64.84,65.16,63.85,64.76,1008200,64.29
2013-10-21,66.,66.49,63.5,64.98,1585600,64.5
2013-10-14,65.1,66.59,64.76,65.75,1254900,65.27
2013-10-07,64.54,65.76,62.76,65.75,1176500,65.27
2013-09-30,63.93,65.86,63.37,65.3,1195700,64.82
2013-09-23,64.1,64.97,63.38,64.65,846200,64.18
2013-09-16,64.08,65.15,63.25,64.27,916600,63.8
2013-09-09,62.33,63.74,62.33,63.3,1016800,62.84
2013-09-03,60.66,62.74,60.52,61.97,1455600,61.31
2013-08-26,59.86,60.32,58.55,59.98,1283000,59.34
2013-08-19,58.57,59.95,57.97,59.84,1117000,59.2
2013-08-12,58.47,59.22,57.3,58.44,1240600,57.82
2013-08-05,58.53,59.47,57.99,58.77,1096900,58.15
2013-07-29,55.2,58.84,55.,58.6,1451500,57.98
2013-07-22,55.97,59.52,54.83,55.37,1597000,54.78
2013-07-15,55.02,56.44,54.76,55.87,1048900,55.28
2013-07-08,55.77,56.03,53.35,55.96,1456100,55.37
2013-07-01,55.08,56.14,54.31,55.25,1182500,54.66
2013-06-24,50.03,55.5,49.15,54.82,2143500,54.24
2013-06-17,53.52,54.64,50.22,50.54,1607200,50.
2013-06-10,54.25,54.55,52.19,53.13,1140300,52.57
2013-06-03,54.71,55.24,52.97,53.92,1425700,53.35
2013-05-28,56.5,56.99,54.45,54.54,1212100,53.96
2013-05-20,59.38,59.84,54.88,55.44,1257900,54.64
2013-05-13,57.1,59.48,56.59,59.48,1013000,58.63
2013-05-06,54.97,57.97,54.47,57.37,1671700,56.55
2013-04-29,54.14,54.98,53.79,54.35,1513400,53.57
2013-04-22,51.84,55.68,51.12,54.04,2116200,53.26
2013-04-15,51.55,52.05,49.92,51.83,1801600,51.09
2013-04-08,50.66,52.88,50.66,52.,1413300,51.25
2013-04-01,53.37,53.37,49.75,50.71,1685500,49.98
2013-03-25,52.97,53.48,52.07,53.3,1067800,52.53
2013-03-18,54.63,54.92,52.52,52.79,1509500,52.03
2013-03-11,54.69,55.51,54.,55.41,979100,54.61
2013-03-04,52.,54.98,51.68,54.82,1460600,54.03
2013-02-25,51.58,53.22,50.05,52.02,2034100,51.27
2013-02-19,52.66,52.84,50.8,51.21,1630100,50.47
2013-02-11,53.51,54.11,52.43,52.66,1504700,51.9
2013-02-04,52.26,53.25,51.48,52.86,1454800,51.9
2013-01-28,53.44,54.62,52.26,52.76,2681200,51.8
2013-01-22,51.99,53.94,50.85,53.94,1369700,52.96
2013-01-14,50.17,52.13,49.91,52.11,1092600,51.16
2013-01-07,48.4,51.,48.4,50.14,2061700,49.23
2012-12-31,47.07,51.,46.96,48.69,1542600,47.8
2012-12-24,48.54,48.81,46.88,47.27,651500,46.41
2012-12-17,47.95,49.76,47.7,48.69,1442200,47.8
2012-12-10,46.36,49.25,46.25,47.83,2150900,46.96
2012-12-03,47.31,47.4,45.69,46.46,1746300,45.47
2012-11-26,48.07,48.29,46.54,46.96,1229300,45.96
2012-11-19,46.86,48.49,46.8,48.26,1700400,47.23
2012-11-12,45.42,47.04,44.48,46.22,2685800,45.23
2012-11-05,47.09,47.94,44.75,45.29,2003500,44.32
2012-10-31,46.43,48.49,46.26,47.29,2019100,46.28
2012-10-22,43.79,47.36,43.14,46.12,3129800,45.13
2012-10-15,41.46,44.78,41.21,43.88,2132600,42.94
2012-10-08,43.26,43.79,41.26,41.42,2031900,40.53
2012-10-01,42.53,43.11,40.59,41.99,2226800,41.09
2012-09-24,43.7,44.14,41.7,42.37,2386100,41.46
2012-09-17,46.33,46.55,43.57,44.09,1915900,42.99
2012-09-10,43.78,46.55,43.66,46.33,2113900,45.17
2012-09-04,41.85,44.25,41.17,43.97,1736300,42.87
2012-08-27,42.51,43.55,41.7,41.96,1658100,40.91
2012-08-20,42.31,43.4,41.8,42.55,2224600,41.49
2012-08-13,41.12,42.75,40.97,42.28,2199100,41.22
2012-08-06,42.55,42.62,40.87,41.36,2486300,40.33
2012-07-30,44.73,45.2,37.84,42.39,4962800,41.33
2012-07-23,43.02,44.87,41.83,44.64,1860500,43.53
2012-07-16,43.86,45.18,42.96,43.91,1753600,42.81
2012-07-09,45.92,47.62,42.91,43.95,2740600,42.85
2012-07-02,46.12,47.32,45.36,46.12,1613000,44.97
2012-06-25,48.56,48.56,43.79,45.73,2918900,44.59
2012-06-18,48.79,50.89,48.33,49.08,1635200,47.85
2012-06-11,49.54,49.74,47.56,49.01,2320600,47.79
2012-06-04,46.27,49.73,45.16,48.66,1921900,47.44
2012-05-29,47.98,48.61,45.84,46.27,2318400,45.11
2012-05-21,45.3,48.41,45.01,47.52,2106400,46.18
2012-05-14,48.2,48.43,45.,45.27,2600000,44.
2012-05-07,51.84,51.99,48.04,48.79,2895900,47.42
2012-04-30,52.75,54.32,51.77,51.89,2420900,50.43
2012-04-23,50.53,53.98,49.74,52.89,3724600,51.4
2012-04-16,48.28,52.03,47.73,51.7,2502300,50.24
2012-04-09,47.55,48.63,46.6,48.16,1961200,46.8
2012-04-02,49.16,50.09,48.06,48.39,1605900,47.03
2012-03-26,49.64,50.96,48.16,49.08,2072200,47.7
2012-03-19,49.11,50.01,47.9,49.06,1398700,47.68
2012-03-12,47.09,50.32,46.93,49.39,2202500,48.
2012-03-05,46.6,46.96,44.9,46.88,1284800,45.56
2012-02-27,46.55,47.59,46.08,46.86,1165100,45.54
2012-02-21,46.12,47.86,45.56,47.04,1822000,45.72
2012-02-13,46.46,46.69,45.23,46.05,1505300,44.75
2012-02-06,45.75,47.19,45.02,46.09,1694900,44.64
2012-01-30,43.89,46.18,43.45,46.11,1903500,44.66
2012-01-23,41.91,45.63,40.97,44.34,3172700,42.95
2012-01-17,42.56,42.82,41.38,41.96,1791800,40.64
2012-01-09,39.74,42.07,39.24,42.03,2188700,40.71
2012-01-03,39.74,40.07,38.93,39.58,1636800,38.33
2011-12-27,38.99,39.2,38.11,38.87,871700,37.65
2011-12-19,37.01,39.22,36.22,39.19,1481400,37.96
2011-12-12,37.99,38.49,36.06,36.69,2055500,35.54
2011-12-05,38.5,39.35,37.52,38.64,2063600,37.3
2011-11-28,35.91,38.23,34.76,37.8,2034200,36.49
2011-11-21,35.66,35.95,34.39,34.8,1266000,33.59
2011-11-14,39.33,40.29,35.8,36.34,2325500,35.08
2011-11-07,38.83,39.52,37.42,39.48,1540800,38.11
2011-10-31,39.01,39.43,37.06,38.99,2349800,37.64
2011-10-24,37.92,40.92,37.39,39.66,2610800,38.28
2011-10-17,37.79,37.81,33.7,37.6,4660200,36.3
2011-10-10,34.34,37.92,34.04,37.87,2893900,36.56
2011-10-03,33.88,35.35,31.93,33.48,3242600,32.32
2011-09-26,34.28,36.94,33.11,34.33,2241000,33.14
2011-09-19,36.69,37.74,33.02,33.89,1723100,32.6
2011-09-12,34.01,38.14,33.65,37.5,1837400,36.07
2011-09-06,34.54,36.84,33.,34.63,2448000,33.31
2011-08-29,35.89,39.07,35.79,36.,2227900,34.63
2011-08-22,32.99,35.49,31.5,35.24,2981100,33.9
2011-08-15,37.99,38.55,31.99,32.11,3089300,30.89
2011-08-08,37.34,38.08,34.62,37.59,5406600,36.16
2011-08-01,44.,44.08,37.91,39.09,4744900,37.6
2011-07-25,45.25,45.97,42.31,43.39,2766600,41.74
2011-07-18,41.63,46.88,40.56,45.91,4042000,44.16
2011-07-11,42.25,42.8,41.39,41.84,2492600,40.25
2011-07-05,42.21,44.04,41.94,42.94,3074400,41.31
2011-06-27,38.32,42.18,37.76,42.09,3320900,40.49
2011-06-20,36.59,38.37,36.41,38.07,1941600,36.62
2011-06-13,34.82,36.96,34.7,36.74,2332300,35.34
2011-06-06,36.88,38.24,35.18,35.4,2918900,34.05
2011-05-31,37.17,37.36,35.8,35.87,2161800,34.51
2011-05-23,36.26,36.94,35.9,36.86,2097900,35.34
2011-05-16,37.91,37.95,36.37,36.56,2149300,35.05
2011-05-09,37.72,38.75,37.28,38.12,2021700,36.55
2011-05-02,37.62,38.46,36.13,37.78,2678400,36.22
2011-04-25,38.14,38.16,37.06,37.26,2402500,35.72
2011-04-18,40.09,40.28,37.45,38.16,4940200,36.58
2011-04-11,39.46,41.79,39.09,40.55,2789600,38.88
2011-04-04,42.18,42.41,39.16,39.56,2103800,37.93
2011-03-28,40.93,43.15,40.2,42.15,1742100,40.41
2011-03-21,40.97,41.5,39.12,40.96,1393600,39.27
2011-03-14,40.38,41.08,39.01,40.29,2217500,38.63
2011-03-07,39.86,41.91,39.45,40.96,2452500,39.27
2011-02-28,41.08,41.5,39.03,39.75,2513200,38.11
2011-02-22,41.25,41.69,39.93,40.87,2779200,39.18
2011-02-14,42.89,43.14,41.71,42.12,1372600,40.38
2011-02-07,41.05,43.14,40.71,43.11,2120900,41.23
2011-01-31,39.21,41.18,39.11,41.11,2343600,39.32
2011-01-24,37.17,40.59,36.18,39.37,4087900,37.66
2011-01-18,37.03,37.13,35.84,35.99,1617700,34.42
2011-01-10,36.29,37.22,35.96,36.99,1694600,35.38
2011-01-03,35.03,37.16,34.56,36.5,2355600,34.91
2010-12-27,34.45,35.24,34.05,34.67,1016400,33.16
2010-12-20,34.57,35.59,34.13,34.62,1376600,33.11
2010-12-13,33.84,34.55,33.39,34.5,1524700,33.
2010-12-06,33.19,34.14,32.96,33.69,1528800,32.13
2010-11-29,30.95,33.31,30.89,33.25,1810700,31.71
2010-11-22,31.75,31.89,30.67,31.33,1552400,29.88
2010-11-15,31.27,32.21,30.49,31.9,1946200,30.42
2010-11-08,33.11,33.11,31.45,31.7,2075800,30.23
2010-11-01,30.92,33.74,30.31,33.63,2099300,32.07
2010-10-25,31.63,31.91,30.28,30.66,2132400,29.24
2010-10-18,32.44,32.63,29.86,31.32,3589500,29.87
2010-10-11,31.73,32.67,30.82,32.3,2417900,30.8
2010-10-04,28.5,32.22,28.38,31.69,4128900,30.22
2010-09-27,28.52,29.24,27.79,28.57,1485000,27.25
2010-09-20,28.29,28.76,27.05,28.5,1768900,27.08
2010-09-13,27.,29.,26.91,28.28,3674600,26.88
2010-09-07,26.84,26.9,26.14,26.61,1728700,25.29
2010-08-30,24.87,27.17,23.93,27.13,2142800,25.78
2010-08-23,25.45,25.51,23.66,25.,2512800,23.76
2010-08-16,25.29,26.92,24.7,25.21,2229300,23.96
2010-08-09,28.2,28.52,25.39,25.57,2733900,24.3
2010-08-02,27.75,28.71,27.25,28.,2450000,26.61
2010-07-26,28.24,29.17,26.32,27.23,3053600,25.88
2010-07-19,23.63,28.51,23.27,28.36,6343800,26.95
2010-07-12,23.76,25.3,23.48,23.55,4220600,22.38
2010-07-06,22.49,23.88,21.26,23.79,4940200,22.61
2010-06-28,24.54,24.54,21.35,21.86,5224900,20.77
2010-06-21,27.17,27.31,23.61,24.49,5656300,23.27
2010-06-14,27.32,27.99,26.59,26.81,3221400,25.48
2010-06-07,27.5,27.71,25.56,27.05,5706900,25.71
2010-06-01,29.57,30.49,27.16,27.35,4344000,25.99
2010-05-24,30.48,31.27,28.95,30.21,4431200,28.61
2010-05-17,32.56,33.79,29.28,30.87,4981700,29.24
2010-05-10,31.6,34.3,31.6,32.34,3942400,30.63
2010-05-03,34.24,35.07,28.1,30.18,5733300,28.59
