Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,94.36,95.21,93.75,93.76,2959300,93.76
2014-02-18,94.41,95.07,92.72,93.93,3030600,93.93
2014-02-10,93.1,94.87,92.5,94.61,2726900,94.61
2014-02-03,91.23,93.29,88.27,93.16,3765100,93.16
2014-01-27,89.23,92.15,89.23,91.23,4067300,91.23
2014-01-21,90.61,91.25,88.43,88.47,3609900,88.47
2014-01-13,89.87,90.45,88.12,89.95,2417800,89.95
2014-01-06,90.95,91.44,89.76,90.16,2197200,90.16
2013-12-30,91.32,91.56,90.05,90.52,1530800,90.52
2013-12-23,90.,91.43,89.36,91.14,1598000,91.14
2013-12-16,86.94,90.,85.9,89.55,3353800,89.55
2013-12-09,88.38,88.52,85.77,86.61,2716300,86.61
2013-12-02,88.48,88.99,86.19,88.32,2048100,88.32
2013-11-25,89.,89.41,88.39,88.51,1456500,88.51
2013-11-18,88.88,89.52,87.1,88.8,1904700,88.8
2013-11-11,87.37,88.82,86.13,88.62,2502300,88.17
2013-11-04,87.,87.46,85.33,87.44,2428600,87.
2013-10-28,87.14,87.94,86.5,86.91,2218500,86.47
2013-10-21,84.58,87.54,84.06,87.5,2909800,87.06
2013-10-14,85.68,86.78,83.7,84.58,3392700,84.15
2013-10-07,81.45,86.51,81.1,86.46,3250100,86.02
2013-09-30,82.8,83.52,81.04,82.24,2607500,81.82
2013-09-23,85.21,85.48,83.15,83.58,2177200,83.16
2013-09-16,85.11,87.55,84.44,85.48,2428800,85.05
2013-09-09,81.84,84.42,81.77,84.05,2164000,83.62
2013-09-03,80.44,82.23,80.23,81.66,2810500,81.25
2013-08-26,81.51,81.67,78.88,79.57,2383700,79.17
2013-08-19,81.69,82.19,80.38,81.4,2284800,80.99
2013-08-12,82.96,83.94,81.52,81.96,2233000,81.54
2013-08-05,84.28,84.71,83.11,83.32,2078000,82.48
2013-07-29,82.63,84.78,82.48,84.68,2470800,83.83
2013-07-22,83.05,83.59,82.3,82.88,2343900,82.05
2013-07-15,82.5,84.85,81.71,83.57,2885900,82.73
2013-07-08,80.48,82.75,80.05,82.37,2877300,81.54
2013-07-01,79.86,81.09,77.32,80.06,3953000,79.26
2013-06-24,77.49,81.,76.15,79.34,3293400,78.54
2013-06-17,78.83,81.09,77.29,78.25,3574500,77.46
2013-06-10,79.24,79.31,77.18,78.18,2210600,77.39
2013-06-03,78.55,79.23,76.3,79.08,3017100,78.29
2013-05-28,80.28,80.88,78.46,78.46,3166800,77.67
2013-05-20,80.32,81.24,78.5,79.29,3237600,78.49
2013-05-13,77.69,80.84,77.47,80.75,3178200,79.94
2013-05-06,75.28,78.08,75.25,77.74,3180800,76.56
2013-04-29,74.02,75.7,72.47,75.24,3087000,74.1
2013-04-22,74.29,75.17,73.68,73.9,3800400,72.78
2013-04-15,73.87,74.44,70.92,74.18,4342700,73.06
2013-04-08,72.95,74.86,72.78,74.25,3189400,73.13
2013-04-01,75.2,75.28,72.43,72.98,4191800,71.88
2013-03-25,75.45,75.75,74.37,75.35,3520800,74.21
2013-03-18,72.72,75.23,72.55,75.19,3969100,74.05
2013-03-11,73.36,74.28,72.95,73.46,4067000,72.35
2013-03-04,69.59,73.78,68.9,73.7,3998000,72.58
2013-02-25,69.89,70.87,68.84,70.05,3692900,68.99
2013-02-19,70.23,71.43,69.34,69.89,3787000,68.83
2013-02-11,70.42,70.78,69.77,70.11,2578700,68.65
2013-02-04,68.74,70.79,68.39,70.53,3684200,69.06
2013-01-28,69.21,69.56,68.07,69.15,3546100,67.71
2013-01-22,67.75,69.25,67.63,68.33,4170600,66.9
2013-01-14,66.4,67.81,66.12,67.81,2373200,66.39
2013-01-07,66.07,66.87,65.54,66.31,3445500,64.93
2012-12-31,62.72,66.45,62.21,66.33,4078100,64.95
2012-12-24,63.71,64.49,62.85,62.92,2487400,61.61
2012-12-17,61.69,64.49,61.57,64.21,4933700,62.87
2012-12-10,61.82,62.28,61.01,61.55,3769400,60.27
2012-12-03,61.56,62.,60.24,61.97,2523300,60.68
2012-11-26,60.6,61.71,59.85,61.33,2850300,60.05
2012-11-19,59.82,61.26,59.72,61.26,2335900,59.98
2012-11-12,60.94,61.99,58.29,59.15,3908500,57.92
2012-11-05,62.36,63.89,60.63,60.83,3574500,59.15
2012-10-31,61.73,63.18,60.86,62.43,4315300,60.7
2012-10-22,62.14,63.48,60.84,61.49,3727000,59.79
2012-10-15,60.37,63.48,60.17,62.49,4579400,60.76
2012-10-08,61.04,61.42,60.05,60.2,2891700,58.54
2012-10-01,60.37,61.93,60.1,61.43,4013500,59.73
2012-09-24,60.15,60.5,58.64,59.75,3019300,58.1
2012-09-17,60.77,61.8,60.25,60.52,3730300,58.85
2012-09-10,59.77,61.95,59.43,61.02,3405000,59.33
2012-09-04,58.48,59.92,57.16,59.9,2889100,58.24
2012-08-27,58.49,58.83,57.96,58.45,2385000,56.83
2012-08-20,59.35,59.98,57.66,58.36,2349000,56.75
2012-08-13,58.7,59.56,58.05,59.5,2286100,57.86
2012-08-06,59.29,59.5,58.17,59.01,2487500,57.01
2012-07-30,58.8,59.32,56.7,58.91,3127200,56.92
2012-07-23,56.76,59.52,55.93,59.01,3313600,57.01
2012-07-16,54.37,58.62,53.6,57.74,4828300,55.79
2012-07-09,54.74,56.17,52.73,54.58,3796500,52.73
2012-07-02,55.94,56.38,54.32,54.89,3126200,53.03
