Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,80.24,81.79,80.1,81.39,2454900,81.39
2014-02-18,78.9,80.31,77.21,80.1,1726600,80.1
2014-02-10,76.39,78.69,73.09,78.62,2339600,78.62
2014-02-03,74.75,76.55,72.,76.47,1538600,76.47
2014-01-27,76.88,77.46,74.12,74.71,1470400,74.71
2014-01-21,79.72,81.39,76.4,76.61,2092200,76.61
2014-01-13,76.98,79.31,76.98,78.87,1041300,78.87
2014-01-06,78.77,78.96,77.55,78.75,1220200,78.75
2013-12-30,78.72,79.77,78.52,78.58,823100,78.58
2013-12-23,79.13,79.69,78.62,79.03,738700,79.03
2013-12-16,76.05,79.24,75.11,78.9,2371300,78.9
2013-12-09,74.01,74.81,72.08,74.2,1974500,74.2
2013-12-02,74.44,75.28,71.97,73.98,1284900,72.63
2013-11-25,74.42,74.99,73.91,74.48,889600,73.12
2013-11-18,74.95,75.46,73.44,74.,1306100,72.65
2013-11-11,74.41,75.,73.35,74.92,1259100,73.55
2013-11-04,74.9,75.45,72.77,74.44,1624900,73.08
2013-10-28,74.68,75.,73.44,74.63,1826600,73.27
2013-10-21,70.6,74.99,69.8,74.56,2513100,73.2
2013-10-14,67.07,70.85,66.65,70.61,1553900,69.32
2013-10-07,66.12,67.61,64.4,67.49,1524600,66.26
2013-09-30,66.16,67.21,65.71,66.98,1683600,65.76
2013-09-23,67.46,67.72,66.09,66.99,2028900,65.77
2013-09-16,69.06,69.99,67.49,67.64,1680200,66.4
2013-09-09,65.88,68.89,65.88,68.08,1274300,66.84
2013-09-03,64.82,66.32,63.85,65.74,1490100,64.54
2013-08-26,65.66,66.37,62.4,63.94,1566500,62.77
2013-08-19,64.42,66.25,63.93,65.67,979700,64.47
2013-08-12,66.19,66.88,64.45,64.46,1331100,63.28
2013-08-05,67.95,69.17,66.49,66.65,1422000,65.43
2013-07-29,65.88,68.69,65.31,68.23,1695500,66.98
2013-07-22,66.11,66.53,63.01,65.94,2251800,64.74
2013-07-15,66.81,67.42,66.04,66.15,1349100,64.94
2013-07-08,65.75,67.99,64.97,66.75,1436400,65.53
2013-07-01,63.89,65.55,61.92,65.4,1442300,64.21
2013-06-24,61.69,64.33,60.46,63.19,2045600,62.04
2013-06-17,66.95,67.38,61.19,62.49,2149400,61.35
2013-06-10,69.26,69.44,65.28,66.36,1953800,65.15
2013-06-03,68.77,69.34,65.13,69.17,2644000,67.91
2013-05-28,69.38,70.16,68.3,68.3,1892900,67.05
2013-05-20,67.35,69.48,67.,68.45,2190100,67.2
2013-05-13,67.5,68.,66.05,67.49,1934200,66.26
2013-05-06,65.41,67.88,65.13,67.88,1781800,66.64
2013-04-29,62.3,66.08,61.64,65.21,2217500,64.02
2013-04-22,61.3,62.85,60.62,62.09,1398600,60.96
2013-04-15,63.24,63.26,60.22,61.23,1939000,60.11
2013-04-08,60.04,64.06,60.04,63.86,1824600,62.69
2013-04-01,63.53,63.69,59.21,60.14,2299600,59.04
2013-03-25,61.21,63.95,60.1,63.73,2970100,62.57
2013-03-18,62.32,62.97,60.69,60.78,1764500,59.67
2013-03-11,62.57,63.53,61.89,63.32,1554100,62.16
2013-03-04,60.25,62.83,59.67,62.56,1467200,61.42
2013-02-25,60.55,60.84,58.26,60.51,1642900,59.4
2013-02-19,62.28,62.62,58.94,60.05,1879400,58.95
2013-02-11,63.,63.45,61.48,62.26,1556300,61.12
2013-02-04,61.41,62.91,60.55,62.81,2128000,61.66
2013-01-28,61.59,62.61,61.14,61.87,1990900,60.74
2013-01-22,60.06,60.95,59.64,60.89,1657300,59.78
2013-01-14,59.52,60.54,59.23,60.02,1573500,58.92
2013-01-07,59.95,60.32,58.96,59.56,1357900,58.47
2012-12-31,56.,60.52,55.56,60.38,2635000,59.28
2012-12-24,57.39,57.5,56.01,56.14,961700,55.11
2012-12-17,54.23,57.76,54.17,57.63,3043000,56.58
2012-12-10,54.3,54.82,52.52,54.04,2084900,53.05
2012-12-03,54.23,54.5,52.59,54.3,1810400,52.07
2012-11-26,52.97,54.33,51.82,53.96,1856000,51.75
2012-11-19,52.28,53.52,51.88,53.47,1668600,51.28
2012-11-12,51.89,52.38,50.22,51.52,2400800,49.41
2012-11-05,51.55,53.11,50.65,51.75,2950100,49.63
2012-10-31,52.05,52.67,50.64,51.57,4389000,49.46
2012-10-22,55.63,56.06,50.47,51.95,4236500,49.82
2012-10-15,56.5,57.86,55.57,55.72,1580000,53.43
2012-10-08,56.92,57.64,55.35,56.27,1142300,53.96
2012-10-01,58.18,58.48,56.22,57.26,2759200,54.91
2012-09-24,58.37,59.02,56.37,57.96,1642300,55.58
2012-09-17,60.34,60.8,57.99,58.87,2187300,56.46
2012-09-10,57.75,61.09,57.57,60.7,2041700,58.21
2012-09-04,55.26,58.08,54.,57.86,2023100,55.49
2012-08-27,54.57,55.36,54.12,55.13,1503900,52.87
2012-08-20,54.89,55.12,52.95,54.41,1490000,52.18
2012-08-13,54.15,55.54,53.18,55.01,1372100,52.75
2012-08-06,55.73,56.86,54.,54.22,2044200,52.
2012-07-30,53.93,56.23,52.47,55.71,1930200,53.43
2012-07-23,50.78,54.38,49.14,54.03,3456200,51.81
2012-07-16,50.88,52.43,49.89,51.91,2566100,49.78
2012-07-09,53.22,53.35,48.37,50.62,3865700,48.54
2012-07-02,53.49,54.72,52.76,53.44,1686000,51.25
2012-06-25,51.76,53.08,49.76,53.04,2736300,50.86
2012-06-18,50.81,54.02,50.45,52.33,2271200,50.18
2012-06-11,52.87,52.92,49.84,51.27,2332000,49.17
2012-06-04,48.91,52.69,47.41,52.09,3702000,49.95
2012-05-29,53.82,55.,48.8,49.13,3037100,47.12
2012-05-21,50.84,54.27,50.63,53.38,2488000,51.19
2012-05-14,55.75,55.8,50.16,50.46,3796100,48.39
2012-05-07,57.44,58.04,55.41,56.69,2874100,54.37
2012-04-30,60.2,60.81,57.35,57.54,2648100,55.18
2012-04-23,56.67,60.39,55.97,60.19,3368400,57.72
2012-04-16,56.36,59.05,55.26,57.61,2573700,55.25
2012-04-09,54.38,56.59,53.,56.08,2615300,53.78
2012-04-02,56.4,56.64,54.52,55.44,2663800,53.17
2012-03-26,58.05,59.1,55.74,56.41,2203000,54.1
2012-03-19,55.9,58.16,55.23,57.56,2604100,55.2
2012-03-12,54.89,57.49,54.31,56.03,2590600,53.73
2012-03-05,54.07,55.38,52.68,54.89,2679400,52.64
2012-02-27,54.07,55.61,53.8,54.19,2148500,51.97
2012-02-21,55.19,55.51,53.18,54.99,1819100,52.73
2012-02-13,56.11,56.3,53.45,55.06,2160000,52.8
2012-02-06,56.38,57.93,55.3,55.67,2585200,53.39
2012-01-30,53.58,56.84,52.01,56.72,3544700,54.39
2012-01-23,53.52,55.22,53.06,54.36,2427600,52.13
2012-01-17,52.,53.56,50.44,53.55,3110200,51.35
2012-01-09,50.34,52.83,50.29,51.31,3320900,49.21
2012-01-03,49.25,50.73,48.23,50.42,2653600,48.35
2011-12-27,48.62,49.59,47.96,47.97,1653400,46.
2011-12-19,45.83,48.82,44.13,48.75,1940200,46.75
2011-12-12,47.71,48.32,44.31,45.42,3552800,43.56
2011-12-05,49.33,50.,47.03,48.37,2485400,45.9
2011-11-28,45.04,49.05,44.52,48.43,3119400,45.96
