Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.66,30.17,29.45,29.92,14418000,29.92
2014-02-18,30.,30.71,29.1,29.79,20669100,29.79
2014-02-10,29.01,30.12,28.64,30.02,9031800,30.02
2014-02-03,29.06,29.29,27.89,29.07,9749100,29.07
2014-01-27,28.53,29.42,28.38,29.,12855500,29.
2014-01-21,29.8,30.13,28.39,28.49,12311400,28.49
2014-01-13,27.71,30.05,27.7,29.8,17812900,29.8
2014-01-06,28.3,28.55,27.27,27.7,14426200,27.7
2013-12-30,28.24,28.5,27.45,28.34,10741800,28.34
2013-12-23,27.99,28.7,27.75,28.19,7262900,28.19
2013-12-16,26.74,28.23,26.65,27.79,16620100,27.79
2013-12-09,27.61,27.68,26.29,26.77,14235300,26.77
2013-12-02,27.24,28.7,27.03,27.7,21120300,27.56
2013-11-25,25.33,27.68,25.09,27.35,25939500,27.21
2013-11-18,25.32,25.38,24.77,25.26,12866800,25.13
2013-11-11,25.9,26.59,24.84,25.21,15432700,25.08
2013-11-04,25.94,26.28,25.15,25.94,14160200,25.8
2013-10-28,23.99,26.15,23.64,25.92,16651000,25.78
2013-10-21,23.52,24.39,23.45,24.,10465100,23.87
2013-10-14,22.62,23.63,22.4,23.48,13205600,23.36
2013-10-07,21.,23.51,20.25,22.8,27971400,22.68
2013-09-30,20.94,21.62,20.8,21.26,12598000,21.15
2013-09-23,21.21,21.59,20.96,21.17,12968300,21.06
2013-09-16,22.29,22.34,21.22,21.22,17702300,21.11
2013-09-09,22.33,22.45,21.7,22.07,14389700,21.95
2013-09-03,22.49,22.7,22.01,22.42,14254400,22.16
2013-08-26,22.36,22.69,21.92,22.34,15172200,22.08
2013-08-19,26.3,26.53,21.81,22.4,27592900,22.14
2013-08-12,26.67,27.58,25.83,26.42,13456800,26.11
2013-08-05,26.75,27.15,26.23,26.77,9732300,26.46
2013-07-29,25.96,27.78,25.57,27.,15981500,26.68
2013-07-22,25.25,26.28,25.15,25.99,11020800,25.69
2013-07-15,26.33,26.52,25.06,25.14,14263500,24.85
2013-07-08,25.71,26.71,25.11,26.19,17125400,25.88
2013-07-01,24.95,25.75,24.76,25.58,10141300,25.28
2013-06-24,23.94,24.92,23.19,24.8,15263100,24.51
2013-06-17,24.88,25.87,24.11,24.15,16701300,23.87
2013-06-10,24.66,25.49,24.09,24.74,14463500,24.45
2013-06-03,24.46,25.2,23.71,24.81,16302700,24.38
2013-05-28,24.4,25.47,24.21,24.42,22053500,23.99
2013-05-20,21.24,24.95,21.03,24.21,34871600,23.79
2013-05-13,21.45,21.71,20.77,21.27,15983500,20.9
2013-05-06,20.66,21.68,20.44,21.54,12419100,21.16
2013-04-29,20.04,20.95,19.92,20.63,13284900,20.27
2013-04-22,19.69,20.35,19.31,19.97,23668700,19.62
2013-04-15,20.77,21.15,19.07,19.56,18527300,19.22
2013-04-08,22.05,22.45,20.61,20.9,22989200,20.54
2013-04-01,23.73,24.05,21.79,21.97,28668600,21.59
2013-03-25,23.08,23.93,22.91,23.84,26314800,23.42
2013-03-18,22.25,23.58,22.2,23.04,34612900,22.64
2013-03-11,20.81,22.18,20.77,22.18,20460500,21.79
2013-03-04,20.07,21.33,19.79,21.,21728800,20.5
2013-02-25,19.21,20.36,19.03,20.15,31492000,19.67
2013-02-19,16.85,19.83,16.57,19.2,51577900,18.75
2013-02-11,16.86,17.22,16.68,16.79,13423900,16.39
2013-02-04,16.31,17.06,16.03,16.87,18838000,16.47
2013-01-28,17.02,17.17,16.16,16.46,20910100,16.07
2013-01-22,17.2,17.44,16.83,16.99,20112700,16.59
2013-01-14,16.45,17.45,16.37,17.11,40103100,16.71
2013-01-07,15.19,16.73,14.84,16.16,32374900,15.78
2012-12-31,13.65,15.72,13.6,15.14,35774500,14.78
