Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,31.53,31.75,31.35,31.55,2911200,31.55
2014-02-18,31.08,31.83,30.74,31.08,2715900,31.08
2014-02-10,29.64,31.28,29.4,31.07,2679200,31.07
2014-02-03,30.35,30.41,29.08,29.66,3088700,29.66
2014-01-27,28.19,30.53,28.19,30.4,3576800,30.4
2014-01-21,29.36,29.36,27.93,28.08,2387800,28.08
2014-01-13,30.15,30.17,28.52,29.03,2819500,29.03
2014-01-06,29.3,30.5,28.04,30.3,4532200,30.3
2013-12-30,28.52,29.65,28.37,29.28,1667800,29.28
2013-12-23,28.91,28.98,28.4,28.52,908000,28.52
2013-12-16,28.19,28.79,27.52,28.54,2604700,28.54
2013-12-09,28.99,29.7,27.19,28.04,3756700,28.04
2013-12-02,27.92,29.12,27.82,29.01,1931000,29.01
2013-11-25,28.81,28.9,27.85,27.89,1184100,27.69
2013-11-18,28.6,28.98,28.06,28.71,1072700,28.51
2013-11-11,27.93,28.53,27.13,28.5,1600400,28.3
2013-11-04,28.91,29.73,27.23,27.85,2388800,27.65
2013-10-28,28.52,29.1,28.22,28.89,1432500,28.69
2013-10-21,29.21,29.48,28.4,28.48,1521500,28.28
2013-10-14,27.61,29.37,27.24,29.25,2843100,29.04
2013-10-07,28.22,28.32,26.6,27.73,2454500,27.54
2013-09-30,26.1,29.32,25.98,28.51,5070300,28.31
2013-09-23,27.1,27.15,25.98,26.36,3829800,26.17
2013-09-16,27.4,28.12,26.98,27.11,2388400,26.92
2013-09-09,26.95,27.42,26.88,27.24,1287200,27.05
2013-09-03,28.27,28.49,26.73,26.91,3698700,26.72
2013-08-26,29.02,29.37,27.82,27.91,998600,27.51
2013-08-19,29.53,29.59,28.63,28.97,1439700,28.55
2013-08-12,31.21,31.51,29.41,29.68,1377300,29.25
2013-08-05,31.77,31.9,31.21,31.37,999500,30.92
2013-07-29,30.38,32.09,30.32,31.89,2107200,31.43
2013-07-22,30.8,31.09,30.4,30.49,1744300,30.05
2013-07-15,30.72,31.2,29.81,31.02,2397900,30.57
2013-07-08,28.38,31.66,28.35,30.63,2752500,30.19
2013-07-01,27.87,28.46,27.51,28.3,1450500,27.89
2013-06-24,28.06,28.59,27.24,27.75,2475000,27.35
2013-06-17,28.84,29.56,28.07,28.43,2114100,28.02
2013-06-10,29.9,30.05,27.7,28.63,3227700,28.22
2013-06-03,29.33,29.94,28.15,29.84,2371600,29.21
2013-05-28,29.38,30.19,29.27,29.27,1866900,28.65
2013-05-20,29.62,30.23,28.62,29.19,2714700,28.57
2013-05-13,27.81,29.64,27.48,29.64,2834700,29.01
2013-05-06,28.56,28.62,27.28,27.82,3185900,27.23
2013-04-29,28.57,28.81,27.41,28.62,2602400,28.01
2013-04-22,27.75,28.96,26.95,28.66,3335900,28.05
2013-04-15,28.37,28.5,26.58,27.74,4013500,27.15
2013-04-08,28.27,29.1,28.14,28.58,2303600,27.97
2013-04-01,29.46,29.68,27.82,28.28,3470700,27.68
2013-03-25,28.36,29.43,28.29,29.42,3059500,28.8
2013-03-18,27.33,28.34,27.17,28.32,4303400,27.72
2013-03-11,27.13,28.27,27.02,27.51,5335200,26.93
2013-03-04,24.74,27.5,24.66,27.28,6944800,26.51
2013-02-25,24.7,25.,24.27,24.78,3624800,24.08
2013-02-19,25.07,25.07,23.96,24.66,5209500,23.97
2013-02-11,24.4,25.23,24.26,25.1,3429500,24.39
2013-02-04,22.81,24.43,22.77,24.4,4501000,23.71
2013-01-28,22.25,23.27,22.15,22.86,5797700,22.22
2013-01-22,20.6,22.34,20.47,22.33,8162400,21.7
2013-01-14,19.82,20.6,19.18,20.56,4531400,19.98
2013-01-07,19.19,20.06,19.04,19.98,3487700,19.42
2012-12-31,18.21,19.32,18.16,19.25,3672500,18.71
2012-12-24,18.68,18.8,18.19,18.24,2528200,17.73
2012-12-17,18.68,19.33,18.64,18.64,4974000,18.12
2012-12-10,18.61,18.89,18.3,18.6,2477900,18.08
2012-12-03,18.12,18.65,17.41,18.59,3466700,18.07
2012-11-26,18.2,18.3,17.89,18.03,2205600,17.32
2012-11-19,17.98,18.24,17.88,18.23,1363800,17.52
2012-11-12,17.77,18.05,17.46,17.85,1844900,17.15
2012-11-05,17.94,18.38,17.26,17.77,1630100,17.07
2012-10-31,17.75,18.28,17.55,17.92,3607600,17.22
2012-10-22,16.91,17.87,16.44,17.75,2395500,17.05
2012-10-15,17.05,17.33,16.84,17.11,2031100,16.44
2012-10-08,17.94,17.97,16.53,16.92,5129800,16.26
2012-10-01,17.39,18.04,17.28,17.96,2759000,17.26
2012-09-24,16.94,17.42,16.88,17.33,3820100,16.65
2012-09-17,16.88,17.16,16.6,17.,3370100,16.33
2012-09-10,16.36,17.01,16.29,16.93,3615900,16.27
2012-09-04,16.53,16.67,15.9,16.33,4656200,15.5
2012-08-27,16.35,16.74,16.08,16.56,3555700,15.72
2012-08-20,16.5,17.01,16.22,16.35,3467400,15.52
2012-08-13,16.04,16.58,16.01,16.48,1657700,15.64
2012-08-06,15.92,16.19,15.87,16.11,2758700,15.29
2012-07-30,16.23,16.41,15.53,15.91,3923100,15.1
2012-07-23,16.36,16.41,15.93,16.21,3090400,15.39
2012-07-16,16.46,16.88,16.44,16.55,3519300,15.71
2012-07-09,16.17,16.56,15.99,16.52,4904200,15.68
2012-07-02,16.08,16.31,15.87,16.15,5490100,15.33
2012-06-25,15.34,16.28,15.,15.98,5716500,15.17
2012-06-18,15.57,15.66,15.31,15.47,2786600,14.68
2012-06-11,15.57,15.62,15.,15.6,2594600,14.81
2012-06-04,15.11,15.79,15.09,15.45,3066100,14.66
2012-05-29,15.27,15.44,15.03,15.06,4723700,14.11
2012-05-21,14.52,15.29,14.52,15.19,6009000,14.23
2012-05-14,14.46,14.87,14.42,14.52,4604000,13.61
2012-05-07,14.5,14.65,14.35,14.57,4302500,13.65
2012-04-30,14.96,15.05,14.45,14.54,5152900,13.63
2012-04-23,16.65,16.9,14.35,14.96,6064700,14.02
2012-04-16,16.93,17.1,16.58,16.8,2584300,15.74
2012-04-09,16.84,17.12,16.59,16.88,3258500,15.82
2012-04-02,16.43,17.15,16.41,17.03,3283600,15.96
