Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.89,73.21,72.58,72.67,531600,72.67
2014-02-18,72.,74.22,72.,72.85,842900,72.85
2014-02-10,70.7,72.23,70.51,72.,627500,72.
2014-02-03,69.34,70.98,66.34,70.92,877800,70.92
2014-01-27,68.31,72.33,68.07,69.34,985700,69.34
2014-01-21,71.,71.4,68.03,68.06,553000,68.06
2014-01-13,68.63,70.85,67.81,70.54,675200,70.54
2014-01-06,69.13,69.75,67.01,68.96,1031700,68.96
2013-12-30,70.21,70.53,68.08,69.3,445000,69.3
2013-12-23,69.14,70.73,68.74,70.16,408100,70.16
2013-12-16,65.68,68.81,65.44,68.74,721000,68.74
2013-12-09,66.37,67.38,65.17,65.55,686800,65.55
2013-12-02,64.62,66.88,63.65,66.42,670000,66.42
2013-11-25,65.29,65.33,64.1,64.51,384400,64.51
2013-11-18,64.63,65.87,63.4,65.49,571500,65.49
2013-11-11,63.61,64.8,62.92,64.42,530600,64.
2013-11-04,61.91,63.66,61.41,63.62,734000,63.2
2013-10-28,59.7,62.81,58.83,61.72,901700,61.32
2013-10-21,59.7,61.14,59.28,59.61,612400,59.22
2013-10-14,58.8,59.91,58.04,59.5,558200,59.11
2013-10-07,58.99,59.6,57.21,59.3,470700,58.91
2013-09-30,58.74,59.95,58.12,59.59,683100,59.2
2013-09-23,58.,59.75,56.5,59.23,584200,58.84
2013-09-16,58.43,59.18,57.75,58.15,705600,57.77
2013-09-09,57.43,58.72,57.42,57.93,561000,57.55
2013-09-03,57.32,58.56,56.93,57.28,810300,56.91
2013-08-26,56.99,57.68,55.46,56.63,596600,55.86
2013-08-19,57.35,57.44,56.01,56.97,604900,56.19
2013-08-12,57.28,58.5,56.7,57.29,527900,56.51
2013-08-05,57.,57.99,56.43,57.65,741100,56.86
2013-07-29,52.63,57.87,52.33,57.12,1270600,56.34
2013-07-22,52.62,53.29,52.08,52.74,476000,52.02
2013-07-15,51.92,52.86,50.94,52.7,608500,51.98
2013-07-08,49.68,51.76,49.42,51.76,680100,51.05
2013-07-01,49.68,50.27,48.75,49.56,515800,48.88
2013-06-24,48.2,49.67,47.69,49.25,675200,48.58
2013-06-17,50.03,50.7,48.03,48.58,826500,47.92
2013-06-10,50.45,50.53,48.88,49.82,399000,49.14
2013-06-03,50.23,50.7,49.34,50.35,718900,49.66
2013-05-28,50.81,51.46,50.07,50.13,1023900,49.44
2013-05-20,50.3,50.94,49.37,50.37,650200,49.32
2013-05-13,49.04,50.68,48.58,50.46,927300,49.41
2013-05-06,46.42,48.98,46.18,48.79,777800,47.77
2013-04-29,44.18,46.65,43.95,46.47,996300,45.5
2013-04-22,42.04,44.33,41.8,43.93,992400,43.02
2013-04-15,43.78,43.93,41.08,41.98,1586400,41.11
2013-04-08,44.67,46.58,43.85,44.06,1112400,43.14
2013-04-01,46.29,46.66,44.37,44.52,763000,43.59
2013-03-25,44.05,46.58,44.03,46.34,1045300,45.38
2013-03-18,43.92,46.11,43.7,43.99,926200,43.07
2013-03-11,45.38,45.5,44.22,44.36,1169200,43.44
2013-03-04,47.51,47.73,45.08,45.42,934800,44.47
2013-02-25,48.26,48.49,46.9,47.71,835600,46.35
2013-02-19,47.57,48.2,46.68,47.98,887900,46.61
2013-02-11,46.53,47.97,46.27,47.61,789300,46.25
2013-02-04,46.01,47.03,45.65,46.62,763200,45.29
2013-01-28,49.72,49.72,45.61,46.28,1210200,44.96
2013-01-22,50.03,50.13,49.19,49.49,684900,48.08
2013-01-14,49.67,50.09,48.87,49.94,621000,48.52
2013-01-07,49.59,50.53,48.83,49.75,770800,48.33
2012-12-31,48.25,50.46,48.11,49.88,747200,48.46
2012-12-24,49.35,49.89,48.3,48.31,415300,46.93
2012-12-17,48.44,50.35,48.15,49.67,1069700,48.26
2012-12-10,48.16,49.74,48.09,48.17,879600,46.8
2012-12-03,47.17,48.52,46.25,48.49,811800,47.11
2012-11-26,46.82,47.58,46.17,47.13,678200,45.79
2012-11-19,46.82,46.93,45.94,46.83,838300,45.5
2012-11-12,48.46,49.04,45.74,46.42,1197100,44.74
2012-11-05,47.2,49.47,47.18,48.65,950400,46.89
