Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,42.33,42.74,42.16,42.5,1336900,42.5
2014-02-18,43.74,44.09,41.86,42.27,1462300,42.27
2014-02-10,42.81,45.23,42.81,43.55,2190300,43.55
2014-02-03,44.,44.16,42.03,42.89,1102800,42.89
2014-01-27,44.49,44.71,43.06,44.01,1452500,44.01
2014-01-21,43.13,45.24,42.9,44.57,1777500,44.57
2014-01-13,42.02,43.27,41.59,42.75,770900,42.75
2014-01-06,41.31,42.37,40.61,42.18,816700,42.18
2013-12-30,41.13,41.51,40.89,41.22,614700,41.22
2013-12-23,41.31,41.44,40.91,41.21,378000,41.21
2013-12-16,40.03,41.46,39.45,41.27,710000,41.27
2013-12-09,41.67,42.5,39.67,39.88,859900,39.88
2013-12-02,39.31,42.43,39.31,41.57,1351800,41.57
2013-11-25,39.35,39.6,39.05,39.31,501000,39.31
2013-11-18,39.5,39.5,38.47,39.21,612800,39.21
2013-11-11,38.87,39.54,38.11,39.5,1300800,39.5
2013-11-04,40.26,42.5,38.59,38.89,1431600,38.89
2013-10-28,41.33,41.51,39.99,40.21,679100,40.21
2013-10-21,41.54,41.99,40.6,41.37,547700,41.37
2013-10-14,40.5,42.15,40.34,41.62,527000,41.62
2013-10-07,39.22,40.79,38.34,40.78,599400,40.78
2013-09-30,38.67,39.7,38.29,39.54,702600,39.54
2013-09-23,40.99,41.09,38.62,38.9,716600,38.9
2013-09-16,40.,41.57,39.87,41.17,552600,41.17
2013-09-09,38.92,40.16,38.82,39.62,829800,39.62
2013-09-03,39.44,39.68,38.15,38.88,1069800,38.88
2013-08-26,40.29,40.55,38.8,39.03,491200,39.03
2013-08-19,40.11,40.53,39.3,40.3,520400,40.3
2013-08-12,40.97,41.7,39.8,40.2,748000,40.2
2013-08-05,41.39,41.77,40.74,41.23,864800,41.23
2013-07-29,39.7,42.6,39.25,41.61,1167200,41.61
2013-07-22,39.79,40.,39.24,39.91,542200,39.91
2013-07-15,39.67,39.82,39.1,39.78,665000,39.78
2013-07-08,39.02,39.95,38.44,39.68,1583600,39.68
2013-07-01,38.27,39.38,38.06,38.98,953600,38.98
2013-06-24,34.53,38.7,34.09,38.31,1327600,38.31
2013-06-17,36.55,36.73,34.31,34.79,749000,34.79
2013-06-10,35.91,36.7,34.61,36.24,894800,36.24
2013-06-03,34.79,36.17,34.16,35.83,861100,35.83
2013-05-28,35.35,35.83,34.2,34.68,1094700,34.68
2013-05-20,35.73,36.4,34.72,35.08,1024100,35.08
2013-05-13,34.67,36.2,34.,35.74,1455600,35.74
2013-05-06,32.94,34.82,32.42,34.62,1167600,34.62
2013-04-29,32.6,33.5,30.96,33.02,1761200,33.02
2013-04-22,31.27,33.9,30.95,32.66,1512200,32.66
2013-04-15,31.55,31.82,30.86,31.19,1026300,31.19
2013-04-08,30.66,31.75,30.43,31.61,1069000,31.61
2013-04-01,32.75,32.8,30.19,30.65,1990100,30.65
2013-03-25,32.66,32.95,31.99,32.83,976600,32.83
2013-03-18,32.,32.88,31.39,32.62,1422200,32.62
2013-03-11,30.05,32.52,29.79,32.25,1898600,32.25
2013-03-04,29.38,30.48,29.07,30.11,2081900,30.11
2013-02-25,29.76,30.01,28.79,29.45,1931300,29.45
2013-02-19,29.26,30.18,29.14,29.73,3289800,29.73
2013-02-11,35.5,36.86,28.71,29.13,7806300,29.13
2013-02-04,34.45,34.7,33.96,34.5,901900,34.5
2013-01-28,35.01,35.1,34.02,34.55,1568800,34.55
2013-01-22,34.75,36.01,34.75,35.1,1981300,35.1
2013-01-14,34.07,35.4,33.86,34.91,1536000,34.91
2013-01-07,32.17,34.35,32.15,34.13,1602000,34.13
2012-12-31,30.62,32.54,30.3,32.37,958700,32.37
2012-12-24,32.08,32.28,30.66,30.69,659900,30.69
