Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,19.56,19.85,19.55,19.62,6459400,19.62
2014-02-18,18.98,19.69,18.69,19.54,7858200,19.54
2014-02-10,18.47,19.08,18.24,18.99,7981300,18.99
2014-02-03,18.29,18.56,17.86,18.42,9344500,18.42
2014-01-27,18.79,18.84,18.,18.39,7558600,18.39
2014-01-21,19.49,19.71,18.75,18.79,7142900,18.79
2014-01-13,19.09,19.55,18.99,19.42,5777800,19.42
2014-01-06,19.,19.49,18.88,19.18,7431900,19.18
2013-12-30,19.32,19.53,19.04,19.13,5161900,19.13
2013-12-23,19.14,19.57,19.04,19.35,4104200,19.35
2013-12-16,18.32,19.13,18.15,19.07,7324600,18.94
2013-12-09,18.5,18.76,17.85,18.07,4946600,17.95
2013-12-02,18.38,18.57,17.84,18.47,5865800,18.35
2013-11-25,18.6,18.68,18.35,18.41,3490600,18.29
2013-11-18,19.01,19.07,18.36,18.58,4479700,18.46
2013-11-11,18.47,19.04,18.26,19.01,4472900,18.88
2013-11-04,18.83,19.26,17.96,18.6,7496900,18.48
2013-10-28,18.66,18.85,18.35,18.81,6439100,18.68
2013-10-21,18.55,18.84,18.31,18.78,7068100,18.65
2013-10-14,17.78,18.75,17.61,18.58,6144200,18.46
2013-10-07,17.56,17.98,16.99,17.91,5698200,17.79
2013-09-30,17.63,18.16,17.57,17.78,5949500,17.66
2013-09-23,18.19,18.25,17.66,17.82,4807000,17.7
2013-09-16,18.45,19.03,18.08,18.22,8448400,17.98
2013-09-09,17.34,18.43,17.31,18.06,5331700,17.82
2013-09-03,17.23,17.52,16.89,17.29,4900600,17.06
2013-08-26,17.43,17.51,16.94,17.03,5943400,16.8
2013-08-19,16.55,17.43,16.4,17.42,7565400,17.19
2013-08-12,17.63,17.77,16.52,16.52,7440700,16.3
2013-08-05,18.48,18.53,17.52,17.7,5612700,17.46
2013-07-29,18.07,18.73,17.53,18.5,8746500,18.25
2013-07-22,18.53,18.73,17.88,18.12,5648500,17.88
2013-07-15,18.02,18.55,17.91,18.55,5262400,18.3
2013-07-08,17.57,18.18,17.55,17.99,5455200,17.75
2013-07-01,17.05,17.55,16.88,17.55,5856100,17.32
2013-06-24,15.94,17.05,15.6,16.87,8206700,16.65
2013-06-17,17.33,17.51,15.91,16.18,8829600,15.86
2013-06-10,17.49,17.52,16.35,17.22,7790300,16.88
2013-06-03,17.93,17.97,16.88,17.42,7568600,17.07
2013-05-28,18.33,18.51,17.79,17.79,8985200,17.44
2013-05-20,18.77,18.87,17.73,18.13,6829400,17.77
2013-05-13,18.46,18.82,18.3,18.77,6286100,18.4
2013-05-06,18.39,18.73,18.23,18.57,6050800,18.2
2013-04-29,17.78,18.79,17.6,18.35,8093600,17.98
2013-04-22,17.56,18.09,17.45,17.73,4668000,17.38
2013-04-15,17.8,17.88,17.08,17.57,7014900,17.22
2013-04-08,17.45,18.15,17.29,17.87,5568400,17.51
2013-04-01,17.48,17.61,17.12,17.45,6148000,17.1
2013-03-25,17.01,17.5,16.87,17.49,5788400,17.14
2013-03-18,17.45,17.55,16.76,17.,7401800,16.56
2013-03-11,16.91,17.74,16.84,17.73,8343100,17.27
2013-03-04,16.6,16.97,16.46,16.93,10054900,16.5
2013-02-25,17.,17.09,16.46,16.61,8685800,16.18
2013-02-19,17.15,17.32,16.42,16.89,9708800,16.46
2013-02-11,16.79,17.3,16.72,17.17,7228600,16.73
2013-02-04,16.55,16.83,16.28,16.81,10408700,16.38
2013-01-28,17.25,17.3,16.59,16.69,9495800,16.26
2013-01-22,16.68,17.19,16.63,17.19,5416900,16.75
2013-01-14,16.68,16.81,16.45,16.71,5851400,16.28
2013-01-07,16.58,16.97,16.45,16.67,5659300,16.24
2012-12-31,15.36,16.69,15.28,16.68,7046700,16.25
2012-12-24,15.75,15.87,15.32,15.38,3464600,14.99
2012-12-17,15.34,15.89,15.21,15.8,8391400,15.31
2012-12-10,15.05,15.38,15.,15.26,5766400,14.78
2012-12-03,14.79,15.1,14.45,15.09,8522200,14.62
2012-11-26,14.59,14.85,14.24,14.69,7591600,14.23
2012-11-19,14.,14.68,13.98,14.68,6425100,14.22
2012-11-12,14.26,14.47,13.58,13.78,8560100,13.35
2012-11-05,14.59,14.77,14.08,14.24,6853200,13.79
2012-10-31,14.89,14.89,14.38,14.64,8490500,14.18
2012-10-22,15.44,15.52,14.68,14.79,6495600,14.33
2012-10-15,15.71,15.96,15.39,15.55,6896300,15.06
2012-10-08,15.63,16.,15.48,15.69,7707400,15.2
2012-10-01,16.17,16.2,15.52,15.72,7153400,15.23
2012-09-24,16.49,16.75,15.96,16.05,8212600,15.55
2012-09-17,17.28,17.45,16.35,16.64,9170700,16.04
2012-09-10,16.26,17.57,16.19,17.25,9820800,16.63
2012-09-04,15.26,16.32,15.07,16.3,6869900,15.71
2012-08-27,15.36,15.41,15.03,15.3,4174100,14.75
2012-08-20,15.56,15.64,15.1,15.35,4130500,14.8
2012-08-13,15.22,15.66,15.12,15.56,5494700,15.
2012-08-06,15.11,15.33,15.,15.28,5112900,14.73
2012-07-30,14.74,15.14,14.35,15.04,6914100,14.5
2012-07-23,14.78,14.91,13.99,14.76,10130100,14.23
