Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,102.86,114.76,102.71,113.69,6568800,113.69
2014-02-18,100.73,104.11,100.35,102.82,2314600,102.82
2014-02-10,95.78,101.61,94.71,100.23,1746300,100.23
2014-02-03,97.19,97.58,91.,95.97,2628200,95.97
2014-01-27,96.12,98.92,94.2,97.3,1510300,97.3
2014-01-21,96.69,97.84,94.91,96.,1556800,96.
2014-01-13,96.94,97.75,95.13,96.57,1407600,96.57
2014-01-06,102.3,102.38,95.01,96.96,2616000,96.96
2013-12-30,103.15,103.88,101.58,101.76,1009400,101.76
2013-12-23,102.39,103.98,102.02,103.05,487300,103.05
2013-12-16,99.9,102.59,98.62,101.89,1116400,101.62
2013-12-09,103.78,104.95,99.62,99.91,1207600,99.65
2013-12-02,104.01,105.8,101.82,104.,1207700,103.73
2013-11-25,101.52,104.69,101.35,103.99,988200,103.72
2013-11-18,98.26,101.6,97.65,101.25,1704600,100.99
2013-11-11,95.37,98.28,95.13,98.27,1048400,98.01
2013-11-04,93.35,97.36,91.34,95.19,1783500,94.94
2013-10-28,91.5,93.11,90.7,93.01,1187300,92.77
2013-10-21,91.04,93.67,90.19,91.54,1117000,91.3
2013-10-14,95.22,96.65,90.83,91.23,1954200,90.99
2013-10-07,96.17,96.4,92.93,95.65,823300,95.4
2013-09-30,93.54,96.85,91.48,96.54,935300,96.29
2013-09-23,95.42,97.,93.,93.88,1200100,93.64
2013-09-16,99.08,99.85,93.83,95.53,1371500,95.01
2013-09-09,95.57,98.64,95.19,98.24,897800,97.7
2013-09-03,92.81,96.75,92.81,95.64,800600,95.12
2013-08-26,94.57,94.67,91.85,92.08,747400,91.58
2013-08-19,91.28,94.58,91.04,94.33,776700,93.82
2013-08-12,92.81,93.92,90.9,91.53,921500,91.03
2013-08-05,89.92,94.14,89.89,93.39,1147200,92.88
2013-07-29,90.1,92.74,88.76,89.89,1385200,89.4
2013-07-22,89.34,91.61,88.09,89.74,1014700,89.25
2013-07-15,85.53,89.49,83.73,89.08,1430900,88.59
2013-07-08,84.29,87.25,83.89,85.53,970600,85.06
2013-07-01,84.85,86.3,82.14,83.68,932500,83.22
2013-06-24,84.44,85.9,83.91,84.38,1447100,83.92
2013-06-17,81.26,85.36,81.15,84.91,1612500,84.18
2013-06-10,81.06,82.29,80.15,80.93,755000,80.23
2013-06-03,81.17,81.25,78.55,81.02,1028900,80.32
2013-05-28,79.39,83.4,79.34,80.78,1405200,80.08
2013-05-20,80.34,80.55,77.98,78.93,1063200,78.25
2013-05-13,79.82,81.39,78.54,80.45,1631900,79.76
2013-05-06,75.9,80.27,74.81,80.09,2790400,79.4
2013-04-29,73.56,79.88,72.13,73.93,2747300,73.29
2013-04-22,72.99,74.,71.95,73.49,1801300,72.86
2013-04-15,77.24,78.42,70.58,73.05,2779000,72.42
2013-04-08,78.35,79.35,77.04,77.56,2047000,76.89
2013-04-01,69.34,82.47,69.07,78.27,5872300,77.59
2013-03-25,67.25,69.8,66.17,69.11,2691500,68.51
2013-03-18,69.35,71.37,65.88,67.1,2684600,66.26
2013-03-11,67.74,69.79,67.61,69.79,1813200,68.92
2013-03-04,67.55,68.6,66.65,68.03,2342500,67.18
2013-02-25,70.78,71.21,67.52,67.88,2745700,67.03
2013-02-19,69.97,73.72,69.78,70.61,6103700,69.73
2013-02-11,81.16,81.2,77.53,77.99,2424800,77.02
2013-02-04,75.45,81.87,75.02,81.35,2892600,80.33
2013-01-28,75.13,75.39,73.33,75.35,1907700,74.41
2013-01-22,71.26,74.97,70.7,74.93,1753900,73.99
2013-01-14,69.6,71.75,69.4,71.4,1618300,70.51
2013-01-07,67.14,69.77,65.99,69.56,1794700,68.69
2012-12-31,67.26,70.1,66.07,67.47,2099700,66.63
2012-12-24,68.42,68.76,67.3,67.51,848300,66.67
2012-12-17,66.12,68.61,66.07,68.39,1648400,67.28
2012-12-10,66.37,68.67,65.78,66.11,1550300,65.04
2012-12-03,65.75,66.72,64.46,66.65,1620900,65.57
2012-11-26,66.2,66.48,63.93,65.41,1727100,64.35
2012-11-19,65.89,67.18,65.89,66.69,1279000,65.61
2012-11-12,68.81,69.3,65.17,65.5,3281400,64.44
2012-11-05,75.88,77.02,68.07,68.77,5049100,67.65
2012-10-31,74.46,76.53,73.71,75.21,2147200,73.99
2012-10-22,74.76,76.99,73.92,74.47,1400300,73.26
2012-10-15,74.88,75.87,73.89,74.98,1505100,73.76
2012-10-08,74.07,76.27,73.72,74.82,1368100,73.6
2012-10-01,70.55,76.84,70.28,74.05,1733500,72.85
2012-09-24,70.03,71.2,69.4,70.15,1192200,69.01
2012-09-17,70.95,71.27,69.,70.28,1167200,68.88
2012-09-10,72.26,72.44,67.97,71.12,2072800,69.71
2012-09-04,70.92,72.24,69.35,72.23,1438600,70.8
2012-08-27,69.89,70.95,68.82,70.08,1963700,68.69
2012-08-20,68.13,70.06,67.66,69.95,1950300,68.56
2012-08-13,67.81,68.04,66.11,67.8,1648200,66.45
2012-08-06,62.98,68.29,62.42,67.62,2796300,66.28
2012-07-30,70.53,70.88,59.92,62.7,6220800,61.45
2012-07-23,72.81,72.81,67.2,70.52,2296700,69.12
2012-07-16,75.35,75.48,72.66,73.62,1776600,72.16
2012-07-09,77.62,77.79,72.82,75.41,2003500,73.91
2012-07-02,77.69,78.2,75.65,76.48,1552200,74.96
2012-06-25,79.33,81.42,75.77,77.44,2360100,75.9
2012-06-18,78.29,80.53,77.61,79.58,1328000,77.74
2012-06-11,79.58,80.,77.79,78.7,1647500,76.88
2012-06-04,76.72,79.64,75.63,79.41,1892500,77.57
2012-05-29,77.78,77.93,75.02,75.9,1471000,74.15
2012-05-21,74.51,78.34,73.71,77.28,1576000,75.49
2012-05-14,77.55,78.1,74.2,74.53,1665100,72.81
2012-05-07,79.62,81.76,78.23,78.32,1856300,76.51
2012-04-30,82.98,85.18,79.6,80.23,4027900,78.38
2012-04-23,89.24,89.97,86.2,87.82,1550300,85.79
2012-04-16,88.66,90.81,86.43,90.,1225400,87.92
2012-04-09,90.32,90.32,87.66,88.61,1104500,86.56
2012-04-02,92.49,92.55,90.13,91.27,1526800,89.16
2012-03-26,85.66,93.36,85.05,92.48,2182700,90.34
2012-03-19,86.24,87.76,84.68,85.91,1379100,83.69
2012-03-12,86.63,88.41,85.69,86.64,1246900,84.4
2012-03-05,86.83,88.26,85.17,87.06,1223100,84.81
2012-02-27,89.24,91.6,86.85,87.24,2543900,84.98
2012-02-21,90.49,93.,87.65,89.,2134300,86.7
2012-02-13,86.02,89.72,85.52,88.61,1957300,86.32
2012-02-06,87.35,87.72,84.04,85.74,2786000,83.52
2012-01-30,87.37,93.,86.76,90.12,1847100,87.79
2012-01-23,92.29,93.63,84.55,88.26,2675000,85.98
2012-01-17,95.75,96.46,90.95,92.15,1570100,89.76
2012-01-09,92.98,94.99,91.78,94.71,1223000,92.26
2012-01-03,89.21,94.85,87.78,92.25,2005800,89.86
2011-12-27,89.7,90.95,87.37,87.61,749800,85.34
2011-12-19,84.71,89.86,84.42,89.6,822300,87.04
2011-12-12,86.49,88.23,84.38,84.75,1542700,82.33
2011-12-05,90.04,90.76,85.24,86.85,1401800,84.37
2011-11-28,83.19,90.,82.88,89.11,1460700,86.56
2011-11-21,84.13,85.16,80.89,80.89,885500,78.58
