Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,212.67,216.4,212.27,215.32,686000,215.32
2014-02-18,214.88,218.45,209.65,212.91,816500,212.91
2014-02-10,215.6,219.83,211.27,214.85,1057900,214.85
2014-02-03,208.18,216.3,202.9,215.53,996200,215.53
2014-01-27,208.23,210.25,201.01,208.79,894900,208.79
2014-01-21,208.38,212.33,204.34,204.36,1265000,204.36
2014-01-13,225.,225.56,206.03,206.87,1668000,206.87
2014-01-06,226.9,229.5,224.05,225.33,664100,225.33
2013-12-30,225.38,226.96,221.89,225.88,631300,225.88
2013-12-23,226.57,227.07,223.62,224.74,460300,224.74
2013-12-16,221.,225.88,219.77,224.46,1403200,224.46
2013-12-09,216.24,221.25,215.72,220.44,934100,220.44
2013-12-02,213.83,218.5,210.37,218.2,902200,217.55
2013-11-25,217.88,218.05,212.71,213.29,648900,212.66
2013-11-18,204.33,218.13,201.27,217.41,1355900,216.76
2013-11-11,204.2,205.8,196.75,202.36,929900,201.76
2013-11-04,195.51,205.25,192.21,204.2,891600,203.59
2013-10-28,196.32,196.32,190.47,195.35,818300,194.77
2013-10-21,198.42,198.46,194.85,196.,492000,195.42
2013-10-14,193.89,198.53,193.11,198.22,457500,197.63
2013-10-07,192.,195.26,187.35,194.68,837000,194.1
2013-09-30,179.47,193.78,178.41,193.65,956800,193.07
2013-09-23,181.3,182.19,178.43,181.28,418100,180.74
2013-09-16,182.39,184.95,180.69,182.13,581900,181.59
2013-09-09,179.04,182.97,178.42,180.53,587400,179.99
2013-09-03,182.23,183.98,177.26,179.39,622300,178.86
2013-08-26,185.34,186.48,178.57,179.75,489500,179.22
2013-08-19,180.55,186.44,180.55,185.33,567200,184.78
2013-08-12,183.94,184.38,178.77,181.79,406500,181.25
2013-08-05,187.43,187.97,180.14,184.92,559900,184.37
2013-07-29,176.47,188.78,176.4,188.44,657900,187.88
2013-07-22,178.69,179.45,174.9,177.28,468600,176.75
2013-07-15,180.84,183.44,177.46,178.99,539400,178.46
2013-07-08,177.45,181.45,173.54,180.67,716100,180.13
2013-07-01,179.6,181.25,173.62,177.03,880200,176.5
2013-06-24,170.41,181.43,168.7,177.76,903100,177.23
2013-06-17,174.37,184.12,170.34,172.56,887200,172.05
2013-06-10,175.,175.86,170.48,173.15,532200,172.63
2013-06-03,171.42,174.87,162.95,174.7,714800,174.18
2013-05-28,169.53,177.87,168.33,171.21,764600,170.7
2013-05-20,176.55,179.1,166.18,167.66,941900,167.16
2013-05-13,171.59,178.18,170.84,177.41,513900,176.88
2013-05-06,171.31,172.61,169.66,172.1,449300,171.59
2013-04-29,159.51,174.25,158.45,172.02,1219300,171.51
2013-04-22,154.44,160.38,152.86,159.51,466800,159.04
2013-04-15,158.,159.54,152.08,154.38,481700,153.92
2013-04-08,154.91,159.26,153.95,158.2,375200,157.73
2013-04-01,162.47,163.31,150.12,155.06,842400,154.6
2013-03-25,163.49,163.81,158.58,163.07,573200,162.58
2013-03-18,158.66,162.94,156.12,162.31,576200,161.83
2013-03-11,158.19,162.79,156.67,160.98,612400,160.5
2013-03-04,153.81,162.29,152.91,158.6,672600,158.13
2013-02-25,156.19,156.59,150.35,154.,799200,153.54
2013-02-19,156.66,157.49,152.75,155.98,1051600,155.52
2013-02-11,149.05,158.47,148.08,156.46,1333700,155.99
2013-02-04,139.6,149.66,138.56,149.,1895100,148.56
2013-01-28,134.9,142.44,133.3,140.88,1822500,140.46
2013-01-22,132.57,135.57,130.78,134.82,1291700,134.42
2013-01-14,129.02,133.36,127.3,133.33,994600,132.93
2013-01-07,128.45,129.42,125.5,129.36,1472800,128.98
2012-12-31,123.57,130.1,122.83,129.6,1437200,129.21
2012-12-24,126.17,126.96,122.72,123.66,859000,123.29
2012-12-17,128.23,135.4,123.46,126.25,4334500,125.87
2012-12-10,130.3,131.77,127.71,127.9,430800,127.52
2012-12-03,132.24,133.43,129.02,130.72,363100,130.33
2012-11-26,130.58,132.51,129.45,132.15,285800,131.76
2012-11-19,128.94,131.23,128.75,131.19,297000,130.8
2012-11-12,130.73,131.34,126.07,127.6,567000,127.22
2012-11-05,129.15,133.91,128.64,130.3,399900,129.91
2012-10-31,131.19,132.46,129.56,129.83,444000,129.44
2012-10-22,130.52,131.89,128.64,131.19,303500,130.8
2012-10-15,130.84,132.17,128.02,130.2,661900,129.81
2012-10-08,130.63,131.22,128.19,129.74,449000,129.35
2012-10-01,133.86,134.75,129.72,131.,591900,130.61
2012-09-24,137.25,138.18,133.18,133.41,382000,133.01
2012-09-17,140.15,141.15,135.27,137.57,513600,137.16
2012-09-10,137.46,140.59,135.32,140.09,713500,139.67
2012-09-04,136.73,138.62,134.56,137.13,681800,136.72
2012-08-27,137.21,139.5,134.82,136.7,431200,136.29
2012-08-20,134.71,137.25,133.26,137.1,310600,136.69
2012-08-13,132.31,136.37,131.88,135.34,248800,134.94
2012-08-06,132.69,133.88,130.34,133.26,258500,132.86
2012-07-30,133.89,135.96,126.22,132.25,665600,131.86
2012-07-23,129.01,135.56,128.86,134.25,545400,133.85
2012-07-16,136.1,136.76,129.45,131.09,441200,130.7
2012-07-09,133.39,137.44,130.86,137.22,423200,136.81
2012-07-02,141.77,141.77,129.37,133.3,375300,132.9
2012-06-25,133.,137.59,130.47,135.98,405700,135.58
2012-06-18,134.19,137.29,130.86,133.18,468900,132.78
2012-06-11,128.6,135.91,125.65,134.8,683000,134.4
2012-06-04,119.39,129.81,117.82,127.89,824600,127.51
2012-05-29,126.57,126.83,118.42,118.47,581900,118.12
2012-05-21,123.56,129.88,122.07,125.49,575900,125.12
2012-05-14,122.66,126.29,121.25,123.59,653800,123.22
2012-05-07,126.94,127.9,122.83,123.98,496500,123.61
2012-04-30,132.22,133.95,124.59,127.29,831800,126.91
2012-04-23,127.5,133.1,126.73,132.67,502300,132.28
2012-04-16,133.94,134.19,128.3,128.39,507500,128.01
2012-04-09,138.03,138.03,131.74,133.05,411800,132.65
2012-04-02,137.09,139.56,134.21,138.6,533800,138.19
2012-03-26,140.22,141.24,134.64,137.42,635000,137.01
2012-03-19,139.42,141.,136.61,139.48,456700,139.07
2012-03-12,141.82,142.75,138.33,139.,484800,138.59
2012-03-05,139.13,142.4,136.21,141.82,570700,141.4
2012-02-27,138.82,141.9,136.65,139.33,703500,138.92
2012-02-21,132.32,140.46,132.25,139.74,863100,139.32
2012-02-13,135.,135.,131.52,134.47,725100,134.07
2012-02-06,120.2,134.99,120.2,134.83,1064200,134.43
2012-01-30,115.48,122.63,114.2,122.32,717200,121.96
2012-01-23,117.5,119.29,115.71,116.45,686700,116.1
2012-01-17,115.73,118.85,110.67,117.41,1033000,117.06
2012-01-09,115.65,117.2,111.68,116.47,1009600,116.12
2012-01-03,122.4,123.12,113.73,115.01,723800,114.67
2011-12-27,119.84,121.85,118.79,120.55,248200,120.19
2011-12-19,118.31,120.24,115.8,120.12,342600,119.76
2011-12-12,121.45,121.93,115.91,117.68,661000,117.33
2011-12-05,125.17,125.79,119.75,122.89,619400,122.52
2011-11-28,117.14,127.54,115.97,123.42,739700,123.05
2011-11-21,114.71,117.5,113.,113.78,601500,113.44
2011-11-14,127.06,127.68,116.51,117.21,762200,116.86
2011-11-07,127.04,128.,123.02,127.89,720700,127.51
2011-10-31,128.91,132.32,119.87,127.49,1095300,127.11
2011-10-24,126.87,132.89,123.72,132.44,856600,132.05
2011-10-17,123.41,128.,119.7,126.51,743000,126.13
2011-10-10,123.74,127.44,121.58,124.45,526800,124.08
2011-10-03,117.87,125.68,115.23,121.62,708000,121.26
2011-09-26,123.63,125.68,118.15,118.26,800000,117.91
2011-09-19,122.62,126.46,118.81,122.1,833200,121.74
2011-09-12,112.67,125.28,112.08,124.98,753000,124.61
2011-09-06,108.99,118.,108.82,114.48,647400,114.14
2011-08-29,114.61,118.43,111.65,112.53,459100,112.2
2011-08-22,107.1,113.92,105.31,112.09,523900,111.76
2011-08-15,115.89,116.65,104.,105.05,915600,104.74
