Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,91.53,92.15,91.37,91.44,276800,91.44
2014-02-18,92.03,93.29,90.95,91.39,406200,91.39
2014-02-10,86.81,92.04,86.53,91.74,439000,91.74
2014-02-03,86.43,87.14,82.91,86.91,360400,86.91
2014-01-27,84.88,87.8,84.51,86.68,533900,86.68
2014-01-21,87.46,88.01,85.,85.,397000,85.
2014-01-13,85.55,87.37,84.56,87.02,322600,87.02
2014-01-06,86.21,86.5,84.57,85.71,421800,85.71
2013-12-30,86.02,86.5,85.47,85.92,349400,85.92
2013-12-23,86.31,86.59,85.13,85.94,195200,85.94
2013-12-16,84.74,85.95,83.05,85.64,879200,85.25
2013-12-09,86.46,86.87,84.32,84.7,347700,84.31
2013-12-02,88.54,90.09,84.45,86.31,409500,85.92
2013-11-25,88.8,88.98,87.73,88.35,252800,87.95
2013-11-18,88.91,89.14,87.86,88.42,293300,88.02
2013-11-11,86.75,90.3,86.61,88.58,556700,88.18
2013-11-04,82.93,87.05,82.07,86.94,452900,86.54
2013-10-28,82.,84.08,81.71,82.87,320400,82.49
2013-10-21,82.22,83.21,81.57,81.82,240800,81.45
2013-10-14,80.75,83.31,80.04,82.34,253600,81.97
2013-10-07,82.32,82.72,79.59,81.08,246000,80.71
2013-09-30,81.18,83.33,80.89,82.97,284100,82.59
2013-09-23,83.22,83.58,81.5,81.6,243900,81.23
2013-09-16,83.37,84.87,82.3,83.13,236700,82.36
2013-09-09,79.21,82.24,79.,81.99,287300,81.23
2013-09-03,80.02,81.02,78.75,78.81,256600,78.08
2013-08-26,81.62,82.3,78.78,79.01,207200,78.28
2013-08-19,81.96,82.72,81.,81.52,195000,80.77
2013-08-12,83.29,83.93,81.39,82.2,293100,81.44
2013-08-05,81.48,84.99,81.33,83.56,346900,82.79
2013-07-29,79.15,82.89,79.14,81.68,326800,80.92
2013-07-22,80.01,80.29,78.51,79.34,292700,78.61
2013-07-15,80.15,80.41,79.,79.9,244800,79.16
2013-07-08,79.29,81.45,78.81,80.16,321800,79.42
2013-07-01,76.17,78.95,75.86,78.87,334300,78.14
2013-06-24,75.5,76.53,73.02,75.16,376500,74.46
2013-06-17,79.09,80.18,76.29,76.6,387000,75.55
2013-06-10,79.88,79.99,77.62,78.47,254800,77.39
2013-06-03,80.59,80.89,77.9,79.68,450200,78.58
2013-05-28,82.73,82.75,80.28,80.29,286600,79.19
2013-05-20,82.46,82.8,80.39,81.98,268800,80.85
2013-05-13,80.27,82.47,79.8,82.42,297600,81.29
2013-05-06,77.76,80.22,74.88,80.17,282000,79.07
