Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,76.67,78.18,76.41,77.41,2680200,77.41
2014-02-18,71.9,78.74,71.68,77.24,3039300,77.24
2014-02-10,71.54,73.,69.02,71.69,2870100,71.69
2014-02-03,73.49,73.79,70.36,71.45,1877400,71.45
2014-01-27,73.18,74.56,72.66,73.25,1662000,73.25
2014-01-21,77.73,77.78,73.17,73.24,1793400,73.24
2014-01-13,75.98,77.58,74.82,76.99,1348600,76.99
2014-01-06,75.8,77.35,75.47,76.24,1510500,76.24
2013-12-30,76.63,76.84,75.4,75.8,1058300,75.61
2013-12-23,75.65,76.89,75.5,76.09,758800,75.9
2013-12-16,74.98,76.33,74.02,75.28,2867700,75.09
2013-12-09,74.87,75.62,73.72,75.02,1765700,74.84
2013-12-02,74.16,75.03,73.47,74.91,1622400,74.73
2013-11-25,72.3,74.33,71.75,74.23,1839700,74.05
2013-11-18,73.73,73.94,70.87,72.03,2308400,71.85
2013-11-11,72.26,73.73,71.81,73.67,1687400,73.49
2013-11-04,71.37,72.63,70.81,72.48,1521400,72.3
2013-10-28,70.51,72.,70.24,71.33,1692300,71.15
2013-10-21,68.68,70.51,68.58,70.44,1628200,70.27
2013-10-14,66.72,69.12,66.01,68.74,2116000,68.57
2013-10-07,65.74,66.93,65.12,66.93,2150200,66.76
2013-09-30,65.75,67.09,65.26,66.3,2544900,65.95
2013-09-23,66.59,67.,65.6,66.51,2639400,66.16
2013-09-16,66.79,67.34,65.09,66.84,3423700,66.48
2013-09-09,64.45,66.73,64.25,65.95,1874400,65.6
2013-09-03,63.8,64.95,63.54,64.45,1981500,64.11
2013-08-26,61.5,65.11,61.5,63.53,2395700,63.19
2013-08-19,64.02,64.35,62.61,64.18,2132700,63.84
2013-08-12,64.51,65.32,63.66,64.24,1404000,63.9
2013-08-05,63.79,64.69,63.35,64.45,1661800,64.11
2013-07-29,63.56,64.76,63.26,63.89,1501200,63.55
2013-07-22,64.4,65.24,62.74,63.92,1552500,63.58
2013-07-15,64.58,65.73,63.94,64.08,1890300,63.74
