Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,28.65,29.19,28.53,28.62,1516900,28.62
2014-02-18,28.02,28.73,27.87,28.61,1237500,28.61
2014-02-10,26.86,28.09,26.77,28.01,1524600,28.01
2014-02-03,26.48,27.47,25.75,26.74,2283300,26.74
2014-01-27,27.4,27.82,26.31,26.41,1899100,26.41
2014-01-21,27.56,28.08,26.56,27.41,2450900,27.41
2014-01-13,27.78,27.93,26.96,27.51,4018100,27.51
2014-01-06,29.54,29.88,27.49,27.86,2720600,27.86
2013-12-30,30.45,30.73,29.22,29.43,1132900,29.43
2013-12-23,29.88,30.8,29.58,30.55,1031600,30.55
2013-12-16,29.51,29.83,28.65,29.81,1682100,29.54
2013-12-09,28.64,29.62,28.47,29.49,1468500,29.23
2013-12-02,28.12,28.84,27.55,28.65,1368100,28.39
2013-11-25,28.45,28.59,27.81,28.12,1144000,27.87
2013-11-18,30.21,30.7,28.21,28.4,1971000,28.15
2013-11-11,26.86,30.31,26.31,30.15,3196800,29.88
2013-11-04,26.16,26.95,25.52,26.92,1549000,26.68
2013-10-28,27.08,27.96,25.75,26.11,1404200,25.88
2013-10-21,26.55,27.12,26.38,27.12,908600,26.88
2013-10-14,25.52,26.51,25.17,26.5,2550200,26.26
2013-10-07,25.93,26.42,25.03,25.3,1729600,25.07
2013-09-30,27.52,27.53,25.83,26.1,1330100,25.87
2013-09-23,28.31,29.06,27.59,27.72,1943800,27.47
2013-09-16,26.85,29.12,26.68,28.68,2312100,28.16
2013-09-09,25.89,26.78,25.8,26.59,1934800,26.1
2013-09-03,25.95,26.35,25.53,25.84,1156800,25.37
2013-08-26,26.99,27.2,25.72,25.8,1307400,25.33
2013-08-19,26.76,27.13,26.34,27.01,1055900,26.52
2013-08-12,28.13,28.18,26.65,26.8,1175000,26.31
2013-08-05,28.16,28.54,27.4,28.2,1232300,27.68
2013-07-29,27.85,28.36,27.2,28.25,1346500,27.73
2013-07-22,28.77,28.84,27.72,27.85,922100,27.34
2013-07-15,28.18,29.08,28.07,28.76,1216500,28.23
2013-07-08,26.91,28.97,26.77,28.23,1455700,27.71
2013-07-01,26.64,27.2,26.59,26.85,1244100,26.36
2013-06-24,26.63,26.87,25.91,26.61,1653400,26.12
2013-06-17,28.91,29.22,26.7,26.84,2552800,26.35
2013-06-10,29.65,29.69,28.23,28.93,3337700,28.12
2013-06-03,35.86,35.89,27.72,28.95,4960600,28.14
2013-05-28,36.72,37.52,35.82,35.84,1002700,34.84
2013-05-20,39.,39.12,36.6,36.72,946600,35.7
2013-05-13,39.47,39.71,38.36,38.96,877600,37.87
2013-05-06,38.67,39.63,38.55,39.54,865700,38.44
2013-04-29,37.6,39.11,36.9,38.65,1033100,37.57
2013-04-22,36.73,37.76,36.35,37.45,649100,36.4
2013-04-15,37.07,37.2,35.95,36.67,842600,35.65
2013-04-08,36.11,37.83,35.93,37.2,990500,36.16
2013-04-01,36.25,36.84,35.63,36.13,886600,35.12
2013-03-25,35.7,36.32,35.34,36.31,1078400,35.3
2013-03-18,36.08,36.65,35.42,35.55,776200,34.56
2013-03-11,34.84,36.67,34.8,36.38,1240900,35.1
2013-03-04,34.58,35.35,34.23,34.88,991900,33.65
2013-02-25,34.71,35.16,33.36,34.63,1458700,33.41
2013-02-19,34.72,35.14,33.99,34.53,1731000,33.32
2013-02-11,34.17,34.76,33.88,34.71,857800,33.49
2013-02-04,34.29,34.74,33.88,34.25,1152100,33.05
2013-01-28,34.25,34.56,33.89,34.51,1305300,33.3
2013-01-22,34.14,34.65,33.92,34.29,986900,33.08
2013-01-14,32.85,34.22,32.61,34.2,1092400,33.
