Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,435.19,441.69,434.18,438.54,363800,438.54
2014-02-18,440.31,447.75,433.32,435.19,272800,435.19
2014-02-10,416.07,442.93,415.07,438.83,448300,438.83
2014-02-03,405.37,420.,396.66,417.68,482500,417.68
2014-01-27,411.2,422.03,405.02,407.58,506100,407.58
2014-01-21,444.94,447.5,406.25,410.76,866600,410.76
2014-01-13,412.07,443.99,392.02,430.14,1052700,430.14
2014-01-06,372.96,424.58,370.03,420.15,667200,420.15
2013-12-30,379.94,384.39,372.74,373.46,371500,373.46
2013-12-23,365.01,383.54,363.62,379.99,370300,379.99
2013-12-16,363.97,369.65,351.14,364.35,655800,364.35
2013-12-09,376.39,381.52,362.54,362.94,430800,362.94
2013-12-02,378.22,381.6,362.22,377.38,405100,377.38
2013-11-25,388.93,390.34,373.34,376.9,256800,376.9
2013-11-18,394.49,398.79,387.02,389.71,186800,389.71
2013-11-11,390.83,398.55,387.61,394.44,348300,394.44
2013-11-04,372.84,390.66,372.25,389.83,371400,389.83
2013-10-28,370.,381.21,367.71,372.03,495600,372.03
2013-10-21,376.57,378.77,365.08,369.13,529500,369.13
2013-10-14,388.14,408.89,369.99,376.52,896000,376.52
2013-10-07,362.76,401.3,362.29,390.18,679300,390.18
2013-09-30,366.35,377.99,358.02,364.28,502600,364.28
2013-09-23,373.31,379.99,363.45,367.46,447900,367.46
2013-09-16,377.01,379.7,368.46,374.69,610100,374.69
2013-09-09,384.33,387.62,370.36,375.,682100,375.
2013-09-03,388.19,390.49,381.,384.69,358300,384.69
2013-08-26,391.05,394.,381.93,386.52,305900,386.52
2013-08-19,379.33,391.95,375.54,390.09,300800,390.09
2013-08-12,391.7,393.96,377.31,378.33,312500,378.33
2013-08-05,391.81,395.73,386.2,391.87,293300,391.87
2013-07-29,397.3,401.,384.,393.65,866500,393.65
2013-07-22,393.33,399.87,369.31,382.29,728000,382.29
2013-07-15,427.56,428.4,357.02,392.67,1507700,392.67
2013-07-08,503.9,505.66,406.69,429.04,1685500,429.04
2013-07-01,509.2,509.2,499.01,504.01,206800,504.01
2013-06-24,498.5,510.54,495.34,506.13,223400,506.13
2013-06-17,503.23,516.07,496.45,502.88,344500,502.88
2013-06-10,510.84,514.25,491.89,498.31,172700,498.31
