Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,33.53,34.06,33.45,33.83,2660300,33.83
2014-02-18,34.29,34.62,33.31,33.54,3127700,33.54
2014-02-10,33.42,34.84,33.41,34.36,4590200,34.14
2014-02-03,33.06,33.39,31.73,32.88,4766700,32.66
2014-01-27,33.52,34.43,32.69,33.25,4610900,33.03
2014-01-21,35.19,35.89,33.47,33.48,3291900,33.26
2014-01-13,35.79,35.98,34.84,35.01,3005000,34.78
2014-01-06,36.59,36.88,35.65,35.85,3069600,35.62
2013-12-30,36.44,36.79,35.67,36.12,1743600,35.88
2013-12-23,36.,36.73,35.88,36.49,1692800,36.25
2013-12-16,34.82,35.89,33.94,35.83,3682200,35.6
2013-12-09,35.53,35.86,34.28,34.58,2986600,34.35
2013-12-02,34.86,35.7,34.35,35.46,4208700,35.23
2013-11-25,34.02,35.26,33.8,34.85,3270100,34.62
2013-11-18,33.85,34.05,33.36,33.9,3301900,33.68
2013-11-11,33.66,34.32,32.73,33.84,3705900,33.62
2013-11-04,34.03,34.03,32.25,33.32,4228100,32.88
2013-10-28,32.79,34.25,32.42,33.84,4704600,33.4
2013-10-21,32.9,32.93,32.11,32.87,3398400,32.44
2013-10-14,34.01,34.73,31.5,32.77,11134700,32.34
2013-10-07,32.07,34.64,31.5,34.35,3942100,33.9
2013-09-30,31.71,32.46,31.59,32.38,2766000,31.96
2013-09-23,32.4,32.59,31.78,32.09,2419600,31.67
2013-09-16,31.67,33.02,31.35,32.63,4095300,32.2
2013-09-09,30.6,31.67,30.6,31.06,2744400,30.65
2013-09-03,30.92,31.34,30.09,30.45,3303500,30.05
2013-08-26,31.58,31.73,30.14,30.36,2737300,29.96
2013-08-19,31.7,31.89,30.79,31.57,2472900,31.16
2013-08-12,32.26,33.36,31.96,32.04,3160600,31.4
2013-08-05,33.03,33.26,32.26,32.57,2437400,31.92
2013-07-29,32.6,33.2,32.,33.1,4461800,32.44
2013-07-22,32.5,33.24,32.38,32.85,3053200,32.19
2013-07-15,31.87,32.73,31.59,32.49,3689800,31.84
2013-07-08,32.11,32.34,31.31,31.75,4327500,31.11
2013-07-01,32.14,32.27,31.18,31.92,2484400,31.28
2013-06-24,32.25,32.56,31.09,31.8,5338400,31.16
2013-06-17,33.95,34.66,32.59,32.81,3674700,32.15
2013-06-10,34.59,34.6,33.,33.52,3012800,32.85
2013-06-03,33.75,34.49,32.34,34.44,4789700,33.75
2013-05-28,34.24,34.82,33.74,33.74,3850100,33.06
2013-05-20,34.55,35.02,33.13,33.56,3262100,32.89
2013-05-13,33.89,34.88,33.72,34.59,4140900,33.9
2013-05-06,32.48,34.16,32.31,34.11,4650600,33.21
2013-04-29,29.73,32.77,29.49,32.46,6289800,31.6
2013-04-22,28.98,30.08,28.61,29.55,3089600,28.77
2013-04-15,29.95,30.08,28.19,28.89,3357200,28.13
2013-04-08,28.36,30.25,28.16,30.13,3490200,29.33
2013-04-01,28.95,29.1,27.86,28.37,3606300,27.62
2013-03-25,28.57,29.,28.15,28.96,2533800,28.19
2013-03-18,28.77,29.14,28.19,28.39,3102700,27.64
2013-03-11,28.08,29.23,27.64,29.13,3762700,28.36
2013-03-04,26.79,28.19,26.7,28.11,4097200,27.37
2013-02-25,26.77,26.99,25.46,26.83,6478400,26.12
2013-02-19,27.27,27.69,26.23,26.59,4911500,25.89
2013-02-11,27.36,27.86,27.13,27.36,3542500,26.47
2013-02-04,27.55,27.63,26.95,27.31,4209800,26.42
2013-01-28,28.22,28.49,26.74,27.77,5730600,26.87
2013-01-22,27.56,28.26,27.48,28.2,3219800,27.28
2013-01-14,27.5,27.68,27.05,27.66,2944500,26.76
2013-01-07,27.39,27.83,27.08,27.74,3163900,26.84
2012-12-31,25.72,27.6,25.59,27.56,4540300,26.66
2012-12-24,26.1,26.37,25.67,25.78,1840300,24.94
2012-12-17,25.6,26.37,25.51,26.23,4004500,25.38
2012-12-10,24.8,25.55,24.68,25.46,3133500,24.63
2012-12-03,25.11,25.16,24.4,24.86,2908400,24.05
2012-11-26,24.6,25.29,24.42,24.99,3755700,24.18
2012-11-19,23.75,24.84,23.73,24.83,2484200,24.02
2012-11-12,23.99,24.28,22.94,23.4,3201900,22.64
2012-11-05,24.39,24.78,23.38,23.9,2833400,22.95
2012-10-31,24.39,24.82,23.83,24.4,4617400,23.43
2012-10-22,24.59,24.68,23.87,24.25,3025300,23.29
2012-10-15,24.86,25.39,24.44,24.63,3614400,23.65
2012-10-08,25.32,25.63,24.34,24.71,2713100,23.73
2012-10-01,25.21,26.09,24.72,25.51,3157200,24.5
2012-09-24,25.22,25.53,24.52,24.99,2449400,24.
2012-09-17,25.86,26.,25.13,25.39,2460100,24.38
2012-09-10,24.69,26.25,24.56,25.82,3853600,24.79
2012-09-04,23.62,25.06,23.53,25.01,3457800,24.02
2012-08-27,23.9,24.03,23.34,23.68,2395300,22.74
2012-08-20,23.88,24.23,23.5,23.8,2849600,22.85
2012-08-13,23.57,24.16,23.53,24.04,2858000,22.92
2012-08-06,22.68,23.75,22.49,23.7,4049100,22.59
2012-07-30,22.05,22.75,20.8,22.61,5130500,21.56
2012-07-23,21.14,22.29,20.49,22.12,8369100,21.09
2012-07-16,22.53,22.58,21.49,21.54,4072900,20.54
2012-07-09,22.02,22.71,21.7,22.65,3509800,21.59
2012-07-02,22.62,23.01,21.79,22.14,3749900,21.11
2012-06-25,21.36,22.61,21.,22.6,3539500,21.55
2012-06-18,21.85,22.59,21.49,21.72,4998100,20.71
2012-06-11,23.1,23.12,21.49,22.03,6448300,21.
2012-06-04,20.86,23.02,20.59,22.82,4784700,21.76
2012-05-29,21.82,22.03,20.85,20.85,5036000,19.88
2012-05-21,21.16,21.95,20.74,21.54,5737400,20.54
2012-05-14,22.82,22.98,21.07,21.13,4804000,20.14
2012-05-07,23.61,23.88,22.33,23.25,6806300,22.
2012-04-30,25.,25.47,23.68,23.7,4859700,22.42
2012-04-23,23.66,25.24,23.55,25.1,4262500,23.75
2012-04-16,24.99,25.31,24.15,24.18,3962300,22.87
2012-04-09,25.54,25.54,24.42,24.71,5277400,23.38
2012-04-02,26.57,26.9,25.63,26.02,3502000,24.62
2012-03-26,26.59,26.94,25.89,26.67,3486800,25.23
2012-03-19,26.08,26.57,25.72,26.29,4043300,24.87
2012-03-12,24.86,26.47,24.71,26.14,4488400,24.73
2012-03-05,24.6,25.,23.76,24.87,3217400,23.53
2012-02-27,24.69,25.2,24.43,24.77,3757100,23.43
2012-02-21,24.77,25.,24.56,24.88,3596000,23.54
2012-02-13,24.44,24.94,23.73,24.7,3504900,23.25
2012-02-06,23.68,24.65,23.5,24.1,4387300,22.69
2012-01-30,22.65,23.91,22.32,23.88,4114700,22.48
2012-01-23,22.46,23.31,22.08,22.99,4141100,21.64
2012-01-17,22.05,22.46,21.42,22.44,3438800,21.12
2012-01-09,20.84,22.,20.73,21.62,4545200,20.35
2012-01-03,20.66,21.08,19.92,20.77,4340900,19.55
2011-12-27,20.08,20.35,19.64,20.09,1756900,18.91
2011-12-19,19.33,20.27,18.55,20.22,3643300,19.03
2011-12-12,20.37,20.37,18.94,19.24,4976700,18.11
2011-12-05,20.75,21.05,20.09,20.78,3612700,19.56
2011-11-28,18.71,21.,18.66,20.28,4985200,19.09
2011-11-21,18.94,19.01,17.71,17.91,4689700,16.86
2011-11-14,20.15,20.43,19.05,19.39,4511900,18.25
2011-11-07,20.05,20.5,18.86,20.34,5250000,19.03
2011-10-31,20.41,20.58,18.76,20.03,6068100,18.74
2011-10-24,18.76,21.33,18.74,20.9,7665900,19.55
2011-10-17,17.94,18.84,17.49,18.74,6350100,17.53
2011-10-10,16.68,18.34,16.66,18.15,7374800,16.98
2011-10-03,15.39,17.12,14.52,16.2,8128800,15.16
2011-09-26,16.04,17.17,15.4,15.51,7954100,14.51
2011-09-19,18.14,18.38,15.59,15.78,7694900,14.76
2011-09-12,16.24,18.67,15.89,18.67,7624800,17.47
2011-09-06,16.18,18.06,16.09,16.46,5440700,15.4
2011-08-29,17.44,18.58,16.96,17.01,4469600,15.91
2011-08-22,16.61,18.45,15.75,17.08,7427900,15.98
2011-08-15,17.98,18.49,15.88,16.11,6316200,15.07
2011-08-08,18.9,19.33,16.52,17.77,10043500,16.51
2011-08-01,22.53,22.61,19.03,19.56,5854100,18.17
2011-07-25,22.43,23.52,21.8,22.18,4669300,20.61
2011-07-18,22.09,22.77,21.29,22.71,4296700,21.1
2011-07-11,23.15,23.34,21.91,22.19,4111500,20.62
2011-07-05,23.48,24.04,23.11,23.57,4220800,21.9
2011-06-27,21.97,23.63,21.97,23.56,4241700,21.89
2011-06-20,22.95,23.62,21.92,21.92,4612900,20.37
2011-06-13,22.99,23.48,22.62,23.04,4441200,21.41
2011-06-06,23.04,23.23,22.49,22.94,3730400,21.31
2011-05-31,24.62,24.7,23.02,23.06,4480800,21.43
2011-05-23,24.6,24.64,23.58,24.33,3926500,22.61
2011-05-16,24.9,25.22,24.08,25.,5383500,23.23
2011-05-09,24.25,25.46,24.13,25.01,5102400,23.12
2011-05-02,25.06,25.33,24.02,24.27,4473000,22.44
2011-04-25,24.65,25.07,23.97,24.87,4480300,22.99
2011-04-18,24.56,24.91,24.13,24.8,3729500,22.93
2011-04-11,25.84,26.02,24.24,24.98,3301800,23.09
2011-04-04,25.97,26.06,25.35,25.93,2989200,23.97
2011-03-28,25.61,26.02,25.05,26.,3634500,24.04
2011-03-21,25.27,26.07,24.88,25.62,2934500,23.68
2011-03-14,25.45,25.79,23.87,24.85,4701900,22.97
2011-03-07,26.67,26.87,25.25,25.84,3103100,23.89
2011-02-28,26.34,27.28,25.39,26.6,4893600,24.59
2011-02-22,26.93,27.12,25.24,26.4,4911800,24.41
2011-02-14,25.77,27.5,25.58,27.35,5200800,25.28
2011-02-07,25.45,25.99,24.86,25.75,3447400,23.71
2011-01-31,24.67,25.45,24.43,25.4,4291100,23.39
2011-01-24,23.93,25.61,23.64,24.66,6199300,22.71
2011-01-18,24.69,25.19,23.82,23.92,5544000,22.02
2011-01-10,24.29,25.18,23.94,25.,6290100,23.02
2011-01-03,24.24,24.72,23.96,24.33,5179800,22.4
2010-12-27,23.51,24.34,23.46,24.06,1641300,22.15
2010-12-20,23.02,23.91,22.55,23.68,2878800,21.8
2010-12-13,23.28,23.31,22.4,22.78,3319900,20.97
2010-12-06,22.88,23.39,22.67,23.23,4724000,21.39
2010-11-29,21.49,23.09,21.29,22.99,3967800,21.17
2010-11-22,21.83,21.95,21.02,21.71,3247000,19.99
2010-11-15,22.28,22.57,21.45,21.93,3941400,20.19
2010-11-08,24.08,24.15,21.86,22.13,8658700,20.27
