Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,49.75,50.33,49.68,49.72,4429300,49.72
2014-02-18,49.24,50.05,48.86,49.72,4398500,49.72
2014-02-10,46.69,49.22,46.06,49.,4352900,49.
2014-02-03,46.08,47.21,43.85,46.67,6460400,46.67
2014-01-27,48.05,48.33,45.95,46.12,5094000,46.12
2014-01-21,51.4,51.91,47.95,48.21,9621400,48.21
2014-01-13,51.32,52.5,50.91,51.06,4560700,51.06
2014-01-06,50.64,51.67,50.09,51.59,3431800,51.59
2013-12-30,50.72,51.54,50.,50.52,2972100,50.52
2013-12-23,50.68,51.5,50.51,50.66,2175100,50.66
2013-12-16,50.33,51.65,49.85,50.31,5826200,50.31
2013-12-09,50.36,51.7,49.64,50.,4366700,50.
2013-12-02,50.53,50.84,49.23,50.41,4853800,50.19
2013-11-25,50.84,51.28,50.06,50.51,3654800,50.29
2013-11-18,49.45,51.9,48.15,50.68,6047500,50.46
2013-11-11,47.56,49.45,47.26,49.45,4064100,49.23
2013-11-04,46.1,47.75,45.99,47.66,5370700,47.45
2013-10-28,43.01,46.77,42.66,45.94,6341200,45.74
2013-10-21,43.16,43.45,42.59,43.01,2521500,42.82
2013-10-14,41.78,43.28,41.41,43.11,3000300,42.92
2013-10-07,40.65,42.22,39.42,42.1,3976400,41.92
2013-09-30,41.3,41.91,40.74,41.14,4247200,40.96
2013-09-23,42.62,43.49,42.05,42.53,2225100,42.34
2013-09-16,42.82,43.33,41.77,42.67,3204900,42.48
2013-09-09,41.03,42.79,41.03,42.17,2991400,41.99
2013-09-03,41.09,41.79,40.38,41.02,3041500,40.84
2013-08-26,41.79,41.95,40.01,40.53,2834200,40.16
2013-08-19,40.59,41.68,40.,41.63,2585700,41.25
2013-08-12,41.22,42.01,40.48,40.54,3331000,40.17
2013-08-05,41.33,41.53,39.8,41.43,3275500,41.06
2013-07-29,40.95,41.47,40.18,41.3,3941900,40.93
2013-07-22,40.91,41.5,40.74,40.96,3524500,40.59
2013-07-15,36.99,41.11,36.93,40.95,6906200,40.58
2013-07-08,35.95,37.05,35.94,36.91,4081500,36.58
2013-07-01,35.97,36.4,35.43,35.61,4156300,35.29
2013-06-24,34.79,36.18,34.4,35.79,3202300,35.47
2013-06-17,37.91,38.09,35.1,35.29,4561500,34.97
2013-06-10,37.69,38.15,36.37,37.57,3203300,37.23
2013-06-03,37.51,37.84,36.07,37.62,3366600,37.28
2013-05-28,37.74,38.33,37.36,37.36,3714700,36.83
2013-05-20,37.53,38.08,36.44,37.03,3291900,36.51
2013-05-13,36.51,37.66,36.4,37.54,4821300,37.01
2013-05-06,34.83,36.56,34.83,36.47,3316700,35.96
2013-04-29,35.15,35.34,34.29,34.89,3097600,34.4
2013-04-22,32.95,35.33,32.6,35.09,5702100,34.6
2013-04-15,33.8,33.85,31.95,32.64,4156600,32.18
2013-04-08,32.96,34.25,32.85,34.07,4088200,33.59
2013-04-01,35.09,35.16,32.65,33.02,5206900,32.55
2013-03-25,34.79,35.17,34.5,35.07,3181000,34.58
2013-03-18,34.49,35.16,34.15,34.79,4050700,34.3
2013-03-11,33.7,35.1,33.54,34.97,5278100,34.48
2013-03-04,31.47,34.45,31.33,33.73,10635500,33.25
2013-02-25,31.51,31.78,30.58,31.49,5054700,30.86
2013-02-19,32.17,32.49,31.2,31.31,3957200,30.69
2013-02-11,31.1,32.16,30.94,32.14,4203400,31.5
2013-02-04,30.97,31.47,30.56,31.15,5573700,30.53
2013-01-28,31.01,31.61,30.56,31.24,4895200,30.62
2013-01-22,30.84,31.22,30.3,30.94,4737700,30.32
2013-01-14,31.6,31.97,30.32,31.01,6071700,30.39
2013-01-07,31.44,31.8,31.13,31.67,4005900,31.04
2012-12-31,29.88,32.,29.87,31.39,5771700,30.76
2012-12-24,30.03,30.46,29.71,30.11,2886600,29.51
2012-12-17,28.37,30.25,28.28,30.12,5181100,29.52
2012-12-10,28.02,29.,28.,28.2,3763700,27.64
2012-12-03,27.61,28.16,27.11,28.14,3523000,27.58
2012-11-26,27.05,27.87,26.74,27.54,4721200,26.8
2012-11-19,25.45,27.29,25.44,27.22,3600900,26.49
2012-11-12,25.61,25.63,24.75,25.09,4036400,24.42
2012-11-05,25.98,26.99,25.44,25.52,4267400,24.84
2012-10-31,25.6,26.43,25.1,26.25,7260800,25.55
2012-10-22,26.18,26.45,25.7,25.81,4979600,25.12
2012-10-15,26.02,26.9,25.66,26.19,4536000,25.49
2012-10-08,27.74,27.85,25.75,25.87,5767000,25.18
2012-10-01,27.58,28.41,27.24,27.85,3998100,27.11
2012-09-24,28.38,28.62,27.15,27.4,4098100,26.67
2012-09-17,29.14,29.28,28.23,28.45,4373000,27.69
2012-09-10,27.78,29.59,27.68,29.2,4645300,28.42
2012-09-04,27.24,27.8,26.48,27.77,5473000,27.03
2012-08-27,27.19,27.55,26.74,27.21,4310700,26.31
2012-08-20,27.25,27.56,26.62,26.98,3790700,26.08
2012-08-13,26.05,27.49,25.83,27.38,4690700,26.47
2012-08-06,24.63,26.12,24.45,26.11,6417400,25.24
2012-07-30,25.08,25.45,23.75,24.59,6201900,23.77
2012-07-23,24.88,25.24,23.37,25.06,9411100,24.23
2012-07-16,27.38,28.56,25.1,25.28,9546500,24.44
2012-07-09,26.83,27.66,26.23,27.56,5097200,26.64
2012-07-02,27.75,27.98,26.76,27.03,3722100,26.13
2012-06-25,26.66,27.75,26.15,27.71,4754200,26.79
2012-06-18,28.1,28.94,26.87,26.95,4976900,26.05
2012-06-11,29.69,29.8,27.79,28.21,6141400,27.27
2012-06-04,29.07,30.36,28.28,29.46,4535400,28.48
2012-05-29,30.84,31.46,28.98,29.03,4590200,27.89
2012-05-21,29.73,31.01,29.67,30.54,3822700,29.34
2012-05-14,31.44,32.05,29.43,29.55,6321900,28.39
2012-05-07,31.49,32.63,31.,31.82,4510400,30.57
2012-04-30,32.22,32.99,31.4,31.61,5213900,30.37
2012-04-23,31.46,32.36,30.87,32.33,5202700,31.06
2012-04-16,32.89,33.26,31.95,31.96,6427600,30.71
2012-04-09,31.21,32.97,30.42,32.57,5523300,31.29
2012-04-02,31.88,33.06,31.54,31.72,4156800,30.47
2012-03-26,32.45,33.03,31.73,32.48,3652200,31.21
2012-03-19,32.53,32.75,31.34,32.08,4456500,30.82
2012-03-12,32.19,33.11,31.64,32.66,5258100,31.38
2012-03-05,33.15,33.2,30.9,32.31,4939200,31.04
2012-02-27,33.02,33.78,32.59,33.26,6107100,31.77
2012-02-21,35.39,35.5,33.06,33.19,6632700,31.7
2012-02-13,33.18,35.26,33.03,35.16,5189600,33.58
2012-02-06,33.5,33.74,32.45,32.95,5530400,31.47
2012-01-30,31.44,33.68,31.14,33.62,5929100,32.11
2012-01-23,31.24,32.4,30.81,31.66,6709900,30.24
2012-01-17,35.42,35.95,31.17,31.5,13748900,30.09
2012-01-09,33.2,35.19,32.99,35.05,4323900,33.48
2012-01-03,32.11,33.44,31.89,33.17,3920000,31.68
2011-12-27,30.95,31.4,30.45,31.26,2574000,29.86
2011-12-19,29.08,31.06,28.32,31.05,3959300,29.66
2011-12-12,31.79,31.81,28.8,28.96,6178100,27.66
2011-12-05,32.48,32.82,31.34,31.95,3835100,30.52
2011-11-28,28.65,32.1,28.51,31.73,5407400,30.14
2011-11-21,29.05,29.11,27.58,27.59,4596400,26.21
2011-11-14,31.71,32.11,29.5,29.76,4585600,28.27
2011-11-07,32.56,32.85,30.38,31.85,3950400,30.25
2011-10-31,33.05,33.74,30.95,32.55,5597200,30.92
2011-10-24,32.87,33.9,31.72,33.62,6153400,31.93
2011-10-17,32.06,33.1,30.83,32.69,4694100,31.05
2011-10-10,29.24,32.64,29.19,32.34,7836800,30.72
2011-10-03,26.2,29.47,24.29,28.54,7948100,27.11
2011-09-26,27.14,29.14,26.13,26.37,7359500,25.05
2011-09-19,29.54,30.39,25.91,26.73,8508700,25.39
2011-09-12,28.22,30.64,27.83,30.19,7490800,28.68
