Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,91.45,92.06,91.1,91.11,8406700,91.11
2014-02-18,92.77,92.85,91.31,91.52,7540300,91.52
2014-02-10,90.24,92.99,89.8,92.76,7748700,92.1
2014-02-03,88.75,90.04,86.09,90.04,11104200,89.4
2014-01-27,90.3,90.76,88.15,88.47,9433600,87.84
2014-01-21,94.93,95.1,90.61,90.61,11292600,89.96
2014-01-13,94.37,95.27,94.06,95.06,9332500,94.38
2014-01-06,91.93,95.38,91.87,94.74,8449100,94.06
2013-12-30,92.16,92.3,91.01,91.85,5568800,91.19
2013-12-23,92.56,92.96,91.76,92.35,3857400,91.69
2013-12-16,91.42,92.75,89.77,92.09,8742800,91.43
2013-12-09,94.3,94.79,91.07,91.35,8834000,90.7
2013-12-02,94.41,94.66,92.66,94.44,7407300,93.77
2013-11-25,95.49,95.99,94.43,94.66,5588200,93.98
2013-11-18,94.36,95.75,94.,95.25,7110200,94.57
2013-11-11,93.97,94.64,92.32,94.39,7085100,93.07
2013-11-04,93.46,94.1,92.28,94.05,6172100,92.73
2013-10-28,91.96,93.58,91.92,93.37,6710500,92.06
2013-10-21,91.63,92.99,90.77,92.09,6870500,90.8
2013-10-14,88.83,92.05,88.63,91.63,9198100,90.34
2013-10-07,86.7,89.48,85.5,89.45,7897300,88.2
2013-09-30,86.33,87.49,86.15,87.31,6887800,86.09
2013-09-23,89.43,89.75,86.44,86.73,6905700,85.51
2013-09-16,89.43,90.72,88.3,89.68,9079900,88.42
2013-09-09,87.39,89.57,87.01,88.57,7850700,87.33
2013-09-03,86.89,87.92,86.,87.16,7933000,85.94
2013-08-26,88.36,88.48,85.85,86.41,7747000,85.2
2013-08-19,89.47,91.65,87.21,88.41,8018700,87.17
2013-08-12,92.08,93.35,88.77,89.37,11988000,87.46
2013-08-05,94.05,94.37,91.78,92.36,9178000,90.38
2013-07-29,92.63,94.42,92.61,94.39,9551000,92.37
2013-07-22,92.08,92.93,91.61,92.83,8252300,90.84
2013-07-15,89.91,92.27,89.76,92.23,11684000,90.26
2013-07-08,88.09,89.99,87.97,89.99,8999800,88.06
2013-07-01,85.72,87.88,85.5,87.87,6870200,85.99
2013-06-24,82.92,87.82,82.81,85.86,11754000,84.02
2013-06-17,85.37,86.5,82.12,83.2,11967900,81.42
2013-06-10,85.01,85.71,83.08,84.91,8156800,83.09
2013-06-03,84.28,85.18,82.65,84.91,10231600,83.09
2013-05-28,87.54,88.29,84.18,84.18,10339000,82.38
2013-05-20,88.1,89.99,86.49,86.82,11199600,84.96
2013-05-13,85.56,88.2,85.44,88.09,10263200,85.56
2013-05-06,85.78,85.78,84.55,85.76,8371700,83.3
2013-04-29,85.02,85.99,83.88,85.75,10066400,83.29
2013-04-22,84.59,85.74,84.,85.12,8185300,82.68
2013-04-15,82.72,84.57,81.71,84.49,11881600,82.06
2013-04-08,81.27,82.96,80.31,82.74,9878400,80.37
2013-04-01,81.39,82.95,81.28,82.04,9771400,79.69
2013-03-25,79.83,81.59,79.47,81.53,11083700,79.19
2013-03-18,78.72,79.74,78.5,79.74,7682200,77.45
2013-03-11,77.92,79.24,77.84,79.19,10801600,76.92
2013-03-04,76.73,78.22,76.73,78.19,9422600,75.95
2013-02-25,76.47,76.77,75.5,76.7,10172000,74.5
2013-02-19,76.03,77.02,75.96,76.25,8910500,74.06
2013-02-11,75.28,76.16,75.05,76.16,8304200,73.39
2013-02-04,73.56,75.61,73.56,75.48,9893400,72.73
2013-01-28,73.96,74.8,73.43,74.18,10303500,71.48
2013-01-22,72.92,73.93,72.42,73.92,10354000,71.23
2013-01-14,72.6,73.23,72.,73.23,9617900,70.56
2013-01-07,71.5,72.58,71.19,72.35,8940400,69.72
2012-12-31,69.24,71.73,69.18,71.55,11718500,68.94
2012-12-24,70.32,70.4,69.42,69.48,8283800,66.95
2012-12-17,70.84,71.31,70.06,70.27,15290600,67.71
2012-12-10,70.26,71.62,70.26,70.69,11103900,68.12
2012-12-03,69.8,70.52,69.36,70.45,10944900,67.88
2012-11-26,69.12,69.92,68.6,69.73,10393000,67.19
2012-11-19,69.54,69.88,68.95,69.56,8821700,67.03
2012-11-12,69.79,70.11,68.51,69.19,10910400,66.09
2012-11-05,70.86,71.62,69.43,69.87,10137100,66.74
2012-10-31,71.11,71.9,70.48,70.9,9707700,67.72
2012-10-22,71.79,72.29,70.53,70.9,10465800,67.72
2012-10-15,68.18,72.74,68.07,71.86,21412300,68.64
2012-10-08,69.6,69.65,67.8,67.97,10142300,64.92
2012-10-01,68.92,69.74,68.64,69.65,9418700,66.53
2012-09-24,68.88,69.64,68.5,68.91,9845100,65.82
2012-09-17,68.49,69.36,68.,69.06,11465300,65.96
2012-09-10,67.99,69.17,67.83,68.47,10904800,65.4
2012-09-04,67.49,68.22,66.97,67.88,9786800,64.84
2012-08-27,67.54,67.96,66.85,67.43,8989100,64.41
2012-08-20,67.8,68.25,67.15,67.6,10156200,64.57
2012-08-13,68.39,68.84,67.51,67.8,10056800,64.18
2012-08-06,69.18,69.34,68.12,68.64,8394700,64.97
2012-07-30,69.37,69.75,68.02,69.12,10961900,65.43
2012-07-23,68.14,69.68,67.,69.52,12858400,65.8
2012-07-16,68.47,69.7,67.61,68.63,16040700,64.96
2012-07-09,67.74,68.74,67.44,68.61,13417300,64.94
2012-07-02,67.42,68.15,67.34,67.64,10767700,64.02
2012-06-25,66.26,67.7,66.14,67.56,14565100,63.95
2012-06-18,65.82,67.,65.82,66.63,22826200,63.07
2012-06-11,62.97,66.1,61.83,66.01,47378400,62.48
2012-06-04,62.04,63.2,61.89,62.98,10898900,59.61
2012-05-29,62.84,62.93,61.71,61.78,11215600,58.48
2012-05-21,63.26,63.83,62.29,62.51,9796200,59.17
2012-05-14,64.03,64.14,63.09,63.35,15996200,59.39
2012-05-07,64.58,65.02,64.23,64.34,15411100,60.31
2012-04-30,64.85,65.49,64.74,64.74,10110600,60.69
2012-04-23,63.5,65.13,63.3,64.84,10038400,60.78
2012-04-16,63.72,64.28,62.76,63.71,15780500,59.72
2012-04-09,64.95,65.23,63.52,63.54,10787900,59.56
2012-04-02,66.04,66.3,65.09,65.34,8817300,61.25
2012-03-26,64.89,66.18,64.83,65.96,10078800,61.83
2012-03-19,64.95,65.27,64.37,64.55,8321100,60.51
2012-03-12,64.55,65.46,64.54,65.12,11172100,61.04
2012-03-05,64.69,65.08,64.12,64.74,9085100,60.69
2012-02-27,64.26,65.42,64.02,64.77,9294200,60.72
2012-02-21,65.23,66.05,64.19,64.46,8925500,60.43
2012-02-13,64.9,65.28,64.33,64.99,8983200,60.39
2012-02-06,65.46,65.58,64.25,64.6,10112700,60.03
2012-01-30,65.33,66.32,65.13,65.64,10127900,60.99
2012-01-23,65.23,65.88,64.34,65.56,11207300,60.92
2012-01-17,65.54,65.69,64.5,65.27,10717700,60.65
2012-01-09,64.96,65.54,64.36,65.26,7915500,60.64
2012-01-03,65.59,66.,64.61,64.83,13151500,60.24
2011-12-27,65.99,66.32,65.25,65.58,5400200,60.94
2011-12-19,64.18,66.,63.36,65.98,8744300,61.31
2011-12-12,63.87,64.37,62.93,64.3,12739500,59.75
2011-12-05,64.1,64.81,62.85,64.53,11123900,59.96
2011-11-28,61.88,64.95,61.78,63.47,12255900,58.98
2011-11-21,63.27,63.34,61.05,61.27,14422000,56.93
2011-11-14,64.97,65.33,63.3,63.85,10796900,58.78
2011-11-07,63.96,65.49,63.1,65.25,8906000,60.07
2011-10-31,65.17,65.86,63.18,64.12,11759500,59.03
2011-10-24,63.9,65.85,63.56,65.6,11930200,60.4
2011-10-17,64.4,64.84,62.16,63.78,13441100,58.72
2011-10-10,63.89,64.74,63.57,64.72,7713500,59.59
2011-10-03,63.65,64.21,60.83,63.13,14489000,58.12
2011-09-26,62.05,64.74,62.01,63.69,11224700,58.64
2011-09-19,64.05,64.85,61.,61.59,11985700,56.7
2011-09-12,63.1,64.74,62.3,64.59,12957500,59.47
2011-09-06,63.17,65.93,62.5,63.64,14791900,58.59
2011-08-29,64.64,66.23,63.91,64.07,12692100,58.99
