Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.54,28.04,26.62,27.58,10857400,27.58
2014-02-18,27.33,28.39,27.08,27.95,11914000,27.95
2014-02-10,27.16,27.85,26.82,27.42,7129700,27.42
2014-02-03,26.39,27.52,26.18,27.25,8185100,27.25
2014-01-27,27.8,28.04,26.56,26.61,11332600,26.61
2014-01-21,26.11,28.75,25.69,27.72,15548100,27.72
2014-01-13,25.07,26.03,24.8,26.,13218400,26.
2014-01-06,22.77,23.93,22.41,23.54,12822200,23.54
2013-12-30,22.2,22.82,22.13,22.77,4824600,22.77
2013-12-23,21.84,22.3,21.47,22.22,3832900,22.22
2013-12-16,20.81,21.81,20.71,21.77,7889000,21.77
2013-12-09,21.68,22.02,20.57,20.67,8573000,20.67
2013-12-02,20.27,21.77,20.11,21.67,10869100,21.67
2013-11-25,20.61,20.61,20.18,20.27,7369600,20.27
2013-11-18,19.86,20.72,19.22,20.56,10564700,20.56
2013-11-11,19.27,20.11,18.6,19.84,9708900,19.84
2013-11-04,18.57,19.27,18.39,19.27,4910400,19.27
2013-10-28,18.71,19.15,18.36,18.48,5053100,18.48
2013-10-21,20.78,21.4,18.52,18.7,11282600,18.7
2013-10-14,20.07,21.15,20.02,20.82,4762800,20.82
2013-10-07,20.66,20.85,19.54,20.18,5278800,20.18
2013-09-30,19.76,20.97,19.65,20.85,5359500,20.85
2013-09-23,21.04,21.06,19.85,19.95,5960500,19.95
2013-09-16,21.21,21.79,20.91,20.99,4847600,20.99
2013-09-09,20.93,21.58,20.68,21.02,3567200,21.02
2013-09-03,19.11,21.02,19.11,20.83,6504300,20.83
2013-08-26,19.73,19.89,18.71,18.9,5022400,18.9
2013-08-19,20.47,20.58,19.73,19.74,3921200,19.74
2013-08-12,20.67,21.33,20.29,20.44,5942000,20.44
2013-08-05,21.72,22.25,20.85,20.92,4727000,20.92
2013-07-29,21.45,22.03,21.34,21.8,4115200,21.8
2013-07-22,20.69,22.11,20.34,21.52,8998800,21.52
2013-07-15,20.33,21.24,20.25,21.04,3365300,21.04
2013-07-08,19.67,20.5,19.28,20.35,4242200,20.35
2013-07-01,19.4,19.68,19.02,19.61,3296900,19.61
2013-06-24,18.52,19.35,18.05,19.31,6135600,19.31
2013-06-17,19.16,19.43,18.79,18.79,7928000,18.79
2013-06-10,19.06,19.62,18.26,19.05,6382000,19.05
2013-06-03,17.69,19.1,17.22,19.06,8969900,19.06
2013-05-28,17.52,18.18,17.39,17.73,5909700,17.73
2013-05-20,17.58,17.72,17.15,17.35,6312100,17.35
2013-05-13,17.29,18.02,16.84,17.61,7529200,17.61
2013-05-06,16.57,17.52,16.48,17.36,7185500,17.36
2013-04-29,15.84,16.85,15.81,16.48,8438900,16.48
2013-04-22,17.1,17.7,15.62,15.79,13908500,15.79
2013-04-15,18.58,18.79,17.06,17.1,5464100,17.1
2013-04-08,17.85,19.05,17.52,18.72,6592900,18.72
2013-04-01,18.59,18.73,16.75,17.55,6588000,17.55
2013-03-25,18.75,19.1,18.47,18.54,8381800,18.54
2013-03-18,19.08,20.31,18.55,18.72,11296000,18.72
2013-03-11,20.62,21.04,20.12,20.17,3786900,20.17
2013-03-04,20.5,21.27,19.89,20.69,6750500,20.69
2013-02-25,21.67,21.68,20.12,20.49,6293500,20.49
2013-02-19,21.6,22.29,21.12,21.45,4151900,21.45
2013-02-11,21.87,22.02,21.09,21.86,4745100,21.86
2013-02-04,22.41,22.98,21.74,21.84,5801300,21.84
2013-01-28,22.58,22.85,21.52,22.32,8134000,22.32
2013-01-22,21.42,22.64,21.12,22.57,9626700,22.57
2013-01-14,20.57,21.85,20.44,21.49,5976700,21.49
2013-01-07,20.3,20.7,19.55,20.66,6348700,20.66
2012-12-31,19.42,20.7,19.21,20.38,6832100,20.38
2012-12-24,19.7,20.4,19.35,19.38,3604300,19.38
2012-12-17,19.62,20.67,19.43,20.17,6372600,20.17
2012-12-10,19.3,19.95,18.88,19.59,7307600,19.59
2012-12-03,18.1,19.31,17.83,19.29,10209700,19.29
2012-11-26,16.64,18.1,16.53,17.98,7506400,17.98
2012-11-19,16.44,16.8,16.09,16.7,6043200,16.7
2012-11-12,17.76,17.98,16.03,16.32,8850200,16.32
2012-11-05,16.88,18.53,16.71,17.65,8384600,17.65
2012-10-31,16.58,17.49,16.12,17.12,7338300,17.12
2012-10-22,17.64,17.89,15.77,16.58,10893000,16.58
2012-10-15,16.52,19.22,16.38,17.79,11290500,17.79
2012-10-08,16.54,16.88,16.1,16.35,5175800,16.35
2012-10-01,17.21,17.38,16.38,16.65,7675500,16.65
2012-09-24,18.27,18.42,17.1,17.11,5494900,17.11
2012-09-17,19.29,19.59,18.36,18.49,4855100,18.49
2012-09-10,18.74,20.,18.13,19.33,7607500,19.33
2012-09-04,17.37,19.06,17.31,18.71,8416000,18.71
2012-08-27,17.8,18.61,17.35,17.44,7062600,17.44
2012-08-20,18.39,18.61,17.65,17.74,7170100,17.74
2012-08-13,19.15,19.3,17.91,18.45,8982300,18.45
2012-08-06,18.16,19.58,18.14,19.24,8975500,19.24
