Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,56.82,57.88,56.56,57.44,1983000,57.44
2014-02-18,56.92,57.15,55.18,56.73,1458700,56.73
2014-02-10,54.59,57.21,54.06,56.66,1071500,56.66
2014-02-03,52.39,54.89,51.17,54.79,1401200,54.79
2014-01-27,53.35,54.,52.12,52.79,1638900,52.79
2014-01-21,56.48,56.54,52.37,52.7,1463200,52.7
2014-01-13,55.73,57.15,54.84,56.23,1040800,56.23
2014-01-06,55.48,56.09,54.77,55.79,1534300,55.79
2013-12-30,57.58,58.6,54.75,55.68,1892200,55.68
2013-12-23,54.77,58.03,54.74,57.86,1120300,57.86
2013-12-16,53.65,54.6,52.83,54.45,1618100,54.45
2013-12-09,55.93,56.98,52.39,53.53,3019900,53.53
2013-12-02,56.22,57.3,54.74,55.98,1490600,55.98
2013-11-25,55.41,57.05,54.96,56.56,719800,56.39
2013-11-18,56.94,56.97,54.49,55.12,1138500,54.95
2013-11-11,57.17,57.4,55.78,56.79,1334800,56.61
2013-11-04,57.06,59.35,56.96,57.6,1433700,57.42
2013-10-28,57.9,58.74,55.9,56.65,2078400,56.47
2013-10-21,54.38,58.96,52.82,58.09,2709000,57.91
2013-10-14,50.99,54.45,50.67,54.2,1516800,54.03
2013-10-07,51.2,51.9,50.07,51.29,1248600,51.13
2013-09-30,50.65,52.26,50.47,51.93,1465500,51.77
2013-09-23,52.9,53.89,50.97,51.21,1692900,51.05
2013-09-16,54.79,54.88,52.01,52.91,1719400,52.75
2013-09-09,51.55,54.73,51.48,53.8,2031400,53.63
2013-09-03,49.67,51.73,49.07,51.,1830700,50.84
2013-08-26,52.65,54.24,48.07,49.12,3706000,48.97
2013-08-19,52.15,52.85,50.25,52.45,1455200,52.1
2013-08-12,50.86,53.22,50.72,52.26,1597300,51.91
2013-08-05,50.23,51.71,48.13,51.1,1603900,50.76
2013-07-29,48.82,50.51,48.34,50.48,1602100,50.14
2013-07-22,50.48,51.3,47.83,48.83,2178500,48.51
2013-07-15,51.65,52.99,49.9,50.26,1760700,49.93
2013-07-08,49.04,51.91,48.58,51.56,1728500,51.22
2013-07-01,48.82,49.1,47.96,48.82,1512700,48.5
2013-06-24,49.57,50.94,48.51,48.53,2982500,48.21
2013-06-17,52.94,54.12,49.9,50.3,2374500,49.97
2013-06-10,53.69,54.02,51.51,52.86,1415100,52.51
2013-06-03,54.28,54.59,52.47,53.67,1999300,53.31
2013-05-28,56.29,57.1,53.53,54.08,2697100,53.72
2013-05-20,56.7,59.61,54.71,55.42,2365800,54.88
2013-05-13,59.41,59.42,55.71,56.74,2210400,56.19
2013-05-06,57.73,61.75,57.18,59.71,1891800,59.13
2013-04-29,57.01,57.78,54.46,57.63,1489800,57.07
2013-04-22,54.27,57.87,52.89,56.6,1561200,56.05
2013-04-15,53.53,54.55,52.35,54.21,2382100,53.68
2013-04-08,56.59,58.5,52.1,54.47,3915400,53.94
2013-04-01,59.45,59.51,55.32,56.73,2046500,56.18
2013-03-25,58.6,60.24,57.23,59.52,1854200,58.94
2013-03-18,61.21,62.32,57.71,58.41,2109500,57.84
2013-03-11,63.02,63.06,60.41,62.13,2068600,61.52
2013-03-04,61.42,63.49,59.24,63.13,2105400,62.51
2013-02-25,63.4,65.69,59.02,62.06,2890500,61.45
2013-02-19,63.14,68.21,62.1,63.02,4481900,62.23
2013-02-11,61.55,64.17,60.84,62.86,1766400,62.07
2013-02-04,63.5,63.58,60.25,61.45,1655600,60.68
2013-01-28,63.09,65.2,62.13,64.15,2428800,63.35
2013-01-22,68.98,69.,62.95,63.26,3225400,62.47
2013-01-14,68.13,69.19,67.54,69.01,1202500,68.15
2013-01-07,65.4,69.,64.86,68.13,1845800,67.28
2012-12-31,61.32,66.9,61.25,65.84,1790600,65.02
2012-12-24,62.04,63.33,61.37,61.48,995400,60.71
2012-12-17,61.92,63.45,60.34,62.52,1887500,61.74
2012-12-10,57.43,62.79,56.96,61.64,3313700,60.87
2012-12-03,57.39,57.79,55.18,57.43,1686000,56.71
2012-11-26,56.66,57.9,54.65,56.99,1566700,56.28
2012-11-19,55.96,57.67,55.01,57.13,1676000,56.24
2012-11-12,57.98,58.84,53.83,54.88,1968300,54.03
2012-11-05,63.62,64.61,56.6,57.56,2463800,56.67
2012-10-31,61.85,67.,61.85,63.99,2224500,63.
2012-10-22,61.89,64.13,58.61,61.55,2977800,60.6
2012-10-15,58.75,63.,58.44,62.21,2253500,61.24
2012-10-08,56.71,59.88,55.78,58.44,2283900,57.53
2012-10-01,56.64,58.63,55.73,57.15,1926700,56.26
2012-09-24,60.79,61.34,54.46,56.06,3835300,55.19
2012-09-17,61.88,62.89,58.87,59.41,2277300,58.49
2012-09-10,56.21,63.68,55.07,61.6,2719500,60.64
2012-09-04,53.14,57.08,50.75,56.63,2678500,55.75
2012-08-27,55.85,56.08,49.65,53.38,4826300,52.55
2012-08-20,55.55,59.3,55.5,55.59,2334000,54.55
2012-08-13,56.94,57.2,52.9,55.9,1640500,54.86
2012-08-06,50.94,57.39,50.55,57.24,2416800,56.17
2012-07-30,52.78,53.32,48.2,50.58,2164300,49.64
2012-07-23,50.27,53.44,49.,53.01,2330800,52.02
2012-07-16,50.26,53.84,48.55,51.54,2009000,50.58
2012-07-09,55.,55.49,47.69,50.59,2820700,49.64
2012-07-02,56.27,58.56,53.73,55.26,1854400,54.23
2012-06-25,53.4,57.24,50.9,56.73,2454600,55.67
2012-06-18,55.25,58.5,53.77,54.23,1692000,53.22
2012-06-11,59.13,59.4,54.41,55.84,2025500,54.8
2012-06-04,55.59,60.28,53.25,58.12,2336600,57.03
2012-05-29,61.63,63.95,53.3,55.69,4937800,54.65
2012-05-21,60.95,65.43,59.,60.21,2791400,58.91
2012-05-14,63.81,64.18,58.68,60.64,2748800,59.33
2012-05-07,66.35,67.,63.15,64.91,2198500,63.51
2012-04-30,71.17,71.49,66.19,66.52,2467000,65.08
2012-04-23,73.1,73.1,70.01,71.6,2567900,70.05
2012-04-16,75.67,77.63,73.7,74.09,1854200,72.49
2012-04-09,73.41,77.17,71.76,74.69,2282100,73.08
2012-04-02,73.05,76.72,73.02,75.03,2955300,73.41
2012-03-26,76.2,76.65,70.14,73.5,2858900,71.91
2012-03-19,79.86,81.09,74.04,75.19,2589900,73.57
2012-03-12,80.12,82.02,76.5,80.25,2704500,78.52
2012-03-05,85.29,85.29,78.02,80.31,2937400,78.58
2012-02-27,89.87,93.15,84.3,85.8,3223000,83.95
2012-02-21,88.73,94.,88.59,90.65,2696500,88.51
2012-02-13,85.24,88.7,83.55,88.22,2332500,86.14
2012-02-06,94.96,95.84,83.,83.75,2711900,81.78
2012-01-30,92.05,95.98,90.25,95.71,1450900,93.46
2012-01-23,85.29,96.,85.,93.12,2495800,90.93
2012-01-17,84.24,86.17,80.62,85.36,1524100,83.35
2012-01-09,77.78,84.63,77.4,82.74,1581800,80.79
2012-01-03,77.48,79.,75.25,77.21,1702100,75.39
2011-12-27,77.36,77.43,73.9,74.97,847900,73.2
2011-12-19,76.2,77.61,72.59,77.35,1269600,75.53
2011-12-12,86.86,87.68,73.62,75.17,2970300,73.4
2011-12-05,92.22,92.39,86.22,89.04,1571500,86.94
2011-11-28,81.59,92.95,81.33,90.16,1969400,88.04
2011-11-21,83.75,83.9,78.5,78.78,1345100,76.78
2011-11-14,85.2,91.97,83.75,85.88,2523300,83.7
2011-11-07,89.35,90.1,81.05,85.17,2269800,83.
2011-10-31,89.77,90.4,83.1,89.69,2015800,87.41
2011-10-24,84.23,93.84,83.95,91.19,2724900,88.87
2011-10-17,79.64,81.92,74.51,81.82,2400600,79.74
2011-10-10,69.89,79.23,69.64,78.82,2406700,76.82
2011-10-03,61.58,70.25,57.48,68.03,2914300,66.3
2011-09-26,65.58,71.75,62.22,62.38,2663700,60.79
2011-09-19,79.89,80.6,62.2,65.01,2897100,63.36
2011-09-12,76.83,82.78,74.52,81.4,1954800,79.33
2011-09-06,76.22,83.93,75.65,78.53,1855300,76.53
2011-08-29,77.54,88.45,77.54,79.39,2886900,77.37
2011-08-22,73.64,76.5,69.14,75.96,2280700,73.87
2011-08-15,81.13,83.13,70.63,71.29,2115300,69.33
2011-08-08,75.6,81.84,71.5,80.49,2809900,78.28
2011-08-01,95.56,95.99,75.57,79.56,2617600,77.37
2011-07-25,99.12,101.1,90.54,93.92,1495300,91.34
2011-07-18,96.61,101.44,94.1,99.85,1846200,97.1
2011-07-11,95.97,98.5,93.4,97.31,2220100,94.63
2011-07-05,96.64,99.31,95.2,97.25,1410400,94.58
2011-06-27,86.52,97.53,85.71,97.14,1674400,94.47
2011-06-20,83.17,89.62,82.73,86.65,1645100,84.27
2011-06-13,84.85,88.21,82.61,83.37,1941900,81.08
2011-06-06,88.91,90.9,87.07,87.48,1917900,85.07
2011-05-31,90.39,91.89,86.06,88.78,2750500,86.34
2011-05-23,88.01,89.82,85.18,89.2,1739700,86.57
2011-05-16,87.8,91.47,85.5,90.35,2038700,87.69
2011-05-09,89.66,93.1,86.36,87.48,1757200,84.9
2011-05-02,101.24,102.12,89.27,89.49,2662500,86.85
