Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,57.62,58.23,57.58,58.03,16151400,58.03
2014-02-18,58.02,58.65,57.22,57.61,15725200,57.61
2014-02-10,56.77,58.23,56.39,58.15,15320000,58.15
2014-02-03,55.5,56.93,54.2,56.62,22604100,56.62
2014-01-27,55.08,56.39,54.69,55.36,20528000,55.36
2014-01-21,58.09,58.44,55.09,55.09,22012300,55.09
2014-01-13,58.51,59.82,57.53,58.11,25771500,58.11
2014-01-06,59.16,59.47,58.11,58.49,15205300,58.49
2013-12-30,58.14,58.95,57.71,58.66,12418700,58.66
2013-12-23,57.97,58.46,57.8,58.14,8535900,57.76
2013-12-16,56.34,58.,55.4,57.7,22239000,57.33
2013-12-09,56.28,57.07,55.91,56.17,14376000,55.81
2013-12-02,57.1,57.75,55.62,56.06,18633000,55.7
2013-11-25,57.5,58.14,57.17,57.22,13320100,56.85
2013-11-18,55.49,57.52,55.3,57.46,20511100,57.09
2013-11-11,53.91,54.96,53.15,54.87,17662700,54.51
2013-11-04,52.74,53.97,51.58,53.96,19193700,53.61
2013-10-28,52.89,53.24,51.3,52.51,20777900,52.17
2013-10-21,54.27,54.85,52.07,52.77,20795100,52.43
2013-10-14,51.94,54.58,51.76,54.3,20779900,53.95
2013-10-07,52.29,53.35,50.25,52.51,23448800,52.17
2013-09-30,51.73,52.68,51.29,52.67,20080300,52.33
2013-09-23,52.08,52.56,50.06,52.24,29519300,51.52
2013-09-16,53.45,53.87,52.53,52.8,20870200,52.07
2013-09-09,52.78,53.93,52.08,52.59,18023500,51.87
2013-09-03,51.25,52.71,50.83,52.56,17863500,51.84
2013-08-26,52.16,52.54,50.13,50.53,17666400,49.83
2013-08-19,52.89,52.95,50.66,52.32,16883200,51.6
2013-08-12,54.04,54.85,52.89,53.29,16013800,52.56
2013-08-05,56.33,56.58,54.13,54.52,12805300,53.77
2013-07-29,55.98,56.78,55.08,56.49,14129600,55.71
2013-07-22,56.17,56.93,55.6,56.05,14774800,55.28
2013-07-15,55.49,56.56,54.6,56.16,21801400,55.39
2013-07-08,54.54,55.87,54.05,54.97,22620400,54.21
2013-07-01,53.22,54.,52.12,53.99,18739700,53.25
2013-06-24,50.88,53.49,50.11,52.79,21273900,51.69
2013-06-17,53.7,54.51,51.69,51.96,25445000,50.87
2013-06-10,54.64,54.84,52.91,53.13,17272400,52.02
