Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,59.49,59.84,58.6,58.61,2854000,58.61
2014-02-18,58.85,59.97,57.75,59.24,2659800,59.24
2014-02-10,58.57,59.33,57.3,58.47,1468200,58.47
2014-02-03,57.33,59.36,54.9,58.79,2111500,58.79
2014-01-27,58.19,58.75,56.57,57.45,1632100,57.45
2014-01-21,60.21,60.34,58.16,58.16,1173000,58.16
2014-01-13,60.85,61.14,59.33,59.93,1553900,59.93
2014-01-06,62.25,62.31,59.68,61.11,1755700,61.11
2013-12-30,61.43,62.56,61.34,62.17,831900,62.17
2013-12-23,61.34,62.,61.05,61.42,709600,61.42
2013-12-16,60.26,61.61,59.31,61.19,1342400,61.19
2013-12-09,60.54,61.58,60.07,60.09,1268300,60.09
2013-12-02,62.09,62.56,60.18,60.36,1190900,60.36
2013-11-25,62.27,63.4,62.04,62.21,1051900,62.21
2013-11-18,63.02,63.04,61.63,62.1,1487000,61.8
2013-11-11,60.82,63.72,60.64,62.8,2805600,62.5
2013-11-04,60.08,61.43,59.83,61.02,1115900,60.73
2013-10-28,59.14,61.24,58.91,59.97,1149700,59.68
2013-10-21,58.87,59.49,58.35,59.27,864200,58.99
2013-10-14,56.62,58.96,56.47,58.74,1397300,58.46
2013-10-07,56.61,56.89,55.5,56.84,1746800,56.57
2013-09-30,55.92,57.35,55.51,57.13,1943600,56.86
2013-09-23,56.97,57.04,55.7,56.45,1994000,56.18
2013-09-16,57.86,58.58,56.72,57.,1666500,56.73
2013-09-09,56.66,57.49,56.09,57.28,1323400,57.01
2013-09-03,56.29,56.56,55.34,55.92,1302800,55.65
2013-08-26,57.49,57.93,55.56,55.73,1376500,55.46
2013-08-19,56.2,57.45,56.12,57.28,1575800,56.7
2013-08-12,58.68,60.91,56.3,56.43,3488800,55.86
2013-08-05,61.91,62.16,58.64,58.79,1805000,58.2
2013-07-29,61.34,62.3,61.14,61.99,989400,61.37
2013-07-22,61.77,62.25,60.57,61.52,874000,60.9
2013-07-15,62.31,62.7,61.01,61.56,1307900,60.94
2013-07-08,62.29,63.34,61.78,62.26,1367000,61.63
2013-07-01,60.28,62.1,60.05,62.04,1001600,61.42
2013-06-24,57.49,60.2,57.07,59.94,1132100,59.34
2013-06-17,59.28,59.8,57.5,58.2,1068300,57.62
2013-06-10,59.56,59.84,58.15,58.94,840700,58.35
2013-06-03,58.94,59.59,57.76,59.52,1189700,58.92
2013-05-28,60.51,60.89,58.82,58.82,898100,58.23
2013-05-20,60.5,61.49,59.44,59.87,1481400,58.97
2013-05-13,59.19,61.81,58.75,60.68,2996500,59.77
2013-05-06,58.18,59.3,57.7,59.17,1476500,58.28
2013-04-29,56.78,58.42,55.98,58.21,1105900,57.34
2013-04-22,55.05,56.75,54.62,56.71,1236900,55.86
2013-04-15,56.5,56.59,54.5,54.9,1626800,54.08
2013-04-08,55.25,57.76,54.41,56.82,1668800,55.97
2013-04-01,55.07,55.61,54.33,55.46,1415800,54.63
2013-03-25,53.44,55.29,53.36,55.23,1739100,54.4
2013-03-18,53.49,53.87,52.16,53.32,1937800,52.52
2013-03-11,54.62,54.67,53.64,53.99,2025400,53.18
2013-03-04,53.98,54.83,53.65,54.72,1529800,53.9
2013-02-25,54.18,54.59,52.44,54.07,2592900,52.96
2013-02-19,55.64,56.66,53.57,53.99,2893200,52.89
2013-02-11,55.57,56.08,54.53,55.4,1377700,54.27
2013-02-04,54.97,55.97,54.38,55.82,1753300,54.68
2013-01-28,55.94,56.11,54.91,55.12,1553100,53.99
2013-01-22,55.44,56.3,54.83,56.05,1341300,54.9
2013-01-14,53.88,56.33,53.28,55.52,1820800,54.39
2013-01-07,54.64,55.2,53.56,53.84,1976000,52.74
2012-12-31,52.07,55.85,52.07,54.73,4182800,53.61
2012-12-24,52.28,52.9,50.94,52.16,1849800,51.09
2012-12-17,52.15,53.25,51.35,52.45,2452500,51.38
2012-12-10,52.77,52.88,51.32,52.2,2465500,51.13
2012-12-03,54.07,54.34,51.89,52.8,2027500,51.72
2012-11-26,56.33,56.4,53.28,54.09,2938100,52.98
2012-11-19,55.47,56.68,55.05,56.55,1532800,55.12
2012-11-12,54.88,55.6,53.68,54.87,1535100,53.48
2012-11-05,56.55,58.4,54.63,54.79,1874700,53.4
2012-10-31,56.17,57.77,55.81,56.48,1879100,55.05
2012-10-22,56.23,56.32,54.23,55.77,1494400,54.36
2012-10-15,55.,58.21,54.74,56.43,1762700,55.
2012-10-08,56.11,56.74,54.76,54.93,1333200,53.54
2012-10-01,55.31,57.47,55.26,56.18,1942100,54.76
2012-09-24,55.5,55.96,54.18,55.18,1648300,53.78
2012-09-17,57.75,58.02,55.84,56.05,1762400,54.63
2012-09-10,57.4,58.44,56.83,57.56,1453000,56.1
2012-09-04,57.86,58.11,56.83,57.51,1365400,56.05
2012-08-27,58.15,58.44,57.13,57.83,1902900,56.37
2012-08-20,57.12,58.18,56.37,57.95,1416500,56.22
