Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,60.49,60.93,60.14,60.71,2025900,60.71
2014-02-18,60.19,60.43,59.44,59.95,1714200,59.95
2014-02-10,58.36,60.26,58.34,60.19,2774700,60.19
2014-02-03,58.01,58.57,55.69,58.36,3513600,58.36
2014-01-27,59.83,60.39,57.51,57.98,2332000,57.98
2014-01-21,60.96,61.11,59.83,59.83,1407000,59.83
2014-01-13,60.65,61.36,60.38,60.47,1732100,60.47
2014-01-06,60.79,60.98,59.84,60.78,1676400,60.78
2013-12-30,60.97,61.58,60.54,60.58,1590900,60.58
2013-12-23,60.18,61.18,59.87,60.98,1127100,60.98
2013-12-16,60.83,61.13,59.58,60.52,1709200,60.52
2013-12-09,61.71,62.31,60.26,60.5,1612300,60.5
2013-12-02,60.64,61.71,60.23,61.64,1805300,61.64
2013-11-25,62.71,62.75,60.59,60.64,1560900,60.64
2013-11-18,62.86,62.86,61.03,62.47,2960400,62.
2013-11-11,62.35,63.32,61.46,62.61,1391900,62.14
2013-11-04,63.51,64.92,61.27,62.19,2675800,61.73
2013-10-28,62.42,64.4,62.15,62.29,2551900,61.83
2013-10-21,60.5,62.5,60.25,62.43,1362400,61.96
2013-10-14,60.4,61.6,59.92,61.45,1593900,60.99
2013-10-07,59.03,60.79,58.99,60.76,1734200,60.31
2013-09-30,58.79,59.43,58.01,59.36,1763300,58.92
2013-09-23,60.39,60.56,58.59,59.02,1653700,58.58
2013-09-16,61.08,61.43,60.11,60.57,2123300,60.12
2013-09-09,60.4,60.69,59.34,60.64,1972500,60.19
2013-09-03,61.24,61.36,60.14,60.23,1471100,59.78
2013-08-26,62.77,62.77,60.28,60.71,1451100,60.26
2013-08-19,62.92,63.3,61.92,62.73,1572000,61.79
2013-08-12,65.6,66.24,62.84,62.95,2092700,62.01
2013-08-05,65.23,65.9,64.86,65.68,1656500,64.7
2013-07-29,66.75,67.43,64.26,65.23,2353300,64.26
2013-07-22,67.21,67.98,66.21,66.98,1136500,65.98
2013-07-15,66.38,67.34,66.05,67.32,1109300,66.32
2013-07-08,65.58,66.76,65.18,66.5,1398800,65.51
2013-07-01,64.03,65.48,64.03,65.34,1273400,64.36
2013-06-24,63.14,64.98,62.67,64.23,1826900,63.27
2013-06-17,64.58,65.12,62.56,63.25,1981300,62.31
2013-06-10,63.39,65.11,62.14,64.24,1646800,63.28
2013-06-03,61.97,63.42,61.03,63.39,2172800,62.44
2013-05-28,65.03,65.33,62.05,62.05,1772500,61.12
2013-05-20,65.53,65.7,63.87,64.45,2083900,63.05
2013-05-13,64.22,66.48,63.89,65.66,1512000,64.23
2013-05-06,63.71,64.38,63.01,64.29,1895700,62.89
2013-04-29,65.77,65.88,62.58,63.66,2635700,62.28
2013-04-22,65.96,66.84,65.39,65.7,1502200,64.27
2013-04-15,64.5,66.25,63.61,66.1,1528700,64.66
2013-04-08,63.57,64.91,63.19,64.7,1277700,63.29
2013-04-01,64.09,64.68,63.24,63.64,1545100,62.26
2013-03-25,63.5,64.75,63.26,64.43,1477100,63.03
2013-03-18,61.98,63.5,61.7,63.39,1439800,62.01
2013-03-11,61.5,62.44,61.39,62.2,1495600,60.85
2013-03-04,60.47,61.93,60.45,61.52,1480000,60.18
2013-02-25,60.06,60.79,59.03,60.58,1858600,59.26
2013-02-19,59.63,60.3,59.15,60.01,1979800,58.28
2013-02-11,58.98,59.96,58.95,59.77,1599900,58.05
2013-02-04,58.41,59.38,58.,58.91,2333900,57.21
2013-01-28,58.72,59.,58.29,58.65,1131100,56.96
2013-01-22,58.05,58.84,57.8,58.84,1647200,57.14
2013-01-14,57.16,58.23,56.04,58.21,1377000,56.53
2013-01-07,56.66,57.4,56.22,57.02,1158000,55.37
2012-12-31,55.17,56.94,55.02,56.64,1546100,55.01
2012-12-24,56.26,56.26,55.28,55.33,839500,53.73
2012-12-17,56.75,57.,55.87,56.18,1857200,54.56
2012-12-10,55.94,57.21,55.85,56.72,1651600,55.08
2012-12-03,55.57,55.98,54.53,55.97,1590500,54.35
2012-11-26,55.28,55.88,55.14,55.46,2567000,53.86
2012-11-19,54.35,55.34,54.1,55.26,1593100,53.24
2012-11-12,53.5,54.19,53.24,54.17,1863500,52.19
2012-11-05,53.57,54.79,52.22,53.48,3295100,51.53
2012-10-31,52.91,54.1,52.16,53.69,3413400,51.73
2012-10-22,52.03,53.06,51.36,52.9,1398000,50.97
2012-10-15,51.79,52.86,51.52,52.09,1465300,50.19
2012-10-08,51.87,52.01,51.27,51.73,902600,49.84
2012-10-01,51.49,52.3,51.45,51.95,1278300,50.05
2012-09-24,51.48,52.15,51.25,51.66,1921800,49.77
2012-09-17,50.21,51.52,50.21,51.45,1963100,49.57
2012-09-10,50.07,50.94,49.92,50.19,1765900,48.36
2012-09-04,50.81,51.,50.13,50.39,1737400,48.55
2012-08-27,51.63,51.91,50.49,50.65,1577200,48.8
2012-08-20,51.12,51.7,50.95,51.48,1661400,49.18
2012-08-13,50.97,51.33,50.52,51.1,1881900,48.81
2012-08-06,50.27,51.,50.03,50.98,1835900,48.7
2012-07-30,47.45,50.55,46.94,50.35,3184900,48.1
2012-07-23,47.46,47.58,46.33,47.19,2933900,45.08
2012-07-16,49.4,49.49,47.53,47.64,2321300,45.51
2012-07-09,49.12,49.89,48.59,49.5,1523800,47.28
2012-07-02,49.16,49.75,48.98,49.12,1325600,46.92
2012-06-25,48.76,49.45,48.17,49.33,1489700,47.12
2012-06-18,49.23,49.76,48.65,48.97,1249200,46.78
2012-06-11,48.92,49.35,48.25,49.25,1560600,47.05
2012-06-04,48.22,48.65,47.88,48.63,1636000,46.45
2012-05-29,50.54,50.7,48.2,48.22,2321800,46.06
2012-05-21,50.46,50.72,49.86,50.27,1414200,47.61
2012-05-14,50.74,51.07,50.16,50.37,1783800,47.71
2012-05-07,50.39,51.16,50.2,50.99,1747700,48.29
2012-04-30,50.36,50.92,49.95,50.39,2459000,47.72
2012-04-23,51.66,52.04,50.05,50.35,4493600,47.69
2012-04-16,53.21,54.2,53.15,53.99,1304100,51.13
2012-04-09,52.77,53.58,52.69,53.24,1503900,50.42
2012-04-02,53.44,53.79,52.8,53.18,1565400,50.37
2012-03-26,52.7,53.86,52.64,53.63,1498700,50.79
2012-03-19,52.49,52.81,52.22,52.41,1206500,49.64
2012-03-12,52.48,53.06,52.26,52.62,1565800,49.84
2012-03-05,52.11,52.47,51.64,52.44,1471800,49.67
2012-02-27,52.7,53.,52.,52.11,2218900,49.35
2012-02-21,52.49,53.45,51.84,52.75,2627900,49.55
2012-02-13,50.07,53.35,49.82,52.53,3839100,49.35
2012-02-06,50.65,51.02,49.67,49.81,1829400,46.79
2012-01-30,49.08,51.33,49.07,50.84,3423500,47.76
2012-01-23,51.04,51.07,49.64,49.73,2418300,46.72
2012-01-17,51.1,51.37,50.66,51.07,1449100,47.98
2012-01-09,50.71,51.85,50.3,50.81,1889200,47.73
2012-01-03,50.97,51.12,50.23,50.51,1902400,47.45
2011-12-27,50.3,50.92,50.3,50.57,1148100,47.51
2011-12-19,48.93,50.58,48.64,50.34,1337100,47.29
2011-12-12,49.77,49.82,48.47,48.77,2060900,45.81
2011-12-05,49.43,50.15,49.22,49.81,1792300,46.79
2011-11-28,48.81,49.37,48.1,49.12,2648800,46.14
2011-11-21,49.03,49.34,48.11,48.75,2285600,45.39
2011-11-14,49.49,49.91,49.04,49.37,2922000,45.97
2011-11-07,49.89,50.95,48.82,49.72,3050900,46.29
2011-10-31,54.41,54.82,49.52,49.91,3821200,46.47
2011-10-24,55.,55.3,53.81,54.78,1947300,51.01
2011-10-17,54.54,55.15,54.11,54.98,1739800,51.19
2011-10-10,54.03,54.85,53.49,54.84,1427200,51.06
2011-10-03,52.73,53.91,51.94,53.61,2404000,49.92
2011-09-26,52.83,54.66,52.58,53.19,2006200,49.52
2011-09-19,53.44,54.07,51.63,52.6,1883900,48.98
2011-09-12,52.85,54.02,51.96,53.99,2263100,50.27
2011-09-06,52.6,54.94,52.35,53.09,1830000,49.43
2011-08-29,53.5,54.73,53.25,53.61,1735200,49.92
2011-08-22,52.9,53.71,51.66,53.18,1941600,49.12
2011-08-15,53.3,54.2,52.2,52.26,2445200,48.27
2011-08-08,52.89,53.46,50.38,52.89,4117400,48.85
2011-08-01,56.16,56.16,52.14,53.36,3264100,49.29
2011-07-25,55.52,56.39,55.,55.78,2370900,51.52
2011-07-18,55.,56.03,54.35,55.91,1403100,51.64
2011-07-11,54.61,55.86,54.54,55.24,1688700,51.03
2011-07-05,55.26,55.78,54.95,55.17,1885500,50.96
2011-06-27,54.64,55.48,54.64,55.4,1808800,51.17
2011-06-20,54.91,55.45,53.45,54.76,2081800,50.58
2011-06-13,55.41,55.9,53.67,54.92,2753200,50.73
2011-06-06,54.8,56.11,54.76,54.89,1715800,50.7
2011-05-31,56.78,57.,54.71,54.92,1714800,50.73
2011-05-23,56.93,57.09,55.86,56.44,1767600,52.13
2011-05-16,57.5,57.51,56.94,57.14,1356400,52.4
2011-05-09,56.75,57.7,56.36,57.56,1967800,52.79
2011-05-02,57.19,57.5,56.,56.75,2947200,52.05
2011-04-25,55.46,57.42,55.09,57.27,1672500,52.52
2011-04-18,55.15,55.79,54.67,55.38,1355200,50.79
2011-04-11,54.08,55.62,53.99,55.37,1649000,50.78
2011-04-04,54.13,54.45,53.8,53.94,1014200,49.47
2011-03-28,53.33,54.45,53.28,54.,1625800,49.52
2011-03-21,54.38,54.5,53.29,53.39,1924500,48.96
2011-03-14,54.86,54.9,53.11,54.17,2089600,49.68
2011-03-07,54.32,55.41,53.89,55.04,1911200,50.48
2011-02-28,53.31,54.5,52.72,54.33,2501000,49.83
2011-02-22,52.89,54.,52.7,53.15,2908200,48.74
2011-02-14,53.18,54.79,52.59,53.01,2695000,48.25
2011-02-07,53.49,53.76,52.25,53.09,2554500,48.32
2011-01-31,50.56,53.7,49.99,53.42,4291600,48.62
2011-01-24,52.01,52.2,50.44,50.49,2147600,45.95
2011-01-18,51.17,52.04,50.89,51.95,2812900,47.28
2011-01-10,50.92,51.67,50.88,51.,2017300,46.42
2011-01-03,51.23,51.5,50.58,51.,2306200,46.42
2010-12-27,51.02,51.49,50.97,51.08,870600,46.49
2010-12-20,51.17,51.62,50.91,51.15,1678400,46.55
2010-12-13,49.79,51.38,49.78,51.23,2943400,46.63
