Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.87,13.1,12.84,12.97,8096100,12.97
2014-02-18,12.95,12.99,12.51,12.85,9238200,12.85
2014-02-10,12.76,13.18,12.56,12.92,9173400,12.92
2014-02-03,12.75,12.87,12.25,12.74,10576700,12.74
2014-01-27,12.98,13.1,12.71,12.76,13753700,12.76
2014-01-21,13.68,14.14,12.9,12.93,21603100,12.93
2014-01-13,13.64,13.75,13.41,13.54,8205100,13.54
2014-01-06,13.4,13.84,13.4,13.63,12698300,13.63
2013-12-30,13.41,13.49,13.26,13.32,4642100,13.32
2013-12-23,13.39,13.55,13.33,13.4,3135900,13.4
2013-12-16,13.08,13.42,12.86,13.32,10326000,13.32
2013-12-09,12.97,13.16,12.78,13.04,10524700,13.04
2013-12-02,12.82,12.99,12.49,12.95,11171900,12.95
2013-11-25,12.98,13.1,12.73,12.75,8833000,12.75
2013-11-18,12.9,13.02,12.66,12.98,11047000,12.92
2013-11-11,13.04,13.1,12.71,12.85,8644000,12.8
2013-11-04,12.56,13.02,12.37,13.02,9096400,12.96
2013-10-28,12.66,12.8,12.47,12.54,9572600,12.49
2013-10-21,12.57,12.73,12.49,12.69,12025500,12.64
2013-10-14,11.81,12.68,11.77,12.6,12473300,12.55
2013-10-07,11.54,11.9,11.24,11.88,11481900,11.83
2013-09-30,11.15,11.7,11.05,11.64,10432600,11.59
2013-09-23,11.5,11.57,11.2,11.36,10831200,11.31
2013-09-16,12.11,12.24,11.4,11.57,13065600,11.52
2013-09-09,11.95,12.2,11.78,11.97,7422300,11.92
2013-09-03,11.79,11.99,11.58,11.9,12351500,11.85
2013-08-26,12.18,12.26,11.51,11.67,10352900,11.62
2013-08-19,12.14,12.4,11.89,12.2,9014300,12.15
2013-08-12,12.16,12.37,11.99,12.16,8603600,12.05
2013-08-05,12.5,12.6,12.12,12.23,9412300,12.12
2013-07-29,12.38,12.63,12.11,12.55,9276600,12.44
2013-07-22,12.09,12.5,12.03,12.4,11932300,12.29
2013-07-15,11.84,12.08,11.42,12.04,11673500,11.94
2013-07-08,12.06,12.13,11.51,11.79,11648000,11.69
2013-07-01,11.07,12.,11.06,12.,10936400,11.9
2013-06-24,10.4,11.09,10.32,11.04,11489000,10.94
2013-06-17,10.47,10.65,10.24,10.54,14700700,10.45
2013-06-10,10.87,11.06,10.31,10.41,11868200,10.32
2013-06-03,10.8,10.89,10.4,10.86,8936400,10.77
2013-05-28,10.78,10.94,10.57,10.78,11296100,10.69
2013-05-20,10.77,11.,10.44,10.66,8654500,10.57
2013-05-13,10.29,10.85,10.27,10.8,9110000,10.65
2013-05-06,10.05,10.38,10.01,10.3,6985200,10.16
2013-04-29,9.82,10.11,9.79,10.03,9308100,9.89
2013-04-22,9.39,9.9,9.3,9.8,7731000,9.66
2013-04-15,9.8,9.83,9.29,9.41,14038500,9.28
2013-04-08,9.64,10.26,9.56,9.84,12498500,9.7
2013-04-01,9.92,9.94,9.44,9.66,10698500,9.53
2013-03-25,10.1,10.11,9.88,9.96,8949000,9.82
2013-03-18,9.96,10.19,9.94,10.05,10256200,9.91
2013-03-11,9.88,10.14,9.79,10.11,14203700,9.97
2013-03-04,9.32,10.03,9.3,9.86,19835600,9.72
2013-02-25,9.55,9.6,9.14,9.33,15126100,9.2
2013-02-19,9.5,9.64,9.26,9.51,11856300,9.33
2013-02-11,9.51,9.56,9.39,9.48,9977900,9.3
2013-02-04,9.38,9.6,9.32,9.57,9746500,9.39
2013-01-28,9.27,9.57,9.16,9.47,12899200,9.29
2013-01-22,9.28,9.5,8.99,9.29,25746800,9.11
2013-01-14,8.94,9.4,8.82,9.28,18197500,9.1
2013-01-07,8.91,9.1,8.78,8.84,22642800,8.67
2012-12-31,8.29,8.97,8.29,8.95,13538500,8.78
2012-12-24,8.48,8.52,8.27,8.35,5127900,8.19
2012-12-17,8.18,8.57,8.16,8.44,11339500,8.28
2012-12-10,8.06,8.38,8.03,8.14,13216900,7.98
2012-12-03,8.15,8.16,7.81,8.11,15836400,7.96
2012-11-26,8.39,8.48,8.03,8.08,14566600,7.93
2012-11-19,8.18,8.45,8.14,8.45,7798300,8.29
2012-11-12,8.31,8.38,7.96,8.03,10486400,7.83
2012-11-05,8.33,8.64,8.21,8.29,13697300,8.08
2012-10-31,8.42,8.57,8.35,8.37,9852000,8.16
2012-10-22,8.66,8.75,8.35,8.39,13660600,8.18
2012-10-15,8.41,8.97,8.18,8.74,22570600,8.52
2012-10-08,8.79,8.85,8.25,8.33,14473600,8.12
2012-10-01,8.78,9.01,8.65,8.88,13183900,8.66
2012-09-24,8.9,9.,8.7,8.74,10813700,8.52
2012-09-17,9.05,9.12,8.85,8.91,12973400,8.69
2012-09-10,8.57,9.08,8.55,9.04,14512800,8.81
2012-09-04,8.4,8.73,8.3,8.61,13517000,8.4
2012-08-27,8.4,8.45,8.27,8.43,8858000,8.22
2012-08-20,8.32,8.45,8.24,8.35,10862800,8.14
2012-08-13,8.31,8.4,8.16,8.36,10439500,8.1
2012-08-06,8.25,8.36,8.19,8.34,8917600,8.08
2012-07-30,8.15,8.26,7.82,8.24,10664100,7.99
2012-07-23,7.73,8.23,7.71,8.18,13630700,7.93
2012-07-16,7.83,8.07,7.77,7.89,15522700,7.65
2012-07-09,7.67,7.87,7.46,7.85,11668800,7.61
2012-07-02,7.8,7.84,7.55,7.7,8225000,7.46
2012-06-25,7.47,7.92,7.38,7.74,12967600,7.5
2012-06-18,7.45,7.71,7.35,7.62,13556800,7.39
2012-06-11,7.36,7.43,7.,7.43,11114500,7.2
2012-06-04,7.15,7.31,6.8,7.28,15029600,7.06
2012-05-29,7.64,7.65,7.06,7.14,11541500,6.92
2012-05-21,7.42,7.63,7.38,7.5,11487600,7.27
2012-05-14,7.76,7.83,7.36,7.41,12686800,7.13
2012-05-07,7.77,8.09,7.71,7.89,11537800,7.6
2012-04-30,8.05,8.25,7.77,7.82,12371100,7.53
2012-04-23,7.75,8.2,7.72,8.11,12961900,7.81
2012-04-16,8.03,8.23,7.76,7.87,24261200,7.58
2012-04-09,8.13,8.44,7.97,7.97,16951800,7.67
2012-04-02,8.39,8.54,8.18,8.27,15689400,7.96
2012-03-26,8.44,8.53,8.31,8.5,13106200,8.18
2012-03-19,8.62,8.82,8.21,8.36,13646500,8.05
2012-03-12,8.02,8.68,7.83,8.54,19658200,8.22
2012-03-05,7.95,8.11,7.6,8.02,11232200,7.72
2012-02-27,8.02,8.3,7.94,7.98,16426100,7.68
2012-02-21,8.16,8.17,7.8,8.06,10344300,7.76
2012-02-13,8.05,8.13,7.83,8.12,10560300,7.79
2012-02-06,8.21,8.24,7.9,7.94,10131100,7.62
2012-01-30,7.92,8.25,7.74,8.24,14767500,7.9
2012-01-23,8.32,8.36,7.78,8.01,21067900,7.68
2012-01-17,8.38,8.44,8.07,8.3,13924900,7.96
2012-01-09,8.03,8.34,7.91,8.32,13746500,7.98
2012-01-03,7.84,8.08,7.67,7.98,12249700,7.65
2011-12-27,7.79,7.79,7.59,7.69,5882700,7.38
2011-12-19,7.17,7.89,7.03,7.78,11994500,7.46
2011-12-12,7.28,7.35,7.,7.18,10397400,6.89
2011-12-05,7.32,7.49,7.16,7.38,10684400,7.08
2011-11-28,6.92,7.41,6.7,7.2,14397000,6.91
2011-11-21,6.97,7.07,6.6,6.67,14791500,6.4
2011-11-14,7.39,7.51,7.07,7.08,12691200,6.76
2011-11-07,7.3,7.57,7.07,7.47,13227500,7.13
2011-10-31,7.15,7.44,6.63,7.33,17813700,7.
2011-10-24,7.07,7.74,6.91,7.33,20636200,7.
2011-10-17,6.42,7.05,6.21,6.95,20055500,6.64
2011-10-10,6.32,6.97,6.27,6.51,16712000,6.22
2011-10-03,5.73,6.59,5.59,6.16,19285700,5.88
2011-09-26,5.83,6.36,5.78,5.93,19926300,5.66
2011-09-19,6.37,6.47,5.63,5.71,14792900,5.45
2011-09-12,6.03,6.6,6.02,6.53,13587300,6.24
2011-09-06,6.07,6.67,6.,6.12,13533200,5.84
2011-08-29,6.51,6.76,6.22,6.24,11190300,5.96
2011-08-22,6.2,6.83,5.94,6.42,15644200,6.13
2011-08-15,6.52,6.87,5.98,6.01,14450400,5.71
2011-08-08,6.93,7.23,6.16,6.43,22853700,6.11
2011-08-01,8.17,8.2,7.19,7.25,17949400,6.89
2011-07-25,8.27,8.48,7.87,8.04,14133100,7.64
2011-07-18,7.94,8.47,7.69,8.41,16527700,7.99
2011-07-11,8.1,8.23,7.86,7.93,11258000,7.54
2011-07-05,8.37,8.46,8.16,8.26,9841600,7.85
2011-06-27,7.97,8.48,7.89,8.44,9462100,8.02
2011-06-20,8.29,8.35,7.82,7.93,11539700,7.54
2011-06-13,8.,8.31,7.93,8.3,15404200,7.89
2011-06-06,8.06,8.19,7.86,8.01,13153000,7.61
2011-05-31,8.54,8.56,8.02,8.06,11297600,7.66
2011-05-23,8.29,8.47,8.25,8.45,7657200,8.03
2011-05-16,8.27,8.64,8.26,8.4,10824300,7.95
2011-05-09,8.52,8.64,8.25,8.27,12163600,7.83
2011-05-02,8.74,8.84,8.41,8.53,12266100,8.08
2011-04-25,8.37,8.79,8.37,8.67,12019800,8.21
2011-04-18,8.6,8.75,8.27,8.35,17421800,7.91
2011-04-11,8.86,8.94,8.71,8.82,13748300,8.35
2011-04-04,9.,9.1,8.81,8.87,11081100,8.4
2011-03-28,8.72,9.05,8.6,8.95,15605100,8.48
2011-03-21,8.98,9.04,8.46,8.72,32800600,8.26
2011-03-14,9.01,9.43,8.58,8.92,17947300,8.45
2011-03-07,9.24,9.5,8.96,9.08,14316900,8.6
2011-02-28,9.33,9.43,8.9,9.26,14466600,8.77
2011-02-22,9.39,9.44,8.96,9.29,16724700,8.8
2011-02-14,9.55,9.77,9.41,9.53,12668700,9.01
2011-02-07,9.5,9.77,9.21,9.54,13436700,9.02
2011-01-31,8.84,9.69,8.82,9.45,11685600,8.94
2011-01-24,8.79,9.07,8.54,8.79,18273700,8.31
2011-01-18,8.8,8.91,8.31,8.78,15440100,8.31
2011-01-10,8.83,8.85,8.53,8.77,11734300,8.3
2011-01-03,8.96,9.14,8.47,8.73,13373000,8.26
2010-12-27,8.49,8.92,8.42,8.85,6669500,8.37
2010-12-20,8.43,8.74,8.34,8.53,12134100,8.07
2010-12-13,8.38,8.48,8.,8.42,14093600,7.96
2010-12-06,8.16,8.44,7.89,8.38,12688900,7.93
2010-11-29,7.46,8.23,7.45,8.2,11866200,7.76
2010-11-22,7.63,7.77,7.47,7.48,6762800,7.08
2010-11-15,8.08,8.22,7.48,7.66,17146600,7.24
2010-11-08,8.39,8.45,7.99,8.02,13852400,7.58
2010-11-01,8.24,8.76,8.05,8.4,17992200,7.94
2010-10-25,8.4,8.42,7.96,8.2,9650300,7.75
2010-10-18,8.01,8.73,7.97,8.3,20816400,7.84
2010-10-11,8.44,8.55,7.93,8.03,10701500,7.59
2010-10-04,8.1,8.54,8.05,8.4,12960400,7.94
2010-09-27,7.87,8.25,7.77,8.11,12865600,7.66
2010-09-20,8.25,8.49,7.62,7.9,12310800,7.46
2010-09-13,8.39,8.5,7.96,8.23,10984500,7.77
2010-09-07,7.88,8.31,7.61,8.22,14343000,7.77
2010-08-30,7.51,8.14,7.21,8.03,9723400,7.59
2010-08-23,7.75,7.89,7.13,7.58,13555200,7.16
2010-08-16,7.77,7.95,7.42,7.64,11477500,7.21
2010-08-09,8.23,8.52,7.7,7.82,13448700,7.38
2010-08-02,8.57,8.91,8.1,8.17,11947000,7.71
2010-07-26,8.02,8.64,7.95,8.46,10960200,7.98
2010-07-19,7.75,8.12,7.5,8.03,16963500,7.58
2010-07-12,8.32,8.45,7.64,7.75,12516300,7.31
2010-07-06,7.36,8.43,7.31,8.35,11770900,7.88
2010-06-28,8.27,8.37,7.14,7.22,14750400,6.81
2010-06-21,8.5,8.56,8.,8.27,10161200,7.8
2010-06-14,8.3,8.55,8.07,8.37,10181400,7.9
2010-06-07,7.81,8.25,7.47,8.24,15136800,7.77
2010-06-01,8.05,8.45,7.72,7.77,14241600,7.33
2010-05-24,7.89,8.23,7.17,8.02,15226000,7.57
2010-05-17,8.44,8.5,7.27,7.87,20330800,7.41
2010-05-10,8.29,8.91,8.06,8.43,21538900,7.94
2010-05-03,9.09,9.18,7.47,7.88,26354200,7.42
2010-04-26,9.23,9.25,8.46,9.02,24466400,8.5
2010-04-19,7.94,9.84,7.89,9.19,40022200,8.66
2010-04-12,8.41,8.57,7.85,8.,23610100,7.54
2010-04-05,7.88,8.97,7.79,8.35,29833900,7.87
2010-03-29,7.89,7.93,7.59,7.8,11156000,7.35
2010-03-22,7.5,8.12,7.41,7.86,17473300,7.41
2010-03-15,7.54,8.02,7.3,7.6,19127700,7.16
2010-03-08,7.21,8.19,7.08,7.55,18133600,7.11
2010-03-01,7.16,7.26,6.9,7.25,8939800,6.83
2010-02-22,6.78,7.18,6.71,7.15,16173800,6.74
2010-02-16,6.86,6.97,6.68,6.79,11645700,6.39
2010-02-08,6.91,7.03,6.66,6.79,16189500,6.39
2010-02-01,7.23,7.54,6.63,6.89,28776500,6.48
2010-01-25,7.43,7.49,6.84,7.18,27099800,6.76
2010-01-19,6.82,7.75,6.68,7.25,30671000,6.82
2010-01-11,6.5,6.94,6.29,6.88,20976400,6.47
2010-01-04,5.66,6.56,5.65,6.5,17083200,6.12
2009-12-28,5.78,5.8,5.55,5.55,5185000,5.22
2009-12-21,5.64,5.79,5.55,5.76,10475200,5.42
2009-12-14,6.07,6.12,5.37,5.56,14314900,5.23
2009-12-07,5.93,6.12,5.75,6.07,13120400,5.71
2009-11-30,5.58,6.29,5.58,6.16,18282500,5.8
2009-11-23,5.86,6.,5.57,5.57,8080700,5.24
2009-11-16,5.69,6.01,5.54,5.73,13616600,5.38
2009-11-09,5.84,5.88,5.52,5.59,13530400,5.25
2009-11-02,5.38,5.77,5.31,5.73,19102500,5.38
2009-10-26,6.46,6.47,5.29,5.39,27708200,5.06
2009-10-19,6.47,6.85,6.18,6.48,25673200,6.09
2009-10-12,6.21,6.74,6.19,6.45,17180300,6.06
2009-10-05,6.28,6.48,6.08,6.19,13324200,5.81
2009-09-28,6.36,6.73,5.93,6.17,18695300,5.8
2009-09-21,6.57,6.93,6.18,6.24,17722000,5.86
2009-09-14,5.85,7.07,5.76,6.63,30230700,6.23
2009-09-08,6.34,6.37,5.92,5.93,17235100,5.57
2009-08-31,6.54,6.74,5.8,6.22,21887500,5.84
2009-08-24,6.77,6.97,6.27,6.68,17788200,6.27
2009-08-17,6.37,6.85,6.17,6.73,17857700,6.31
2009-08-10,6.82,6.82,6.1,6.65,27472600,6.24
2009-08-03,6.,7.,5.81,6.78,41735000,6.36
2009-07-27,5.26,5.93,5.09,5.78,46373600,5.42
2009-07-20,5.15,5.53,4.4,5.26,33706800,4.93
2009-07-13,5.22,5.42,5.07,5.11,21387200,4.79
2009-07-06,5.05,5.42,4.95,5.12,29887100,4.8
2009-06-29,5.23,5.46,4.97,5.12,22794900,4.8
2009-06-22,5.88,5.98,4.98,5.2,34546100,4.88
2009-06-15,5.98,6.22,5.13,6.07,32941800,5.69
2009-06-08,5.37,6.17,5.3,6.12,26020700,5.74
2009-06-01,5.1,5.77,4.4,5.43,65953900,5.09
2009-05-26,5.33,5.35,4.72,5.,20933300,4.69
2009-05-18,6.03,6.08,5.22,5.26,16651200,4.92
2009-05-11,6.8,6.81,5.55,5.8,27518100,5.43
2009-05-04,6.,8.27,5.77,6.97,28003800,6.52
2009-04-27,6.66,6.9,5.81,5.88,14896300,5.5
2009-04-20,8.56,8.56,5.73,7.,30855600,6.55
2009-04-13,8.21,9.82,7.74,9.05,16367900,8.47
2009-04-06,8.38,17.3,6.48,8.25,17638700,7.72
2009-03-30,8.11,8.95,7.2,8.54,11175000,7.99
2009-03-23,8.61,9.18,7.85,8.32,11786500,7.79
2009-03-16,8.03,9.35,7.45,7.47,13921600,6.99
2009-03-09,5.27,8.19,5.26,7.7,14201400,7.21
2009-03-02,6.78,7.17,5.07,5.36,12087000,5.02
2009-02-23,6.21,8.39,5.65,7.01,19557200,6.56
2009-02-17,6.58,6.71,4.83,6.07,15168000,5.64
2009-02-09,8.56,9.31,6.43,7.05,15707900,6.55
2009-02-02,7.04,8.74,6.25,8.47,13443200,7.87
2009-01-26,7.63,8.88,7.18,7.28,11125700,6.76
2009-01-20,6.49,7.97,5.77,7.62,17627600,7.08
2009-01-12,7.58,7.73,5.71,6.31,11293400,5.86
2009-01-05,8.64,8.96,7.52,7.58,6162800,7.04
2008-12-29,7.56,8.93,7.29,8.87,4083700,8.24
2008-12-22,7.9,8.12,7.29,7.7,3630500,7.15
2008-12-15,8.01,8.75,7.36,8.07,6667200,7.49
2008-12-08,8.96,9.12,7.52,8.,7237200,7.43
