Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.15,21.24,21.15,21.18,7700,21.18
2014-02-18,21.37,21.5,21.06,21.16,28200,21.16
2014-02-10,21.02,21.21,20.92,21.21,40600,21.21
2014-02-03,21.02,21.02,20.68,20.95,21700,20.95
2014-01-27,21.02,21.03,20.88,20.97,21600,20.97
2014-01-21,21.03,21.29,20.9,20.97,22800,20.97
2014-01-13,20.61,21.11,20.61,21.,25800,21.
2014-01-06,20.23,20.62,19.92,20.52,53700,20.52
2013-12-30,19.73,20.23,19.36,20.11,28300,20.11
2013-12-23,19.78,20.05,19.54,19.92,51600,19.57
2013-12-16,19.71,19.83,19.45,19.75,29600,19.4
2013-12-09,19.79,19.87,19.47,19.57,26900,19.22
2013-12-02,20.17,20.18,19.6,19.83,39500,19.48
2013-11-25,20.21,20.35,20.1,20.23,27200,19.87
2013-11-18,20.18,20.51,20.,20.1,22900,19.74
2013-11-11,20.22,20.26,20.05,20.16,14200,19.8
2013-11-04,20.59,20.59,20.07,20.22,18500,19.86
2013-10-28,20.83,21.25,20.41,20.49,14600,20.13
2013-10-21,20.62,21.13,20.55,20.81,16800,20.44
2013-10-14,20.12,20.64,19.97,20.64,9400,20.28
2013-10-07,20.25,20.25,20.06,20.12,15400,19.76
2013-09-30,20.33,20.45,20.07,20.25,23700,19.89
2013-09-23,20.67,21.,20.62,20.68,34300,19.97
2013-09-16,20.94,20.98,20.59,20.62,15800,19.91
2013-09-09,20.75,20.75,20.52,20.67,16100,19.96
2013-09-03,21.03,21.03,20.4,20.59,11300,19.88
2013-08-26,21.56,21.56,20.77,21.01,20800,20.29
2013-08-19,21.53,21.53,20.24,21.07,29500,20.35
2013-08-12,22.71,22.8,21.33,21.52,29000,20.78
2013-08-05,23.,23.07,22.37,22.75,24400,21.97
2013-07-29,23.3,23.3,22.5,22.91,19600,22.12
2013-07-22,23.4,23.49,23.01,23.23,17700,22.43
2013-07-15,23.68,23.81,23.21,23.42,15600,22.61
2013-07-08,23.5,23.83,23.17,23.6,19200,22.79
2013-07-01,24.13,24.29,23.24,23.33,15900,22.53
2013-06-24,23.55,24.21,22.69,23.98,20100,23.16
2013-06-17,24.31,24.62,23.05,23.55,26600,22.41
2013-06-10,25.09,25.09,22.82,24.07,38100,22.9
2013-06-03,25.58,25.58,24.54,25.04,21600,23.82
2013-05-28,25.98,25.99,25.21,25.21,22800,23.99
2013-05-20,25.88,26.06,25.75,25.77,19700,24.52
2013-05-13,26.,26.04,25.74,25.92,13700,24.66
2013-05-06,25.92,26.1,25.79,26.,18300,24.74
2013-04-29,25.79,26.14,25.66,25.92,21600,24.66
2013-04-22,25.68,25.7,25.42,25.7,23000,24.45
2013-04-15,25.6,25.7,25.49,25.7,11200,24.45
2013-04-08,25.38,25.59,25.32,25.59,16300,24.35
2013-04-01,25.45,25.45,25.3,25.3,30500,24.07
2013-03-25,25.59,25.65,25.3,25.31,22900,24.08
2013-03-18,25.59,25.65,25.47,25.58,27300,23.86
2013-03-11,25.51,25.65,25.35,25.56,39000,23.84
2013-03-04,25.5,25.8,25.36,25.42,43800,23.71
2013-02-25,25.39,25.61,25.2,25.45,49100,23.74
2013-02-19,25.19,25.38,25.09,25.35,49000,23.65
2013-02-11,25.1,25.2,25.,25.2,33700,23.51
2013-02-04,25.06,25.17,24.88,25.08,50500,23.4
2013-01-28,25.05,25.06,24.85,25.04,32700,23.36
2013-01-22,25.16,25.24,24.95,25.,43900,23.32
2013-01-14,25.39,25.39,25.13,25.28,94700,23.58
2013-01-07,25.18,25.44,25.06,25.42,70200,23.71
2012-12-31,24.79,25.17,24.75,25.14,61100,23.45
2012-12-24,24.75,24.8,24.7,24.79,45100,23.13
2012-12-17,24.76,24.85,24.68,24.73,124500,23.07
2012-12-10,24.7,25.05,24.25,24.75,166900,23.09
2012-12-03,24.55,24.9,24.5,24.74,437200,23.08
2012-11-30,24.62,24.8,24.5,24.65,1420700,23.
